query_1: ticles exist deal tss time sharing system  operating system ibm computers
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |  NON-REL   |       0.0       |  0.0   |
|  25  |  NON-REL   |       0.0       |  0.0   |
|  26  |  NON-REL   |       0.0       |  0.0   |
|  27  |  NON-REL   |       0.0       |  0.0   |
|  28  |  NON-REL   |       0.0       |  0.0   |
|  29  |  NON-REL   |       0.0       |  0.0   |
|  30  |  NON-REL   |       0.0       |  0.0   |
|  31  |  NON-REL   |       0.0       |  0.0   |
|  32  |  NON-REL   |       0.0       |  0.0   |
|  33  |  NON-REL   |       0.0       |  0.0   |
|  34  |  NON-REL   |       0.0       |  0.0   |
|  35  |  NON-REL   |       0.0       |  0.0   |
|  36  |    REL     | 0.0277777777778 |  0.2   |
|  37  |  NON-REL   |  0.027027027027 |  0.2   |
|  38  |  NON-REL   | 0.0263157894737 |  0.2   |
|  39  |  NON-REL   |  0.025641025641 |  0.2   |
|  40  |  NON-REL   |      0.025      |  0.2   |
|  41  |  NON-REL   | 0.0243902439024 |  0.2   |
|  42  |  NON-REL   | 0.0238095238095 |  0.2   |
|  43  |  NON-REL   | 0.0232558139535 |  0.2   |
|  44  |  NON-REL   | 0.0227272727273 |  0.2   |
|  45  |  NON-REL   | 0.0222222222222 |  0.2   |
|  46  |  NON-REL   | 0.0217391304348 |  0.2   |
|  47  |  NON-REL   | 0.0212765957447 |  0.2   |
|  48  |  NON-REL   | 0.0208333333333 |  0.2   |
|  49  |  NON-REL   | 0.0204081632653 |  0.2   |
|  50  |  NON-REL   |       0.02      |  0.2   |
|  51  |  NON-REL   | 0.0196078431373 |  0.2   |
|  52  |  NON-REL   | 0.0192307692308 |  0.2   |
|  53  |  NON-REL   | 0.0188679245283 |  0.2   |
|  54  |  NON-REL   | 0.0185185185185 |  0.2   |
|  55  |  NON-REL   | 0.0181818181818 |  0.2   |
|  56  |    REL     | 0.0357142857143 |  0.4   |
|  57  |  NON-REL   | 0.0350877192982 |  0.4   |
|  58  |  NON-REL   | 0.0344827586207 |  0.4   |
|  59  |  NON-REL   | 0.0338983050847 |  0.4   |
|  60  |  NON-REL   | 0.0333333333333 |  0.4   |
|  61  |  NON-REL   | 0.0327868852459 |  0.4   |
|  62  |  NON-REL   | 0.0322580645161 |  0.4   |
|  63  |  NON-REL   |  0.031746031746 |  0.4   |
|  64  |  NON-REL   |     0.03125     |  0.4   |
|  65  |  NON-REL   | 0.0307692307692 |  0.4   |
|  66  |  NON-REL   |  0.030303030303 |  0.4   |
|  67  |  NON-REL   | 0.0298507462687 |  0.4   |
|  68  |  NON-REL   | 0.0294117647059 |  0.4   |
|  69  |  NON-REL   | 0.0289855072464 |  0.4   |
|  70  |  NON-REL   | 0.0285714285714 |  0.4   |
|  71  |  NON-REL   | 0.0281690140845 |  0.4   |
|  72  |  NON-REL   | 0.0277777777778 |  0.4   |
|  73  |  NON-REL   |  0.027397260274 |  0.4   |
|  74  |  NON-REL   |  0.027027027027 |  0.4   |
|  75  |  NON-REL   | 0.0266666666667 |  0.4   |
|  76  |  NON-REL   | 0.0263157894737 |  0.4   |
|  77  |  NON-REL   |  0.025974025974 |  0.4   |
|  78  |  NON-REL   |  0.025641025641 |  0.4   |
|  79  |  NON-REL   | 0.0253164556962 |  0.4   |
|  80  |  NON-REL   |      0.025      |  0.4   |
|  81  |  NON-REL   | 0.0246913580247 |  0.4   |
|  82  |  NON-REL   | 0.0243902439024 |  0.4   |
|  83  |  NON-REL   | 0.0240963855422 |  0.4   |
|  84  |  NON-REL   | 0.0238095238095 |  0.4   |
|  85  |  NON-REL   | 0.0235294117647 |  0.4   |
|  86  |  NON-REL   | 0.0232558139535 |  0.4   |
|  87  |  NON-REL   | 0.0229885057471 |  0.4   |
|  88  |  NON-REL   | 0.0227272727273 |  0.4   |
|  89  |  NON-REL   | 0.0224719101124 |  0.4   |
|  90  |  NON-REL   | 0.0222222222222 |  0.4   |
|  91  |  NON-REL   |  0.021978021978 |  0.4   |
|  92  |  NON-REL   | 0.0217391304348 |  0.4   |
|  93  |  NON-REL   | 0.0215053763441 |  0.4   |
|  94  |  NON-REL   | 0.0212765957447 |  0.4   |
|  95  |  NON-REL   | 0.0210526315789 |  0.4   |
|  96  |  NON-REL   | 0.0208333333333 |  0.4   |
|  97  |  NON-REL   |  0.020618556701 |  0.4   |
|  98  |  NON-REL   | 0.0204081632653 |  0.4   |
|  99  |  NON-REL   |  0.020202020202 |  0.4   |
| 100  |  NON-REL   |       0.02      |  0.4   |
+------+------------+-----------------+--------+
