query_10: rallel languages languages parallel computation
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0285714285714 |
|  2   |    REL     |      1.0       | 0.0571428571429 |
|  3   |    REL     |      1.0       | 0.0857142857143 |
|  4   |    REL     |      1.0       |  0.114285714286 |
|  5   |  NON-REL   |      0.8       |  0.114285714286 |
|  6   |  NON-REL   | 0.666666666667 |  0.114285714286 |
|  7   |  NON-REL   | 0.571428571429 |  0.114285714286 |
|  8   |    REL     |     0.625      |  0.142857142857 |
|  9   |  NON-REL   | 0.555555555556 |  0.142857142857 |
|  10  |    REL     |      0.6       |  0.171428571429 |
|  11  |    REL     | 0.636363636364 |       0.2       |
|  12  |  NON-REL   | 0.583333333333 |       0.2       |
|  13  |  NON-REL   | 0.538461538462 |       0.2       |
|  14  |  NON-REL   |      0.5       |       0.2       |
|  15  |  NON-REL   | 0.466666666667 |       0.2       |
|  16  |  NON-REL   |     0.4375     |       0.2       |
|  17  |  NON-REL   | 0.411764705882 |       0.2       |
|  18  |  NON-REL   | 0.388888888889 |       0.2       |
|  19  |    REL     | 0.421052631579 |  0.228571428571 |
|  20  |  NON-REL   |      0.4       |  0.228571428571 |
|  21  |  NON-REL   | 0.380952380952 |  0.228571428571 |
|  22  |  NON-REL   | 0.363636363636 |  0.228571428571 |
|  23  |  NON-REL   | 0.347826086957 |  0.228571428571 |
|  24  |  NON-REL   | 0.333333333333 |  0.228571428571 |
|  25  |  NON-REL   |      0.32      |  0.228571428571 |
|  26  |  NON-REL   | 0.307692307692 |  0.228571428571 |
|  27  |  NON-REL   | 0.296296296296 |  0.228571428571 |
|  28  |  NON-REL   | 0.285714285714 |  0.228571428571 |
|  29  |    REL     | 0.310344827586 |  0.257142857143 |
|  30  |  NON-REL   |      0.3       |  0.257142857143 |
|  31  |  NON-REL   | 0.290322580645 |  0.257142857143 |
|  32  |  NON-REL   |    0.28125     |  0.257142857143 |
|  33  |  NON-REL   | 0.272727272727 |  0.257142857143 |
|  34  |  NON-REL   | 0.264705882353 |  0.257142857143 |
|  35  |    REL     | 0.285714285714 |  0.285714285714 |
|  36  |  NON-REL   | 0.277777777778 |  0.285714285714 |
|  37  |  NON-REL   | 0.27027027027  |  0.285714285714 |
|  38  |  NON-REL   | 0.263157894737 |  0.285714285714 |
|  39  |  NON-REL   | 0.25641025641  |  0.285714285714 |
|  40  |  NON-REL   |      0.25      |  0.285714285714 |
|  41  |  NON-REL   | 0.243902439024 |  0.285714285714 |
|  42  |  NON-REL   | 0.238095238095 |  0.285714285714 |
|  43  |  NON-REL   | 0.232558139535 |  0.285714285714 |
|  44  |  NON-REL   | 0.227272727273 |  0.285714285714 |
|  45  |  NON-REL   | 0.222222222222 |  0.285714285714 |
|  46  |  NON-REL   | 0.217391304348 |  0.285714285714 |
|  47  |  NON-REL   | 0.212765957447 |  0.285714285714 |
|  48  |  NON-REL   | 0.208333333333 |  0.285714285714 |
|  49  |    REL     | 0.224489795918 |  0.314285714286 |
|  50  |  NON-REL   |      0.22      |  0.314285714286 |
|  51  |  NON-REL   | 0.21568627451  |  0.314285714286 |
|  52  |  NON-REL   | 0.211538461538 |  0.314285714286 |
|  53  |  NON-REL   | 0.207547169811 |  0.314285714286 |
|  54  |  NON-REL   | 0.203703703704 |  0.314285714286 |
|  55  |  NON-REL   |      0.2       |  0.314285714286 |
|  56  |  NON-REL   | 0.196428571429 |  0.314285714286 |
|  57  |  NON-REL   | 0.19298245614  |  0.314285714286 |
|  58  |  NON-REL   | 0.189655172414 |  0.314285714286 |
|  59  |  NON-REL   | 0.186440677966 |  0.314285714286 |
|  60  |  NON-REL   | 0.183333333333 |  0.314285714286 |
|  61  |  NON-REL   | 0.180327868852 |  0.314285714286 |
|  62  |  NON-REL   | 0.177419354839 |  0.314285714286 |
|  63  |  NON-REL   | 0.174603174603 |  0.314285714286 |
|  64  |  NON-REL   |    0.171875    |  0.314285714286 |
|  65  |  NON-REL   | 0.169230769231 |  0.314285714286 |
|  66  |  NON-REL   | 0.166666666667 |  0.314285714286 |
|  67  |  NON-REL   | 0.164179104478 |  0.314285714286 |
|  68  |  NON-REL   | 0.161764705882 |  0.314285714286 |
|  69  |  NON-REL   | 0.159420289855 |  0.314285714286 |
|  70  |  NON-REL   | 0.157142857143 |  0.314285714286 |
|  71  |  NON-REL   | 0.154929577465 |  0.314285714286 |
|  72  |  NON-REL   | 0.152777777778 |  0.314285714286 |
|  73  |  NON-REL   | 0.150684931507 |  0.314285714286 |
|  74  |  NON-REL   | 0.148648648649 |  0.314285714286 |
|  75  |  NON-REL   | 0.146666666667 |  0.314285714286 |
|  76  |  NON-REL   | 0.144736842105 |  0.314285714286 |
|  77  |  NON-REL   | 0.142857142857 |  0.314285714286 |
