query_11: tl high level languages
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0526315789474 |
|  2   |    REL     |       1.0       |  0.105263157895 |
|  3   |  NON-REL   |  0.666666666667 |  0.105263157895 |
|  4   |    REL     |       0.75      |  0.157894736842 |
|  5   |  NON-REL   |       0.6       |  0.157894736842 |
|  6   |  NON-REL   |       0.5       |  0.157894736842 |
|  7   |    REL     |  0.571428571429 |  0.210526315789 |
|  8   |  NON-REL   |       0.5       |  0.210526315789 |
|  9   |  NON-REL   |  0.444444444444 |  0.210526315789 |
|  10  |    REL     |       0.5       |  0.263157894737 |
|  11  |    REL     |  0.545454545455 |  0.315789473684 |
|  12  |  NON-REL   |       0.5       |  0.315789473684 |
|  13  |    REL     |  0.538461538462 |  0.368421052632 |
|  14  |  NON-REL   |       0.5       |  0.368421052632 |
|  15  |  NON-REL   |  0.466666666667 |  0.368421052632 |
|  16  |  NON-REL   |      0.4375     |  0.368421052632 |
|  17  |  NON-REL   |  0.411764705882 |  0.368421052632 |
|  18  |  NON-REL   |  0.388888888889 |  0.368421052632 |
|  19  |  NON-REL   |  0.368421052632 |  0.368421052632 |
|  20  |  NON-REL   |       0.35      |  0.368421052632 |
|  21  |    REL     |  0.380952380952 |  0.421052631579 |
|  22  |  NON-REL   |  0.363636363636 |  0.421052631579 |
|  23  |  NON-REL   |  0.347826086957 |  0.421052631579 |
|  24  |  NON-REL   |  0.333333333333 |  0.421052631579 |
|  25  |  NON-REL   |       0.32      |  0.421052631579 |
|  26  |  NON-REL   |  0.307692307692 |  0.421052631579 |
|  27  |  NON-REL   |  0.296296296296 |  0.421052631579 |
|  28  |  NON-REL   |  0.285714285714 |  0.421052631579 |
|  29  |  NON-REL   |  0.275862068966 |  0.421052631579 |
|  30  |  NON-REL   |  0.266666666667 |  0.421052631579 |
|  31  |  NON-REL   |  0.258064516129 |  0.421052631579 |
|  32  |  NON-REL   |       0.25      |  0.421052631579 |
|  33  |  NON-REL   |  0.242424242424 |  0.421052631579 |
|  34  |  NON-REL   |  0.235294117647 |  0.421052631579 |
|  35  |  NON-REL   |  0.228571428571 |  0.421052631579 |
|  36  |  NON-REL   |  0.222222222222 |  0.421052631579 |
|  37  |  NON-REL   |  0.216216216216 |  0.421052631579 |
|  38  |  NON-REL   |  0.210526315789 |  0.421052631579 |
|  39  |  NON-REL   |  0.205128205128 |  0.421052631579 |
|  40  |  NON-REL   |       0.2       |  0.421052631579 |
|  41  |  NON-REL   |  0.19512195122  |  0.421052631579 |
|  42  |  NON-REL   |  0.190476190476 |  0.421052631579 |
|  43  |  NON-REL   |  0.186046511628 |  0.421052631579 |
|  44  |  NON-REL   |  0.181818181818 |  0.421052631579 |
|  45  |  NON-REL   |  0.177777777778 |  0.421052631579 |
|  46  |  NON-REL   |  0.173913043478 |  0.421052631579 |
|  47  |  NON-REL   |  0.170212765957 |  0.421052631579 |
|  48  |  NON-REL   |  0.166666666667 |  0.421052631579 |
|  49  |  NON-REL   |  0.163265306122 |  0.421052631579 |
|  50  |  NON-REL   |       0.16      |  0.421052631579 |
|  51  |  NON-REL   |  0.156862745098 |  0.421052631579 |
|  52  |  NON-REL   |  0.153846153846 |  0.421052631579 |
|  53  |  NON-REL   |  0.150943396226 |  0.421052631579 |
|  54  |  NON-REL   |  0.148148148148 |  0.421052631579 |
|  55  |  NON-REL   |  0.145454545455 |  0.421052631579 |
|  56  |  NON-REL   |  0.142857142857 |  0.421052631579 |
|  57  |  NON-REL   |  0.140350877193 |  0.421052631579 |
|  58  |  NON-REL   |  0.137931034483 |  0.421052631579 |
|  59  |  NON-REL   |  0.135593220339 |  0.421052631579 |
|  60  |  NON-REL   |  0.133333333333 |  0.421052631579 |
|  61  |  NON-REL   |  0.131147540984 |  0.421052631579 |
|  62  |  NON-REL   |  0.129032258065 |  0.421052631579 |
|  63  |  NON-REL   |  0.126984126984 |  0.421052631579 |
|  64  |  NON-REL   |      0.125      |  0.421052631579 |
|  65  |  NON-REL   |  0.123076923077 |  0.421052631579 |
|  66  |  NON-REL   |  0.121212121212 |  0.421052631579 |
|  67  |  NON-REL   |  0.119402985075 |  0.421052631579 |
|  68  |  NON-REL   |  0.117647058824 |  0.421052631579 |
|  69  |  NON-REL   |  0.115942028986 |  0.421052631579 |
|  70  |  NON-REL   |  0.114285714286 |  0.421052631579 |
