query_12: rtable operating systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |  NON-REL   |       0.0       |  0.0   |
|  25  |  NON-REL   |       0.0       |  0.0   |
|  26  |  NON-REL   |       0.0       |  0.0   |
|  27  |  NON-REL   |       0.0       |  0.0   |
|  28  |  NON-REL   |       0.0       |  0.0   |
|  29  |  NON-REL   |       0.0       |  0.0   |
|  30  |  NON-REL   |       0.0       |  0.0   |
|  31  |  NON-REL   |       0.0       |  0.0   |
|  32  |  NON-REL   |       0.0       |  0.0   |
|  33  |  NON-REL   |       0.0       |  0.0   |
|  34  |  NON-REL   |       0.0       |  0.0   |
|  35  |  NON-REL   |       0.0       |  0.0   |
|  36  |  NON-REL   |       0.0       |  0.0   |
|  37  |  NON-REL   |       0.0       |  0.0   |
|  38  |  NON-REL   |       0.0       |  0.0   |
|  39  |  NON-REL   |       0.0       |  0.0   |
|  40  |  NON-REL   |       0.0       |  0.0   |
|  41  |  NON-REL   |       0.0       |  0.0   |
|  42  |  NON-REL   |       0.0       |  0.0   |
|  43  |  NON-REL   |       0.0       |  0.0   |
|  44  |  NON-REL   |       0.0       |  0.0   |
|  45  |  NON-REL   |       0.0       |  0.0   |
|  46  |  NON-REL   |       0.0       |  0.0   |
|  47  |  NON-REL   |       0.0       |  0.0   |
|  48  |  NON-REL   |       0.0       |  0.0   |
|  49  |  NON-REL   |       0.0       |  0.0   |
|  50  |  NON-REL   |       0.0       |  0.0   |
|  51  |  NON-REL   |       0.0       |  0.0   |
|  52  |  NON-REL   |       0.0       |  0.0   |
|  53  |  NON-REL   |       0.0       |  0.0   |
|  54  |  NON-REL   |       0.0       |  0.0   |
|  55  |  NON-REL   |       0.0       |  0.0   |
|  56  |  NON-REL   |       0.0       |  0.0   |
|  57  |  NON-REL   |       0.0       |  0.0   |
|  58  |  NON-REL   |       0.0       |  0.0   |
|  59  |  NON-REL   |       0.0       |  0.0   |
|  60  |  NON-REL   |       0.0       |  0.0   |
|  61  |  NON-REL   |       0.0       |  0.0   |
|  62  |  NON-REL   |       0.0       |  0.0   |
|  63  |  NON-REL   |       0.0       |  0.0   |
|  64  |  NON-REL   |       0.0       |  0.0   |
|  65  |  NON-REL   |       0.0       |  0.0   |
|  66  |  NON-REL   |       0.0       |  0.0   |
|  67  |  NON-REL   |       0.0       |  0.0   |
|  68  |  NON-REL   |       0.0       |  0.0   |
|  69  |  NON-REL   |       0.0       |  0.0   |
|  70  |  NON-REL   |       0.0       |  0.0   |
|  71  |  NON-REL   |       0.0       |  0.0   |
|  72  |  NON-REL   |       0.0       |  0.0   |
|  73  |  NON-REL   |       0.0       |  0.0   |
|  74  |  NON-REL   |       0.0       |  0.0   |
|  75  |  NON-REL   |       0.0       |  0.0   |
|  76  |    REL     | 0.0131578947368 |  0.2   |
|  77  |  NON-REL   |  0.012987012987 |  0.2   |
|  78  |    REL     |  0.025641025641 |  0.4   |
|  79  |    REL     | 0.0379746835443 |  0.6   |
|  80  |  NON-REL   |      0.0375     |  0.6   |
|  81  |  NON-REL   |  0.037037037037 |  0.6   |
|  82  |  NON-REL   | 0.0365853658537 |  0.6   |
|  83  |  NON-REL   | 0.0361445783133 |  0.6   |
|  84  |  NON-REL   | 0.0357142857143 |  0.6   |
|  85  |  NON-REL   | 0.0352941176471 |  0.6   |
|  86  |  NON-REL   | 0.0348837209302 |  0.6   |
|  87  |  NON-REL   | 0.0344827586207 |  0.6   |
|  88  |  NON-REL   | 0.0340909090909 |  0.6   |
|  89  |  NON-REL   | 0.0337078651685 |  0.6   |
|  90  |  NON-REL   | 0.0333333333333 |  0.6   |
|  91  |  NON-REL   |  0.032967032967 |  0.6   |
|  92  |  NON-REL   | 0.0326086956522 |  0.6   |
|  93  |  NON-REL   | 0.0322580645161 |  0.6   |
|  94  |  NON-REL   |  0.031914893617 |  0.6   |
|  95  |  NON-REL   | 0.0315789473684 |  0.6   |
|  96  |  NON-REL   |     0.03125     |  0.6   |
|  97  |  NON-REL   | 0.0309278350515 |  0.6   |
|  98  |  NON-REL   |  0.030612244898 |  0.6   |
|  99  |  NON-REL   |  0.030303030303 |  0.6   |
| 100  |  NON-REL   |       0.03      |  0.6   |
+------+------------+-----------------+--------+
