query_15: nd discussions horizontal microcode optimization special emphasis optimization loops global optimization
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |    REL     |  0.142857142857 |  0.1   |
|  8   |  NON-REL   |      0.125      |  0.1   |
|  9   |  NON-REL   |  0.111111111111 |  0.1   |
|  10  |  NON-REL   |       0.1       |  0.1   |
|  11  |  NON-REL   | 0.0909090909091 |  0.1   |
|  12  |  NON-REL   | 0.0833333333333 |  0.1   |
|  13  |  NON-REL   | 0.0769230769231 |  0.1   |
|  14  |  NON-REL   | 0.0714285714286 |  0.1   |
|  15  |  NON-REL   | 0.0666666666667 |  0.1   |
|  16  |  NON-REL   |      0.0625     |  0.1   |
|  17  |  NON-REL   | 0.0588235294118 |  0.1   |
|  18  |  NON-REL   | 0.0555555555556 |  0.1   |
|  19  |    REL     |  0.105263157895 |  0.2   |
|  20  |  NON-REL   |       0.1       |  0.2   |
|  21  |  NON-REL   | 0.0952380952381 |  0.2   |
|  22  |  NON-REL   | 0.0909090909091 |  0.2   |
|  23  |    REL     |  0.130434782609 |  0.3   |
|  24  |  NON-REL   |      0.125      |  0.3   |
|  25  |  NON-REL   |       0.12      |  0.3   |
|  26  |  NON-REL   |  0.115384615385 |  0.3   |
|  27  |  NON-REL   |  0.111111111111 |  0.3   |
|  28  |  NON-REL   |  0.107142857143 |  0.3   |
|  29  |  NON-REL   |  0.103448275862 |  0.3   |
|  30  |  NON-REL   |       0.1       |  0.3   |
|  31  |  NON-REL   | 0.0967741935484 |  0.3   |
|  32  |  NON-REL   |     0.09375     |  0.3   |
|  33  |  NON-REL   | 0.0909090909091 |  0.3   |
|  34  |  NON-REL   | 0.0882352941176 |  0.3   |
|  35  |  NON-REL   | 0.0857142857143 |  0.3   |
|  36  |  NON-REL   | 0.0833333333333 |  0.3   |
|  37  |  NON-REL   | 0.0810810810811 |  0.3   |
|  38  |  NON-REL   | 0.0789473684211 |  0.3   |
|  39  |  NON-REL   | 0.0769230769231 |  0.3   |
|  40  |  NON-REL   |      0.075      |  0.3   |
|  41  |  NON-REL   | 0.0731707317073 |  0.3   |
|  42  |  NON-REL   | 0.0714285714286 |  0.3   |
|  43  |  NON-REL   | 0.0697674418605 |  0.3   |
|  44  |  NON-REL   | 0.0681818181818 |  0.3   |
|  45  |  NON-REL   | 0.0666666666667 |  0.3   |
|  46  |  NON-REL   | 0.0652173913043 |  0.3   |
|  47  |  NON-REL   |  0.063829787234 |  0.3   |
|  48  |    REL     | 0.0833333333333 |  0.4   |
|  49  |  NON-REL   | 0.0816326530612 |  0.4   |
|  50  |  NON-REL   |       0.08      |  0.4   |
|  51  |  NON-REL   |  0.078431372549 |  0.4   |
|  52  |  NON-REL   | 0.0769230769231 |  0.4   |
|  53  |  NON-REL   | 0.0754716981132 |  0.4   |
|  54  |  NON-REL   | 0.0740740740741 |  0.4   |
|  55  |  NON-REL   | 0.0727272727273 |  0.4   |
|  56  |  NON-REL   | 0.0714285714286 |  0.4   |
|  57  |  NON-REL   | 0.0701754385965 |  0.4   |
|  58  |  NON-REL   | 0.0689655172414 |  0.4   |
|  59  |  NON-REL   | 0.0677966101695 |  0.4   |
|  60  |  NON-REL   | 0.0666666666667 |  0.4   |
|  61  |  NON-REL   | 0.0655737704918 |  0.4   |
|  62  |  NON-REL   | 0.0645161290323 |  0.4   |
|  63  |  NON-REL   | 0.0634920634921 |  0.4   |
|  64  |  NON-REL   |      0.0625     |  0.4   |
|  65  |  NON-REL   | 0.0615384615385 |  0.4   |
|  66  |  NON-REL   | 0.0606060606061 |  0.4   |
|  67  |  NON-REL   | 0.0597014925373 |  0.4   |
|  68  |  NON-REL   | 0.0588235294118 |  0.4   |
|  69  |  NON-REL   | 0.0579710144928 |  0.4   |
|  70  |  NON-REL   | 0.0571428571429 |  0.4   |
|  71  |  NON-REL   |  0.056338028169 |  0.4   |
|  72  |  NON-REL   | 0.0555555555556 |  0.4   |
|  73  |    REL     | 0.0684931506849 |  0.5   |
|  74  |  NON-REL   | 0.0675675675676 |  0.5   |
|  75  |  NON-REL   | 0.0666666666667 |  0.5   |
|  76  |  NON-REL   | 0.0657894736842 |  0.5   |
|  77  |  NON-REL   | 0.0649350649351 |  0.5   |
|  78  |  NON-REL   | 0.0641025641026 |  0.5   |
|  79  |  NON-REL   | 0.0632911392405 |  0.5   |
|  80  |  NON-REL   |      0.0625     |  0.5   |
|  81  |  NON-REL   | 0.0617283950617 |  0.5   |
|  82  |  NON-REL   | 0.0609756097561 |  0.5   |
|  83  |  NON-REL   | 0.0602409638554 |  0.5   |
|  84  |  NON-REL   | 0.0595238095238 |  0.5   |
|  85  |  NON-REL   | 0.0588235294118 |  0.5   |
|  86  |  NON-REL   | 0.0581395348837 |  0.5   |
|  87  |  NON-REL   | 0.0574712643678 |  0.5   |
|  88  |  NON-REL   | 0.0568181818182 |  0.5   |
|  89  |  NON-REL   | 0.0561797752809 |  0.5   |
|  90  |  NON-REL   | 0.0555555555556 |  0.5   |
|  91  |  NON-REL   | 0.0549450549451 |  0.5   |
|  92  |  NON-REL   |  0.054347826087 |  0.5   |
|  93  |  NON-REL   | 0.0537634408602 |  0.5   |
|  94  |  NON-REL   | 0.0531914893617 |  0.5   |
|  95  |  NON-REL   | 0.0526315789474 |  0.5   |
|  96  |  NON-REL   | 0.0520833333333 |  0.5   |
|  97  |  NON-REL   | 0.0515463917526 |  0.5   |
|  98  |  NON-REL   | 0.0510204081633 |  0.5   |
|  99  |    REL     | 0.0606060606061 |  0.6   |
| 100  |  NON-REL   |       0.06      |  0.6   |
+------+------------+-----------------+--------+
