query_16: nd descriptions handling operating systems based multiple processes message passing
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |    REL     |       0.2       | 0.0588235294118 |
|  6   |  NON-REL   |  0.166666666667 | 0.0588235294118 |
|  7   |  NON-REL   |  0.142857142857 | 0.0588235294118 |
|  8   |  NON-REL   |      0.125      | 0.0588235294118 |
|  9   |  NON-REL   |  0.111111111111 | 0.0588235294118 |
|  10  |  NON-REL   |       0.1       | 0.0588235294118 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0588235294118 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0588235294118 |
|  13  |    REL     |  0.153846153846 |  0.117647058824 |
|  14  |  NON-REL   |  0.142857142857 |  0.117647058824 |
|  15  |  NON-REL   |  0.133333333333 |  0.117647058824 |
|  16  |  NON-REL   |      0.125      |  0.117647058824 |
|  17  |    REL     |  0.176470588235 |  0.176470588235 |
|  18  |  NON-REL   |  0.166666666667 |  0.176470588235 |
|  19  |  NON-REL   |  0.157894736842 |  0.176470588235 |
|  20  |  NON-REL   |       0.15      |  0.176470588235 |
|  21  |  NON-REL   |  0.142857142857 |  0.176470588235 |
|  22  |  NON-REL   |  0.136363636364 |  0.176470588235 |
|  23  |  NON-REL   |  0.130434782609 |  0.176470588235 |
|  24  |  NON-REL   |      0.125      |  0.176470588235 |
|  25  |  NON-REL   |       0.12      |  0.176470588235 |
|  26  |  NON-REL   |  0.115384615385 |  0.176470588235 |
|  27  |  NON-REL   |  0.111111111111 |  0.176470588235 |
|  28  |  NON-REL   |  0.107142857143 |  0.176470588235 |
|  29  |  NON-REL   |  0.103448275862 |  0.176470588235 |
|  30  |  NON-REL   |       0.1       |  0.176470588235 |
|  31  |  NON-REL   | 0.0967741935484 |  0.176470588235 |
|  32  |  NON-REL   |     0.09375     |  0.176470588235 |
|  33  |  NON-REL   | 0.0909090909091 |  0.176470588235 |
|  34  |  NON-REL   | 0.0882352941176 |  0.176470588235 |
|  35  |  NON-REL   | 0.0857142857143 |  0.176470588235 |
|  36  |  NON-REL   | 0.0833333333333 |  0.176470588235 |
|  37  |  NON-REL   | 0.0810810810811 |  0.176470588235 |
|  38  |  NON-REL   | 0.0789473684211 |  0.176470588235 |
|  39  |  NON-REL   | 0.0769230769231 |  0.176470588235 |
|  40  |  NON-REL   |      0.075      |  0.176470588235 |
|  41  |  NON-REL   | 0.0731707317073 |  0.176470588235 |
|  42  |  NON-REL   | 0.0714285714286 |  0.176470588235 |
|  43  |  NON-REL   | 0.0697674418605 |  0.176470588235 |
|  44  |  NON-REL   | 0.0681818181818 |  0.176470588235 |
|  45  |  NON-REL   | 0.0666666666667 |  0.176470588235 |
|  46  |  NON-REL   | 0.0652173913043 |  0.176470588235 |
|  47  |  NON-REL   |  0.063829787234 |  0.176470588235 |
|  48  |    REL     | 0.0833333333333 |  0.235294117647 |
|  49  |  NON-REL   | 0.0816326530612 |  0.235294117647 |
|  50  |  NON-REL   |       0.08      |  0.235294117647 |
|  51  |    REL     | 0.0980392156863 |  0.294117647059 |
|  52  |  NON-REL   | 0.0961538461538 |  0.294117647059 |
|  53  |  NON-REL   | 0.0943396226415 |  0.294117647059 |
|  54  |  NON-REL   | 0.0925925925926 |  0.294117647059 |
|  55  |  NON-REL   | 0.0909090909091 |  0.294117647059 |
|  56  |  NON-REL   | 0.0892857142857 |  0.294117647059 |
|  57  |  NON-REL   | 0.0877192982456 |  0.294117647059 |
|  58  |  NON-REL   | 0.0862068965517 |  0.294117647059 |
|  59  |  NON-REL   | 0.0847457627119 |  0.294117647059 |
|  60  |  NON-REL   | 0.0833333333333 |  0.294117647059 |
|  61  |  NON-REL   | 0.0819672131148 |  0.294117647059 |
|  62  |  NON-REL   | 0.0806451612903 |  0.294117647059 |
|  63  |  NON-REL   | 0.0793650793651 |  0.294117647059 |
|  64  |  NON-REL   |     0.078125    |  0.294117647059 |
|  65  |  NON-REL   | 0.0769230769231 |  0.294117647059 |
|  66  |  NON-REL   | 0.0757575757576 |  0.294117647059 |
|  67  |  NON-REL   | 0.0746268656716 |  0.294117647059 |
|  68  |  NON-REL   | 0.0735294117647 |  0.294117647059 |
|  69  |  NON-REL   | 0.0724637681159 |  0.294117647059 |
|  70  |  NON-REL   | 0.0714285714286 |  0.294117647059 |
|  71  |  NON-REL   | 0.0704225352113 |  0.294117647059 |
|  72  |  NON-REL   | 0.0694444444444 |  0.294117647059 |
|  73  |  NON-REL   | 0.0684931506849 |  0.294117647059 |
|  74  |  NON-REL   | 0.0675675675676 |  0.294117647059 |
|  75  |  NON-REL   | 0.0666666666667 |  0.294117647059 |
|  76  |  NON-REL   | 0.0657894736842 |  0.294117647059 |
|  77  |  NON-REL   | 0.0649350649351 |  0.294117647059 |
|  78  |  NON-REL   | 0.0641025641026 |  0.294117647059 |
|  79  |  NON-REL   | 0.0632911392405 |  0.294117647059 |
|  80  |  NON-REL   |      0.0625     |  0.294117647059 |
|  81  |  NON-REL   | 0.0617283950617 |  0.294117647059 |
|  82  |  NON-REL   | 0.0609756097561 |  0.294117647059 |
|  83  |  NON-REL   | 0.0602409638554 |  0.294117647059 |
|  84  |  NON-REL   | 0.0595238095238 |  0.294117647059 |
|  85  |  NON-REL   | 0.0588235294118 |  0.294117647059 |
|  86  |  NON-REL   | 0.0581395348837 |  0.294117647059 |
|  87  |  NON-REL   | 0.0574712643678 |  0.294117647059 |
|  88  |  NON-REL   | 0.0568181818182 |  0.294117647059 |
|  89  |  NON-REL   | 0.0561797752809 |  0.294117647059 |
|  90  |  NON-REL   | 0.0555555555556 |  0.294117647059 |
|  91  |  NON-REL   | 0.0549450549451 |  0.294117647059 |
|  92  |  NON-REL   |  0.054347826087 |  0.294117647059 |
|  93  |  NON-REL   | 0.0537634408602 |  0.294117647059 |
|  94  |  NON-REL   | 0.0531914893617 |  0.294117647059 |
|  95  |  NON-REL   | 0.0526315789474 |  0.294117647059 |
|  96  |  NON-REL   | 0.0520833333333 |  0.294117647059 |
|  97  |  NON-REL   | 0.0515463917526 |  0.294117647059 |
|  98  |  NON-REL   | 0.0510204081633 |  0.294117647059 |
|  99  |  NON-REL   | 0.0505050505051 |  0.294117647059 |
| 100  |  NON-REL   |       0.05      |  0.294117647059 |
+------+------------+-----------------+-----------------+
