query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |    REL     | 0.0833333333333 | 0.0625 |
|  13  |    REL     |  0.153846153846 | 0.125  |
|  14  |  NON-REL   |  0.142857142857 | 0.125  |
|  15  |  NON-REL   |  0.133333333333 | 0.125  |
|  16  |  NON-REL   |      0.125      | 0.125  |
|  17  |  NON-REL   |  0.117647058824 | 0.125  |
|  18  |  NON-REL   |  0.111111111111 | 0.125  |
|  19  |  NON-REL   |  0.105263157895 | 0.125  |
|  20  |    REL     |       0.15      | 0.1875 |
|  21  |  NON-REL   |  0.142857142857 | 0.1875 |
|  22  |  NON-REL   |  0.136363636364 | 0.1875 |
|  23  |  NON-REL   |  0.130434782609 | 0.1875 |
|  24  |  NON-REL   |      0.125      | 0.1875 |
|  25  |  NON-REL   |       0.12      | 0.1875 |
|  26  |  NON-REL   |  0.115384615385 | 0.1875 |
|  27  |  NON-REL   |  0.111111111111 | 0.1875 |
|  28  |    REL     |  0.142857142857 |  0.25  |
|  29  |  NON-REL   |  0.137931034483 |  0.25  |
|  30  |  NON-REL   |  0.133333333333 |  0.25  |
|  31  |  NON-REL   |  0.129032258065 |  0.25  |
|  32  |  NON-REL   |      0.125      |  0.25  |
|  33  |  NON-REL   |  0.121212121212 |  0.25  |
|  34  |  NON-REL   |  0.117647058824 |  0.25  |
|  35  |  NON-REL   |  0.114285714286 |  0.25  |
|  36  |  NON-REL   |  0.111111111111 |  0.25  |
|  37  |    REL     |  0.135135135135 | 0.3125 |
|  38  |  NON-REL   |  0.131578947368 | 0.3125 |
|  39  |  NON-REL   |  0.128205128205 | 0.3125 |
|  40  |  NON-REL   |      0.125      | 0.3125 |
|  41  |  NON-REL   |  0.121951219512 | 0.3125 |
|  42  |  NON-REL   |  0.119047619048 | 0.3125 |
|  43  |  NON-REL   |  0.116279069767 | 0.3125 |
|  44  |  NON-REL   |  0.113636363636 | 0.3125 |
|  45  |  NON-REL   |  0.111111111111 | 0.3125 |
|  46  |  NON-REL   |  0.108695652174 | 0.3125 |
|  47  |  NON-REL   |  0.106382978723 | 0.3125 |
|  48  |  NON-REL   |  0.104166666667 | 0.3125 |
|  49  |  NON-REL   |  0.102040816327 | 0.3125 |
|  50  |  NON-REL   |       0.1       | 0.3125 |
|  51  |  NON-REL   | 0.0980392156863 | 0.3125 |
|  52  |  NON-REL   | 0.0961538461538 | 0.3125 |
|  53  |  NON-REL   | 0.0943396226415 | 0.3125 |
|  54  |  NON-REL   | 0.0925925925926 | 0.3125 |
|  55  |  NON-REL   | 0.0909090909091 | 0.3125 |
|  56  |  NON-REL   | 0.0892857142857 | 0.3125 |
|  57  |  NON-REL   | 0.0877192982456 | 0.3125 |
|  58  |  NON-REL   | 0.0862068965517 | 0.3125 |
|  59  |  NON-REL   | 0.0847457627119 | 0.3125 |
|  60  |  NON-REL   | 0.0833333333333 | 0.3125 |
|  61  |  NON-REL   | 0.0819672131148 | 0.3125 |
|  62  |  NON-REL   | 0.0806451612903 | 0.3125 |
|  63  |  NON-REL   | 0.0793650793651 | 0.3125 |
|  64  |  NON-REL   |     0.078125    | 0.3125 |
|  65  |  NON-REL   | 0.0769230769231 | 0.3125 |
|  66  |  NON-REL   | 0.0757575757576 | 0.3125 |
|  67  |  NON-REL   | 0.0746268656716 | 0.3125 |
|  68  |  NON-REL   | 0.0735294117647 | 0.3125 |
|  69  |  NON-REL   | 0.0724637681159 | 0.3125 |
|  70  |  NON-REL   | 0.0714285714286 | 0.3125 |
|  71  |  NON-REL   | 0.0704225352113 | 0.3125 |
|  72  |  NON-REL   | 0.0694444444444 | 0.3125 |
|  73  |    REL     | 0.0821917808219 | 0.375  |
|  74  |  NON-REL   | 0.0810810810811 | 0.375  |
|  75  |  NON-REL   |       0.08      | 0.375  |
|  76  |  NON-REL   | 0.0789473684211 | 0.375  |
|  77  |  NON-REL   | 0.0779220779221 | 0.375  |
|  78  |  NON-REL   | 0.0769230769231 | 0.375  |
|  79  |  NON-REL   | 0.0759493670886 | 0.375  |
|  80  |  NON-REL   |      0.075      | 0.375  |
|  81  |    REL     | 0.0864197530864 | 0.4375 |
|  82  |  NON-REL   | 0.0853658536585 | 0.4375 |
|  83  |  NON-REL   | 0.0843373493976 | 0.4375 |
|  84  |  NON-REL   | 0.0833333333333 | 0.4375 |
|  85  |  NON-REL   | 0.0823529411765 | 0.4375 |
|  86  |  NON-REL   | 0.0813953488372 | 0.4375 |
|  87  |  NON-REL   | 0.0804597701149 | 0.4375 |
|  88  |  NON-REL   | 0.0795454545455 | 0.4375 |
|  89  |  NON-REL   | 0.0786516853933 | 0.4375 |
|  90  |  NON-REL   | 0.0777777777778 | 0.4375 |
|  91  |  NON-REL   | 0.0769230769231 | 0.4375 |
|  92  |  NON-REL   | 0.0760869565217 | 0.4375 |
|  93  |  NON-REL   | 0.0752688172043 | 0.4375 |
|  94  |  NON-REL   | 0.0744680851064 | 0.4375 |
|  95  |  NON-REL   | 0.0736842105263 | 0.4375 |
|  96  |  NON-REL   | 0.0729166666667 | 0.4375 |
|  97  |  NON-REL   | 0.0721649484536 | 0.4375 |
|  98  |  NON-REL   | 0.0714285714286 | 0.4375 |
|  99  |  NON-REL   | 0.0707070707071 | 0.4375 |
| 100  |  NON-REL   |       0.07      | 0.4375 |
+------+------------+-----------------+--------+
