query_26: ncurrency control mechanisms operating systems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0333333333333 |
|  2   |  NON-REL   |      0.5       | 0.0333333333333 |
|  3   |  NON-REL   | 0.333333333333 | 0.0333333333333 |
|  4   |  NON-REL   |      0.25      | 0.0333333333333 |
|  5   |    REL     |      0.4       | 0.0666666666667 |
|  6   |  NON-REL   | 0.333333333333 | 0.0666666666667 |
|  7   |  NON-REL   | 0.285714285714 | 0.0666666666667 |
|  8   |    REL     |     0.375      |       0.1       |
|  9   |  NON-REL   | 0.333333333333 |       0.1       |
|  10  |  NON-REL   |      0.3       |       0.1       |
|  11  |  NON-REL   | 0.272727272727 |       0.1       |
|  12  |  NON-REL   |      0.25      |       0.1       |
|  13  |    REL     | 0.307692307692 |  0.133333333333 |
|  14  |  NON-REL   | 0.285714285714 |  0.133333333333 |
|  15  |  NON-REL   | 0.266666666667 |  0.133333333333 |
|  16  |    REL     |     0.3125     |  0.166666666667 |
|  17  |  NON-REL   | 0.294117647059 |  0.166666666667 |
|  18  |    REL     | 0.333333333333 |       0.2       |
|  19  |  NON-REL   | 0.315789473684 |       0.2       |
|  20  |  NON-REL   |      0.3       |       0.2       |
|  21  |  NON-REL   | 0.285714285714 |       0.2       |
|  22  |    REL     | 0.318181818182 |  0.233333333333 |
|  23  |  NON-REL   | 0.304347826087 |  0.233333333333 |
|  24  |  NON-REL   | 0.291666666667 |  0.233333333333 |
|  25  |  NON-REL   |      0.28      |  0.233333333333 |
|  26  |  NON-REL   | 0.269230769231 |  0.233333333333 |
|  27  |  NON-REL   | 0.259259259259 |  0.233333333333 |
|  28  |    REL     | 0.285714285714 |  0.266666666667 |
|  29  |    REL     | 0.310344827586 |       0.3       |
|  30  |  NON-REL   |      0.3       |       0.3       |
|  31  |  NON-REL   | 0.290322580645 |       0.3       |
|  32  |    REL     |     0.3125     |  0.333333333333 |
|  33  |  NON-REL   | 0.30303030303  |  0.333333333333 |
|  34  |  NON-REL   | 0.294117647059 |  0.333333333333 |
|  35  |    REL     | 0.314285714286 |  0.366666666667 |
|  36  |  NON-REL   | 0.305555555556 |  0.366666666667 |
|  37  |  NON-REL   | 0.297297297297 |  0.366666666667 |
|  38  |  NON-REL   | 0.289473684211 |  0.366666666667 |
|  39  |  NON-REL   | 0.282051282051 |  0.366666666667 |
|  40  |  NON-REL   |     0.275      |  0.366666666667 |
|  41  |  NON-REL   | 0.268292682927 |  0.366666666667 |
|  42  |  NON-REL   | 0.261904761905 |  0.366666666667 |
|  43  |  NON-REL   | 0.255813953488 |  0.366666666667 |
|  44  |  NON-REL   |      0.25      |  0.366666666667 |
|  45  |  NON-REL   | 0.244444444444 |  0.366666666667 |
|  46  |    REL     | 0.260869565217 |       0.4       |
|  47  |    REL     | 0.276595744681 |  0.433333333333 |
|  48  |  NON-REL   | 0.270833333333 |  0.433333333333 |
|  49  |  NON-REL   | 0.265306122449 |  0.433333333333 |
|  50  |  NON-REL   |      0.26      |  0.433333333333 |
|  51  |  NON-REL   | 0.254901960784 |  0.433333333333 |
|  52  |    REL     | 0.269230769231 |  0.466666666667 |
|  53  |  NON-REL   | 0.264150943396 |  0.466666666667 |
|  54  |  NON-REL   | 0.259259259259 |  0.466666666667 |
|  55  |    REL     | 0.272727272727 |       0.5       |
|  56  |    REL     | 0.285714285714 |  0.533333333333 |
|  57  |  NON-REL   | 0.280701754386 |  0.533333333333 |
|  58  |  NON-REL   | 0.275862068966 |  0.533333333333 |
|  59  |  NON-REL   | 0.271186440678 |  0.533333333333 |
|  60  |  NON-REL   | 0.266666666667 |  0.533333333333 |
|  61  |  NON-REL   | 0.262295081967 |  0.533333333333 |
|  62  |  NON-REL   | 0.258064516129 |  0.533333333333 |
|  63  |  NON-REL   | 0.253968253968 |  0.533333333333 |
|  64  |  NON-REL   |      0.25      |  0.533333333333 |
|  65  |  NON-REL   | 0.246153846154 |  0.533333333333 |
|  66  |  NON-REL   | 0.242424242424 |  0.533333333333 |
|  67  |  NON-REL   | 0.238805970149 |  0.533333333333 |
|  68  |  NON-REL   | 0.235294117647 |  0.533333333333 |
|  69  |  NON-REL   | 0.231884057971 |  0.533333333333 |
|  70  |  NON-REL   | 0.228571428571 |  0.533333333333 |
|  71  |  NON-REL   | 0.225352112676 |  0.533333333333 |
|  72  |  NON-REL   | 0.222222222222 |  0.533333333333 |
|  73  |  NON-REL   | 0.219178082192 |  0.533333333333 |
|  74  |  NON-REL   | 0.216216216216 |  0.533333333333 |
|  75  |  NON-REL   | 0.213333333333 |  0.533333333333 |
|  76  |  NON-REL   | 0.210526315789 |  0.533333333333 |
|  77  |  NON-REL   | 0.207792207792 |  0.533333333333 |
|  78  |  NON-REL   | 0.205128205128 |  0.533333333333 |
|  79  |  NON-REL   | 0.20253164557  |  0.533333333333 |
|  80  |  NON-REL   |      0.2       |  0.533333333333 |
|  81  |  NON-REL   | 0.197530864198 |  0.533333333333 |
|  82  |  NON-REL   | 0.19512195122  |  0.533333333333 |
|  83  |  NON-REL   | 0.192771084337 |  0.533333333333 |
|  84  |    REL     | 0.202380952381 |  0.566666666667 |
|  85  |  NON-REL   |      0.2       |  0.566666666667 |
|  86  |  NON-REL   | 0.197674418605 |  0.566666666667 |
|  87  |  NON-REL   | 0.195402298851 |  0.566666666667 |
|  88  |  NON-REL   | 0.193181818182 |  0.566666666667 |
|  89  |  NON-REL   | 0.191011235955 |  0.566666666667 |
|  90  |  NON-REL   | 0.188888888889 |  0.566666666667 |
|  91  |  NON-REL   | 0.186813186813 |  0.566666666667 |
|  92  |  NON-REL   | 0.184782608696 |  0.566666666667 |
|  93  |  NON-REL   | 0.182795698925 |  0.566666666667 |
|  94  |  NON-REL   | 0.18085106383  |  0.566666666667 |
|  95  |  NON-REL   | 0.178947368421 |  0.566666666667 |
|  96  |  NON-REL   | 0.177083333333 |  0.566666666667 |
|  97  |  NON-REL   | 0.175257731959 |  0.566666666667 |
|  98  |  NON-REL   | 0.173469387755 |  0.566666666667 |
|  99  |  NON-REL   | 0.171717171717 |  0.566666666667 |
| 100  |  NON-REL   |      0.17      |  0.566666666667 |
+------+------------+----------------+-----------------+
