query_27: mory management aspects operating systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |    REL     | 0.0588235294118 | 0.0344827586207 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0344827586207 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0344827586207 |
|  20  |  NON-REL   |       0.05      | 0.0344827586207 |
|  21  |  NON-REL   |  0.047619047619 | 0.0344827586207 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0344827586207 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0344827586207 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0344827586207 |
|  25  |  NON-REL   |       0.04      | 0.0344827586207 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0344827586207 |
|  27  |  NON-REL   |  0.037037037037 | 0.0344827586207 |
|  28  |    REL     | 0.0714285714286 | 0.0689655172414 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0689655172414 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0689655172414 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0689655172414 |
|  32  |  NON-REL   |      0.0625     | 0.0689655172414 |
|  33  |  NON-REL   | 0.0606060606061 | 0.0689655172414 |
|  34  |  NON-REL   | 0.0588235294118 | 0.0689655172414 |
|  35  |    REL     | 0.0857142857143 |  0.103448275862 |
|  36  |  NON-REL   | 0.0833333333333 |  0.103448275862 |
|  37  |  NON-REL   | 0.0810810810811 |  0.103448275862 |
|  38  |  NON-REL   | 0.0789473684211 |  0.103448275862 |
|  39  |  NON-REL   | 0.0769230769231 |  0.103448275862 |
|  40  |  NON-REL   |      0.075      |  0.103448275862 |
|  41  |  NON-REL   | 0.0731707317073 |  0.103448275862 |
|  42  |  NON-REL   | 0.0714285714286 |  0.103448275862 |
|  43  |  NON-REL   | 0.0697674418605 |  0.103448275862 |
|  44  |  NON-REL   | 0.0681818181818 |  0.103448275862 |
|  45  |  NON-REL   | 0.0666666666667 |  0.103448275862 |
|  46  |  NON-REL   | 0.0652173913043 |  0.103448275862 |
|  47  |  NON-REL   |  0.063829787234 |  0.103448275862 |
|  48  |  NON-REL   |      0.0625     |  0.103448275862 |
|  49  |  NON-REL   | 0.0612244897959 |  0.103448275862 |
|  50  |  NON-REL   |       0.06      |  0.103448275862 |
|  51  |  NON-REL   | 0.0588235294118 |  0.103448275862 |
|  52  |  NON-REL   | 0.0576923076923 |  0.103448275862 |
|  53  |  NON-REL   | 0.0566037735849 |  0.103448275862 |
|  54  |  NON-REL   | 0.0555555555556 |  0.103448275862 |
|  55  |  NON-REL   | 0.0545454545455 |  0.103448275862 |
|  56  |  NON-REL   | 0.0535714285714 |  0.103448275862 |
|  57  |  NON-REL   | 0.0526315789474 |  0.103448275862 |
|  58  |  NON-REL   |  0.051724137931 |  0.103448275862 |
|  59  |  NON-REL   | 0.0508474576271 |  0.103448275862 |
|  60  |  NON-REL   |       0.05      |  0.103448275862 |
|  61  |  NON-REL   | 0.0491803278689 |  0.103448275862 |
|  62  |  NON-REL   | 0.0483870967742 |  0.103448275862 |
|  63  |  NON-REL   |  0.047619047619 |  0.103448275862 |
|  64  |  NON-REL   |     0.046875    |  0.103448275862 |
|  65  |  NON-REL   | 0.0461538461538 |  0.103448275862 |
|  66  |    REL     | 0.0606060606061 |  0.137931034483 |
|  67  |  NON-REL   | 0.0597014925373 |  0.137931034483 |
|  68  |  NON-REL   | 0.0588235294118 |  0.137931034483 |
|  69  |  NON-REL   | 0.0579710144928 |  0.137931034483 |
|  70  |  NON-REL   | 0.0571428571429 |  0.137931034483 |
|  71  |  NON-REL   |  0.056338028169 |  0.137931034483 |
|  72  |  NON-REL   | 0.0555555555556 |  0.137931034483 |
|  73  |  NON-REL   | 0.0547945205479 |  0.137931034483 |
|  74  |  NON-REL   | 0.0540540540541 |  0.137931034483 |
|  75  |  NON-REL   | 0.0533333333333 |  0.137931034483 |
|  76  |  NON-REL   | 0.0526315789474 |  0.137931034483 |
|  77  |  NON-REL   | 0.0519480519481 |  0.137931034483 |
|  78  |  NON-REL   | 0.0512820512821 |  0.137931034483 |
|  79  |  NON-REL   | 0.0506329113924 |  0.137931034483 |
|  80  |  NON-REL   |       0.05      |  0.137931034483 |
|  81  |  NON-REL   | 0.0493827160494 |  0.137931034483 |
|  82  |    REL     | 0.0609756097561 |  0.172413793103 |
|  83  |  NON-REL   | 0.0602409638554 |  0.172413793103 |
|  84  |  NON-REL   | 0.0595238095238 |  0.172413793103 |
|  85  |  NON-REL   | 0.0588235294118 |  0.172413793103 |
|  86  |  NON-REL   | 0.0581395348837 |  0.172413793103 |
|  87  |  NON-REL   | 0.0574712643678 |  0.172413793103 |
|  88  |  NON-REL   | 0.0568181818182 |  0.172413793103 |
|  89  |  NON-REL   | 0.0561797752809 |  0.172413793103 |
|  90  |  NON-REL   | 0.0555555555556 |  0.172413793103 |
|  91  |    REL     | 0.0659340659341 |  0.206896551724 |
|  92  |  NON-REL   | 0.0652173913043 |  0.206896551724 |
|  93  |  NON-REL   | 0.0645161290323 |  0.206896551724 |
|  94  |  NON-REL   |  0.063829787234 |  0.206896551724 |
|  95  |    REL     | 0.0736842105263 |  0.241379310345 |
|  96  |  NON-REL   | 0.0729166666667 |  0.241379310345 |
|  97  |  NON-REL   | 0.0721649484536 |  0.241379310345 |
|  98  |  NON-REL   | 0.0714285714286 |  0.241379310345 |
|  99  |  NON-REL   | 0.0707070707071 |  0.241379310345 |
| 100  |  NON-REL   |       0.07      |  0.241379310345 |
+------+------------+-----------------+-----------------+
