query_29: mber-theoretic algorithms especially involving prime number series sieves chinese remainder theorem
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |    REL     |       0.25      | 0.0526315789474 |
|  5   |  NON-REL   |       0.2       | 0.0526315789474 |
|  6   |  NON-REL   |  0.166666666667 | 0.0526315789474 |
|  7   |  NON-REL   |  0.142857142857 | 0.0526315789474 |
|  8   |  NON-REL   |      0.125      | 0.0526315789474 |
|  9   |  NON-REL   |  0.111111111111 | 0.0526315789474 |
|  10  |  NON-REL   |       0.1       | 0.0526315789474 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0526315789474 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0526315789474 |
|  13  |    REL     |  0.153846153846 |  0.105263157895 |
|  14  |  NON-REL   |  0.142857142857 |  0.105263157895 |
|  15  |  NON-REL   |  0.133333333333 |  0.105263157895 |
|  16  |  NON-REL   |      0.125      |  0.105263157895 |
|  17  |  NON-REL   |  0.117647058824 |  0.105263157895 |
|  18  |  NON-REL   |  0.111111111111 |  0.105263157895 |
|  19  |    REL     |  0.157894736842 |  0.157894736842 |
|  20  |    REL     |       0.2       |  0.210526315789 |
|  21  |  NON-REL   |  0.190476190476 |  0.210526315789 |
|  22  |    REL     |  0.227272727273 |  0.263157894737 |
|  23  |  NON-REL   |  0.217391304348 |  0.263157894737 |
|  24  |  NON-REL   |  0.208333333333 |  0.263157894737 |
|  25  |  NON-REL   |       0.2       |  0.263157894737 |
|  26  |  NON-REL   |  0.192307692308 |  0.263157894737 |
|  27  |  NON-REL   |  0.185185185185 |  0.263157894737 |
|  28  |  NON-REL   |  0.178571428571 |  0.263157894737 |
|  29  |  NON-REL   |  0.172413793103 |  0.263157894737 |
|  30  |  NON-REL   |  0.166666666667 |  0.263157894737 |
|  31  |    REL     |  0.193548387097 |  0.315789473684 |
|  32  |  NON-REL   |      0.1875     |  0.315789473684 |
|  33  |    REL     |  0.212121212121 |  0.368421052632 |
|  34  |  NON-REL   |  0.205882352941 |  0.368421052632 |
|  35  |    REL     |  0.228571428571 |  0.421052631579 |
|  36  |  NON-REL   |  0.222222222222 |  0.421052631579 |
|  37  |    REL     |  0.243243243243 |  0.473684210526 |
|  38  |  NON-REL   |  0.236842105263 |  0.473684210526 |
|  39  |    REL     |  0.25641025641  |  0.526315789474 |
|  40  |  NON-REL   |       0.25      |  0.526315789474 |
|  41  |  NON-REL   |  0.243902439024 |  0.526315789474 |
|  42  |  NON-REL   |  0.238095238095 |  0.526315789474 |
|  43  |  NON-REL   |  0.232558139535 |  0.526315789474 |
|  44  |  NON-REL   |  0.227272727273 |  0.526315789474 |
|  45  |  NON-REL   |  0.222222222222 |  0.526315789474 |
|  46  |  NON-REL   |  0.217391304348 |  0.526315789474 |
|  47  |  NON-REL   |  0.212765957447 |  0.526315789474 |
|  48  |  NON-REL   |  0.208333333333 |  0.526315789474 |
|  49  |  NON-REL   |  0.204081632653 |  0.526315789474 |
|  50  |  NON-REL   |       0.2       |  0.526315789474 |
|  51  |  NON-REL   |  0.196078431373 |  0.526315789474 |
|  52  |    REL     |  0.211538461538 |  0.578947368421 |
|  53  |  NON-REL   |  0.207547169811 |  0.578947368421 |
|  54  |  NON-REL   |  0.203703703704 |  0.578947368421 |
|  55  |  NON-REL   |       0.2       |  0.578947368421 |
|  56  |  NON-REL   |  0.196428571429 |  0.578947368421 |
|  57  |  NON-REL   |  0.19298245614  |  0.578947368421 |
|  58  |  NON-REL   |  0.189655172414 |  0.578947368421 |
|  59  |  NON-REL   |  0.186440677966 |  0.578947368421 |
|  60  |  NON-REL   |  0.183333333333 |  0.578947368421 |
|  61  |  NON-REL   |  0.180327868852 |  0.578947368421 |
|  62  |  NON-REL   |  0.177419354839 |  0.578947368421 |
|  63  |  NON-REL   |  0.174603174603 |  0.578947368421 |
|  64  |  NON-REL   |     0.171875    |  0.578947368421 |
|  65  |  NON-REL   |  0.169230769231 |  0.578947368421 |
|  66  |  NON-REL   |  0.166666666667 |  0.578947368421 |
|  67  |  NON-REL   |  0.164179104478 |  0.578947368421 |
|  68  |  NON-REL   |  0.161764705882 |  0.578947368421 |
|  69  |  NON-REL   |  0.159420289855 |  0.578947368421 |
|  70  |    REL     |  0.171428571429 |  0.631578947368 |
|  71  |  NON-REL   |  0.169014084507 |  0.631578947368 |
|  72  |  NON-REL   |  0.166666666667 |  0.631578947368 |
|  73  |  NON-REL   |  0.164383561644 |  0.631578947368 |
|  74  |  NON-REL   |  0.162162162162 |  0.631578947368 |
|  75  |  NON-REL   |       0.16      |  0.631578947368 |
|  76  |  NON-REL   |  0.157894736842 |  0.631578947368 |
|  77  |  NON-REL   |  0.155844155844 |  0.631578947368 |
|  78  |  NON-REL   |  0.153846153846 |  0.631578947368 |
|  79  |  NON-REL   |  0.151898734177 |  0.631578947368 |
|  80  |  NON-REL   |       0.15      |  0.631578947368 |
|  81  |  NON-REL   |  0.148148148148 |  0.631578947368 |
|  82  |  NON-REL   |  0.146341463415 |  0.631578947368 |
|  83  |  NON-REL   |  0.144578313253 |  0.631578947368 |
|  84  |  NON-REL   |  0.142857142857 |  0.631578947368 |
|  85  |  NON-REL   |  0.141176470588 |  0.631578947368 |
|  86  |  NON-REL   |  0.139534883721 |  0.631578947368 |
|  87  |  NON-REL   |  0.137931034483 |  0.631578947368 |
|  88  |  NON-REL   |  0.136363636364 |  0.631578947368 |
|  89  |  NON-REL   |  0.134831460674 |  0.631578947368 |
|  90  |  NON-REL   |  0.133333333333 |  0.631578947368 |
|  91  |  NON-REL   |  0.131868131868 |  0.631578947368 |
|  92  |  NON-REL   |  0.130434782609 |  0.631578947368 |
|  93  |  NON-REL   |  0.129032258065 |  0.631578947368 |
|  94  |  NON-REL   |  0.127659574468 |  0.631578947368 |
|  95  |  NON-REL   |  0.126315789474 |  0.631578947368 |
|  96  |  NON-REL   |      0.125      |  0.631578947368 |
|  97  |  NON-REL   |  0.123711340206 |  0.631578947368 |
|  98  |  NON-REL   |  0.122448979592 |  0.631578947368 |
|  99  |  NON-REL   |  0.121212121212 |  0.631578947368 |
| 100  |    REL     |       0.13      |  0.684210526316 |
+------+------------+-----------------+-----------------+
