query_31: nd articles describing singular decomposition digital image processing applications include finding approximations original image restoring images subject noise article subject andrews patterson outer product expansions digital image processing  american mathematical andrews patterson
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.5   |
|  2   |    REL     |       1.0       |  1.0   |
|  3   |  NON-REL   |  0.666666666667 |  1.0   |
|  4   |  NON-REL   |       0.5       |  1.0   |
|  5   |  NON-REL   |       0.4       |  1.0   |
|  6   |  NON-REL   |  0.333333333333 |  1.0   |
|  7   |  NON-REL   |  0.285714285714 |  1.0   |
|  8   |  NON-REL   |       0.25      |  1.0   |
|  9   |  NON-REL   |  0.222222222222 |  1.0   |
|  10  |  NON-REL   |       0.2       |  1.0   |
|  11  |  NON-REL   |  0.181818181818 |  1.0   |
|  12  |  NON-REL   |  0.166666666667 |  1.0   |
|  13  |  NON-REL   |  0.153846153846 |  1.0   |
|  14  |  NON-REL   |  0.142857142857 |  1.0   |
|  15  |  NON-REL   |  0.133333333333 |  1.0   |
|  16  |  NON-REL   |      0.125      |  1.0   |
|  17  |  NON-REL   |  0.117647058824 |  1.0   |
|  18  |  NON-REL   |  0.111111111111 |  1.0   |
|  19  |  NON-REL   |  0.105263157895 |  1.0   |
|  20  |  NON-REL   |       0.1       |  1.0   |
|  21  |  NON-REL   | 0.0952380952381 |  1.0   |
|  22  |  NON-REL   | 0.0909090909091 |  1.0   |
|  23  |  NON-REL   | 0.0869565217391 |  1.0   |
|  24  |  NON-REL   | 0.0833333333333 |  1.0   |
|  25  |  NON-REL   |       0.08      |  1.0   |
|  26  |  NON-REL   | 0.0769230769231 |  1.0   |
|  27  |  NON-REL   | 0.0740740740741 |  1.0   |
|  28  |  NON-REL   | 0.0714285714286 |  1.0   |
|  29  |  NON-REL   | 0.0689655172414 |  1.0   |
|  30  |  NON-REL   | 0.0666666666667 |  1.0   |
|  31  |  NON-REL   | 0.0645161290323 |  1.0   |
|  32  |  NON-REL   |      0.0625     |  1.0   |
|  33  |  NON-REL   | 0.0606060606061 |  1.0   |
|  34  |  NON-REL   | 0.0588235294118 |  1.0   |
|  35  |  NON-REL   | 0.0571428571429 |  1.0   |
|  36  |  NON-REL   | 0.0555555555556 |  1.0   |
|  37  |  NON-REL   | 0.0540540540541 |  1.0   |
|  38  |  NON-REL   | 0.0526315789474 |  1.0   |
|  39  |  NON-REL   | 0.0512820512821 |  1.0   |
|  40  |  NON-REL   |       0.05      |  1.0   |
|  41  |  NON-REL   | 0.0487804878049 |  1.0   |
|  42  |  NON-REL   |  0.047619047619 |  1.0   |
|  43  |  NON-REL   |  0.046511627907 |  1.0   |
|  44  |  NON-REL   | 0.0454545454545 |  1.0   |
|  45  |  NON-REL   | 0.0444444444444 |  1.0   |
|  46  |  NON-REL   | 0.0434782608696 |  1.0   |
|  47  |  NON-REL   | 0.0425531914894 |  1.0   |
|  48  |  NON-REL   | 0.0416666666667 |  1.0   |
|  49  |  NON-REL   | 0.0408163265306 |  1.0   |
|  50  |  NON-REL   |       0.04      |  1.0   |
|  51  |  NON-REL   | 0.0392156862745 |  1.0   |
|  52  |  NON-REL   | 0.0384615384615 |  1.0   |
|  53  |  NON-REL   | 0.0377358490566 |  1.0   |
|  54  |  NON-REL   |  0.037037037037 |  1.0   |
|  55  |  NON-REL   | 0.0363636363636 |  1.0   |
|  56  |  NON-REL   | 0.0357142857143 |  1.0   |
|  57  |  NON-REL   | 0.0350877192982 |  1.0   |
|  58  |  NON-REL   | 0.0344827586207 |  1.0   |
|  59  |  NON-REL   | 0.0338983050847 |  1.0   |
|  60  |  NON-REL   | 0.0333333333333 |  1.0   |
|  61  |  NON-REL   | 0.0327868852459 |  1.0   |
|  62  |  NON-REL   | 0.0322580645161 |  1.0   |
|  63  |  NON-REL   |  0.031746031746 |  1.0   |
|  64  |  NON-REL   |     0.03125     |  1.0   |
|  65  |  NON-REL   | 0.0307692307692 |  1.0   |
|  66  |  NON-REL   |  0.030303030303 |  1.0   |
|  67  |  NON-REL   | 0.0298507462687 |  1.0   |
|  68  |  NON-REL   | 0.0294117647059 |  1.0   |
|  69  |  NON-REL   | 0.0289855072464 |  1.0   |
|  70  |  NON-REL   | 0.0285714285714 |  1.0   |
|  71  |  NON-REL   | 0.0281690140845 |  1.0   |
|  72  |  NON-REL   | 0.0277777777778 |  1.0   |
|  73  |  NON-REL   |  0.027397260274 |  1.0   |
|  74  |  NON-REL   |  0.027027027027 |  1.0   |
|  75  |  NON-REL   | 0.0266666666667 |  1.0   |
|  76  |  NON-REL   | 0.0263157894737 |  1.0   |
|  77  |  NON-REL   |  0.025974025974 |  1.0   |
|  78  |  NON-REL   |  0.025641025641 |  1.0   |
|  79  |  NON-REL   | 0.0253164556962 |  1.0   |
|  80  |  NON-REL   |      0.025      |  1.0   |
|  81  |  NON-REL   | 0.0246913580247 |  1.0   |
|  82  |  NON-REL   | 0.0243902439024 |  1.0   |
|  83  |  NON-REL   | 0.0240963855422 |  1.0   |
|  84  |  NON-REL   | 0.0238095238095 |  1.0   |
