query_36: st algorithm context-free language recognition parsing
+------+------------+----------------+--------+
| RANK | REL/NONREL |   PRECISION    | RECALL |
+------+------------+----------------+--------+
|  1   |  NON-REL   |      0.0       |  0.0   |
|  2   |  NON-REL   |      0.0       |  0.0   |
|  3   |  NON-REL   |      0.0       |  0.0   |
|  4   |  NON-REL   |      0.0       |  0.0   |
|  5   |    REL     |      0.2       |  0.05  |
|  6   |  NON-REL   | 0.166666666667 |  0.05  |
|  7   |  NON-REL   | 0.142857142857 |  0.05  |
|  8   |    REL     |      0.25      |  0.1   |
|  9   |  NON-REL   | 0.222222222222 |  0.1   |
|  10  |    REL     |      0.3       |  0.15  |
|  11  |    REL     | 0.363636363636 |  0.2   |
|  12  |  NON-REL   | 0.333333333333 |  0.2   |
|  13  |    REL     | 0.384615384615 |  0.25  |
|  14  |    REL     | 0.428571428571 |  0.3   |
|  15  |  NON-REL   |      0.4       |  0.3   |
|  16  |  NON-REL   |     0.375      |  0.3   |
|  17  |  NON-REL   | 0.352941176471 |  0.3   |
|  18  |    REL     | 0.388888888889 |  0.35  |
|  19  |  NON-REL   | 0.368421052632 |  0.35  |
|  20  |  NON-REL   |      0.35      |  0.35  |
|  21  |  NON-REL   | 0.333333333333 |  0.35  |
|  22  |  NON-REL   | 0.318181818182 |  0.35  |
|  23  |    REL     | 0.347826086957 |  0.4   |
|  24  |  NON-REL   | 0.333333333333 |  0.4   |
|  25  |  NON-REL   |      0.32      |  0.4   |
|  26  |  NON-REL   | 0.307692307692 |  0.4   |
|  27  |  NON-REL   | 0.296296296296 |  0.4   |
|  28  |  NON-REL   | 0.285714285714 |  0.4   |
|  29  |  NON-REL   | 0.275862068966 |  0.4   |
|  30  |  NON-REL   | 0.266666666667 |  0.4   |
|  31  |  NON-REL   | 0.258064516129 |  0.4   |
|  32  |  NON-REL   |      0.25      |  0.4   |
|  33  |  NON-REL   | 0.242424242424 |  0.4   |
|  34  |  NON-REL   | 0.235294117647 |  0.4   |
|  35  |  NON-REL   | 0.228571428571 |  0.4   |
|  36  |  NON-REL   | 0.222222222222 |  0.4   |
|  37  |  NON-REL   | 0.216216216216 |  0.4   |
|  38  |  NON-REL   | 0.210526315789 |  0.4   |
|  39  |  NON-REL   | 0.205128205128 |  0.4   |
|  40  |  NON-REL   |      0.2       |  0.4   |
|  41  |  NON-REL   | 0.19512195122  |  0.4   |
|  42  |  NON-REL   | 0.190476190476 |  0.4   |
|  43  |  NON-REL   | 0.186046511628 |  0.4   |
|  44  |  NON-REL   | 0.181818181818 |  0.4   |
|  45  |  NON-REL   | 0.177777777778 |  0.4   |
|  46  |  NON-REL   | 0.173913043478 |  0.4   |
|  47  |  NON-REL   | 0.170212765957 |  0.4   |
|  48  |  NON-REL   | 0.166666666667 |  0.4   |
|  49  |  NON-REL   | 0.163265306122 |  0.4   |
|  50  |  NON-REL   |      0.16      |  0.4   |
|  51  |  NON-REL   | 0.156862745098 |  0.4   |
|  52  |  NON-REL   | 0.153846153846 |  0.4   |
|  53  |  NON-REL   | 0.150943396226 |  0.4   |
|  54  |  NON-REL   | 0.148148148148 |  0.4   |
|  55  |  NON-REL   | 0.145454545455 |  0.4   |
|  56  |  NON-REL   | 0.142857142857 |  0.4   |
|  57  |  NON-REL   | 0.140350877193 |  0.4   |
|  58  |  NON-REL   | 0.137931034483 |  0.4   |
|  59  |    REL     | 0.152542372881 |  0.45  |
|  60  |  NON-REL   |      0.15      |  0.45  |
|  61  |  NON-REL   | 0.147540983607 |  0.45  |
|  62  |  NON-REL   | 0.145161290323 |  0.45  |
|  63  |  NON-REL   | 0.142857142857 |  0.45  |
|  64  |  NON-REL   |    0.140625    |  0.45  |
|  65  |  NON-REL   | 0.138461538462 |  0.45  |
|  66  |  NON-REL   | 0.136363636364 |  0.45  |
|  67  |  NON-REL   | 0.134328358209 |  0.45  |
|  68  |    REL     | 0.147058823529 |  0.5   |
|  69  |  NON-REL   | 0.144927536232 |  0.5   |
|  70  |  NON-REL   | 0.142857142857 |  0.5   |
|  71  |    REL     | 0.154929577465 |  0.55  |
|  72  |  NON-REL   | 0.152777777778 |  0.55  |
|  73  |  NON-REL   | 0.150684931507 |  0.55  |
|  74  |  NON-REL   | 0.148648648649 |  0.55  |
|  75  |  NON-REL   | 0.146666666667 |  0.55  |
|  76  |  NON-REL   | 0.144736842105 |  0.55  |
|  77  |  NON-REL   | 0.142857142857 |  0.55  |
|  78  |  NON-REL   | 0.141025641026 |  0.55  |
|  79  |  NON-REL   | 0.139240506329 |  0.55  |
|  80  |  NON-REL   |     0.1375     |  0.55  |
|  81  |    REL     | 0.148148148148 |  0.6   |
|  82  |  NON-REL   | 0.146341463415 |  0.6   |
|  83  |  NON-REL   | 0.144578313253 |  0.6   |
|  84  |  NON-REL   | 0.142857142857 |  0.6   |
|  85  |  NON-REL   | 0.141176470588 |  0.6   |
|  86  |  NON-REL   | 0.139534883721 |  0.6   |
|  87  |  NON-REL   | 0.137931034483 |  0.6   |
|  88  |  NON-REL   | 0.136363636364 |  0.6   |
|  89  |  NON-REL   | 0.134831460674 |  0.6   |
|  90  |  NON-REL   | 0.133333333333 |  0.6   |
|  91  |  NON-REL   | 0.131868131868 |  0.6   |
|  92  |    REL     | 0.141304347826 |  0.65  |
|  93  |  NON-REL   | 0.139784946237 |  0.65  |
|  94  |  NON-REL   | 0.13829787234  |  0.65  |
|  95  |  NON-REL   | 0.136842105263 |  0.65  |
|  96  |  NON-REL   | 0.135416666667 |  0.65  |
|  97  |  NON-REL   | 0.134020618557 |  0.65  |
|  98  |  NON-REL   | 0.132653061224 |  0.65  |
|  99  |  NON-REL   | 0.131313131313 |  0.65  |
| 100  |  NON-REL   |      0.13      |  0.65  |
+------+------------+----------------+--------+
