query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+----------------+--------+
| RANK | REL/NONREL |   PRECISION    | RECALL |
+------+------------+----------------+--------+
|  1   |    REL     |      1.0       | 0.0625 |
|  2   |  NON-REL   |      0.5       | 0.0625 |
|  3   |  NON-REL   | 0.333333333333 | 0.0625 |
|  4   |    REL     |      0.5       | 0.125  |
|  5   |    REL     |      0.6       | 0.1875 |
|  6   |  NON-REL   |      0.5       | 0.1875 |
|  7   |    REL     | 0.571428571429 |  0.25  |
|  8   |    REL     |     0.625      | 0.3125 |
|  9   |  NON-REL   | 0.555555555556 | 0.3125 |
|  10  |  NON-REL   |      0.5       | 0.3125 |
|  11  |  NON-REL   | 0.454545454545 | 0.3125 |
|  12  |    REL     |      0.5       | 0.375  |
|  13  |  NON-REL   | 0.461538461538 | 0.375  |
|  14  |  NON-REL   | 0.428571428571 | 0.375  |
|  15  |  NON-REL   |      0.4       | 0.375  |
|  16  |  NON-REL   |     0.375      | 0.375  |
|  17  |    REL     | 0.411764705882 | 0.4375 |
|  18  |  NON-REL   | 0.388888888889 | 0.4375 |
|  19  |    REL     | 0.421052631579 |  0.5   |
|  20  |  NON-REL   |      0.4       |  0.5   |
|  21  |  NON-REL   | 0.380952380952 |  0.5   |
|  22  |  NON-REL   | 0.363636363636 |  0.5   |
|  23  |  NON-REL   | 0.347826086957 |  0.5   |
|  24  |  NON-REL   | 0.333333333333 |  0.5   |
|  25  |  NON-REL   |      0.32      |  0.5   |
|  26  |  NON-REL   | 0.307692307692 |  0.5   |
|  27  |  NON-REL   | 0.296296296296 |  0.5   |
|  28  |  NON-REL   | 0.285714285714 |  0.5   |
|  29  |  NON-REL   | 0.275862068966 |  0.5   |
|  30  |  NON-REL   | 0.266666666667 |  0.5   |
|  31  |  NON-REL   | 0.258064516129 |  0.5   |
|  32  |  NON-REL   |      0.25      |  0.5   |
|  33  |  NON-REL   | 0.242424242424 |  0.5   |
|  34  |  NON-REL   | 0.235294117647 |  0.5   |
|  35  |  NON-REL   | 0.228571428571 |  0.5   |
|  36  |  NON-REL   | 0.222222222222 |  0.5   |
|  37  |  NON-REL   | 0.216216216216 |  0.5   |
|  38  |  NON-REL   | 0.210526315789 |  0.5   |
|  39  |  NON-REL   | 0.205128205128 |  0.5   |
|  40  |  NON-REL   |      0.2       |  0.5   |
|  41  |  NON-REL   | 0.19512195122  |  0.5   |
|  42  |  NON-REL   | 0.190476190476 |  0.5   |
|  43  |  NON-REL   | 0.186046511628 |  0.5   |
|  44  |  NON-REL   | 0.181818181818 |  0.5   |
|  45  |  NON-REL   | 0.177777777778 |  0.5   |
|  46  |  NON-REL   | 0.173913043478 |  0.5   |
|  47  |  NON-REL   | 0.170212765957 |  0.5   |
|  48  |  NON-REL   | 0.166666666667 |  0.5   |
|  49  |  NON-REL   | 0.163265306122 |  0.5   |
|  50  |  NON-REL   |      0.16      |  0.5   |
|  51  |  NON-REL   | 0.156862745098 |  0.5   |
|  52  |  NON-REL   | 0.153846153846 |  0.5   |
|  53  |  NON-REL   | 0.150943396226 |  0.5   |
|  54  |  NON-REL   | 0.148148148148 |  0.5   |
|  55  |    REL     | 0.163636363636 | 0.5625 |
|  56  |  NON-REL   | 0.160714285714 | 0.5625 |
|  57  |  NON-REL   | 0.157894736842 | 0.5625 |
|  58  |  NON-REL   | 0.155172413793 | 0.5625 |
|  59  |  NON-REL   | 0.152542372881 | 0.5625 |
|  60  |  NON-REL   |      0.15      | 0.5625 |
|  61  |  NON-REL   | 0.147540983607 | 0.5625 |
|  62  |  NON-REL   | 0.145161290323 | 0.5625 |
|  63  |  NON-REL   | 0.142857142857 | 0.5625 |
|  64  |  NON-REL   |    0.140625    | 0.5625 |
|  65  |  NON-REL   | 0.138461538462 | 0.5625 |
|  66  |    REL     | 0.151515151515 | 0.625  |
|  67  |  NON-REL   | 0.149253731343 | 0.625  |
|  68  |  NON-REL   | 0.147058823529 | 0.625  |
|  69  |  NON-REL   | 0.144927536232 | 0.625  |
|  70  |  NON-REL   | 0.142857142857 | 0.625  |
|  71  |  NON-REL   | 0.140845070423 | 0.625  |
|  72  |  NON-REL   | 0.138888888889 | 0.625  |
|  73  |  NON-REL   | 0.13698630137  | 0.625  |
|  74  |  NON-REL   | 0.135135135135 | 0.625  |
|  75  |  NON-REL   | 0.133333333333 | 0.625  |
|  76  |  NON-REL   | 0.131578947368 | 0.625  |
|  77  |  NON-REL   | 0.12987012987  | 0.625  |
|  78  |  NON-REL   | 0.128205128205 | 0.625  |
|  79  |  NON-REL   | 0.126582278481 | 0.625  |
|  80  |  NON-REL   |     0.125      | 0.625  |
|  81  |  NON-REL   | 0.123456790123 | 0.625  |
|  82  |  NON-REL   | 0.121951219512 | 0.625  |
|  83  |  NON-REL   | 0.120481927711 | 0.625  |
|  84  |  NON-REL   | 0.119047619048 | 0.625  |
|  85  |  NON-REL   | 0.117647058824 | 0.625  |
|  86  |  NON-REL   | 0.116279069767 | 0.625  |
|  87  |  NON-REL   | 0.114942528736 | 0.625  |
|  88  |  NON-REL   | 0.113636363636 | 0.625  |
|  89  |  NON-REL   | 0.112359550562 | 0.625  |
|  90  |  NON-REL   | 0.111111111111 | 0.625  |
|  91  |  NON-REL   | 0.10989010989  | 0.625  |
|  92  |  NON-REL   | 0.108695652174 | 0.625  |
|  93  |  NON-REL   | 0.10752688172  | 0.625  |
|  94  |  NON-REL   | 0.106382978723 | 0.625  |
|  95  |  NON-REL   | 0.105263157895 | 0.625  |
|  96  |  NON-REL   | 0.104166666667 | 0.625  |
|  97  |  NON-REL   | 0.103092783505 | 0.625  |
|  98  |  NON-REL   | 0.102040816327 | 0.625  |
|  99  |  NON-REL   | 0.10101010101  | 0.625  |
| 100  |  NON-REL   |      0.1       | 0.625  |
+------+------------+----------------+--------+
