query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0243902439024 |
|  2   |  NON-REL   |       0.5       | 0.0243902439024 |
|  3   |  NON-REL   |  0.333333333333 | 0.0243902439024 |
|  4   |  NON-REL   |       0.25      | 0.0243902439024 |
|  5   |    REL     |       0.4       | 0.0487804878049 |
|  6   |  NON-REL   |  0.333333333333 | 0.0487804878049 |
|  7   |  NON-REL   |  0.285714285714 | 0.0487804878049 |
|  8   |  NON-REL   |       0.25      | 0.0487804878049 |
|  9   |    REL     |  0.333333333333 | 0.0731707317073 |
|  10  |    REL     |       0.4       | 0.0975609756098 |
|  11  |  NON-REL   |  0.363636363636 | 0.0975609756098 |
|  12  |  NON-REL   |  0.333333333333 | 0.0975609756098 |
|  13  |  NON-REL   |  0.307692307692 | 0.0975609756098 |
|  14  |    REL     |  0.357142857143 |  0.121951219512 |
|  15  |  NON-REL   |  0.333333333333 |  0.121951219512 |
|  16  |  NON-REL   |      0.3125     |  0.121951219512 |
|  17  |  NON-REL   |  0.294117647059 |  0.121951219512 |
|  18  |    REL     |  0.333333333333 |  0.146341463415 |
|  19  |  NON-REL   |  0.315789473684 |  0.146341463415 |
|  20  |  NON-REL   |       0.3       |  0.146341463415 |
|  21  |  NON-REL   |  0.285714285714 |  0.146341463415 |
|  22  |  NON-REL   |  0.272727272727 |  0.146341463415 |
|  23  |  NON-REL   |  0.260869565217 |  0.146341463415 |
|  24  |    REL     |  0.291666666667 |  0.170731707317 |
|  25  |  NON-REL   |       0.28      |  0.170731707317 |
|  26  |  NON-REL   |  0.269230769231 |  0.170731707317 |
|  27  |  NON-REL   |  0.259259259259 |  0.170731707317 |
|  28  |  NON-REL   |       0.25      |  0.170731707317 |
|  29  |  NON-REL   |  0.241379310345 |  0.170731707317 |
|  30  |    REL     |  0.266666666667 |  0.19512195122  |
|  31  |  NON-REL   |  0.258064516129 |  0.19512195122  |
|  32  |  NON-REL   |       0.25      |  0.19512195122  |
|  33  |  NON-REL   |  0.242424242424 |  0.19512195122  |
|  34  |  NON-REL   |  0.235294117647 |  0.19512195122  |
|  35  |  NON-REL   |  0.228571428571 |  0.19512195122  |
|  36  |  NON-REL   |  0.222222222222 |  0.19512195122  |
|  37  |  NON-REL   |  0.216216216216 |  0.19512195122  |
|  38  |  NON-REL   |  0.210526315789 |  0.19512195122  |
|  39  |  NON-REL   |  0.205128205128 |  0.19512195122  |
|  40  |  NON-REL   |       0.2       |  0.19512195122  |
|  41  |  NON-REL   |  0.19512195122  |  0.19512195122  |
|  42  |  NON-REL   |  0.190476190476 |  0.19512195122  |
|  43  |  NON-REL   |  0.186046511628 |  0.19512195122  |
|  44  |  NON-REL   |  0.181818181818 |  0.19512195122  |
|  45  |  NON-REL   |  0.177777777778 |  0.19512195122  |
|  46  |  NON-REL   |  0.173913043478 |  0.19512195122  |
|  47  |  NON-REL   |  0.170212765957 |  0.19512195122  |
|  48  |  NON-REL   |  0.166666666667 |  0.19512195122  |
|  49  |  NON-REL   |  0.163265306122 |  0.19512195122  |
|  50  |  NON-REL   |       0.16      |  0.19512195122  |
|  51  |  NON-REL   |  0.156862745098 |  0.19512195122  |
|  52  |  NON-REL   |  0.153846153846 |  0.19512195122  |
|  53  |  NON-REL   |  0.150943396226 |  0.19512195122  |
|  54  |  NON-REL   |  0.148148148148 |  0.19512195122  |
|  55  |  NON-REL   |  0.145454545455 |  0.19512195122  |
|  56  |  NON-REL   |  0.142857142857 |  0.19512195122  |
|  57  |  NON-REL   |  0.140350877193 |  0.19512195122  |
|  58  |  NON-REL   |  0.137931034483 |  0.19512195122  |
|  59  |  NON-REL   |  0.135593220339 |  0.19512195122  |
|  60  |  NON-REL   |  0.133333333333 |  0.19512195122  |
|  61  |  NON-REL   |  0.131147540984 |  0.19512195122  |
|  62  |    REL     |  0.145161290323 |  0.219512195122 |
|  63  |  NON-REL   |  0.142857142857 |  0.219512195122 |
|  64  |  NON-REL   |     0.140625    |  0.219512195122 |
