query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0384615384615 |
|  3   |    REL     | 0.666666666667 | 0.0769230769231 |
|  4   |  NON-REL   |      0.5       | 0.0769230769231 |
|  5   |    REL     |      0.6       |  0.115384615385 |
|  6   |  NON-REL   |      0.5       |  0.115384615385 |
|  7   |  NON-REL   | 0.428571428571 |  0.115384615385 |
|  8   |    REL     |      0.5       |  0.153846153846 |
|  9   |    REL     | 0.555555555556 |  0.192307692308 |
|  10  |    REL     |      0.6       |  0.230769230769 |
|  11  |  NON-REL   | 0.545454545455 |  0.230769230769 |
|  12  |  NON-REL   |      0.5       |  0.230769230769 |
|  13  |  NON-REL   | 0.461538461538 |  0.230769230769 |
|  14  |  NON-REL   | 0.428571428571 |  0.230769230769 |
|  15  |  NON-REL   |      0.4       |  0.230769230769 |
|  16  |    REL     |     0.4375     |  0.269230769231 |
|  17  |    REL     | 0.470588235294 |  0.307692307692 |
|  18  |  NON-REL   | 0.444444444444 |  0.307692307692 |
|  19  |  NON-REL   | 0.421052631579 |  0.307692307692 |
|  20  |  NON-REL   |      0.4       |  0.307692307692 |
|  21  |  NON-REL   | 0.380952380952 |  0.307692307692 |
|  22  |  NON-REL   | 0.363636363636 |  0.307692307692 |
|  23  |  NON-REL   | 0.347826086957 |  0.307692307692 |
|  24  |    REL     |     0.375      |  0.346153846154 |
|  25  |  NON-REL   |      0.36      |  0.346153846154 |
|  26  |  NON-REL   | 0.346153846154 |  0.346153846154 |
|  27  |  NON-REL   | 0.333333333333 |  0.346153846154 |
|  28  |  NON-REL   | 0.321428571429 |  0.346153846154 |
|  29  |  NON-REL   | 0.310344827586 |  0.346153846154 |
|  30  |  NON-REL   |      0.3       |  0.346153846154 |
|  31  |  NON-REL   | 0.290322580645 |  0.346153846154 |
|  32  |  NON-REL   |    0.28125     |  0.346153846154 |
|  33  |  NON-REL   | 0.272727272727 |  0.346153846154 |
|  34  |  NON-REL   | 0.264705882353 |  0.346153846154 |
|  35  |    REL     | 0.285714285714 |  0.384615384615 |
|  36  |  NON-REL   | 0.277777777778 |  0.384615384615 |
|  37  |    REL     | 0.297297297297 |  0.423076923077 |
|  38  |  NON-REL   | 0.289473684211 |  0.423076923077 |
|  39  |  NON-REL   | 0.282051282051 |  0.423076923077 |
|  40  |  NON-REL   |     0.275      |  0.423076923077 |
|  41  |  NON-REL   | 0.268292682927 |  0.423076923077 |
|  42  |  NON-REL   | 0.261904761905 |  0.423076923077 |
|  43  |  NON-REL   | 0.255813953488 |  0.423076923077 |
|  44  |  NON-REL   |      0.25      |  0.423076923077 |
|  45  |  NON-REL   | 0.244444444444 |  0.423076923077 |
|  46  |  NON-REL   | 0.239130434783 |  0.423076923077 |
|  47  |  NON-REL   | 0.234042553191 |  0.423076923077 |
|  48  |  NON-REL   | 0.229166666667 |  0.423076923077 |
|  49  |  NON-REL   | 0.224489795918 |  0.423076923077 |
|  50  |  NON-REL   |      0.22      |  0.423076923077 |
|  51  |  NON-REL   | 0.21568627451  |  0.423076923077 |
|  52  |  NON-REL   | 0.211538461538 |  0.423076923077 |
|  53  |  NON-REL   | 0.207547169811 |  0.423076923077 |
|  54  |  NON-REL   | 0.203703703704 |  0.423076923077 |
|  55  |    REL     | 0.218181818182 |  0.461538461538 |
|  56  |    REL     | 0.232142857143 |       0.5       |
|  57  |  NON-REL   | 0.228070175439 |       0.5       |
|  58  |    REL     | 0.241379310345 |  0.538461538462 |
|  59  |  NON-REL   | 0.237288135593 |  0.538461538462 |
|  60  |  NON-REL   | 0.233333333333 |  0.538461538462 |
|  61  |  NON-REL   | 0.229508196721 |  0.538461538462 |
|  62  |  NON-REL   | 0.225806451613 |  0.538461538462 |
|  63  |  NON-REL   | 0.222222222222 |  0.538461538462 |
|  64  |  NON-REL   |    0.21875     |  0.538461538462 |
|  65  |    REL     | 0.230769230769 |  0.576923076923 |
|  66  |  NON-REL   | 0.227272727273 |  0.576923076923 |
|  67  |  NON-REL   | 0.223880597015 |  0.576923076923 |
|  68  |  NON-REL   | 0.220588235294 |  0.576923076923 |
|  69  |  NON-REL   | 0.217391304348 |  0.576923076923 |
|  70  |  NON-REL   | 0.214285714286 |  0.576923076923 |
|  71  |  NON-REL   | 0.211267605634 |  0.576923076923 |
|  72  |  NON-REL   | 0.208333333333 |  0.576923076923 |
|  73  |  NON-REL   | 0.205479452055 |  0.576923076923 |
|  74  |  NON-REL   | 0.202702702703 |  0.576923076923 |
|  75  |  NON-REL   |      0.2       |  0.576923076923 |
|  76  |  NON-REL   | 0.197368421053 |  0.576923076923 |
|  77  |    REL     | 0.207792207792 |  0.615384615385 |
|  78  |  NON-REL   | 0.205128205128 |  0.615384615385 |
|  79  |    REL     | 0.215189873418 |  0.653846153846 |
|  80  |  NON-REL   |     0.2125     |  0.653846153846 |
|  81  |  NON-REL   | 0.20987654321  |  0.653846153846 |
|  82  |  NON-REL   | 0.207317073171 |  0.653846153846 |
|  83  |  NON-REL   | 0.204819277108 |  0.653846153846 |
|  84  |  NON-REL   | 0.202380952381 |  0.653846153846 |
|  85  |  NON-REL   |      0.2       |  0.653846153846 |
|  86  |  NON-REL   | 0.197674418605 |  0.653846153846 |
|  87  |  NON-REL   | 0.195402298851 |  0.653846153846 |
|  88  |  NON-REL   | 0.193181818182 |  0.653846153846 |
|  89  |  NON-REL   | 0.191011235955 |  0.653846153846 |
|  90  |  NON-REL   | 0.188888888889 |  0.653846153846 |
|  91  |  NON-REL   | 0.186813186813 |  0.653846153846 |
|  92  |  NON-REL   | 0.184782608696 |  0.653846153846 |
|  93  |  NON-REL   | 0.182795698925 |  0.653846153846 |
|  94  |  NON-REL   | 0.18085106383  |  0.653846153846 |
|  95  |  NON-REL   | 0.178947368421 |  0.653846153846 |
|  96  |  NON-REL   | 0.177083333333 |  0.653846153846 |
|  97  |  NON-REL   | 0.175257731959 |  0.653846153846 |
|  98  |  NON-REL   | 0.173469387755 |  0.653846153846 |
|  99  |  NON-REL   | 0.171717171717 |  0.653846153846 |
| 100  |  NON-REL   |      0.17      |  0.653846153846 |
+------+------------+----------------+-----------------+
