query_49: le information retrieval knowledge based systems i.e. expert systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |    REL     | 0.0833333333333 | 0.125  |
|  13  |  NON-REL   | 0.0769230769231 | 0.125  |
|  14  |  NON-REL   | 0.0714285714286 | 0.125  |
|  15  |  NON-REL   | 0.0666666666667 | 0.125  |
|  16  |  NON-REL   |      0.0625     | 0.125  |
|  17  |  NON-REL   | 0.0588235294118 | 0.125  |
|  18  |  NON-REL   | 0.0555555555556 | 0.125  |
|  19  |  NON-REL   | 0.0526315789474 | 0.125  |
|  20  |  NON-REL   |       0.05      | 0.125  |
|  21  |    REL     | 0.0952380952381 |  0.25  |
|  22  |    REL     |  0.136363636364 | 0.375  |
|  23  |  NON-REL   |  0.130434782609 | 0.375  |
|  24  |  NON-REL   |      0.125      | 0.375  |
|  25  |  NON-REL   |       0.12      | 0.375  |
|  26  |  NON-REL   |  0.115384615385 | 0.375  |
|  27  |  NON-REL   |  0.111111111111 | 0.375  |
|  28  |  NON-REL   |  0.107142857143 | 0.375  |
|  29  |  NON-REL   |  0.103448275862 | 0.375  |
|  30  |  NON-REL   |       0.1       | 0.375  |
|  31  |  NON-REL   | 0.0967741935484 | 0.375  |
|  32  |  NON-REL   |     0.09375     | 0.375  |
|  33  |    REL     |  0.121212121212 |  0.5   |
|  34  |  NON-REL   |  0.117647058824 |  0.5   |
|  35  |  NON-REL   |  0.114285714286 |  0.5   |
|  36  |  NON-REL   |  0.111111111111 |  0.5   |
|  37  |  NON-REL   |  0.108108108108 |  0.5   |
|  38  |  NON-REL   |  0.105263157895 |  0.5   |
|  39  |  NON-REL   |  0.102564102564 |  0.5   |
|  40  |  NON-REL   |       0.1       |  0.5   |
|  41  |  NON-REL   | 0.0975609756098 |  0.5   |
|  42  |  NON-REL   | 0.0952380952381 |  0.5   |
|  43  |  NON-REL   |  0.093023255814 |  0.5   |
|  44  |  NON-REL   | 0.0909090909091 |  0.5   |
|  45  |  NON-REL   | 0.0888888888889 |  0.5   |
|  46  |  NON-REL   | 0.0869565217391 |  0.5   |
|  47  |  NON-REL   | 0.0851063829787 |  0.5   |
|  48  |  NON-REL   | 0.0833333333333 |  0.5   |
|  49  |  NON-REL   | 0.0816326530612 |  0.5   |
|  50  |  NON-REL   |       0.08      |  0.5   |
|  51  |  NON-REL   |  0.078431372549 |  0.5   |
|  52  |  NON-REL   | 0.0769230769231 |  0.5   |
|  53  |  NON-REL   | 0.0754716981132 |  0.5   |
|  54  |  NON-REL   | 0.0740740740741 |  0.5   |
|  55  |  NON-REL   | 0.0727272727273 |  0.5   |
|  56  |  NON-REL   | 0.0714285714286 |  0.5   |
|  57  |  NON-REL   | 0.0701754385965 |  0.5   |
|  58  |  NON-REL   | 0.0689655172414 |  0.5   |
|  59  |  NON-REL   | 0.0677966101695 |  0.5   |
|  60  |  NON-REL   | 0.0666666666667 |  0.5   |
|  61  |  NON-REL   | 0.0655737704918 |  0.5   |
|  62  |  NON-REL   | 0.0645161290323 |  0.5   |
|  63  |  NON-REL   | 0.0634920634921 |  0.5   |
|  64  |  NON-REL   |      0.0625     |  0.5   |
|  65  |    REL     | 0.0769230769231 | 0.625  |
|  66  |  NON-REL   | 0.0757575757576 | 0.625  |
|  67  |  NON-REL   | 0.0746268656716 | 0.625  |
|  68  |  NON-REL   | 0.0735294117647 | 0.625  |
|  69  |  NON-REL   | 0.0724637681159 | 0.625  |
|  70  |  NON-REL   | 0.0714285714286 | 0.625  |
|  71  |  NON-REL   | 0.0704225352113 | 0.625  |
|  72  |  NON-REL   | 0.0694444444444 | 0.625  |
|  73  |  NON-REL   | 0.0684931506849 | 0.625  |
|  74  |  NON-REL   | 0.0675675675676 | 0.625  |
|  75  |  NON-REL   | 0.0666666666667 | 0.625  |
|  76  |  NON-REL   | 0.0657894736842 | 0.625  |
|  77  |  NON-REL   | 0.0649350649351 | 0.625  |
|  78  |  NON-REL   | 0.0641025641026 | 0.625  |
|  79  |  NON-REL   | 0.0632911392405 | 0.625  |
|  80  |  NON-REL   |      0.0625     | 0.625  |
|  81  |  NON-REL   | 0.0617283950617 | 0.625  |
|  82  |  NON-REL   | 0.0609756097561 | 0.625  |
|  83  |  NON-REL   | 0.0602409638554 | 0.625  |
|  84  |  NON-REL   | 0.0595238095238 | 0.625  |
|  85  |  NON-REL   | 0.0588235294118 | 0.625  |
|  86  |  NON-REL   | 0.0581395348837 | 0.625  |
|  87  |    REL     | 0.0689655172414 |  0.75  |
|  88  |  NON-REL   | 0.0681818181818 |  0.75  |
|  89  |  NON-REL   | 0.0674157303371 |  0.75  |
|  90  |  NON-REL   | 0.0666666666667 |  0.75  |
|  91  |  NON-REL   | 0.0659340659341 |  0.75  |
|  92  |  NON-REL   | 0.0652173913043 |  0.75  |
|  93  |  NON-REL   | 0.0645161290323 |  0.75  |
|  94  |  NON-REL   |  0.063829787234 |  0.75  |
|  95  |  NON-REL   | 0.0631578947368 |  0.75  |
|  96  |  NON-REL   |      0.0625     |  0.75  |
|  97  |  NON-REL   | 0.0618556701031 |  0.75  |
|  98  |  NON-REL   | 0.0612244897959 |  0.75  |
|  99  |  NON-REL   | 0.0606060606061 |  0.75  |
| 100  |  NON-REL   |       0.06      |  0.75  |
+------+------------+-----------------+--------+
