query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0333333333333 |
|  2   |    REL     |      1.0       | 0.0666666666667 |
|  3   |  NON-REL   | 0.666666666667 | 0.0666666666667 |
|  4   |  NON-REL   |      0.5       | 0.0666666666667 |
|  5   |  NON-REL   |      0.4       | 0.0666666666667 |
|  6   |    REL     |      0.5       |       0.1       |
|  7   |  NON-REL   | 0.428571428571 |       0.1       |
|  8   |  NON-REL   |     0.375      |       0.1       |
|  9   |    REL     | 0.444444444444 |  0.133333333333 |
|  10  |  NON-REL   |      0.4       |  0.133333333333 |
|  11  |    REL     | 0.454545454545 |  0.166666666667 |
|  12  |  NON-REL   | 0.416666666667 |  0.166666666667 |
|  13  |  NON-REL   | 0.384615384615 |  0.166666666667 |
|  14  |  NON-REL   | 0.357142857143 |  0.166666666667 |
|  15  |  NON-REL   | 0.333333333333 |  0.166666666667 |
|  16  |  NON-REL   |     0.3125     |  0.166666666667 |
|  17  |  NON-REL   | 0.294117647059 |  0.166666666667 |
|  18  |  NON-REL   | 0.277777777778 |  0.166666666667 |
|  19  |    REL     | 0.315789473684 |       0.2       |
|  20  |  NON-REL   |      0.3       |       0.2       |
|  21  |  NON-REL   | 0.285714285714 |       0.2       |
|  22  |    REL     | 0.318181818182 |  0.233333333333 |
|  23  |  NON-REL   | 0.304347826087 |  0.233333333333 |
|  24  |  NON-REL   | 0.291666666667 |  0.233333333333 |
|  25  |  NON-REL   |      0.28      |  0.233333333333 |
|  26  |  NON-REL   | 0.269230769231 |  0.233333333333 |
|  27  |  NON-REL   | 0.259259259259 |  0.233333333333 |
|  28  |  NON-REL   |      0.25      |  0.233333333333 |
|  29  |  NON-REL   | 0.241379310345 |  0.233333333333 |
|  30  |  NON-REL   | 0.233333333333 |  0.233333333333 |
|  31  |  NON-REL   | 0.225806451613 |  0.233333333333 |
|  32  |    REL     |      0.25      |  0.266666666667 |
|  33  |  NON-REL   | 0.242424242424 |  0.266666666667 |
|  34  |  NON-REL   | 0.235294117647 |  0.266666666667 |
|  35  |  NON-REL   | 0.228571428571 |  0.266666666667 |
|  36  |    REL     |      0.25      |       0.3       |
|  37  |  NON-REL   | 0.243243243243 |       0.3       |
|  38  |  NON-REL   | 0.236842105263 |       0.3       |
|  39  |  NON-REL   | 0.230769230769 |       0.3       |
|  40  |  NON-REL   |     0.225      |       0.3       |
|  41  |  NON-REL   | 0.219512195122 |       0.3       |
|  42  |  NON-REL   | 0.214285714286 |       0.3       |
|  43  |  NON-REL   | 0.209302325581 |       0.3       |
|  44  |  NON-REL   | 0.204545454545 |       0.3       |
|  45  |  NON-REL   |      0.2       |       0.3       |
|  46  |  NON-REL   | 0.195652173913 |       0.3       |
|  47  |  NON-REL   | 0.191489361702 |       0.3       |
|  48  |  NON-REL   |     0.1875     |       0.3       |
|  49  |    REL     | 0.204081632653 |  0.333333333333 |
|  50  |  NON-REL   |      0.2       |  0.333333333333 |
|  51  |  NON-REL   | 0.196078431373 |  0.333333333333 |
|  52  |  NON-REL   | 0.192307692308 |  0.333333333333 |
|  53  |  NON-REL   | 0.188679245283 |  0.333333333333 |
|  54  |  NON-REL   | 0.185185185185 |  0.333333333333 |
|  55  |  NON-REL   | 0.181818181818 |  0.333333333333 |
|  56  |  NON-REL   | 0.178571428571 |  0.333333333333 |
|  57  |  NON-REL   | 0.175438596491 |  0.333333333333 |
|  58  |  NON-REL   | 0.172413793103 |  0.333333333333 |
|  59  |  NON-REL   | 0.169491525424 |  0.333333333333 |
|  60  |  NON-REL   | 0.166666666667 |  0.333333333333 |
|  61  |  NON-REL   | 0.16393442623  |  0.333333333333 |
|  62  |  NON-REL   | 0.161290322581 |  0.333333333333 |
|  63  |  NON-REL   | 0.15873015873  |  0.333333333333 |
|  64  |  NON-REL   |    0.15625     |  0.333333333333 |
|  65  |  NON-REL   | 0.153846153846 |  0.333333333333 |
|  66  |  NON-REL   | 0.151515151515 |  0.333333333333 |
|  67  |  NON-REL   | 0.149253731343 |  0.333333333333 |
|  68  |  NON-REL   | 0.147058823529 |  0.333333333333 |
|  69  |  NON-REL   | 0.144927536232 |  0.333333333333 |
|  70  |  NON-REL   | 0.142857142857 |  0.333333333333 |
|  71  |  NON-REL   | 0.140845070423 |  0.333333333333 |
|  72  |  NON-REL   | 0.138888888889 |  0.333333333333 |
|  73  |  NON-REL   | 0.13698630137  |  0.333333333333 |
|  74  |  NON-REL   | 0.135135135135 |  0.333333333333 |
|  75  |  NON-REL   | 0.133333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.131578947368 |  0.333333333333 |
|  77  |  NON-REL   | 0.12987012987  |  0.333333333333 |
|  78  |  NON-REL   | 0.128205128205 |  0.333333333333 |
|  79  |  NON-REL   | 0.126582278481 |  0.333333333333 |
|  80  |  NON-REL   |     0.125      |  0.333333333333 |
|  81  |  NON-REL   | 0.123456790123 |  0.333333333333 |
|  82  |  NON-REL   | 0.121951219512 |  0.333333333333 |
|  83  |  NON-REL   | 0.120481927711 |  0.333333333333 |
|  84  |  NON-REL   | 0.119047619048 |  0.333333333333 |
|  85  |  NON-REL   | 0.117647058824 |  0.333333333333 |
|  86  |  NON-REL   | 0.116279069767 |  0.333333333333 |
|  87  |  NON-REL   | 0.114942528736 |  0.333333333333 |
|  88  |  NON-REL   | 0.113636363636 |  0.333333333333 |
|  89  |  NON-REL   | 0.112359550562 |  0.333333333333 |
|  90  |  NON-REL   | 0.111111111111 |  0.333333333333 |
|  91  |  NON-REL   | 0.10989010989  |  0.333333333333 |
|  92  |  NON-REL   | 0.108695652174 |  0.333333333333 |
|  93  |  NON-REL   | 0.10752688172  |  0.333333333333 |
|  94  |  NON-REL   | 0.106382978723 |  0.333333333333 |
|  95  |  NON-REL   | 0.105263157895 |  0.333333333333 |
|  96  |  NON-REL   | 0.104166666667 |  0.333333333333 |
|  97  |  NON-REL   | 0.103092783505 |  0.333333333333 |
|  98  |  NON-REL   | 0.102040816327 |  0.333333333333 |
|  99  |  NON-REL   | 0.10101010101  |  0.333333333333 |
| 100  |  NON-REL   |      0.1       |  0.333333333333 |
+------+------------+----------------+-----------------+
