query_59: ctionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods applied english spelling natural language problems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |    REL     | 0.333333333333 | 0.0232558139535 |
|  4   |  NON-REL   |      0.25      | 0.0232558139535 |
|  5   |  NON-REL   |      0.2       | 0.0232558139535 |
|  6   |  NON-REL   | 0.166666666667 | 0.0232558139535 |
|  7   |    REL     | 0.285714285714 |  0.046511627907 |
|  8   |  NON-REL   |      0.25      |  0.046511627907 |
|  9   |    REL     | 0.333333333333 | 0.0697674418605 |
|  10  |  NON-REL   |      0.3       | 0.0697674418605 |
|  11  |    REL     | 0.363636363636 |  0.093023255814 |
|  12  |  NON-REL   | 0.333333333333 |  0.093023255814 |
|  13  |  NON-REL   | 0.307692307692 |  0.093023255814 |
|  14  |  NON-REL   | 0.285714285714 |  0.093023255814 |
|  15  |  NON-REL   | 0.266666666667 |  0.093023255814 |
|  16  |  NON-REL   |      0.25      |  0.093023255814 |
|  17  |  NON-REL   | 0.235294117647 |  0.093023255814 |
|  18  |  NON-REL   | 0.222222222222 |  0.093023255814 |
|  19  |    REL     | 0.263157894737 |  0.116279069767 |
|  20  |  NON-REL   |      0.25      |  0.116279069767 |
|  21  |  NON-REL   | 0.238095238095 |  0.116279069767 |
|  22  |  NON-REL   | 0.227272727273 |  0.116279069767 |
|  23  |  NON-REL   | 0.217391304348 |  0.116279069767 |
|  24  |  NON-REL   | 0.208333333333 |  0.116279069767 |
|  25  |    REL     |      0.24      |  0.139534883721 |
|  26  |  NON-REL   | 0.230769230769 |  0.139534883721 |
|  27  |  NON-REL   | 0.222222222222 |  0.139534883721 |
|  28  |  NON-REL   | 0.214285714286 |  0.139534883721 |
|  29  |  NON-REL   | 0.206896551724 |  0.139534883721 |
|  30  |  NON-REL   |      0.2       |  0.139534883721 |
|  31  |  NON-REL   | 0.193548387097 |  0.139534883721 |
|  32  |  NON-REL   |     0.1875     |  0.139534883721 |
|  33  |  NON-REL   | 0.181818181818 |  0.139534883721 |
|  34  |  NON-REL   | 0.176470588235 |  0.139534883721 |
|  35  |    REL     |      0.2       |  0.162790697674 |
|  36  |  NON-REL   | 0.194444444444 |  0.162790697674 |
|  37  |    REL     | 0.216216216216 |  0.186046511628 |
|  38  |  NON-REL   | 0.210526315789 |  0.186046511628 |
|  39  |  NON-REL   | 0.205128205128 |  0.186046511628 |
|  40  |  NON-REL   |      0.2       |  0.186046511628 |
|  41  |  NON-REL   | 0.19512195122  |  0.186046511628 |
|  42  |  NON-REL   | 0.190476190476 |  0.186046511628 |
|  43  |  NON-REL   | 0.186046511628 |  0.186046511628 |
|  44  |  NON-REL   | 0.181818181818 |  0.186046511628 |
|  45  |  NON-REL   | 0.177777777778 |  0.186046511628 |
|  46  |  NON-REL   | 0.173913043478 |  0.186046511628 |
|  47  |  NON-REL   | 0.170212765957 |  0.186046511628 |
|  48  |  NON-REL   | 0.166666666667 |  0.186046511628 |
|  49  |  NON-REL   | 0.163265306122 |  0.186046511628 |
|  50  |  NON-REL   |      0.16      |  0.186046511628 |
|  51  |  NON-REL   | 0.156862745098 |  0.186046511628 |
|  52  |  NON-REL   | 0.153846153846 |  0.186046511628 |
|  53  |  NON-REL   | 0.150943396226 |  0.186046511628 |
|  54  |  NON-REL   | 0.148148148148 |  0.186046511628 |
|  55  |  NON-REL   | 0.145454545455 |  0.186046511628 |
|  56  |  NON-REL   | 0.142857142857 |  0.186046511628 |
|  57  |  NON-REL   | 0.140350877193 |  0.186046511628 |
|  58  |  NON-REL   | 0.137931034483 |  0.186046511628 |
|  59  |  NON-REL   | 0.135593220339 |  0.186046511628 |
|  60  |  NON-REL   | 0.133333333333 |  0.186046511628 |
|  61  |  NON-REL   | 0.131147540984 |  0.186046511628 |
|  62  |  NON-REL   | 0.129032258065 |  0.186046511628 |
|  63  |  NON-REL   | 0.126984126984 |  0.186046511628 |
|  64  |  NON-REL   |     0.125      |  0.186046511628 |
|  65  |  NON-REL   | 0.123076923077 |  0.186046511628 |
|  66  |  NON-REL   | 0.121212121212 |  0.186046511628 |
|  67  |  NON-REL   | 0.119402985075 |  0.186046511628 |
|  68  |    REL     | 0.132352941176 |  0.209302325581 |
|  69  |    REL     | 0.144927536232 |  0.232558139535 |
|  70  |  NON-REL   | 0.142857142857 |  0.232558139535 |
|  71  |  NON-REL   | 0.140845070423 |  0.232558139535 |
|  72  |  NON-REL   | 0.138888888889 |  0.232558139535 |
|  73  |  NON-REL   | 0.13698630137  |  0.232558139535 |
|  74  |  NON-REL   | 0.135135135135 |  0.232558139535 |
|  75  |  NON-REL   | 0.133333333333 |  0.232558139535 |
|  76  |  NON-REL   | 0.131578947368 |  0.232558139535 |
|  77  |  NON-REL   | 0.12987012987  |  0.232558139535 |
|  78  |  NON-REL   | 0.128205128205 |  0.232558139535 |
|  79  |  NON-REL   | 0.126582278481 |  0.232558139535 |
|  80  |  NON-REL   |     0.125      |  0.232558139535 |
|  81  |  NON-REL   | 0.123456790123 |  0.232558139535 |
|  82  |  NON-REL   | 0.121951219512 |  0.232558139535 |
|  83  |  NON-REL   | 0.120481927711 |  0.232558139535 |
|  84  |  NON-REL   | 0.119047619048 |  0.232558139535 |
|  85  |  NON-REL   | 0.117647058824 |  0.232558139535 |
|  86  |  NON-REL   | 0.116279069767 |  0.232558139535 |
|  87  |  NON-REL   | 0.114942528736 |  0.232558139535 |
|  88  |  NON-REL   | 0.113636363636 |  0.232558139535 |
|  89  |  NON-REL   | 0.112359550562 |  0.232558139535 |
|  90  |    REL     | 0.122222222222 |  0.255813953488 |
|  91  |    REL     | 0.131868131868 |  0.279069767442 |
|  92  |  NON-REL   | 0.130434782609 |  0.279069767442 |
|  93  |    REL     | 0.139784946237 |  0.302325581395 |
|  94  |  NON-REL   | 0.13829787234  |  0.302325581395 |
|  95  |  NON-REL   | 0.136842105263 |  0.302325581395 |
|  96  |  NON-REL   | 0.135416666667 |  0.302325581395 |
|  97  |  NON-REL   | 0.134020618557 |  0.302325581395 |
|  98  |  NON-REL   | 0.132653061224 |  0.302325581395 |
|  99  |  NON-REL   | 0.131313131313 |  0.302325581395 |
| 100  |  NON-REL   |      0.13      |  0.302325581395 |
+------+------------+----------------+-----------------+
