query_60: rdware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       |  0.037037037037 |
|  2   |  NON-REL   |      0.5       |  0.037037037037 |
|  3   |    REL     | 0.666666666667 | 0.0740740740741 |
|  4   |    REL     |      0.75      |  0.111111111111 |
|  5   |  NON-REL   |      0.6       |  0.111111111111 |
|  6   |  NON-REL   |      0.5       |  0.111111111111 |
|  7   |    REL     | 0.571428571429 |  0.148148148148 |
|  8   |    REL     |     0.625      |  0.185185185185 |
|  9   |  NON-REL   | 0.555555555556 |  0.185185185185 |
|  10  |  NON-REL   |      0.5       |  0.185185185185 |
|  11  |  NON-REL   | 0.454545454545 |  0.185185185185 |
|  12  |  NON-REL   | 0.416666666667 |  0.185185185185 |
|  13  |  NON-REL   | 0.384615384615 |  0.185185185185 |
|  14  |  NON-REL   | 0.357142857143 |  0.185185185185 |
|  15  |  NON-REL   | 0.333333333333 |  0.185185185185 |
|  16  |  NON-REL   |     0.3125     |  0.185185185185 |
|  17  |  NON-REL   | 0.294117647059 |  0.185185185185 |
|  18  |  NON-REL   | 0.277777777778 |  0.185185185185 |
|  19  |  NON-REL   | 0.263157894737 |  0.185185185185 |
|  20  |  NON-REL   |      0.25      |  0.185185185185 |
|  21  |  NON-REL   | 0.238095238095 |  0.185185185185 |
|  22  |  NON-REL   | 0.227272727273 |  0.185185185185 |
|  23  |  NON-REL   | 0.217391304348 |  0.185185185185 |
|  24  |  NON-REL   | 0.208333333333 |  0.185185185185 |
|  25  |  NON-REL   |      0.2       |  0.185185185185 |
|  26  |    REL     | 0.230769230769 |  0.222222222222 |
|  27  |  NON-REL   | 0.222222222222 |  0.222222222222 |
|  28  |  NON-REL   | 0.214285714286 |  0.222222222222 |
|  29  |  NON-REL   | 0.206896551724 |  0.222222222222 |
|  30  |  NON-REL   |      0.2       |  0.222222222222 |
|  31  |  NON-REL   | 0.193548387097 |  0.222222222222 |
|  32  |  NON-REL   |     0.1875     |  0.222222222222 |
|  33  |  NON-REL   | 0.181818181818 |  0.222222222222 |
|  34  |  NON-REL   | 0.176470588235 |  0.222222222222 |
|  35  |  NON-REL   | 0.171428571429 |  0.222222222222 |
|  36  |    REL     | 0.194444444444 |  0.259259259259 |
|  37  |  NON-REL   | 0.189189189189 |  0.259259259259 |
|  38  |  NON-REL   | 0.184210526316 |  0.259259259259 |
|  39  |  NON-REL   | 0.179487179487 |  0.259259259259 |
|  40  |  NON-REL   |     0.175      |  0.259259259259 |
|  41  |    REL     | 0.19512195122  |  0.296296296296 |
|  42  |  NON-REL   | 0.190476190476 |  0.296296296296 |
|  43  |  NON-REL   | 0.186046511628 |  0.296296296296 |
|  44  |  NON-REL   | 0.181818181818 |  0.296296296296 |
|  45  |  NON-REL   | 0.177777777778 |  0.296296296296 |
|  46  |  NON-REL   | 0.173913043478 |  0.296296296296 |
|  47  |  NON-REL   | 0.170212765957 |  0.296296296296 |
|  48  |  NON-REL   | 0.166666666667 |  0.296296296296 |
|  49  |  NON-REL   | 0.163265306122 |  0.296296296296 |
|  50  |  NON-REL   |      0.16      |  0.296296296296 |
|  51  |  NON-REL   | 0.156862745098 |  0.296296296296 |
|  52  |    REL     | 0.173076923077 |  0.333333333333 |
|  53  |  NON-REL   | 0.169811320755 |  0.333333333333 |
|  54  |  NON-REL   | 0.166666666667 |  0.333333333333 |
|  55  |  NON-REL   | 0.163636363636 |  0.333333333333 |
|  56  |  NON-REL   | 0.160714285714 |  0.333333333333 |
|  57  |  NON-REL   | 0.157894736842 |  0.333333333333 |
|  58  |  NON-REL   | 0.155172413793 |  0.333333333333 |
|  59  |  NON-REL   | 0.152542372881 |  0.333333333333 |
|  60  |  NON-REL   |      0.15      |  0.333333333333 |
|  61  |  NON-REL   | 0.147540983607 |  0.333333333333 |
|  62  |  NON-REL   | 0.145161290323 |  0.333333333333 |
|  63  |  NON-REL   | 0.142857142857 |  0.333333333333 |
|  64  |  NON-REL   |    0.140625    |  0.333333333333 |
|  65  |  NON-REL   | 0.138461538462 |  0.333333333333 |
|  66  |  NON-REL   | 0.136363636364 |  0.333333333333 |
|  67  |  NON-REL   | 0.134328358209 |  0.333333333333 |
|  68  |  NON-REL   | 0.132352941176 |  0.333333333333 |
|  69  |  NON-REL   | 0.130434782609 |  0.333333333333 |
|  70  |  NON-REL   | 0.128571428571 |  0.333333333333 |
|  71  |  NON-REL   | 0.12676056338  |  0.333333333333 |
|  72  |  NON-REL   |     0.125      |  0.333333333333 |
|  73  |  NON-REL   | 0.123287671233 |  0.333333333333 |
|  74  |  NON-REL   | 0.121621621622 |  0.333333333333 |
|  75  |  NON-REL   |      0.12      |  0.333333333333 |
|  76  |  NON-REL   | 0.118421052632 |  0.333333333333 |
|  77  |  NON-REL   | 0.116883116883 |  0.333333333333 |
|  78  |  NON-REL   | 0.115384615385 |  0.333333333333 |
|  79  |  NON-REL   | 0.113924050633 |  0.333333333333 |
|  80  |  NON-REL   |     0.1125     |  0.333333333333 |
|  81  |  NON-REL   | 0.111111111111 |  0.333333333333 |
|  82  |  NON-REL   | 0.109756097561 |  0.333333333333 |
|  83  |  NON-REL   | 0.10843373494  |  0.333333333333 |
|  84  |    REL     | 0.119047619048 |  0.37037037037  |
|  85  |  NON-REL   | 0.117647058824 |  0.37037037037  |
|  86  |  NON-REL   | 0.116279069767 |  0.37037037037  |
|  87  |    REL     | 0.126436781609 |  0.407407407407 |
|  88  |  NON-REL   |     0.125      |  0.407407407407 |
|  89  |  NON-REL   | 0.123595505618 |  0.407407407407 |
|  90  |  NON-REL   | 0.122222222222 |  0.407407407407 |
|  91  |  NON-REL   | 0.120879120879 |  0.407407407407 |
|  92  |    REL     | 0.130434782609 |  0.444444444444 |
|  93  |  NON-REL   | 0.129032258065 |  0.444444444444 |
|  94  |  NON-REL   | 0.127659574468 |  0.444444444444 |
|  95  |  NON-REL   | 0.126315789474 |  0.444444444444 |
|  96  |  NON-REL   |     0.125      |  0.444444444444 |
|  97  |  NON-REL   | 0.123711340206 |  0.444444444444 |
|  98  |  NON-REL   | 0.122448979592 |  0.444444444444 |
|  99  |    REL     | 0.131313131313 |  0.481481481481 |
| 100  |  NON-REL   |      0.13      |  0.481481481481 |
+------+------------+----------------+-----------------+
