query_61: formation retrieval articles gerard salton clustering bibliographic coupling citations co-citations vector space model boolean search methods inverted feedback salton
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0322580645161 |
|  2   |    REL     |      1.0       | 0.0645161290323 |
|  3   |    REL     |      1.0       | 0.0967741935484 |
|  4   |    REL     |      1.0       |  0.129032258065 |
|  5   |    REL     |      1.0       |  0.161290322581 |
|  6   |    REL     |      1.0       |  0.193548387097 |
|  7   |  NON-REL   | 0.857142857143 |  0.193548387097 |
|  8   |  NON-REL   |      0.75      |  0.193548387097 |
|  9   |  NON-REL   | 0.666666666667 |  0.193548387097 |
|  10  |  NON-REL   |      0.6       |  0.193548387097 |
|  11  |  NON-REL   | 0.545454545455 |  0.193548387097 |
|  12  |  NON-REL   |      0.5       |  0.193548387097 |
|  13  |  NON-REL   | 0.461538461538 |  0.193548387097 |
|  14  |  NON-REL   | 0.428571428571 |  0.193548387097 |
|  15  |  NON-REL   |      0.4       |  0.193548387097 |
|  16  |  NON-REL   |     0.375      |  0.193548387097 |
|  17  |  NON-REL   | 0.352941176471 |  0.193548387097 |
|  18  |  NON-REL   | 0.333333333333 |  0.193548387097 |
|  19  |  NON-REL   | 0.315789473684 |  0.193548387097 |
|  20  |  NON-REL   |      0.3       |  0.193548387097 |
|  21  |  NON-REL   | 0.285714285714 |  0.193548387097 |
|  22  |    REL     | 0.318181818182 |  0.225806451613 |
|  23  |  NON-REL   | 0.304347826087 |  0.225806451613 |
|  24  |  NON-REL   | 0.291666666667 |  0.225806451613 |
|  25  |  NON-REL   |      0.28      |  0.225806451613 |
|  26  |    REL     | 0.307692307692 |  0.258064516129 |
|  27  |  NON-REL   | 0.296296296296 |  0.258064516129 |
|  28  |  NON-REL   | 0.285714285714 |  0.258064516129 |
|  29  |  NON-REL   | 0.275862068966 |  0.258064516129 |
|  30  |  NON-REL   | 0.266666666667 |  0.258064516129 |
|  31  |  NON-REL   | 0.258064516129 |  0.258064516129 |
|  32  |  NON-REL   |      0.25      |  0.258064516129 |
|  33  |  NON-REL   | 0.242424242424 |  0.258064516129 |
|  34  |  NON-REL   | 0.235294117647 |  0.258064516129 |
|  35  |  NON-REL   | 0.228571428571 |  0.258064516129 |
|  36  |  NON-REL   | 0.222222222222 |  0.258064516129 |
|  37  |  NON-REL   | 0.216216216216 |  0.258064516129 |
|  38  |    REL     | 0.236842105263 |  0.290322580645 |
|  39  |    REL     | 0.25641025641  |  0.322580645161 |
|  40  |  NON-REL   |      0.25      |  0.322580645161 |
|  41  |  NON-REL   | 0.243902439024 |  0.322580645161 |
|  42  |  NON-REL   | 0.238095238095 |  0.322580645161 |
|  43  |  NON-REL   | 0.232558139535 |  0.322580645161 |
|  44  |  NON-REL   | 0.227272727273 |  0.322580645161 |
|  45  |  NON-REL   | 0.222222222222 |  0.322580645161 |
|  46  |  NON-REL   | 0.217391304348 |  0.322580645161 |
|  47  |  NON-REL   | 0.212765957447 |  0.322580645161 |
|  48  |    REL     | 0.229166666667 |  0.354838709677 |
|  49  |  NON-REL   | 0.224489795918 |  0.354838709677 |
|  50  |  NON-REL   |      0.22      |  0.354838709677 |
|  51  |  NON-REL   | 0.21568627451  |  0.354838709677 |
|  52  |  NON-REL   | 0.211538461538 |  0.354838709677 |
|  53  |  NON-REL   | 0.207547169811 |  0.354838709677 |
|  54  |  NON-REL   | 0.203703703704 |  0.354838709677 |
|  55  |  NON-REL   |      0.2       |  0.354838709677 |
|  56  |  NON-REL   | 0.196428571429 |  0.354838709677 |
|  57  |  NON-REL   | 0.19298245614  |  0.354838709677 |
|  58  |  NON-REL   | 0.189655172414 |  0.354838709677 |
|  59  |  NON-REL   | 0.186440677966 |  0.354838709677 |
|  60  |  NON-REL   | 0.183333333333 |  0.354838709677 |
|  61  |  NON-REL   | 0.180327868852 |  0.354838709677 |
|  62  |  NON-REL   | 0.177419354839 |  0.354838709677 |
|  63  |  NON-REL   | 0.174603174603 |  0.354838709677 |
|  64  |  NON-REL   |    0.171875    |  0.354838709677 |
|  65  |  NON-REL   | 0.169230769231 |  0.354838709677 |
|  66  |  NON-REL   | 0.166666666667 |  0.354838709677 |
|  67  |  NON-REL   | 0.164179104478 |  0.354838709677 |
|  68  |  NON-REL   | 0.161764705882 |  0.354838709677 |
|  69  |  NON-REL   | 0.159420289855 |  0.354838709677 |
|  70  |  NON-REL   | 0.157142857143 |  0.354838709677 |
|  71  |  NON-REL   | 0.154929577465 |  0.354838709677 |
|  72  |  NON-REL   | 0.152777777778 |  0.354838709677 |
|  73  |  NON-REL   | 0.150684931507 |  0.354838709677 |
|  74  |  NON-REL   | 0.148648648649 |  0.354838709677 |
|  75  |  NON-REL   | 0.146666666667 |  0.354838709677 |
|  76  |  NON-REL   | 0.144736842105 |  0.354838709677 |
|  77  |  NON-REL   | 0.142857142857 |  0.354838709677 |
|  78  |  NON-REL   | 0.141025641026 |  0.354838709677 |
|  79  |  NON-REL   | 0.139240506329 |  0.354838709677 |
|  80  |  NON-REL   |     0.1375     |  0.354838709677 |
|  81  |  NON-REL   | 0.135802469136 |  0.354838709677 |
|  82  |  NON-REL   | 0.134146341463 |  0.354838709677 |
|  83  |  NON-REL   | 0.132530120482 |  0.354838709677 |
|  84  |  NON-REL   | 0.130952380952 |  0.354838709677 |
|  85  |  NON-REL   | 0.129411764706 |  0.354838709677 |
|  86  |    REL     | 0.139534883721 |  0.387096774194 |
|  87  |  NON-REL   | 0.137931034483 |  0.387096774194 |
|  88  |  NON-REL   | 0.136363636364 |  0.387096774194 |
|  89  |  NON-REL   | 0.134831460674 |  0.387096774194 |
|  90  |  NON-REL   | 0.133333333333 |  0.387096774194 |
|  91  |  NON-REL   | 0.131868131868 |  0.387096774194 |
|  92  |  NON-REL   | 0.130434782609 |  0.387096774194 |
|  93  |  NON-REL   | 0.129032258065 |  0.387096774194 |
|  94  |    REL     | 0.13829787234  |  0.41935483871  |
|  95  |  NON-REL   | 0.136842105263 |  0.41935483871  |
|  96  |  NON-REL   | 0.135416666667 |  0.41935483871  |
|  97  |  NON-REL   | 0.134020618557 |  0.41935483871  |
|  98  |  NON-REL   | 0.132653061224 |  0.41935483871  |
|  99  |  NON-REL   | 0.131313131313 |  0.41935483871  |
| 100  |  NON-REL   |      0.13      |  0.41935483871  |
+------+------------+----------------+-----------------+
