query_62: sults relating parallel complexity theory pram uniform circuits
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |    REL     |      0.125      | 0.125  |
|  9   |  NON-REL   |  0.111111111111 | 0.125  |
|  10  |  NON-REL   |       0.1       | 0.125  |
|  11  |  NON-REL   | 0.0909090909091 | 0.125  |
|  12  |  NON-REL   | 0.0833333333333 | 0.125  |
|  13  |  NON-REL   | 0.0769230769231 | 0.125  |
|  14  |  NON-REL   | 0.0714285714286 | 0.125  |
|  15  |  NON-REL   | 0.0666666666667 | 0.125  |
|  16  |    REL     |      0.125      |  0.25  |
|  17  |  NON-REL   |  0.117647058824 |  0.25  |
|  18  |  NON-REL   |  0.111111111111 |  0.25  |
|  19  |  NON-REL   |  0.105263157895 |  0.25  |
|  20  |  NON-REL   |       0.1       |  0.25  |
|  21  |  NON-REL   | 0.0952380952381 |  0.25  |
|  22  |  NON-REL   | 0.0909090909091 |  0.25  |
|  23  |  NON-REL   | 0.0869565217391 |  0.25  |
|  24  |  NON-REL   | 0.0833333333333 |  0.25  |
|  25  |  NON-REL   |       0.08      |  0.25  |
|  26  |  NON-REL   | 0.0769230769231 |  0.25  |
|  27  |  NON-REL   | 0.0740740740741 |  0.25  |
|  28  |  NON-REL   | 0.0714285714286 |  0.25  |
|  29  |  NON-REL   | 0.0689655172414 |  0.25  |
|  30  |  NON-REL   | 0.0666666666667 |  0.25  |
|  31  |  NON-REL   | 0.0645161290323 |  0.25  |
|  32  |  NON-REL   |      0.0625     |  0.25  |
|  33  |  NON-REL   | 0.0606060606061 |  0.25  |
|  34  |  NON-REL   | 0.0588235294118 |  0.25  |
|  35  |  NON-REL   | 0.0571428571429 |  0.25  |
|  36  |  NON-REL   | 0.0555555555556 |  0.25  |
|  37  |  NON-REL   | 0.0540540540541 |  0.25  |
|  38  |  NON-REL   | 0.0526315789474 |  0.25  |
|  39  |  NON-REL   | 0.0512820512821 |  0.25  |
|  40  |  NON-REL   |       0.05      |  0.25  |
|  41  |  NON-REL   | 0.0487804878049 |  0.25  |
|  42  |  NON-REL   |  0.047619047619 |  0.25  |
|  43  |  NON-REL   |  0.046511627907 |  0.25  |
|  44  |  NON-REL   | 0.0454545454545 |  0.25  |
|  45  |    REL     | 0.0666666666667 | 0.375  |
|  46  |  NON-REL   | 0.0652173913043 | 0.375  |
|  47  |  NON-REL   |  0.063829787234 | 0.375  |
|  48  |  NON-REL   |      0.0625     | 0.375  |
|  49  |  NON-REL   | 0.0612244897959 | 0.375  |
|  50  |  NON-REL   |       0.06      | 0.375  |
|  51  |  NON-REL   | 0.0588235294118 | 0.375  |
|  52  |  NON-REL   | 0.0576923076923 | 0.375  |
|  53  |  NON-REL   | 0.0566037735849 | 0.375  |
|  54  |  NON-REL   | 0.0555555555556 | 0.375  |
|  55  |  NON-REL   | 0.0545454545455 | 0.375  |
|  56  |  NON-REL   | 0.0535714285714 | 0.375  |
|  57  |  NON-REL   | 0.0526315789474 | 0.375  |
|  58  |  NON-REL   |  0.051724137931 | 0.375  |
|  59  |  NON-REL   | 0.0508474576271 | 0.375  |
|  60  |    REL     | 0.0666666666667 |  0.5   |
|  61  |  NON-REL   | 0.0655737704918 |  0.5   |
|  62  |  NON-REL   | 0.0645161290323 |  0.5   |
|  63  |  NON-REL   | 0.0634920634921 |  0.5   |
|  64  |  NON-REL   |      0.0625     |  0.5   |
|  65  |  NON-REL   | 0.0615384615385 |  0.5   |
|  66  |  NON-REL   | 0.0606060606061 |  0.5   |
|  67  |  NON-REL   | 0.0597014925373 |  0.5   |
|  68  |  NON-REL   | 0.0588235294118 |  0.5   |
|  69  |  NON-REL   | 0.0579710144928 |  0.5   |
|  70  |  NON-REL   | 0.0571428571429 |  0.5   |
|  71  |  NON-REL   |  0.056338028169 |  0.5   |
|  72  |  NON-REL   | 0.0555555555556 |  0.5   |
|  73  |    REL     | 0.0684931506849 | 0.625  |
|  74  |  NON-REL   | 0.0675675675676 | 0.625  |
|  75  |  NON-REL   | 0.0666666666667 | 0.625  |
|  76  |  NON-REL   | 0.0657894736842 | 0.625  |
|  77  |  NON-REL   | 0.0649350649351 | 0.625  |
|  78  |  NON-REL   | 0.0641025641026 | 0.625  |
|  79  |  NON-REL   | 0.0632911392405 | 0.625  |
|  80  |  NON-REL   |      0.0625     | 0.625  |
|  81  |    REL     | 0.0740740740741 |  0.75  |
|  82  |  NON-REL   | 0.0731707317073 |  0.75  |
|  83  |  NON-REL   | 0.0722891566265 |  0.75  |
|  84  |  NON-REL   | 0.0714285714286 |  0.75  |
|  85  |  NON-REL   | 0.0705882352941 |  0.75  |
|  86  |  NON-REL   | 0.0697674418605 |  0.75  |
|  87  |  NON-REL   | 0.0689655172414 |  0.75  |
|  88  |  NON-REL   | 0.0681818181818 |  0.75  |
|  89  |  NON-REL   | 0.0674157303371 |  0.75  |
|  90  |  NON-REL   | 0.0666666666667 |  0.75  |
|  91  |  NON-REL   | 0.0659340659341 |  0.75  |
|  92  |  NON-REL   | 0.0652173913043 |  0.75  |
|  93  |  NON-REL   | 0.0645161290323 |  0.75  |
|  94  |  NON-REL   |  0.063829787234 |  0.75  |
|  95  |  NON-REL   | 0.0631578947368 |  0.75  |
|  96  |  NON-REL   |      0.0625     |  0.75  |
|  97  |  NON-REL   | 0.0618556701031 |  0.75  |
|  98  |  NON-REL   | 0.0612244897959 |  0.75  |
|  99  |  NON-REL   | 0.0606060606061 |  0.75  |
| 100  |  NON-REL   |       0.06      |  0.75  |
+------+------------+-----------------+--------+
