query_63: gorithms parallel computation especially comparisons parallel sequential algorithms
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0833333333333 |
|  2   |  NON-REL   |      0.5       | 0.0833333333333 |
|  3   |  NON-REL   | 0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |      0.25      | 0.0833333333333 |
|  5   |    REL     |      0.4       |  0.166666666667 |
|  6   |  NON-REL   | 0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   | 0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |      0.25      |  0.166666666667 |
|  9   |  NON-REL   | 0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |      0.2       |  0.166666666667 |
|  11  |  NON-REL   | 0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   | 0.166666666667 |  0.166666666667 |
|  13  |    REL     | 0.230769230769 |       0.25      |
|  14  |  NON-REL   | 0.214285714286 |       0.25      |
|  15  |  NON-REL   |      0.2       |       0.25      |
|  16  |    REL     |      0.25      |  0.333333333333 |
|  17  |    REL     | 0.294117647059 |  0.416666666667 |
|  18  |  NON-REL   | 0.277777777778 |  0.416666666667 |
|  19  |  NON-REL   | 0.263157894737 |  0.416666666667 |
|  20  |  NON-REL   |      0.25      |  0.416666666667 |
|  21  |    REL     | 0.285714285714 |       0.5       |
|  22  |    REL     | 0.318181818182 |  0.583333333333 |
|  23  |  NON-REL   | 0.304347826087 |  0.583333333333 |
|  24  |  NON-REL   | 0.291666666667 |  0.583333333333 |
|  25  |  NON-REL   |      0.28      |  0.583333333333 |
|  26  |  NON-REL   | 0.269230769231 |  0.583333333333 |
|  27  |  NON-REL   | 0.259259259259 |  0.583333333333 |
|  28  |  NON-REL   |      0.25      |  0.583333333333 |
|  29  |  NON-REL   | 0.241379310345 |  0.583333333333 |
|  30  |  NON-REL   | 0.233333333333 |  0.583333333333 |
|  31  |  NON-REL   | 0.225806451613 |  0.583333333333 |
|  32  |    REL     |      0.25      |  0.666666666667 |
|  33  |    REL     | 0.272727272727 |       0.75      |
|  34  |  NON-REL   | 0.264705882353 |       0.75      |
|  35  |  NON-REL   | 0.257142857143 |       0.75      |
|  36  |  NON-REL   |      0.25      |       0.75      |
|  37  |  NON-REL   | 0.243243243243 |       0.75      |
|  38  |  NON-REL   | 0.236842105263 |       0.75      |
|  39  |  NON-REL   | 0.230769230769 |       0.75      |
|  40  |  NON-REL   |     0.225      |       0.75      |
|  41  |  NON-REL   | 0.219512195122 |       0.75      |
|  42  |  NON-REL   | 0.214285714286 |       0.75      |
|  43  |  NON-REL   | 0.209302325581 |       0.75      |
|  44  |  NON-REL   | 0.204545454545 |       0.75      |
|  45  |  NON-REL   |      0.2       |       0.75      |
|  46  |  NON-REL   | 0.195652173913 |       0.75      |
|  47  |    REL     | 0.212765957447 |  0.833333333333 |
|  48  |  NON-REL   | 0.208333333333 |  0.833333333333 |
|  49  |  NON-REL   | 0.204081632653 |  0.833333333333 |
|  50  |  NON-REL   |      0.2       |  0.833333333333 |
|  51  |  NON-REL   | 0.196078431373 |  0.833333333333 |
|  52  |  NON-REL   | 0.192307692308 |  0.833333333333 |
|  53  |  NON-REL   | 0.188679245283 |  0.833333333333 |
|  54  |  NON-REL   | 0.185185185185 |  0.833333333333 |
|  55  |  NON-REL   | 0.181818181818 |  0.833333333333 |
|  56  |  NON-REL   | 0.178571428571 |  0.833333333333 |
|  57  |  NON-REL   | 0.175438596491 |  0.833333333333 |
|  58  |  NON-REL   | 0.172413793103 |  0.833333333333 |
|  59  |  NON-REL   | 0.169491525424 |  0.833333333333 |
|  60  |  NON-REL   | 0.166666666667 |  0.833333333333 |
|  61  |  NON-REL   | 0.16393442623  |  0.833333333333 |
|  62  |  NON-REL   | 0.161290322581 |  0.833333333333 |
|  63  |  NON-REL   | 0.15873015873  |  0.833333333333 |
|  64  |    REL     |    0.171875    |  0.916666666667 |
|  65  |  NON-REL   | 0.169230769231 |  0.916666666667 |
|  66  |  NON-REL   | 0.166666666667 |  0.916666666667 |
|  67  |  NON-REL   | 0.164179104478 |  0.916666666667 |
|  68  |  NON-REL   | 0.161764705882 |  0.916666666667 |
|  69  |  NON-REL   | 0.159420289855 |  0.916666666667 |
|  70  |  NON-REL   | 0.157142857143 |  0.916666666667 |
|  71  |  NON-REL   | 0.154929577465 |  0.916666666667 |
|  72  |  NON-REL   | 0.152777777778 |  0.916666666667 |
|  73  |  NON-REL   | 0.150684931507 |  0.916666666667 |
|  74  |  NON-REL   | 0.148648648649 |  0.916666666667 |
|  75  |  NON-REL   | 0.146666666667 |  0.916666666667 |
|  76  |  NON-REL   | 0.144736842105 |  0.916666666667 |
|  77  |  NON-REL   | 0.142857142857 |  0.916666666667 |
|  78  |  NON-REL   | 0.141025641026 |  0.916666666667 |
|  79  |  NON-REL   | 0.139240506329 |  0.916666666667 |
|  80  |  NON-REL   |     0.1375     |  0.916666666667 |
|  81  |  NON-REL   | 0.135802469136 |  0.916666666667 |
|  82  |  NON-REL   | 0.134146341463 |  0.916666666667 |
|  83  |  NON-REL   | 0.132530120482 |  0.916666666667 |
|  84  |  NON-REL   | 0.130952380952 |  0.916666666667 |
|  85  |  NON-REL   | 0.129411764706 |  0.916666666667 |
|  86  |  NON-REL   | 0.127906976744 |  0.916666666667 |
|  87  |  NON-REL   | 0.126436781609 |  0.916666666667 |
|  88  |  NON-REL   |     0.125      |  0.916666666667 |
|  89  |  NON-REL   | 0.123595505618 |  0.916666666667 |
|  90  |  NON-REL   | 0.122222222222 |  0.916666666667 |
|  91  |  NON-REL   | 0.120879120879 |  0.916666666667 |
|  92  |  NON-REL   | 0.119565217391 |  0.916666666667 |
|  93  |  NON-REL   | 0.118279569892 |  0.916666666667 |
|  94  |  NON-REL   | 0.117021276596 |  0.916666666667 |
|  95  |  NON-REL   | 0.115789473684 |  0.916666666667 |
|  96  |  NON-REL   | 0.114583333333 |  0.916666666667 |
|  97  |  NON-REL   | 0.113402061856 |  0.916666666667 |
|  98  |  NON-REL   | 0.112244897959 |  0.916666666667 |
|  99  |  NON-REL   | 0.111111111111 |  0.916666666667 |
| 100  |  NON-REL   |      0.11      |  0.916666666667 |
+------+------------+----------------+-----------------+
