query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0357142857143 |
|  2   |    REL     |      1.0       | 0.0714285714286 |
|  3   |    REL     |      1.0       |  0.107142857143 |
|  4   |    REL     |      1.0       |  0.142857142857 |
|  5   |    REL     |      1.0       |  0.178571428571 |
|  6   |  NON-REL   | 0.833333333333 |  0.178571428571 |
|  7   |    REL     | 0.857142857143 |  0.214285714286 |
|  8   |    REL     |     0.875      |       0.25      |
|  9   |    REL     | 0.888888888889 |  0.285714285714 |
|  10  |  NON-REL   |      0.8       |  0.285714285714 |
|  11  |  NON-REL   | 0.727272727273 |  0.285714285714 |
|  12  |  NON-REL   | 0.666666666667 |  0.285714285714 |
|  13  |  NON-REL   | 0.615384615385 |  0.285714285714 |
|  14  |    REL     | 0.642857142857 |  0.321428571429 |
|  15  |  NON-REL   |      0.6       |  0.321428571429 |
|  16  |  NON-REL   |     0.5625     |  0.321428571429 |
|  17  |  NON-REL   | 0.529411764706 |  0.321428571429 |
|  18  |  NON-REL   |      0.5       |  0.321428571429 |
|  19  |  NON-REL   | 0.473684210526 |  0.321428571429 |
|  20  |  NON-REL   |      0.45      |  0.321428571429 |
|  21  |  NON-REL   | 0.428571428571 |  0.321428571429 |
|  22  |  NON-REL   | 0.409090909091 |  0.321428571429 |
|  23  |  NON-REL   | 0.391304347826 |  0.321428571429 |
|  24  |  NON-REL   |     0.375      |  0.321428571429 |
|  25  |  NON-REL   |      0.36      |  0.321428571429 |
|  26  |  NON-REL   | 0.346153846154 |  0.321428571429 |
|  27  |  NON-REL   | 0.333333333333 |  0.321428571429 |
|  28  |  NON-REL   | 0.321428571429 |  0.321428571429 |
|  29  |    REL     | 0.344827586207 |  0.357142857143 |
|  30  |  NON-REL   | 0.333333333333 |  0.357142857143 |
|  31  |  NON-REL   | 0.322580645161 |  0.357142857143 |
|  32  |    REL     |    0.34375     |  0.392857142857 |
|  33  |  NON-REL   | 0.333333333333 |  0.392857142857 |
|  34  |  NON-REL   | 0.323529411765 |  0.392857142857 |
|  35  |  NON-REL   | 0.314285714286 |  0.392857142857 |
|  36  |  NON-REL   | 0.305555555556 |  0.392857142857 |
|  37  |  NON-REL   | 0.297297297297 |  0.392857142857 |
