query_12: rtable operating systems
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.2   |
|  2   |  NON-REL   |       0.5       |  0.2   |
|  3   |  NON-REL   |  0.333333333333 |  0.2   |
|  4   |  NON-REL   |       0.25      |  0.2   |
|  5   |  NON-REL   |       0.2       |  0.2   |
|  6   |  NON-REL   |  0.166666666667 |  0.2   |
|  7   |  NON-REL   |  0.142857142857 |  0.2   |
|  8   |  NON-REL   |      0.125      |  0.2   |
|  9   |  NON-REL   |  0.111111111111 |  0.2   |
|  10  |  NON-REL   |       0.1       |  0.2   |
|  11  |  NON-REL   | 0.0909090909091 |  0.2   |
|  12  |  NON-REL   | 0.0833333333333 |  0.2   |
|  13  |  NON-REL   | 0.0769230769231 |  0.2   |
|  14  |  NON-REL   | 0.0714285714286 |  0.2   |
|  15  |  NON-REL   | 0.0666666666667 |  0.2   |
|  16  |    REL     |      0.125      |  0.4   |
|  17  |  NON-REL   |  0.117647058824 |  0.4   |
|  18  |  NON-REL   |  0.111111111111 |  0.4   |
|  19  |  NON-REL   |  0.105263157895 |  0.4   |
|  20  |  NON-REL   |       0.1       |  0.4   |
|  21  |  NON-REL   | 0.0952380952381 |  0.4   |
|  22  |  NON-REL   | 0.0909090909091 |  0.4   |
|  23  |  NON-REL   | 0.0869565217391 |  0.4   |
|  24  |  NON-REL   | 0.0833333333333 |  0.4   |
|  25  |  NON-REL   |       0.08      |  0.4   |
|  26  |  NON-REL   | 0.0769230769231 |  0.4   |
|  27  |  NON-REL   | 0.0740740740741 |  0.4   |
|  28  |  NON-REL   | 0.0714285714286 |  0.4   |
|  29  |  NON-REL   | 0.0689655172414 |  0.4   |
|  30  |  NON-REL   | 0.0666666666667 |  0.4   |
|  31  |  NON-REL   | 0.0645161290323 |  0.4   |
|  32  |  NON-REL   |      0.0625     |  0.4   |
|  33  |  NON-REL   | 0.0606060606061 |  0.4   |
|  34  |  NON-REL   | 0.0588235294118 |  0.4   |
|  35  |  NON-REL   | 0.0571428571429 |  0.4   |
|  36  |  NON-REL   | 0.0555555555556 |  0.4   |
|  37  |  NON-REL   | 0.0540540540541 |  0.4   |
|  38  |  NON-REL   | 0.0526315789474 |  0.4   |
|  39  |  NON-REL   | 0.0512820512821 |  0.4   |
|  40  |  NON-REL   |       0.05      |  0.4   |
|  41  |  NON-REL   | 0.0487804878049 |  0.4   |
|  42  |  NON-REL   |  0.047619047619 |  0.4   |
|  43  |  NON-REL   |  0.046511627907 |  0.4   |
|  44  |  NON-REL   | 0.0454545454545 |  0.4   |
|  45  |  NON-REL   | 0.0444444444444 |  0.4   |
|  46  |  NON-REL   | 0.0434782608696 |  0.4   |
|  47  |  NON-REL   | 0.0425531914894 |  0.4   |
|  48  |  NON-REL   | 0.0416666666667 |  0.4   |
|  49  |  NON-REL   | 0.0408163265306 |  0.4   |
|  50  |  NON-REL   |       0.04      |  0.4   |
|  51  |  NON-REL   | 0.0392156862745 |  0.4   |
|  52  |  NON-REL   | 0.0384615384615 |  0.4   |
|  53  |  NON-REL   | 0.0377358490566 |  0.4   |
|  54  |    REL     | 0.0555555555556 |  0.6   |
|  55  |  NON-REL   | 0.0545454545455 |  0.6   |
|  56  |  NON-REL   | 0.0535714285714 |  0.6   |
|  57  |  NON-REL   | 0.0526315789474 |  0.6   |
|  58  |  NON-REL   |  0.051724137931 |  0.6   |
|  59  |  NON-REL   | 0.0508474576271 |  0.6   |
|  60  |  NON-REL   |       0.05      |  0.6   |
|  61  |  NON-REL   | 0.0491803278689 |  0.6   |
|  62  |  NON-REL   | 0.0483870967742 |  0.6   |
|  63  |  NON-REL   |  0.047619047619 |  0.6   |
|  64  |  NON-REL   |     0.046875    |  0.6   |
|  65  |  NON-REL   | 0.0461538461538 |  0.6   |
|  66  |  NON-REL   | 0.0454545454545 |  0.6   |
|  67  |  NON-REL   |  0.044776119403 |  0.6   |
|  68  |  NON-REL   | 0.0441176470588 |  0.6   |
|  69  |  NON-REL   | 0.0434782608696 |  0.6   |
|  70  |  NON-REL   | 0.0428571428571 |  0.6   |
|  71  |  NON-REL   | 0.0422535211268 |  0.6   |
|  72  |  NON-REL   | 0.0416666666667 |  0.6   |
|  73  |  NON-REL   |  0.041095890411 |  0.6   |
|  74  |  NON-REL   | 0.0405405405405 |  0.6   |
|  75  |  NON-REL   |       0.04      |  0.6   |
|  76  |  NON-REL   | 0.0394736842105 |  0.6   |
|  77  |  NON-REL   |  0.038961038961 |  0.6   |
|  78  |  NON-REL   | 0.0384615384615 |  0.6   |
|  79  |  NON-REL   | 0.0379746835443 |  0.6   |
|  80  |  NON-REL   |      0.0375     |  0.6   |
|  81  |  NON-REL   |  0.037037037037 |  0.6   |
|  82  |  NON-REL   | 0.0365853658537 |  0.6   |
|  83  |  NON-REL   | 0.0361445783133 |  0.6   |
|  84  |  NON-REL   | 0.0357142857143 |  0.6   |
|  85  |  NON-REL   | 0.0352941176471 |  0.6   |
|  86  |  NON-REL   | 0.0348837209302 |  0.6   |
|  87  |  NON-REL   | 0.0344827586207 |  0.6   |
|  88  |  NON-REL   | 0.0340909090909 |  0.6   |
