query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       | 0.0625 |
|  2   |  NON-REL   |       0.5       | 0.0625 |
|  3   |    REL     |  0.666666666667 | 0.125  |
|  4   |  NON-REL   |       0.5       | 0.125  |
|  5   |  NON-REL   |       0.4       | 0.125  |
|  6   |  NON-REL   |  0.333333333333 | 0.125  |
|  7   |  NON-REL   |  0.285714285714 | 0.125  |
|  8   |  NON-REL   |       0.25      | 0.125  |
|  9   |  NON-REL   |  0.222222222222 | 0.125  |
|  10  |  NON-REL   |       0.2       | 0.125  |
|  11  |  NON-REL   |  0.181818181818 | 0.125  |
|  12  |  NON-REL   |  0.166666666667 | 0.125  |
|  13  |  NON-REL   |  0.153846153846 | 0.125  |
|  14  |  NON-REL   |  0.142857142857 | 0.125  |
|  15  |  NON-REL   |  0.133333333333 | 0.125  |
|  16  |  NON-REL   |      0.125      | 0.125  |
|  17  |  NON-REL   |  0.117647058824 | 0.125  |
|  18  |  NON-REL   |  0.111111111111 | 0.125  |
|  19  |  NON-REL   |  0.105263157895 | 0.125  |
|  20  |  NON-REL   |       0.1       | 0.125  |
|  21  |  NON-REL   | 0.0952380952381 | 0.125  |
|  22  |  NON-REL   | 0.0909090909091 | 0.125  |
|  23  |  NON-REL   | 0.0869565217391 | 0.125  |
|  24  |    REL     |      0.125      | 0.1875 |
|  25  |  NON-REL   |       0.12      | 0.1875 |
|  26  |  NON-REL   |  0.115384615385 | 0.1875 |
|  27  |  NON-REL   |  0.111111111111 | 0.1875 |
|  28  |  NON-REL   |  0.107142857143 | 0.1875 |
|  29  |  NON-REL   |  0.103448275862 | 0.1875 |
|  30  |    REL     |  0.133333333333 |  0.25  |
|  31  |  NON-REL   |  0.129032258065 |  0.25  |
|  32  |  NON-REL   |      0.125      |  0.25  |
|  33  |  NON-REL   |  0.121212121212 |  0.25  |
|  34  |  NON-REL   |  0.117647058824 |  0.25  |
|  35  |  NON-REL   |  0.114285714286 |  0.25  |
|  36  |  NON-REL   |  0.111111111111 |  0.25  |
|  37  |  NON-REL   |  0.108108108108 |  0.25  |
|  38  |  NON-REL   |  0.105263157895 |  0.25  |
|  39  |  NON-REL   |  0.102564102564 |  0.25  |
|  40  |  NON-REL   |       0.1       |  0.25  |
|  41  |  NON-REL   | 0.0975609756098 |  0.25  |
|  42  |  NON-REL   | 0.0952380952381 |  0.25  |
|  43  |  NON-REL   |  0.093023255814 |  0.25  |
|  44  |  NON-REL   | 0.0909090909091 |  0.25  |
|  45  |  NON-REL   | 0.0888888888889 |  0.25  |
|  46  |  NON-REL   | 0.0869565217391 |  0.25  |
|  47  |  NON-REL   | 0.0851063829787 |  0.25  |
|  48  |  NON-REL   | 0.0833333333333 |  0.25  |
|  49  |  NON-REL   | 0.0816326530612 |  0.25  |
|  50  |  NON-REL   |       0.08      |  0.25  |
|  51  |  NON-REL   |  0.078431372549 |  0.25  |
|  52  |  NON-REL   | 0.0769230769231 |  0.25  |
|  53  |  NON-REL   | 0.0754716981132 |  0.25  |
|  54  |  NON-REL   | 0.0740740740741 |  0.25  |
|  55  |  NON-REL   | 0.0727272727273 |  0.25  |
|  56  |  NON-REL   | 0.0714285714286 |  0.25  |
|  57  |  NON-REL   | 0.0701754385965 |  0.25  |
|  58  |  NON-REL   | 0.0689655172414 |  0.25  |
|  59  |  NON-REL   | 0.0677966101695 |  0.25  |
|  60  |  NON-REL   | 0.0666666666667 |  0.25  |
|  61  |  NON-REL   | 0.0655737704918 |  0.25  |
|  62  |  NON-REL   | 0.0645161290323 |  0.25  |
|  63  |  NON-REL   | 0.0634920634921 |  0.25  |
|  64  |  NON-REL   |      0.0625     |  0.25  |
|  65  |  NON-REL   | 0.0615384615385 |  0.25  |
|  66  |  NON-REL   | 0.0606060606061 |  0.25  |
|  67  |  NON-REL   | 0.0597014925373 |  0.25  |
|  68  |  NON-REL   | 0.0588235294118 |  0.25  |
|  69  |  NON-REL   | 0.0579710144928 |  0.25  |
|  70  |  NON-REL   | 0.0571428571429 |  0.25  |
|  71  |  NON-REL   |  0.056338028169 |  0.25  |
|  72  |  NON-REL   | 0.0555555555556 |  0.25  |
|  73  |  NON-REL   | 0.0547945205479 |  0.25  |
|  74  |  NON-REL   | 0.0540540540541 |  0.25  |
|  75  |  NON-REL   | 0.0533333333333 |  0.25  |
|  76  |  NON-REL   | 0.0526315789474 |  0.25  |
|  77  |  NON-REL   | 0.0519480519481 |  0.25  |
|  78  |  NON-REL   | 0.0512820512821 |  0.25  |
|  79  |  NON-REL   | 0.0506329113924 |  0.25  |
|  80  |  NON-REL   |       0.05      |  0.25  |
|  81  |  NON-REL   | 0.0493827160494 |  0.25  |
|  82  |  NON-REL   | 0.0487804878049 |  0.25  |
|  83  |  NON-REL   | 0.0481927710843 |  0.25  |
|  84  |  NON-REL   |  0.047619047619 |  0.25  |
|  85  |  NON-REL   | 0.0470588235294 |  0.25  |
|  86  |  NON-REL   |  0.046511627907 |  0.25  |
|  87  |  NON-REL   | 0.0459770114943 |  0.25  |
|  88  |  NON-REL   | 0.0454545454545 |  0.25  |
|  89  |  NON-REL   | 0.0449438202247 |  0.25  |
|  90  |  NON-REL   | 0.0444444444444 |  0.25  |
|  91  |  NON-REL   |  0.043956043956 |  0.25  |
|  92  |  NON-REL   | 0.0434782608696 |  0.25  |
|  93  |  NON-REL   | 0.0430107526882 |  0.25  |
|  94  |  NON-REL   | 0.0425531914894 |  0.25  |
|  95  |  NON-REL   | 0.0421052631579 |  0.25  |
|  96  |  NON-REL   | 0.0416666666667 |  0.25  |
|  97  |  NON-REL   | 0.0412371134021 |  0.25  |
|  98  |  NON-REL   | 0.0408163265306 |  0.25  |
|  99  |  NON-REL   |  0.040404040404 |  0.25  |
| 100  |  NON-REL   |       0.04      |  0.25  |
+------+------------+-----------------+--------+
