query_18: nguages compilers parallel processors especially highly horizontal microcoded machines code compaction
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |    REL     | 0.0434782608696 | 0.0909090909091 |
|  24  |    REL     | 0.0833333333333 |  0.181818181818 |
|  25  |  NON-REL   |       0.08      |  0.181818181818 |
|  26  |  NON-REL   | 0.0769230769231 |  0.181818181818 |
|  27  |  NON-REL   | 0.0740740740741 |  0.181818181818 |
|  28  |  NON-REL   | 0.0714285714286 |  0.181818181818 |
|  29  |  NON-REL   | 0.0689655172414 |  0.181818181818 |
|  30  |  NON-REL   | 0.0666666666667 |  0.181818181818 |
|  31  |  NON-REL   | 0.0645161290323 |  0.181818181818 |
|  32  |  NON-REL   |      0.0625     |  0.181818181818 |
|  33  |  NON-REL   | 0.0606060606061 |  0.181818181818 |
|  34  |  NON-REL   | 0.0588235294118 |  0.181818181818 |
|  35  |  NON-REL   | 0.0571428571429 |  0.181818181818 |
|  36  |  NON-REL   | 0.0555555555556 |  0.181818181818 |
|  37  |  NON-REL   | 0.0540540540541 |  0.181818181818 |
|  38  |  NON-REL   | 0.0526315789474 |  0.181818181818 |
|  39  |  NON-REL   | 0.0512820512821 |  0.181818181818 |
|  40  |  NON-REL   |       0.05      |  0.181818181818 |
|  41  |  NON-REL   | 0.0487804878049 |  0.181818181818 |
|  42  |  NON-REL   |  0.047619047619 |  0.181818181818 |
|  43  |  NON-REL   |  0.046511627907 |  0.181818181818 |
|  44  |  NON-REL   | 0.0454545454545 |  0.181818181818 |
|  45  |  NON-REL   | 0.0444444444444 |  0.181818181818 |
|  46  |  NON-REL   | 0.0434782608696 |  0.181818181818 |
|  47  |  NON-REL   | 0.0425531914894 |  0.181818181818 |
|  48  |  NON-REL   | 0.0416666666667 |  0.181818181818 |
|  49  |  NON-REL   | 0.0408163265306 |  0.181818181818 |
|  50  |  NON-REL   |       0.04      |  0.181818181818 |
|  51  |  NON-REL   | 0.0392156862745 |  0.181818181818 |
|  52  |  NON-REL   | 0.0384615384615 |  0.181818181818 |
|  53  |  NON-REL   | 0.0377358490566 |  0.181818181818 |
|  54  |  NON-REL   |  0.037037037037 |  0.181818181818 |
|  55  |  NON-REL   | 0.0363636363636 |  0.181818181818 |
|  56  |  NON-REL   | 0.0357142857143 |  0.181818181818 |
|  57  |  NON-REL   | 0.0350877192982 |  0.181818181818 |
|  58  |  NON-REL   | 0.0344827586207 |  0.181818181818 |
|  59  |  NON-REL   | 0.0338983050847 |  0.181818181818 |
|  60  |  NON-REL   | 0.0333333333333 |  0.181818181818 |
|  61  |  NON-REL   | 0.0327868852459 |  0.181818181818 |
|  62  |  NON-REL   | 0.0322580645161 |  0.181818181818 |
|  63  |  NON-REL   |  0.031746031746 |  0.181818181818 |
|  64  |  NON-REL   |     0.03125     |  0.181818181818 |
|  65  |  NON-REL   | 0.0307692307692 |  0.181818181818 |
|  66  |  NON-REL   |  0.030303030303 |  0.181818181818 |
|  67  |  NON-REL   | 0.0298507462687 |  0.181818181818 |
|  68  |  NON-REL   | 0.0294117647059 |  0.181818181818 |
|  69  |  NON-REL   | 0.0289855072464 |  0.181818181818 |
|  70  |  NON-REL   | 0.0285714285714 |  0.181818181818 |
|  71  |  NON-REL   | 0.0281690140845 |  0.181818181818 |
|  72  |  NON-REL   | 0.0277777777778 |  0.181818181818 |
|  73  |  NON-REL   |  0.027397260274 |  0.181818181818 |
|  74  |  NON-REL   |  0.027027027027 |  0.181818181818 |
|  75  |  NON-REL   | 0.0266666666667 |  0.181818181818 |
|  76  |  NON-REL   | 0.0263157894737 |  0.181818181818 |
|  77  |  NON-REL   |  0.025974025974 |  0.181818181818 |
|  78  |  NON-REL   |  0.025641025641 |  0.181818181818 |
|  79  |  NON-REL   | 0.0253164556962 |  0.181818181818 |
|  80  |  NON-REL   |      0.025      |  0.181818181818 |
|  81  |  NON-REL   | 0.0246913580247 |  0.181818181818 |
|  82  |  NON-REL   | 0.0243902439024 |  0.181818181818 |
|  83  |  NON-REL   | 0.0240963855422 |  0.181818181818 |
|  84  |  NON-REL   | 0.0238095238095 |  0.181818181818 |
|  85  |  NON-REL   | 0.0235294117647 |  0.181818181818 |
|  86  |  NON-REL   | 0.0232558139535 |  0.181818181818 |
|  87  |  NON-REL   | 0.0229885057471 |  0.181818181818 |
|  88  |  NON-REL   | 0.0227272727273 |  0.181818181818 |
|  89  |  NON-REL   | 0.0224719101124 |  0.181818181818 |
|  90  |  NON-REL   | 0.0222222222222 |  0.181818181818 |
|  91  |  NON-REL   |  0.021978021978 |  0.181818181818 |
|  92  |  NON-REL   | 0.0217391304348 |  0.181818181818 |
|  93  |  NON-REL   | 0.0215053763441 |  0.181818181818 |
|  94  |  NON-REL   | 0.0212765957447 |  0.181818181818 |
|  95  |  NON-REL   | 0.0210526315789 |  0.181818181818 |
|  96  |  NON-REL   | 0.0208333333333 |  0.181818181818 |
|  97  |  NON-REL   |  0.020618556701 |  0.181818181818 |
|  98  |  NON-REL   | 0.0204081632653 |  0.181818181818 |
|  99  |  NON-REL   |  0.020202020202 |  0.181818181818 |
| 100  |  NON-REL   |       0.02      |  0.181818181818 |
+------+------------+-----------------+-----------------+
