query_36: st algorithm context-free language recognition parsing
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       |  0.05  |
|  3   |  NON-REL   |  0.333333333333 |  0.05  |
|  4   |  NON-REL   |       0.25      |  0.05  |
|  5   |  NON-REL   |       0.2       |  0.05  |
|  6   |  NON-REL   |  0.166666666667 |  0.05  |
|  7   |  NON-REL   |  0.142857142857 |  0.05  |
|  8   |  NON-REL   |      0.125      |  0.05  |
|  9   |  NON-REL   |  0.111111111111 |  0.05  |
|  10  |  NON-REL   |       0.1       |  0.05  |
|  11  |    REL     |  0.181818181818 |  0.1   |
|  12  |  NON-REL   |  0.166666666667 |  0.1   |
|  13  |    REL     |  0.230769230769 |  0.15  |
|  14  |    REL     |  0.285714285714 |  0.2   |
|  15  |  NON-REL   |  0.266666666667 |  0.2   |
|  16  |  NON-REL   |       0.25      |  0.2   |
|  17  |  NON-REL   |  0.235294117647 |  0.2   |
|  18  |    REL     |  0.277777777778 |  0.25  |
|  19  |  NON-REL   |  0.263157894737 |  0.25  |
|  20  |  NON-REL   |       0.25      |  0.25  |
|  21  |  NON-REL   |  0.238095238095 |  0.25  |
|  22  |  NON-REL   |  0.227272727273 |  0.25  |
|  23  |  NON-REL   |  0.217391304348 |  0.25  |
|  24  |  NON-REL   |  0.208333333333 |  0.25  |
|  25  |  NON-REL   |       0.2       |  0.25  |
|  26  |  NON-REL   |  0.192307692308 |  0.25  |
|  27  |  NON-REL   |  0.185185185185 |  0.25  |
|  28  |  NON-REL   |  0.178571428571 |  0.25  |
|  29  |  NON-REL   |  0.172413793103 |  0.25  |
|  30  |  NON-REL   |  0.166666666667 |  0.25  |
|  31  |  NON-REL   |  0.161290322581 |  0.25  |
|  32  |  NON-REL   |     0.15625     |  0.25  |
|  33  |  NON-REL   |  0.151515151515 |  0.25  |
|  34  |  NON-REL   |  0.147058823529 |  0.25  |
|  35  |  NON-REL   |  0.142857142857 |  0.25  |
|  36  |  NON-REL   |  0.138888888889 |  0.25  |
|  37  |  NON-REL   |  0.135135135135 |  0.25  |
|  38  |  NON-REL   |  0.131578947368 |  0.25  |
|  39  |  NON-REL   |  0.128205128205 |  0.25  |
|  40  |  NON-REL   |      0.125      |  0.25  |
|  41  |  NON-REL   |  0.121951219512 |  0.25  |
|  42  |    REL     |  0.142857142857 |  0.3   |
|  43  |    REL     |  0.162790697674 |  0.35  |
|  44  |  NON-REL   |  0.159090909091 |  0.35  |
|  45  |  NON-REL   |  0.155555555556 |  0.35  |
|  46  |  NON-REL   |  0.152173913043 |  0.35  |
|  47  |  NON-REL   |  0.148936170213 |  0.35  |
|  48  |  NON-REL   |  0.145833333333 |  0.35  |
|  49  |  NON-REL   |  0.142857142857 |  0.35  |
|  50  |  NON-REL   |       0.14      |  0.35  |
|  51  |  NON-REL   |  0.137254901961 |  0.35  |
|  52  |  NON-REL   |  0.134615384615 |  0.35  |
|  53  |  NON-REL   |  0.132075471698 |  0.35  |
|  54  |  NON-REL   |  0.12962962963  |  0.35  |
|  55  |  NON-REL   |  0.127272727273 |  0.35  |
|  56  |  NON-REL   |      0.125      |  0.35  |
|  57  |  NON-REL   |  0.122807017544 |  0.35  |
|  58  |  NON-REL   |  0.120689655172 |  0.35  |
|  59  |  NON-REL   |  0.118644067797 |  0.35  |
|  60  |  NON-REL   |  0.116666666667 |  0.35  |
|  61  |    REL     |  0.131147540984 |  0.4   |
|  62  |  NON-REL   |  0.129032258065 |  0.4   |
|  63  |  NON-REL   |  0.126984126984 |  0.4   |
|  64  |  NON-REL   |      0.125      |  0.4   |
|  65  |  NON-REL   |  0.123076923077 |  0.4   |
|  66  |  NON-REL   |  0.121212121212 |  0.4   |
|  67  |  NON-REL   |  0.119402985075 |  0.4   |
|  68  |  NON-REL   |  0.117647058824 |  0.4   |
|  69  |  NON-REL   |  0.115942028986 |  0.4   |
|  70  |  NON-REL   |  0.114285714286 |  0.4   |
|  71  |  NON-REL   |  0.112676056338 |  0.4   |
|  72  |  NON-REL   |  0.111111111111 |  0.4   |
|  73  |  NON-REL   |  0.109589041096 |  0.4   |
|  74  |  NON-REL   |  0.108108108108 |  0.4   |
|  75  |  NON-REL   |  0.106666666667 |  0.4   |
|  76  |  NON-REL   |  0.105263157895 |  0.4   |
|  77  |  NON-REL   |  0.103896103896 |  0.4   |
|  78  |  NON-REL   |  0.102564102564 |  0.4   |
|  79  |  NON-REL   |  0.101265822785 |  0.4   |
|  80  |  NON-REL   |       0.1       |  0.4   |
|  81  |  NON-REL   | 0.0987654320988 |  0.4   |
|  82  |  NON-REL   | 0.0975609756098 |  0.4   |
|  83  |  NON-REL   | 0.0963855421687 |  0.4   |
|  84  |  NON-REL   | 0.0952380952381 |  0.4   |
|  85  |  NON-REL   | 0.0941176470588 |  0.4   |
|  86  |  NON-REL   |  0.093023255814 |  0.4   |
|  87  |  NON-REL   | 0.0919540229885 |  0.4   |
|  88  |  NON-REL   | 0.0909090909091 |  0.4   |
|  89  |  NON-REL   | 0.0898876404494 |  0.4   |
|  90  |  NON-REL   | 0.0888888888889 |  0.4   |
|  91  |  NON-REL   | 0.0879120879121 |  0.4   |
|  92  |  NON-REL   | 0.0869565217391 |  0.4   |
|  93  |  NON-REL   | 0.0860215053763 |  0.4   |
|  94  |  NON-REL   | 0.0851063829787 |  0.4   |
|  95  |  NON-REL   | 0.0842105263158 |  0.4   |
|  96  |  NON-REL   | 0.0833333333333 |  0.4   |
|  97  |  NON-REL   | 0.0824742268041 |  0.4   |
|  98  |  NON-REL   | 0.0816326530612 |  0.4   |
|  99  |  NON-REL   | 0.0808080808081 |  0.4   |
| 100  |  NON-REL   |       0.08      |  0.4   |
+------+------------+-----------------+--------+
