query_40: st articles dealing data types languages referenced frequently papers languages e.g catch languages interesting type structures missed
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |    REL     |       0.25      |  0.1   |
|  5   |  NON-REL   |       0.2       |  0.1   |
|  6   |  NON-REL   |  0.166666666667 |  0.1   |
|  7   |  NON-REL   |  0.142857142857 |  0.1   |
|  8   |  NON-REL   |      0.125      |  0.1   |
|  9   |    REL     |  0.222222222222 |  0.2   |
|  10  |  NON-REL   |       0.2       |  0.2   |
|  11  |  NON-REL   |  0.181818181818 |  0.2   |
|  12  |  NON-REL   |  0.166666666667 |  0.2   |
|  13  |  NON-REL   |  0.153846153846 |  0.2   |
|  14  |  NON-REL   |  0.142857142857 |  0.2   |
|  15  |  NON-REL   |  0.133333333333 |  0.2   |
|  16  |  NON-REL   |      0.125      |  0.2   |
|  17  |  NON-REL   |  0.117647058824 |  0.2   |
|  18  |  NON-REL   |  0.111111111111 |  0.2   |
|  19  |  NON-REL   |  0.105263157895 |  0.2   |
|  20  |  NON-REL   |       0.1       |  0.2   |
|  21  |  NON-REL   | 0.0952380952381 |  0.2   |
|  22  |  NON-REL   | 0.0909090909091 |  0.2   |
|  23  |  NON-REL   | 0.0869565217391 |  0.2   |
|  24  |  NON-REL   | 0.0833333333333 |  0.2   |
|  25  |  NON-REL   |       0.08      |  0.2   |
|  26  |  NON-REL   | 0.0769230769231 |  0.2   |
|  27  |  NON-REL   | 0.0740740740741 |  0.2   |
|  28  |  NON-REL   | 0.0714285714286 |  0.2   |
|  29  |  NON-REL   | 0.0689655172414 |  0.2   |
|  30  |  NON-REL   | 0.0666666666667 |  0.2   |
|  31  |  NON-REL   | 0.0645161290323 |  0.2   |
|  32  |  NON-REL   |      0.0625     |  0.2   |
|  33  |  NON-REL   | 0.0606060606061 |  0.2   |
|  34  |  NON-REL   | 0.0588235294118 |  0.2   |
|  35  |  NON-REL   | 0.0571428571429 |  0.2   |
|  36  |  NON-REL   | 0.0555555555556 |  0.2   |
|  37  |  NON-REL   | 0.0540540540541 |  0.2   |
|  38  |  NON-REL   | 0.0526315789474 |  0.2   |
|  39  |  NON-REL   | 0.0512820512821 |  0.2   |
|  40  |  NON-REL   |       0.05      |  0.2   |
|  41  |  NON-REL   | 0.0487804878049 |  0.2   |
|  42  |  NON-REL   |  0.047619047619 |  0.2   |
|  43  |  NON-REL   |  0.046511627907 |  0.2   |
|  44  |  NON-REL   | 0.0454545454545 |  0.2   |
|  45  |  NON-REL   | 0.0444444444444 |  0.2   |
|  46  |  NON-REL   | 0.0434782608696 |  0.2   |
|  47  |  NON-REL   | 0.0425531914894 |  0.2   |
|  48  |  NON-REL   | 0.0416666666667 |  0.2   |
|  49  |  NON-REL   | 0.0408163265306 |  0.2   |
|  50  |  NON-REL   |       0.04      |  0.2   |
|  51  |  NON-REL   | 0.0392156862745 |  0.2   |
|  52  |  NON-REL   | 0.0384615384615 |  0.2   |
|  53  |  NON-REL   | 0.0377358490566 |  0.2   |
|  54  |  NON-REL   |  0.037037037037 |  0.2   |
|  55  |  NON-REL   | 0.0363636363636 |  0.2   |
|  56  |  NON-REL   | 0.0357142857143 |  0.2   |
|  57  |  NON-REL   | 0.0350877192982 |  0.2   |
|  58  |  NON-REL   | 0.0344827586207 |  0.2   |
|  59  |  NON-REL   | 0.0338983050847 |  0.2   |
|  60  |  NON-REL   | 0.0333333333333 |  0.2   |
|  61  |  NON-REL   | 0.0327868852459 |  0.2   |
|  62  |  NON-REL   | 0.0322580645161 |  0.2   |
|  63  |  NON-REL   |  0.031746031746 |  0.2   |
|  64  |  NON-REL   |     0.03125     |  0.2   |
|  65  |  NON-REL   | 0.0307692307692 |  0.2   |
|  66  |  NON-REL   |  0.030303030303 |  0.2   |
|  67  |  NON-REL   | 0.0298507462687 |  0.2   |
|  68  |  NON-REL   | 0.0294117647059 |  0.2   |
|  69  |  NON-REL   | 0.0289855072464 |  0.2   |
|  70  |  NON-REL   | 0.0285714285714 |  0.2   |
|  71  |  NON-REL   | 0.0281690140845 |  0.2   |
|  72  |  NON-REL   | 0.0277777777778 |  0.2   |
|  73  |  NON-REL   |  0.027397260274 |  0.2   |
|  74  |  NON-REL   |  0.027027027027 |  0.2   |
|  75  |  NON-REL   | 0.0266666666667 |  0.2   |
|  76  |  NON-REL   | 0.0263157894737 |  0.2   |
|  77  |  NON-REL   |  0.025974025974 |  0.2   |
|  78  |  NON-REL   |  0.025641025641 |  0.2   |
|  79  |  NON-REL   | 0.0253164556962 |  0.2   |
|  80  |  NON-REL   |      0.025      |  0.2   |
|  81  |  NON-REL   | 0.0246913580247 |  0.2   |
|  82  |  NON-REL   | 0.0243902439024 |  0.2   |
|  83  |  NON-REL   | 0.0240963855422 |  0.2   |
|  84  |  NON-REL   | 0.0238095238095 |  0.2   |
|  85  |  NON-REL   | 0.0235294117647 |  0.2   |
|  86  |  NON-REL   | 0.0232558139535 |  0.2   |
|  87  |  NON-REL   | 0.0229885057471 |  0.2   |
|  88  |  NON-REL   | 0.0227272727273 |  0.2   |
|  89  |  NON-REL   | 0.0224719101124 |  0.2   |
|  90  |  NON-REL   | 0.0222222222222 |  0.2   |
|  91  |  NON-REL   |  0.021978021978 |  0.2   |
|  92  |  NON-REL   | 0.0217391304348 |  0.2   |
|  93  |  NON-REL   | 0.0215053763441 |  0.2   |
|  94  |  NON-REL   | 0.0212765957447 |  0.2   |
|  95  |  NON-REL   | 0.0210526315789 |  0.2   |
|  96  |  NON-REL   | 0.0208333333333 |  0.2   |
|  97  |  NON-REL   |  0.020618556701 |  0.2   |
|  98  |    REL     |  0.030612244898 |  0.3   |
|  99  |  NON-REL   |  0.030303030303 |  0.3   |
| 100  |  NON-REL   |       0.03      |  0.3   |
+------+------------+-----------------+--------+
