query_42: mputer performance evaluation techniques pattern recognition clustering la
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       |  0.047619047619 |
|  2   |  NON-REL   |       0.5       |  0.047619047619 |
|  3   |  NON-REL   |  0.333333333333 |  0.047619047619 |
|  4   |  NON-REL   |       0.25      |  0.047619047619 |
|  5   |  NON-REL   |       0.2       |  0.047619047619 |
|  6   |  NON-REL   |  0.166666666667 |  0.047619047619 |
|  7   |  NON-REL   |  0.142857142857 |  0.047619047619 |
|  8   |  NON-REL   |      0.125      |  0.047619047619 |
|  9   |  NON-REL   |  0.111111111111 |  0.047619047619 |
|  10  |  NON-REL   |       0.1       |  0.047619047619 |
|  11  |  NON-REL   | 0.0909090909091 |  0.047619047619 |
|  12  |  NON-REL   | 0.0833333333333 |  0.047619047619 |
|  13  |  NON-REL   | 0.0769230769231 |  0.047619047619 |
|  14  |  NON-REL   | 0.0714285714286 |  0.047619047619 |
|  15  |  NON-REL   | 0.0666666666667 |  0.047619047619 |
|  16  |  NON-REL   |      0.0625     |  0.047619047619 |
|  17  |  NON-REL   | 0.0588235294118 |  0.047619047619 |
|  18  |  NON-REL   | 0.0555555555556 |  0.047619047619 |
|  19  |  NON-REL   | 0.0526315789474 |  0.047619047619 |
|  20  |  NON-REL   |       0.05      |  0.047619047619 |
|  21  |  NON-REL   |  0.047619047619 |  0.047619047619 |
|  22  |  NON-REL   | 0.0454545454545 |  0.047619047619 |
|  23  |  NON-REL   | 0.0434782608696 |  0.047619047619 |
|  24  |  NON-REL   | 0.0416666666667 |  0.047619047619 |
|  25  |  NON-REL   |       0.04      |  0.047619047619 |
|  26  |    REL     | 0.0769230769231 | 0.0952380952381 |
|  27  |  NON-REL   | 0.0740740740741 | 0.0952380952381 |
|  28  |  NON-REL   | 0.0714285714286 | 0.0952380952381 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0952380952381 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0952380952381 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0952380952381 |
|  32  |  NON-REL   |      0.0625     | 0.0952380952381 |
|  33  |  NON-REL   | 0.0606060606061 | 0.0952380952381 |
|  34  |    REL     | 0.0882352941176 |  0.142857142857 |
|  35  |    REL     |  0.114285714286 |  0.190476190476 |
|  36  |    REL     |  0.138888888889 |  0.238095238095 |
|  37  |  NON-REL   |  0.135135135135 |  0.238095238095 |
|  38  |  NON-REL   |  0.131578947368 |  0.238095238095 |
|  39  |  NON-REL   |  0.128205128205 |  0.238095238095 |
|  40  |  NON-REL   |      0.125      |  0.238095238095 |
|  41  |  NON-REL   |  0.121951219512 |  0.238095238095 |
|  42  |  NON-REL   |  0.119047619048 |  0.238095238095 |
|  43  |  NON-REL   |  0.116279069767 |  0.238095238095 |
|  44  |  NON-REL   |  0.113636363636 |  0.238095238095 |
|  45  |  NON-REL   |  0.111111111111 |  0.238095238095 |
|  46  |  NON-REL   |  0.108695652174 |  0.238095238095 |
|  47  |  NON-REL   |  0.106382978723 |  0.238095238095 |
|  48  |  NON-REL   |  0.104166666667 |  0.238095238095 |
|  49  |  NON-REL   |  0.102040816327 |  0.238095238095 |
|  50  |  NON-REL   |       0.1       |  0.238095238095 |
|  51  |  NON-REL   | 0.0980392156863 |  0.238095238095 |
|  52  |  NON-REL   | 0.0961538461538 |  0.238095238095 |
|  53  |  NON-REL   | 0.0943396226415 |  0.238095238095 |
|  54  |  NON-REL   | 0.0925925925926 |  0.238095238095 |
|  55  |  NON-REL   | 0.0909090909091 |  0.238095238095 |
|  56  |  NON-REL   | 0.0892857142857 |  0.238095238095 |
|  57  |  NON-REL   | 0.0877192982456 |  0.238095238095 |
|  58  |  NON-REL   | 0.0862068965517 |  0.238095238095 |
|  59  |  NON-REL   | 0.0847457627119 |  0.238095238095 |
|  60  |  NON-REL   | 0.0833333333333 |  0.238095238095 |
|  61  |  NON-REL   | 0.0819672131148 |  0.238095238095 |
|  62  |  NON-REL   | 0.0806451612903 |  0.238095238095 |
|  63  |  NON-REL   | 0.0793650793651 |  0.238095238095 |
|  64  |  NON-REL   |     0.078125    |  0.238095238095 |
|  65  |  NON-REL   | 0.0769230769231 |  0.238095238095 |
|  66  |  NON-REL   | 0.0757575757576 |  0.238095238095 |
|  67  |  NON-REL   | 0.0746268656716 |  0.238095238095 |
|  68  |  NON-REL   | 0.0735294117647 |  0.238095238095 |
|  69  |  NON-REL   | 0.0724637681159 |  0.238095238095 |
|  70  |  NON-REL   | 0.0714285714286 |  0.238095238095 |
|  71  |  NON-REL   | 0.0704225352113 |  0.238095238095 |
|  72  |  NON-REL   | 0.0694444444444 |  0.238095238095 |
|  73  |  NON-REL   | 0.0684931506849 |  0.238095238095 |
|  74  |  NON-REL   | 0.0675675675676 |  0.238095238095 |
|  75  |  NON-REL   | 0.0666666666667 |  0.238095238095 |
|  76  |  NON-REL   | 0.0657894736842 |  0.238095238095 |
|  77  |  NON-REL   | 0.0649350649351 |  0.238095238095 |
|  78  |  NON-REL   | 0.0641025641026 |  0.238095238095 |
|  79  |  NON-REL   | 0.0632911392405 |  0.238095238095 |
|  80  |  NON-REL   |      0.0625     |  0.238095238095 |
|  81  |  NON-REL   | 0.0617283950617 |  0.238095238095 |
|  82  |  NON-REL   | 0.0609756097561 |  0.238095238095 |
|  83  |  NON-REL   | 0.0602409638554 |  0.238095238095 |
|  84  |  NON-REL   | 0.0595238095238 |  0.238095238095 |
|  85  |  NON-REL   | 0.0588235294118 |  0.238095238095 |
|  86  |  NON-REL   | 0.0581395348837 |  0.238095238095 |
|  87  |  NON-REL   | 0.0574712643678 |  0.238095238095 |
|  88  |  NON-REL   | 0.0568181818182 |  0.238095238095 |
|  89  |  NON-REL   | 0.0561797752809 |  0.238095238095 |
|  90  |  NON-REL   | 0.0555555555556 |  0.238095238095 |
|  91  |  NON-REL   | 0.0549450549451 |  0.238095238095 |
|  92  |  NON-REL   |  0.054347826087 |  0.238095238095 |
|  93  |  NON-REL   | 0.0537634408602 |  0.238095238095 |
|  94  |  NON-REL   | 0.0531914893617 |  0.238095238095 |
|  95  |  NON-REL   | 0.0526315789474 |  0.238095238095 |
|  96  |  NON-REL   | 0.0520833333333 |  0.238095238095 |
|  97  |  NON-REL   | 0.0515463917526 |  0.238095238095 |
|  98  |  NON-REL   | 0.0510204081633 |  0.238095238095 |
|  99  |  NON-REL   | 0.0505050505051 |  0.238095238095 |
| 100  |  NON-REL   |       0.05      |  0.238095238095 |
+------+------------+-----------------+-----------------+
