query_43: alysis perception shape humans computers shape descriptions shape recognition computer two-dimensional shapes measures circularity shape matching
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |    REL     | 0.0769230769231 | 0.0243902439024 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0243902439024 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0243902439024 |
|  16  |  NON-REL   |      0.0625     | 0.0243902439024 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0243902439024 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0243902439024 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0243902439024 |
|  20  |  NON-REL   |       0.05      | 0.0243902439024 |
|  21  |  NON-REL   |  0.047619047619 | 0.0243902439024 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0243902439024 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0243902439024 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0243902439024 |
|  25  |  NON-REL   |       0.04      | 0.0243902439024 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0243902439024 |
|  27  |  NON-REL   |  0.037037037037 | 0.0243902439024 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0243902439024 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0243902439024 |
|  30  |  NON-REL   | 0.0333333333333 | 0.0243902439024 |
|  31  |  NON-REL   | 0.0322580645161 | 0.0243902439024 |
|  32  |  NON-REL   |     0.03125     | 0.0243902439024 |
|  33  |  NON-REL   |  0.030303030303 | 0.0243902439024 |
|  34  |  NON-REL   | 0.0294117647059 | 0.0243902439024 |
|  35  |  NON-REL   | 0.0285714285714 | 0.0243902439024 |
|  36  |    REL     | 0.0555555555556 | 0.0487804878049 |
|  37  |  NON-REL   | 0.0540540540541 | 0.0487804878049 |
|  38  |  NON-REL   | 0.0526315789474 | 0.0487804878049 |
|  39  |  NON-REL   | 0.0512820512821 | 0.0487804878049 |
|  40  |  NON-REL   |       0.05      | 0.0487804878049 |
|  41  |  NON-REL   | 0.0487804878049 | 0.0487804878049 |
|  42  |  NON-REL   |  0.047619047619 | 0.0487804878049 |
|  43  |  NON-REL   |  0.046511627907 | 0.0487804878049 |
|  44  |  NON-REL   | 0.0454545454545 | 0.0487804878049 |
|  45  |  NON-REL   | 0.0444444444444 | 0.0487804878049 |
|  46  |  NON-REL   | 0.0434782608696 | 0.0487804878049 |
|  47  |  NON-REL   | 0.0425531914894 | 0.0487804878049 |
|  48  |  NON-REL   | 0.0416666666667 | 0.0487804878049 |
|  49  |  NON-REL   | 0.0408163265306 | 0.0487804878049 |
|  50  |  NON-REL   |       0.04      | 0.0487804878049 |
|  51  |  NON-REL   | 0.0392156862745 | 0.0487804878049 |
|  52  |  NON-REL   | 0.0384615384615 | 0.0487804878049 |
|  53  |  NON-REL   | 0.0377358490566 | 0.0487804878049 |
|  54  |  NON-REL   |  0.037037037037 | 0.0487804878049 |
|  55  |  NON-REL   | 0.0363636363636 | 0.0487804878049 |
|  56  |  NON-REL   | 0.0357142857143 | 0.0487804878049 |
|  57  |  NON-REL   | 0.0350877192982 | 0.0487804878049 |
|  58  |  NON-REL   | 0.0344827586207 | 0.0487804878049 |
|  59  |  NON-REL   | 0.0338983050847 | 0.0487804878049 |
|  60  |  NON-REL   | 0.0333333333333 | 0.0487804878049 |
|  61  |  NON-REL   | 0.0327868852459 | 0.0487804878049 |
|  62  |  NON-REL   | 0.0322580645161 | 0.0487804878049 |
|  63  |  NON-REL   |  0.031746031746 | 0.0487804878049 |
|  64  |  NON-REL   |     0.03125     | 0.0487804878049 |
|  65  |  NON-REL   | 0.0307692307692 | 0.0487804878049 |
|  66  |  NON-REL   |  0.030303030303 | 0.0487804878049 |
|  67  |  NON-REL   | 0.0298507462687 | 0.0487804878049 |
|  68  |  NON-REL   | 0.0294117647059 | 0.0487804878049 |
|  69  |  NON-REL   | 0.0289855072464 | 0.0487804878049 |
|  70  |  NON-REL   | 0.0285714285714 | 0.0487804878049 |
|  71  |  NON-REL   | 0.0281690140845 | 0.0487804878049 |
|  72  |  NON-REL   | 0.0277777777778 | 0.0487804878049 |
|  73  |  NON-REL   |  0.027397260274 | 0.0487804878049 |
|  74  |  NON-REL   |  0.027027027027 | 0.0487804878049 |
|  75  |    REL     |       0.04      | 0.0731707317073 |
|  76  |  NON-REL   | 0.0394736842105 | 0.0731707317073 |
|  77  |  NON-REL   |  0.038961038961 | 0.0731707317073 |
|  78  |  NON-REL   | 0.0384615384615 | 0.0731707317073 |
|  79  |  NON-REL   | 0.0379746835443 | 0.0731707317073 |
|  80  |  NON-REL   |      0.0375     | 0.0731707317073 |
|  81  |  NON-REL   |  0.037037037037 | 0.0731707317073 |
|  82  |  NON-REL   | 0.0365853658537 | 0.0731707317073 |
|  83  |  NON-REL   | 0.0361445783133 | 0.0731707317073 |
|  84  |  NON-REL   | 0.0357142857143 | 0.0731707317073 |
|  85  |  NON-REL   | 0.0352941176471 | 0.0731707317073 |
|  86  |  NON-REL   | 0.0348837209302 | 0.0731707317073 |
|  87  |  NON-REL   | 0.0344827586207 | 0.0731707317073 |
|  88  |  NON-REL   | 0.0340909090909 | 0.0731707317073 |
|  89  |  NON-REL   | 0.0337078651685 | 0.0731707317073 |
|  90  |  NON-REL   | 0.0333333333333 | 0.0731707317073 |
|  91  |  NON-REL   |  0.032967032967 | 0.0731707317073 |
|  92  |  NON-REL   | 0.0326086956522 | 0.0731707317073 |
|  93  |  NON-REL   | 0.0322580645161 | 0.0731707317073 |
|  94  |  NON-REL   |  0.031914893617 | 0.0731707317073 |
|  95  |  NON-REL   | 0.0315789473684 | 0.0731707317073 |
|  96  |  NON-REL   |     0.03125     | 0.0731707317073 |
|  97  |  NON-REL   | 0.0309278350515 | 0.0731707317073 |
|  98  |  NON-REL   |  0.030612244898 | 0.0731707317073 |
|  99  |  NON-REL   |  0.030303030303 | 0.0731707317073 |
| 100  |    REL     |       0.04      | 0.0975609756098 |
+------+------------+-----------------+-----------------+
