query_44: xture analysis computer digitized texture analysis texture synthesis perception texture
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |  NON-REL   |       0.0       |       0.0       |
|  26  |  NON-REL   |       0.0       |       0.0       |
|  27  |  NON-REL   |       0.0       |       0.0       |
|  28  |  NON-REL   |       0.0       |       0.0       |
|  29  |  NON-REL   |       0.0       |       0.0       |
|  30  |  NON-REL   |       0.0       |       0.0       |
|  31  |  NON-REL   |       0.0       |       0.0       |
|  32  |  NON-REL   |       0.0       |       0.0       |
|  33  |  NON-REL   |       0.0       |       0.0       |
|  34  |  NON-REL   |       0.0       |       0.0       |
|  35  |  NON-REL   |       0.0       |       0.0       |
|  36  |    REL     | 0.0277777777778 | 0.0588235294118 |
|  37  |    REL     | 0.0540540540541 |  0.117647058824 |
|  38  |    REL     | 0.0789473684211 |  0.176470588235 |
|  39  |  NON-REL   | 0.0769230769231 |  0.176470588235 |
|  40  |  NON-REL   |      0.075      |  0.176470588235 |
|  41  |  NON-REL   | 0.0731707317073 |  0.176470588235 |
|  42  |  NON-REL   | 0.0714285714286 |  0.176470588235 |
|  43  |  NON-REL   | 0.0697674418605 |  0.176470588235 |
|  44  |  NON-REL   | 0.0681818181818 |  0.176470588235 |
|  45  |  NON-REL   | 0.0666666666667 |  0.176470588235 |
|  46  |  NON-REL   | 0.0652173913043 |  0.176470588235 |
|  47  |  NON-REL   |  0.063829787234 |  0.176470588235 |
|  48  |  NON-REL   |      0.0625     |  0.176470588235 |
|  49  |  NON-REL   | 0.0612244897959 |  0.176470588235 |
|  50  |  NON-REL   |       0.06      |  0.176470588235 |
|  51  |  NON-REL   | 0.0588235294118 |  0.176470588235 |
|  52  |  NON-REL   | 0.0576923076923 |  0.176470588235 |
|  53  |  NON-REL   | 0.0566037735849 |  0.176470588235 |
|  54  |  NON-REL   | 0.0555555555556 |  0.176470588235 |
|  55  |  NON-REL   | 0.0545454545455 |  0.176470588235 |
|  56  |  NON-REL   | 0.0535714285714 |  0.176470588235 |
|  57  |  NON-REL   | 0.0526315789474 |  0.176470588235 |
|  58  |  NON-REL   |  0.051724137931 |  0.176470588235 |
|  59  |  NON-REL   | 0.0508474576271 |  0.176470588235 |
|  60  |  NON-REL   |       0.05      |  0.176470588235 |
|  61  |  NON-REL   | 0.0491803278689 |  0.176470588235 |
|  62  |  NON-REL   | 0.0483870967742 |  0.176470588235 |
|  63  |  NON-REL   |  0.047619047619 |  0.176470588235 |
|  64  |  NON-REL   |     0.046875    |  0.176470588235 |
|  65  |  NON-REL   | 0.0461538461538 |  0.176470588235 |
|  66  |  NON-REL   | 0.0454545454545 |  0.176470588235 |
|  67  |  NON-REL   |  0.044776119403 |  0.176470588235 |
|  68  |  NON-REL   | 0.0441176470588 |  0.176470588235 |
|  69  |  NON-REL   | 0.0434782608696 |  0.176470588235 |
|  70  |  NON-REL   | 0.0428571428571 |  0.176470588235 |
|  71  |  NON-REL   | 0.0422535211268 |  0.176470588235 |
|  72  |  NON-REL   | 0.0416666666667 |  0.176470588235 |
|  73  |  NON-REL   |  0.041095890411 |  0.176470588235 |
|  74  |  NON-REL   | 0.0405405405405 |  0.176470588235 |
|  75  |  NON-REL   |       0.04      |  0.176470588235 |
|  76  |  NON-REL   | 0.0394736842105 |  0.176470588235 |
|  77  |  NON-REL   |  0.038961038961 |  0.176470588235 |
|  78  |  NON-REL   | 0.0384615384615 |  0.176470588235 |
|  79  |  NON-REL   | 0.0379746835443 |  0.176470588235 |
|  80  |  NON-REL   |      0.0375     |  0.176470588235 |
|  81  |  NON-REL   |  0.037037037037 |  0.176470588235 |
|  82  |  NON-REL   | 0.0365853658537 |  0.176470588235 |
|  83  |  NON-REL   | 0.0361445783133 |  0.176470588235 |
|  84  |  NON-REL   | 0.0357142857143 |  0.176470588235 |
|  85  |  NON-REL   | 0.0352941176471 |  0.176470588235 |
|  86  |  NON-REL   | 0.0348837209302 |  0.176470588235 |
|  87  |  NON-REL   | 0.0344827586207 |  0.176470588235 |
|  88  |  NON-REL   | 0.0340909090909 |  0.176470588235 |
|  89  |  NON-REL   | 0.0337078651685 |  0.176470588235 |
|  90  |  NON-REL   | 0.0333333333333 |  0.176470588235 |
|  91  |  NON-REL   |  0.032967032967 |  0.176470588235 |
|  92  |  NON-REL   | 0.0326086956522 |  0.176470588235 |
|  93  |  NON-REL   | 0.0322580645161 |  0.176470588235 |
|  94  |  NON-REL   |  0.031914893617 |  0.176470588235 |
|  95  |  NON-REL   | 0.0315789473684 |  0.176470588235 |
|  96  |  NON-REL   |     0.03125     |  0.176470588235 |
|  97  |  NON-REL   | 0.0309278350515 |  0.176470588235 |
|  98  |  NON-REL   |  0.030612244898 |  0.176470588235 |
|  99  |  NON-REL   |  0.030303030303 |  0.176470588235 |
| 100  |  NON-REL   |       0.03      |  0.176470588235 |
+------+------------+-----------------+-----------------+
