query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |    REL     | 0.0666666666667 | 0.0384615384615 |
|  16  |  NON-REL   |      0.0625     | 0.0384615384615 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0384615384615 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0384615384615 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0384615384615 |
|  20  |  NON-REL   |       0.05      | 0.0384615384615 |
|  21  |  NON-REL   |  0.047619047619 | 0.0384615384615 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0384615384615 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0384615384615 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0384615384615 |
|  25  |  NON-REL   |       0.04      | 0.0384615384615 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0384615384615 |
|  27  |  NON-REL   |  0.037037037037 | 0.0384615384615 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0384615384615 |
|  29  |    REL     | 0.0689655172414 | 0.0769230769231 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0769230769231 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0769230769231 |
|  32  |  NON-REL   |      0.0625     | 0.0769230769231 |
|  33  |  NON-REL   | 0.0606060606061 | 0.0769230769231 |
|  34  |  NON-REL   | 0.0588235294118 | 0.0769230769231 |
|  35  |  NON-REL   | 0.0571428571429 | 0.0769230769231 |
|  36  |  NON-REL   | 0.0555555555556 | 0.0769230769231 |
|  37  |  NON-REL   | 0.0540540540541 | 0.0769230769231 |
|  38  |  NON-REL   | 0.0526315789474 | 0.0769230769231 |
|  39  |  NON-REL   | 0.0512820512821 | 0.0769230769231 |
|  40  |  NON-REL   |       0.05      | 0.0769230769231 |
|  41  |  NON-REL   | 0.0487804878049 | 0.0769230769231 |
|  42  |  NON-REL   |  0.047619047619 | 0.0769230769231 |
|  43  |  NON-REL   |  0.046511627907 | 0.0769230769231 |
|  44  |  NON-REL   | 0.0454545454545 | 0.0769230769231 |
|  45  |  NON-REL   | 0.0444444444444 | 0.0769230769231 |
|  46  |  NON-REL   | 0.0434782608696 | 0.0769230769231 |
|  47  |  NON-REL   | 0.0425531914894 | 0.0769230769231 |
|  48  |  NON-REL   | 0.0416666666667 | 0.0769230769231 |
|  49  |  NON-REL   | 0.0408163265306 | 0.0769230769231 |
|  50  |  NON-REL   |       0.04      | 0.0769230769231 |
|  51  |  NON-REL   | 0.0392156862745 | 0.0769230769231 |
|  52  |  NON-REL   | 0.0384615384615 | 0.0769230769231 |
|  53  |  NON-REL   | 0.0377358490566 | 0.0769230769231 |
|  54  |  NON-REL   |  0.037037037037 | 0.0769230769231 |
|  55  |  NON-REL   | 0.0363636363636 | 0.0769230769231 |
|  56  |  NON-REL   | 0.0357142857143 | 0.0769230769231 |
|  57  |  NON-REL   | 0.0350877192982 | 0.0769230769231 |
|  58  |  NON-REL   | 0.0344827586207 | 0.0769230769231 |
|  59  |  NON-REL   | 0.0338983050847 | 0.0769230769231 |
|  60  |  NON-REL   | 0.0333333333333 | 0.0769230769231 |
|  61  |  NON-REL   | 0.0327868852459 | 0.0769230769231 |
|  62  |    REL     | 0.0483870967742 |  0.115384615385 |
|  63  |  NON-REL   |  0.047619047619 |  0.115384615385 |
|  64  |  NON-REL   |     0.046875    |  0.115384615385 |
|  65  |  NON-REL   | 0.0461538461538 |  0.115384615385 |
|  66  |  NON-REL   | 0.0454545454545 |  0.115384615385 |
|  67  |  NON-REL   |  0.044776119403 |  0.115384615385 |
|  68  |  NON-REL   | 0.0441176470588 |  0.115384615385 |
|  69  |  NON-REL   | 0.0434782608696 |  0.115384615385 |
|  70  |  NON-REL   | 0.0428571428571 |  0.115384615385 |
|  71  |  NON-REL   | 0.0422535211268 |  0.115384615385 |
|  72  |  NON-REL   | 0.0416666666667 |  0.115384615385 |
|  73  |  NON-REL   |  0.041095890411 |  0.115384615385 |
|  74  |  NON-REL   | 0.0405405405405 |  0.115384615385 |
|  75  |  NON-REL   |       0.04      |  0.115384615385 |
|  76  |  NON-REL   | 0.0394736842105 |  0.115384615385 |
|  77  |  NON-REL   |  0.038961038961 |  0.115384615385 |
|  78  |  NON-REL   | 0.0384615384615 |  0.115384615385 |
|  79  |  NON-REL   | 0.0379746835443 |  0.115384615385 |
|  80  |  NON-REL   |      0.0375     |  0.115384615385 |
|  81  |  NON-REL   |  0.037037037037 |  0.115384615385 |
|  82  |  NON-REL   | 0.0365853658537 |  0.115384615385 |
|  83  |  NON-REL   | 0.0361445783133 |  0.115384615385 |
|  84  |  NON-REL   | 0.0357142857143 |  0.115384615385 |
|  85  |  NON-REL   | 0.0352941176471 |  0.115384615385 |
|  86  |  NON-REL   | 0.0348837209302 |  0.115384615385 |
|  87  |  NON-REL   | 0.0344827586207 |  0.115384615385 |
|  88  |  NON-REL   | 0.0340909090909 |  0.115384615385 |
|  89  |  NON-REL   | 0.0337078651685 |  0.115384615385 |
|  90  |  NON-REL   | 0.0333333333333 |  0.115384615385 |
|  91  |  NON-REL   |  0.032967032967 |  0.115384615385 |
|  92  |  NON-REL   | 0.0326086956522 |  0.115384615385 |
|  93  |  NON-REL   | 0.0322580645161 |  0.115384615385 |
|  94  |  NON-REL   |  0.031914893617 |  0.115384615385 |
|  95  |  NON-REL   | 0.0315789473684 |  0.115384615385 |
|  96  |  NON-REL   |     0.03125     |  0.115384615385 |
|  97  |  NON-REL   | 0.0309278350515 |  0.115384615385 |
|  98  |  NON-REL   |  0.030612244898 |  0.115384615385 |
|  99  |  NON-REL   |  0.030303030303 |  0.115384615385 |
| 100  |  NON-REL   |       0.03      |  0.115384615385 |
+------+------------+-----------------+-----------------+
