query_60: rdware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |    REL     | 0.0666666666667 |  0.037037037037 |
|  16  |  NON-REL   |      0.0625     |  0.037037037037 |
|  17  |  NON-REL   | 0.0588235294118 |  0.037037037037 |
|  18  |  NON-REL   | 0.0555555555556 |  0.037037037037 |
|  19  |  NON-REL   | 0.0526315789474 |  0.037037037037 |
|  20  |  NON-REL   |       0.05      |  0.037037037037 |
|  21  |  NON-REL   |  0.047619047619 |  0.037037037037 |
|  22  |  NON-REL   | 0.0454545454545 |  0.037037037037 |
|  23  |  NON-REL   | 0.0434782608696 |  0.037037037037 |
|  24  |  NON-REL   | 0.0416666666667 |  0.037037037037 |
|  25  |  NON-REL   |       0.04      |  0.037037037037 |
|  26  |  NON-REL   | 0.0384615384615 |  0.037037037037 |
|  27  |  NON-REL   |  0.037037037037 |  0.037037037037 |
|  28  |  NON-REL   | 0.0357142857143 |  0.037037037037 |
|  29  |  NON-REL   | 0.0344827586207 |  0.037037037037 |
|  30  |  NON-REL   | 0.0333333333333 |  0.037037037037 |
|  31  |  NON-REL   | 0.0322580645161 |  0.037037037037 |
|  32  |  NON-REL   |     0.03125     |  0.037037037037 |
|  33  |  NON-REL   |  0.030303030303 |  0.037037037037 |
|  34  |  NON-REL   | 0.0294117647059 |  0.037037037037 |
|  35  |  NON-REL   | 0.0285714285714 |  0.037037037037 |
|  36  |  NON-REL   | 0.0277777777778 |  0.037037037037 |
|  37  |  NON-REL   |  0.027027027027 |  0.037037037037 |
|  38  |  NON-REL   | 0.0263157894737 |  0.037037037037 |
|  39  |  NON-REL   |  0.025641025641 |  0.037037037037 |
|  40  |  NON-REL   |      0.025      |  0.037037037037 |
|  41  |  NON-REL   | 0.0243902439024 |  0.037037037037 |
|  42  |  NON-REL   | 0.0238095238095 |  0.037037037037 |
|  43  |  NON-REL   | 0.0232558139535 |  0.037037037037 |
|  44  |  NON-REL   | 0.0227272727273 |  0.037037037037 |
|  45  |  NON-REL   | 0.0222222222222 |  0.037037037037 |
|  46  |  NON-REL   | 0.0217391304348 |  0.037037037037 |
|  47  |  NON-REL   | 0.0212765957447 |  0.037037037037 |
|  48  |  NON-REL   | 0.0208333333333 |  0.037037037037 |
|  49  |  NON-REL   | 0.0204081632653 |  0.037037037037 |
|  50  |  NON-REL   |       0.02      |  0.037037037037 |
|  51  |  NON-REL   | 0.0196078431373 |  0.037037037037 |
|  52  |  NON-REL   | 0.0192307692308 |  0.037037037037 |
|  53  |  NON-REL   | 0.0188679245283 |  0.037037037037 |
|  54  |  NON-REL   | 0.0185185185185 |  0.037037037037 |
|  55  |  NON-REL   | 0.0181818181818 |  0.037037037037 |
|  56  |    REL     | 0.0357142857143 | 0.0740740740741 |
|  57  |  NON-REL   | 0.0350877192982 | 0.0740740740741 |
|  58  |  NON-REL   | 0.0344827586207 | 0.0740740740741 |
|  59  |  NON-REL   | 0.0338983050847 | 0.0740740740741 |
|  60  |  NON-REL   | 0.0333333333333 | 0.0740740740741 |
|  61  |  NON-REL   | 0.0327868852459 | 0.0740740740741 |
|  62  |  NON-REL   | 0.0322580645161 | 0.0740740740741 |
|  63  |  NON-REL   |  0.031746031746 | 0.0740740740741 |
|  64  |  NON-REL   |     0.03125     | 0.0740740740741 |
|  65  |  NON-REL   | 0.0307692307692 | 0.0740740740741 |
|  66  |  NON-REL   |  0.030303030303 | 0.0740740740741 |
|  67  |  NON-REL   | 0.0298507462687 | 0.0740740740741 |
|  68  |  NON-REL   | 0.0294117647059 | 0.0740740740741 |
|  69  |  NON-REL   | 0.0289855072464 | 0.0740740740741 |
|  70  |  NON-REL   | 0.0285714285714 | 0.0740740740741 |
|  71  |  NON-REL   | 0.0281690140845 | 0.0740740740741 |
|  72  |  NON-REL   | 0.0277777777778 | 0.0740740740741 |
|  73  |  NON-REL   |  0.027397260274 | 0.0740740740741 |
|  74  |  NON-REL   |  0.027027027027 | 0.0740740740741 |
|  75  |  NON-REL   | 0.0266666666667 | 0.0740740740741 |
|  76  |  NON-REL   | 0.0263157894737 | 0.0740740740741 |
|  77  |  NON-REL   |  0.025974025974 | 0.0740740740741 |
|  78  |  NON-REL   |  0.025641025641 | 0.0740740740741 |
|  79  |  NON-REL   | 0.0253164556962 | 0.0740740740741 |
|  80  |  NON-REL   |      0.025      | 0.0740740740741 |
|  81  |  NON-REL   | 0.0246913580247 | 0.0740740740741 |
|  82  |  NON-REL   | 0.0243902439024 | 0.0740740740741 |
|  83  |  NON-REL   | 0.0240963855422 | 0.0740740740741 |
|  84  |  NON-REL   | 0.0238095238095 | 0.0740740740741 |
|  85  |  NON-REL   | 0.0235294117647 | 0.0740740740741 |
|  86  |  NON-REL   | 0.0232558139535 | 0.0740740740741 |
|  87  |  NON-REL   | 0.0229885057471 | 0.0740740740741 |
|  88  |  NON-REL   | 0.0227272727273 | 0.0740740740741 |
|  89  |  NON-REL   | 0.0224719101124 | 0.0740740740741 |
|  90  |  NON-REL   | 0.0222222222222 | 0.0740740740741 |
|  91  |  NON-REL   |  0.021978021978 | 0.0740740740741 |
|  92  |  NON-REL   | 0.0217391304348 | 0.0740740740741 |
|  93  |  NON-REL   | 0.0215053763441 | 0.0740740740741 |
|  94  |  NON-REL   | 0.0212765957447 | 0.0740740740741 |
|  95  |  NON-REL   | 0.0210526315789 | 0.0740740740741 |
|  96  |  NON-REL   | 0.0208333333333 | 0.0740740740741 |
|  97  |  NON-REL   |  0.020618556701 | 0.0740740740741 |
|  98  |  NON-REL   | 0.0204081632653 | 0.0740740740741 |
|  99  |  NON-REL   |  0.020202020202 | 0.0740740740741 |
| 100  |  NON-REL   |       0.02      | 0.0740740740741 |
+------+------------+-----------------+-----------------+
