query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |    REL     |       0.25      | 0.0357142857143 |
|  5   |  NON-REL   |       0.2       | 0.0357142857143 |
|  6   |  NON-REL   |  0.166666666667 | 0.0357142857143 |
|  7   |  NON-REL   |  0.142857142857 | 0.0357142857143 |
|  8   |  NON-REL   |      0.125      | 0.0357142857143 |
|  9   |  NON-REL   |  0.111111111111 | 0.0357142857143 |
|  10  |  NON-REL   |       0.1       | 0.0357142857143 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0357142857143 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0357142857143 |
|  13  |    REL     |  0.153846153846 | 0.0714285714286 |
|  14  |  NON-REL   |  0.142857142857 | 0.0714285714286 |
|  15  |  NON-REL   |  0.133333333333 | 0.0714285714286 |
|  16  |  NON-REL   |      0.125      | 0.0714285714286 |
|  17  |  NON-REL   |  0.117647058824 | 0.0714285714286 |
|  18  |  NON-REL   |  0.111111111111 | 0.0714285714286 |
|  19  |  NON-REL   |  0.105263157895 | 0.0714285714286 |
|  20  |  NON-REL   |       0.1       | 0.0714285714286 |
|  21  |  NON-REL   | 0.0952380952381 | 0.0714285714286 |
|  22  |  NON-REL   | 0.0909090909091 | 0.0714285714286 |
|  23  |  NON-REL   | 0.0869565217391 | 0.0714285714286 |
|  24  |  NON-REL   | 0.0833333333333 | 0.0714285714286 |
|  25  |  NON-REL   |       0.08      | 0.0714285714286 |
|  26  |  NON-REL   | 0.0769230769231 | 0.0714285714286 |
|  27  |  NON-REL   | 0.0740740740741 | 0.0714285714286 |
|  28  |  NON-REL   | 0.0714285714286 | 0.0714285714286 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0714285714286 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0714285714286 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0714285714286 |
|  32  |  NON-REL   |      0.0625     | 0.0714285714286 |
|  33  |  NON-REL   | 0.0606060606061 | 0.0714285714286 |
|  34  |  NON-REL   | 0.0588235294118 | 0.0714285714286 |
|  35  |  NON-REL   | 0.0571428571429 | 0.0714285714286 |
|  36  |  NON-REL   | 0.0555555555556 | 0.0714285714286 |
|  37  |  NON-REL   | 0.0540540540541 | 0.0714285714286 |
|  38  |  NON-REL   | 0.0526315789474 | 0.0714285714286 |
|  39  |  NON-REL   | 0.0512820512821 | 0.0714285714286 |
|  40  |  NON-REL   |       0.05      | 0.0714285714286 |
|  41  |  NON-REL   | 0.0487804878049 | 0.0714285714286 |
|  42  |  NON-REL   |  0.047619047619 | 0.0714285714286 |
|  43  |  NON-REL   |  0.046511627907 | 0.0714285714286 |
|  44  |  NON-REL   | 0.0454545454545 | 0.0714285714286 |
|  45  |  NON-REL   | 0.0444444444444 | 0.0714285714286 |
|  46  |  NON-REL   | 0.0434782608696 | 0.0714285714286 |
|  47  |  NON-REL   | 0.0425531914894 | 0.0714285714286 |
|  48  |  NON-REL   | 0.0416666666667 | 0.0714285714286 |
|  49  |  NON-REL   | 0.0408163265306 | 0.0714285714286 |
|  50  |  NON-REL   |       0.04      | 0.0714285714286 |
|  51  |  NON-REL   | 0.0392156862745 | 0.0714285714286 |
|  52  |  NON-REL   | 0.0384615384615 | 0.0714285714286 |
|  53  |  NON-REL   | 0.0377358490566 | 0.0714285714286 |
|  54  |  NON-REL   |  0.037037037037 | 0.0714285714286 |
|  55  |  NON-REL   | 0.0363636363636 | 0.0714285714286 |
|  56  |  NON-REL   | 0.0357142857143 | 0.0714285714286 |
|  57  |  NON-REL   | 0.0350877192982 | 0.0714285714286 |
|  58  |  NON-REL   | 0.0344827586207 | 0.0714285714286 |
|  59  |  NON-REL   | 0.0338983050847 | 0.0714285714286 |
|  60  |    REL     |       0.05      |  0.107142857143 |
|  61  |  NON-REL   | 0.0491803278689 |  0.107142857143 |
|  62  |  NON-REL   | 0.0483870967742 |  0.107142857143 |
|  63  |  NON-REL   |  0.047619047619 |  0.107142857143 |
|  64  |  NON-REL   |     0.046875    |  0.107142857143 |
|  65  |  NON-REL   | 0.0461538461538 |  0.107142857143 |
|  66  |  NON-REL   | 0.0454545454545 |  0.107142857143 |
|  67  |  NON-REL   |  0.044776119403 |  0.107142857143 |
|  68  |  NON-REL   | 0.0441176470588 |  0.107142857143 |
|  69  |  NON-REL   | 0.0434782608696 |  0.107142857143 |
|  70  |  NON-REL   | 0.0428571428571 |  0.107142857143 |
|  71  |  NON-REL   | 0.0422535211268 |  0.107142857143 |
|  72  |  NON-REL   | 0.0416666666667 |  0.107142857143 |
|  73  |  NON-REL   |  0.041095890411 |  0.107142857143 |
|  74  |  NON-REL   | 0.0405405405405 |  0.107142857143 |
|  75  |  NON-REL   |       0.04      |  0.107142857143 |
|  76  |  NON-REL   | 0.0394736842105 |  0.107142857143 |
|  77  |  NON-REL   |  0.038961038961 |  0.107142857143 |
|  78  |  NON-REL   | 0.0384615384615 |  0.107142857143 |
|  79  |  NON-REL   | 0.0379746835443 |  0.107142857143 |
|  80  |  NON-REL   |      0.0375     |  0.107142857143 |
|  81  |  NON-REL   |  0.037037037037 |  0.107142857143 |
|  82  |  NON-REL   | 0.0365853658537 |  0.107142857143 |
|  83  |  NON-REL   | 0.0361445783133 |  0.107142857143 |
|  84  |  NON-REL   | 0.0357142857143 |  0.107142857143 |
|  85  |  NON-REL   | 0.0352941176471 |  0.107142857143 |
|  86  |  NON-REL   | 0.0348837209302 |  0.107142857143 |
|  87  |  NON-REL   | 0.0344827586207 |  0.107142857143 |
|  88  |  NON-REL   | 0.0340909090909 |  0.107142857143 |
|  89  |  NON-REL   | 0.0337078651685 |  0.107142857143 |
|  90  |  NON-REL   | 0.0333333333333 |  0.107142857143 |
|  91  |  NON-REL   |  0.032967032967 |  0.107142857143 |
|  92  |  NON-REL   | 0.0326086956522 |  0.107142857143 |
|  93  |  NON-REL   | 0.0322580645161 |  0.107142857143 |
|  94  |  NON-REL   |  0.031914893617 |  0.107142857143 |
|  95  |  NON-REL   | 0.0315789473684 |  0.107142857143 |
|  96  |  NON-REL   |     0.03125     |  0.107142857143 |
|  97  |  NON-REL   | 0.0309278350515 |  0.107142857143 |
|  98  |  NON-REL   |  0.030612244898 |  0.107142857143 |
|  99  |  NON-REL   |  0.030303030303 |  0.107142857143 |
| 100  |  NON-REL   |       0.03      |  0.107142857143 |
+------+------------+-----------------+-----------------+
