query_9: curity considerations local networks network operating systems distributed systems
+------+------------+-----------------+----------------+
| RANK | REL/NONREL |    PRECISION    |     RECALL     |
+------+------------+-----------------+----------------+
|  1   |  NON-REL   |       0.0       |      0.0       |
|  2   |  NON-REL   |       0.0       |      0.0       |
|  3   |  NON-REL   |       0.0       |      0.0       |
|  4   |    REL     |       0.25      | 0.111111111111 |
|  5   |  NON-REL   |       0.2       | 0.111111111111 |
|  6   |  NON-REL   |  0.166666666667 | 0.111111111111 |
|  7   |  NON-REL   |  0.142857142857 | 0.111111111111 |
|  8   |    REL     |       0.25      | 0.222222222222 |
|  9   |  NON-REL   |  0.222222222222 | 0.222222222222 |
|  10  |  NON-REL   |       0.2       | 0.222222222222 |
|  11  |  NON-REL   |  0.181818181818 | 0.222222222222 |
|  12  |  NON-REL   |  0.166666666667 | 0.222222222222 |
|  13  |  NON-REL   |  0.153846153846 | 0.222222222222 |
|  14  |  NON-REL   |  0.142857142857 | 0.222222222222 |
|  15  |  NON-REL   |  0.133333333333 | 0.222222222222 |
|  16  |  NON-REL   |      0.125      | 0.222222222222 |
|  17  |  NON-REL   |  0.117647058824 | 0.222222222222 |
|  18  |  NON-REL   |  0.111111111111 | 0.222222222222 |
|  19  |  NON-REL   |  0.105263157895 | 0.222222222222 |
|  20  |  NON-REL   |       0.1       | 0.222222222222 |
|  21  |  NON-REL   | 0.0952380952381 | 0.222222222222 |
|  22  |  NON-REL   | 0.0909090909091 | 0.222222222222 |
|  23  |  NON-REL   | 0.0869565217391 | 0.222222222222 |
|  24  |  NON-REL   | 0.0833333333333 | 0.222222222222 |
|  25  |  NON-REL   |       0.08      | 0.222222222222 |
|  26  |  NON-REL   | 0.0769230769231 | 0.222222222222 |
|  27  |  NON-REL   | 0.0740740740741 | 0.222222222222 |
|  28  |  NON-REL   | 0.0714285714286 | 0.222222222222 |
|  29  |  NON-REL   | 0.0689655172414 | 0.222222222222 |
|  30  |  NON-REL   | 0.0666666666667 | 0.222222222222 |
|  31  |  NON-REL   | 0.0645161290323 | 0.222222222222 |
|  32  |  NON-REL   |      0.0625     | 0.222222222222 |
|  33  |  NON-REL   | 0.0606060606061 | 0.222222222222 |
|  34  |  NON-REL   | 0.0588235294118 | 0.222222222222 |
|  35  |  NON-REL   | 0.0571428571429 | 0.222222222222 |
|  36  |  NON-REL   | 0.0555555555556 | 0.222222222222 |
|  37  |  NON-REL   | 0.0540540540541 | 0.222222222222 |
|  38  |  NON-REL   | 0.0526315789474 | 0.222222222222 |
|  39  |  NON-REL   | 0.0512820512821 | 0.222222222222 |
|  40  |  NON-REL   |       0.05      | 0.222222222222 |
|  41  |  NON-REL   | 0.0487804878049 | 0.222222222222 |
|  42  |  NON-REL   |  0.047619047619 | 0.222222222222 |
|  43  |  NON-REL   |  0.046511627907 | 0.222222222222 |
|  44  |  NON-REL   | 0.0454545454545 | 0.222222222222 |
|  45  |  NON-REL   | 0.0444444444444 | 0.222222222222 |
|  46  |  NON-REL   | 0.0434782608696 | 0.222222222222 |
|  47  |  NON-REL   | 0.0425531914894 | 0.222222222222 |
|  48  |  NON-REL   | 0.0416666666667 | 0.222222222222 |
|  49  |  NON-REL   | 0.0408163265306 | 0.222222222222 |
|  50  |  NON-REL   |       0.04      | 0.222222222222 |
|  51  |  NON-REL   | 0.0392156862745 | 0.222222222222 |
|  52  |  NON-REL   | 0.0384615384615 | 0.222222222222 |
|  53  |  NON-REL   | 0.0377358490566 | 0.222222222222 |
|  54  |  NON-REL   |  0.037037037037 | 0.222222222222 |
|  55  |  NON-REL   | 0.0363636363636 | 0.222222222222 |
|  56  |  NON-REL   | 0.0357142857143 | 0.222222222222 |
|  57  |  NON-REL   | 0.0350877192982 | 0.222222222222 |
|  58  |  NON-REL   | 0.0344827586207 | 0.222222222222 |
|  59  |  NON-REL   | 0.0338983050847 | 0.222222222222 |
|  60  |  NON-REL   | 0.0333333333333 | 0.222222222222 |
|  61  |  NON-REL   | 0.0327868852459 | 0.222222222222 |
|  62  |  NON-REL   | 0.0322580645161 | 0.222222222222 |
|  63  |  NON-REL   |  0.031746031746 | 0.222222222222 |
|  64  |  NON-REL   |     0.03125     | 0.222222222222 |
|  65  |  NON-REL   | 0.0307692307692 | 0.222222222222 |
|  66  |  NON-REL   |  0.030303030303 | 0.222222222222 |
|  67  |  NON-REL   | 0.0298507462687 | 0.222222222222 |
|  68  |  NON-REL   | 0.0294117647059 | 0.222222222222 |
|  69  |    REL     | 0.0434782608696 | 0.333333333333 |
|  70  |  NON-REL   | 0.0428571428571 | 0.333333333333 |
|  71  |  NON-REL   | 0.0422535211268 | 0.333333333333 |
|  72  |  NON-REL   | 0.0416666666667 | 0.333333333333 |
|  73  |  NON-REL   |  0.041095890411 | 0.333333333333 |
|  74  |    REL     | 0.0540540540541 | 0.444444444444 |
|  75  |  NON-REL   | 0.0533333333333 | 0.444444444444 |
|  76  |  NON-REL   | 0.0526315789474 | 0.444444444444 |
|  77  |  NON-REL   | 0.0519480519481 | 0.444444444444 |
|  78  |  NON-REL   | 0.0512820512821 | 0.444444444444 |
|  79  |    REL     | 0.0632911392405 | 0.555555555556 |
|  80  |    REL     |      0.075      | 0.666666666667 |
|  81  |  NON-REL   | 0.0740740740741 | 0.666666666667 |
|  82  |  NON-REL   | 0.0731707317073 | 0.666666666667 |
|  83  |  NON-REL   | 0.0722891566265 | 0.666666666667 |
|  84  |  NON-REL   | 0.0714285714286 | 0.666666666667 |
|  85  |  NON-REL   | 0.0705882352941 | 0.666666666667 |
|  86  |  NON-REL   | 0.0697674418605 | 0.666666666667 |
|  87  |  NON-REL   | 0.0689655172414 | 0.666666666667 |
|  88  |  NON-REL   | 0.0681818181818 | 0.666666666667 |
|  89  |  NON-REL   | 0.0674157303371 | 0.666666666667 |
|  90  |  NON-REL   | 0.0666666666667 | 0.666666666667 |
|  91  |  NON-REL   | 0.0659340659341 | 0.666666666667 |
|  92  |  NON-REL   | 0.0652173913043 | 0.666666666667 |
|  93  |  NON-REL   | 0.0645161290323 | 0.666666666667 |
|  94  |  NON-REL   |  0.063829787234 | 0.666666666667 |
|  95  |  NON-REL   | 0.0631578947368 | 0.666666666667 |
|  96  |  NON-REL   |      0.0625     | 0.666666666667 |
|  97  |  NON-REL   | 0.0618556701031 | 0.666666666667 |
|  98  |  NON-REL   | 0.0612244897959 | 0.666666666667 |
|  99  |  NON-REL   | 0.0606060606061 | 0.666666666667 |
| 100  |  NON-REL   |       0.06      | 0.666666666667 |
+------+------------+-----------------+----------------+
