query_10: rallel languages languages parallel computation
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0285714285714 |
|  3   |  NON-REL   | 0.333333333333 | 0.0285714285714 |
|  4   |  NON-REL   |      0.25      | 0.0285714285714 |
|  5   |  NON-REL   |      0.2       | 0.0285714285714 |
|  6   |  NON-REL   | 0.166666666667 | 0.0285714285714 |
|  7   |    REL     | 0.285714285714 | 0.0571428571429 |
|  8   |  NON-REL   |      0.25      | 0.0571428571429 |
|  9   |    REL     | 0.333333333333 | 0.0857142857143 |
|  10  |  NON-REL   |      0.3       | 0.0857142857143 |
|  11  |  NON-REL   | 0.272727272727 | 0.0857142857143 |
|  12  |  NON-REL   |      0.25      | 0.0857142857143 |
|  13  |  NON-REL   | 0.230769230769 | 0.0857142857143 |
|  14  |    REL     | 0.285714285714 |  0.114285714286 |
|  15  |  NON-REL   | 0.266666666667 |  0.114285714286 |
|  16  |  NON-REL   |      0.25      |  0.114285714286 |
|  17  |  NON-REL   | 0.235294117647 |  0.114285714286 |
|  18  |  NON-REL   | 0.222222222222 |  0.114285714286 |
|  19  |    REL     | 0.263157894737 |  0.142857142857 |
|  20  |  NON-REL   |      0.25      |  0.142857142857 |
|  21  |  NON-REL   | 0.238095238095 |  0.142857142857 |
|  22  |  NON-REL   | 0.227272727273 |  0.142857142857 |
|  23  |    REL     | 0.260869565217 |  0.171428571429 |
|  24  |    REL     | 0.291666666667 |       0.2       |
|  25  |  NON-REL   |      0.28      |       0.2       |
|  26  |    REL     | 0.307692307692 |  0.228571428571 |
|  27  |  NON-REL   | 0.296296296296 |  0.228571428571 |
|  28  |  NON-REL   | 0.285714285714 |  0.228571428571 |
|  29  |  NON-REL   | 0.275862068966 |  0.228571428571 |
|  30  |    REL     |      0.3       |  0.257142857143 |
|  31  |  NON-REL   | 0.290322580645 |  0.257142857143 |
|  32  |  NON-REL   |    0.28125     |  0.257142857143 |
|  33  |  NON-REL   | 0.272727272727 |  0.257142857143 |
|  34  |  NON-REL   | 0.264705882353 |  0.257142857143 |
|  35  |    REL     | 0.285714285714 |  0.285714285714 |
|  36  |  NON-REL   | 0.277777777778 |  0.285714285714 |
|  37  |  NON-REL   | 0.27027027027  |  0.285714285714 |
|  38  |  NON-REL   | 0.263157894737 |  0.285714285714 |
|  39  |  NON-REL   | 0.25641025641  |  0.285714285714 |
|  40  |  NON-REL   |      0.25      |  0.285714285714 |
|  41  |  NON-REL   | 0.243902439024 |  0.285714285714 |
|  42  |  NON-REL   | 0.238095238095 |  0.285714285714 |
|  43  |  NON-REL   | 0.232558139535 |  0.285714285714 |
|  44  |  NON-REL   | 0.227272727273 |  0.285714285714 |
|  45  |  NON-REL   | 0.222222222222 |  0.285714285714 |
|  46  |  NON-REL   | 0.217391304348 |  0.285714285714 |
|  47  |  NON-REL   | 0.212765957447 |  0.285714285714 |
|  48  |  NON-REL   | 0.208333333333 |  0.285714285714 |
|  49  |  NON-REL   | 0.204081632653 |  0.285714285714 |
|  50  |  NON-REL   |      0.2       |  0.285714285714 |
|  51  |  NON-REL   | 0.196078431373 |  0.285714285714 |
|  52  |  NON-REL   | 0.192307692308 |  0.285714285714 |
|  53  |  NON-REL   | 0.188679245283 |  0.285714285714 |
|  54  |  NON-REL   | 0.185185185185 |  0.285714285714 |
|  55  |    REL     |      0.2       |  0.314285714286 |
|  56  |  NON-REL   | 0.196428571429 |  0.314285714286 |
|  57  |  NON-REL   | 0.19298245614  |  0.314285714286 |
|  58  |  NON-REL   | 0.189655172414 |  0.314285714286 |
|  59  |  NON-REL   | 0.186440677966 |  0.314285714286 |
|  60  |  NON-REL   | 0.183333333333 |  0.314285714286 |
|  61  |  NON-REL   | 0.180327868852 |  0.314285714286 |
|  62  |  NON-REL   | 0.177419354839 |  0.314285714286 |
|  63  |    REL     | 0.190476190476 |  0.342857142857 |
|  64  |  NON-REL   |     0.1875     |  0.342857142857 |
|  65  |  NON-REL   | 0.184615384615 |  0.342857142857 |
|  66  |  NON-REL   | 0.181818181818 |  0.342857142857 |
|  67  |  NON-REL   | 0.179104477612 |  0.342857142857 |
|  68  |  NON-REL   | 0.176470588235 |  0.342857142857 |
|  69  |  NON-REL   | 0.173913043478 |  0.342857142857 |
|  70  |  NON-REL   | 0.171428571429 |  0.342857142857 |
|  71  |  NON-REL   | 0.169014084507 |  0.342857142857 |
|  72  |  NON-REL   | 0.166666666667 |  0.342857142857 |
|  73  |  NON-REL   | 0.164383561644 |  0.342857142857 |
|  74  |  NON-REL   | 0.162162162162 |  0.342857142857 |
|  75  |  NON-REL   |      0.16      |  0.342857142857 |
|  76  |  NON-REL   | 0.157894736842 |  0.342857142857 |
|  77  |  NON-REL   | 0.155844155844 |  0.342857142857 |
|  78  |  NON-REL   | 0.153846153846 |  0.342857142857 |
|  79  |  NON-REL   | 0.151898734177 |  0.342857142857 |
|  80  |  NON-REL   |      0.15      |  0.342857142857 |
|  81  |  NON-REL   | 0.148148148148 |  0.342857142857 |
|  82  |  NON-REL   | 0.146341463415 |  0.342857142857 |
|  83  |  NON-REL   | 0.144578313253 |  0.342857142857 |
|  84  |  NON-REL   | 0.142857142857 |  0.342857142857 |
|  85  |  NON-REL   | 0.141176470588 |  0.342857142857 |
|  86  |  NON-REL   | 0.139534883721 |  0.342857142857 |
|  87  |  NON-REL   | 0.137931034483 |  0.342857142857 |
|  88  |  NON-REL   | 0.136363636364 |  0.342857142857 |
|  89  |  NON-REL   | 0.134831460674 |  0.342857142857 |
|  90  |  NON-REL   | 0.133333333333 |  0.342857142857 |
|  91  |  NON-REL   | 0.131868131868 |  0.342857142857 |
|  92  |  NON-REL   | 0.130434782609 |  0.342857142857 |
|  93  |  NON-REL   | 0.129032258065 |  0.342857142857 |
|  94  |  NON-REL   | 0.127659574468 |  0.342857142857 |
|  95  |  NON-REL   | 0.126315789474 |  0.342857142857 |
|  96  |  NON-REL   |     0.125      |  0.342857142857 |
|  97  |  NON-REL   | 0.123711340206 |  0.342857142857 |
|  98  |  NON-REL   | 0.122448979592 |  0.342857142857 |
|  99  |  NON-REL   | 0.121212121212 |  0.342857142857 |
| 100  |  NON-REL   |      0.12      |  0.342857142857 |
+------+------------+----------------+-----------------+
