query_15: nd discussions horizontal microcode optimization special emphasis optimization loops global optimization
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |    REL     | 0.0769230769231 |  0.1   |
|  14  |  NON-REL   | 0.0714285714286 |  0.1   |
|  15  |    REL     |  0.133333333333 |  0.2   |
|  16  |  NON-REL   |      0.125      |  0.2   |
|  17  |  NON-REL   |  0.117647058824 |  0.2   |
|  18  |  NON-REL   |  0.111111111111 |  0.2   |
|  19  |  NON-REL   |  0.105263157895 |  0.2   |
|  20  |  NON-REL   |       0.1       |  0.2   |
|  21  |  NON-REL   | 0.0952380952381 |  0.2   |
|  22  |  NON-REL   | 0.0909090909091 |  0.2   |
|  23  |  NON-REL   | 0.0869565217391 |  0.2   |
|  24  |  NON-REL   | 0.0833333333333 |  0.2   |
|  25  |  NON-REL   |       0.08      |  0.2   |
|  26  |  NON-REL   | 0.0769230769231 |  0.2   |
|  27  |  NON-REL   | 0.0740740740741 |  0.2   |
|  28  |  NON-REL   | 0.0714285714286 |  0.2   |
|  29  |  NON-REL   | 0.0689655172414 |  0.2   |
|  30  |  NON-REL   | 0.0666666666667 |  0.2   |
|  31  |  NON-REL   | 0.0645161290323 |  0.2   |
|  32  |  NON-REL   |      0.0625     |  0.2   |
|  33  |  NON-REL   | 0.0606060606061 |  0.2   |
|  34  |  NON-REL   | 0.0588235294118 |  0.2   |
|  35  |  NON-REL   | 0.0571428571429 |  0.2   |
|  36  |  NON-REL   | 0.0555555555556 |  0.2   |
|  37  |  NON-REL   | 0.0540540540541 |  0.2   |
|  38  |  NON-REL   | 0.0526315789474 |  0.2   |
|  39  |  NON-REL   | 0.0512820512821 |  0.2   |
|  40  |  NON-REL   |       0.05      |  0.2   |
|  41  |    REL     | 0.0731707317073 |  0.3   |
|  42  |  NON-REL   | 0.0714285714286 |  0.3   |
|  43  |  NON-REL   | 0.0697674418605 |  0.3   |
|  44  |  NON-REL   | 0.0681818181818 |  0.3   |
|  45  |  NON-REL   | 0.0666666666667 |  0.3   |
|  46  |  NON-REL   | 0.0652173913043 |  0.3   |
|  47  |  NON-REL   |  0.063829787234 |  0.3   |
|  48  |  NON-REL   |      0.0625     |  0.3   |
|  49  |  NON-REL   | 0.0612244897959 |  0.3   |
|  50  |    REL     |       0.08      |  0.4   |
|  51  |  NON-REL   |  0.078431372549 |  0.4   |
|  52  |  NON-REL   | 0.0769230769231 |  0.4   |
|  53  |  NON-REL   | 0.0754716981132 |  0.4   |
|  54  |  NON-REL   | 0.0740740740741 |  0.4   |
|  55  |  NON-REL   | 0.0727272727273 |  0.4   |
|  56  |  NON-REL   | 0.0714285714286 |  0.4   |
|  57  |  NON-REL   | 0.0701754385965 |  0.4   |
|  58  |  NON-REL   | 0.0689655172414 |  0.4   |
|  59  |  NON-REL   | 0.0677966101695 |  0.4   |
|  60  |  NON-REL   | 0.0666666666667 |  0.4   |
|  61  |  NON-REL   | 0.0655737704918 |  0.4   |
|  62  |  NON-REL   | 0.0645161290323 |  0.4   |
|  63  |  NON-REL   | 0.0634920634921 |  0.4   |
|  64  |  NON-REL   |      0.0625     |  0.4   |
|  65  |  NON-REL   | 0.0615384615385 |  0.4   |
|  66  |  NON-REL   | 0.0606060606061 |  0.4   |
|  67  |  NON-REL   | 0.0597014925373 |  0.4   |
|  68  |  NON-REL   | 0.0588235294118 |  0.4   |
|  69  |  NON-REL   | 0.0579710144928 |  0.4   |
|  70  |  NON-REL   | 0.0571428571429 |  0.4   |
|  71  |  NON-REL   |  0.056338028169 |  0.4   |
|  72  |  NON-REL   | 0.0555555555556 |  0.4   |
|  73  |  NON-REL   | 0.0547945205479 |  0.4   |
|  74  |  NON-REL   | 0.0540540540541 |  0.4   |
|  75  |  NON-REL   | 0.0533333333333 |  0.4   |
|  76  |  NON-REL   | 0.0526315789474 |  0.4   |
|  77  |  NON-REL   | 0.0519480519481 |  0.4   |
|  78  |  NON-REL   | 0.0512820512821 |  0.4   |
|  79  |  NON-REL   | 0.0506329113924 |  0.4   |
|  80  |  NON-REL   |       0.05      |  0.4   |
|  81  |  NON-REL   | 0.0493827160494 |  0.4   |
|  82  |  NON-REL   | 0.0487804878049 |  0.4   |
|  83  |  NON-REL   | 0.0481927710843 |  0.4   |
|  84  |  NON-REL   |  0.047619047619 |  0.4   |
|  85  |  NON-REL   | 0.0470588235294 |  0.4   |
|  86  |  NON-REL   |  0.046511627907 |  0.4   |
|  87  |  NON-REL   | 0.0459770114943 |  0.4   |
|  88  |  NON-REL   | 0.0454545454545 |  0.4   |
|  89  |  NON-REL   | 0.0449438202247 |  0.4   |
|  90  |  NON-REL   | 0.0444444444444 |  0.4   |
|  91  |  NON-REL   |  0.043956043956 |  0.4   |
|  92  |  NON-REL   | 0.0434782608696 |  0.4   |
|  93  |  NON-REL   | 0.0430107526882 |  0.4   |
|  94  |  NON-REL   | 0.0425531914894 |  0.4   |
|  95  |  NON-REL   | 0.0421052631579 |  0.4   |
|  96  |  NON-REL   | 0.0416666666667 |  0.4   |
|  97  |  NON-REL   | 0.0412371134021 |  0.4   |
|  98  |  NON-REL   | 0.0408163265306 |  0.4   |
|  99  |  NON-REL   |  0.040404040404 |  0.4   |
| 100  |  NON-REL   |       0.04      |  0.4   |
+------+------------+-----------------+--------+
