query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |    REL     |      0.125      | 0.0625 |
|  9   |  NON-REL   |  0.111111111111 | 0.0625 |
|  10  |  NON-REL   |       0.1       | 0.0625 |
|  11  |    REL     |  0.181818181818 | 0.125  |
|  12  |  NON-REL   |  0.166666666667 | 0.125  |
|  13  |  NON-REL   |  0.153846153846 | 0.125  |
|  14  |  NON-REL   |  0.142857142857 | 0.125  |
|  15  |  NON-REL   |  0.133333333333 | 0.125  |
|  16  |  NON-REL   |      0.125      | 0.125  |
|  17  |  NON-REL   |  0.117647058824 | 0.125  |
|  18  |    REL     |  0.166666666667 | 0.1875 |
|  19  |  NON-REL   |  0.157894736842 | 0.1875 |
|  20  |  NON-REL   |       0.15      | 0.1875 |
|  21  |  NON-REL   |  0.142857142857 | 0.1875 |
|  22  |  NON-REL   |  0.136363636364 | 0.1875 |
|  23  |    REL     |  0.173913043478 |  0.25  |
|  24  |  NON-REL   |  0.166666666667 |  0.25  |
|  25  |  NON-REL   |       0.16      |  0.25  |
|  26  |  NON-REL   |  0.153846153846 |  0.25  |
|  27  |  NON-REL   |  0.148148148148 |  0.25  |
|  28  |  NON-REL   |  0.142857142857 |  0.25  |
|  29  |  NON-REL   |  0.137931034483 |  0.25  |
|  30  |  NON-REL   |  0.133333333333 |  0.25  |
|  31  |  NON-REL   |  0.129032258065 |  0.25  |
|  32  |  NON-REL   |      0.125      |  0.25  |
|  33  |  NON-REL   |  0.121212121212 |  0.25  |
|  34  |  NON-REL   |  0.117647058824 |  0.25  |
|  35  |  NON-REL   |  0.114285714286 |  0.25  |
|  36  |  NON-REL   |  0.111111111111 |  0.25  |
|  37  |  NON-REL   |  0.108108108108 |  0.25  |
|  38  |  NON-REL   |  0.105263157895 |  0.25  |
|  39  |  NON-REL   |  0.102564102564 |  0.25  |
|  40  |  NON-REL   |       0.1       |  0.25  |
|  41  |  NON-REL   | 0.0975609756098 |  0.25  |
|  42  |  NON-REL   | 0.0952380952381 |  0.25  |
|  43  |  NON-REL   |  0.093023255814 |  0.25  |
|  44  |  NON-REL   | 0.0909090909091 |  0.25  |
|  45  |  NON-REL   | 0.0888888888889 |  0.25  |
|  46  |  NON-REL   | 0.0869565217391 |  0.25  |
|  47  |    REL     |  0.106382978723 | 0.3125 |
|  48  |  NON-REL   |  0.104166666667 | 0.3125 |
|  49  |  NON-REL   |  0.102040816327 | 0.3125 |
|  50  |  NON-REL   |       0.1       | 0.3125 |
|  51  |  NON-REL   | 0.0980392156863 | 0.3125 |
|  52  |  NON-REL   | 0.0961538461538 | 0.3125 |
|  53  |  NON-REL   | 0.0943396226415 | 0.3125 |
|  54  |  NON-REL   | 0.0925925925926 | 0.3125 |
|  55  |  NON-REL   | 0.0909090909091 | 0.3125 |
|  56  |  NON-REL   | 0.0892857142857 | 0.3125 |
|  57  |  NON-REL   | 0.0877192982456 | 0.3125 |
|  58  |  NON-REL   | 0.0862068965517 | 0.3125 |
|  59  |    REL     |  0.101694915254 | 0.375  |
|  60  |  NON-REL   |       0.1       | 0.375  |
|  61  |  NON-REL   | 0.0983606557377 | 0.375  |
|  62  |  NON-REL   | 0.0967741935484 | 0.375  |
|  63  |  NON-REL   | 0.0952380952381 | 0.375  |
|  64  |  NON-REL   |     0.09375     | 0.375  |
|  65  |  NON-REL   | 0.0923076923077 | 0.375  |
|  66  |  NON-REL   | 0.0909090909091 | 0.375  |
|  67  |  NON-REL   |  0.089552238806 | 0.375  |
|  68  |  NON-REL   | 0.0882352941176 | 0.375  |
|  69  |  NON-REL   | 0.0869565217391 | 0.375  |
|  70  |  NON-REL   | 0.0857142857143 | 0.375  |
|  71  |  NON-REL   | 0.0845070422535 | 0.375  |
|  72  |  NON-REL   | 0.0833333333333 | 0.375  |
|  73  |  NON-REL   | 0.0821917808219 | 0.375  |
|  74  |  NON-REL   | 0.0810810810811 | 0.375  |
|  75  |  NON-REL   |       0.08      | 0.375  |
|  76  |  NON-REL   | 0.0789473684211 | 0.375  |
|  77  |  NON-REL   | 0.0779220779221 | 0.375  |
|  78  |  NON-REL   | 0.0769230769231 | 0.375  |
|  79  |  NON-REL   | 0.0759493670886 | 0.375  |
|  80  |  NON-REL   |      0.075      | 0.375  |
|  81  |  NON-REL   | 0.0740740740741 | 0.375  |
|  82  |  NON-REL   | 0.0731707317073 | 0.375  |
|  83  |  NON-REL   | 0.0722891566265 | 0.375  |
|  84  |  NON-REL   | 0.0714285714286 | 0.375  |
|  85  |  NON-REL   | 0.0705882352941 | 0.375  |
|  86  |  NON-REL   | 0.0697674418605 | 0.375  |
|  87  |  NON-REL   | 0.0689655172414 | 0.375  |
|  88  |  NON-REL   | 0.0681818181818 | 0.375  |
|  89  |  NON-REL   | 0.0674157303371 | 0.375  |
|  90  |  NON-REL   | 0.0666666666667 | 0.375  |
|  91  |  NON-REL   | 0.0659340659341 | 0.375  |
|  92  |  NON-REL   | 0.0652173913043 | 0.375  |
|  93  |  NON-REL   | 0.0645161290323 | 0.375  |
|  94  |  NON-REL   |  0.063829787234 | 0.375  |
|  95  |  NON-REL   | 0.0631578947368 | 0.375  |
|  96  |  NON-REL   |      0.0625     | 0.375  |
|  97  |  NON-REL   | 0.0618556701031 | 0.375  |
|  98  |  NON-REL   | 0.0612244897959 | 0.375  |
|  99  |  NON-REL   | 0.0606060606061 | 0.375  |
| 100  |  NON-REL   |       0.06      | 0.375  |
+------+------------+-----------------+--------+
