query_22: terested hidden-line hidden-surface algorithms cylinders toroids spheres cones specialized topic computer graphics
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0588235294118 |
|  2   |    REL     |       1.0       |  0.117647058824 |
|  3   |  NON-REL   |  0.666666666667 |  0.117647058824 |
|  4   |    REL     |       0.75      |  0.176470588235 |
|  5   |  NON-REL   |       0.6       |  0.176470588235 |
|  6   |    REL     |  0.666666666667 |  0.235294117647 |
|  7   |  NON-REL   |  0.571428571429 |  0.235294117647 |
|  8   |    REL     |      0.625      |  0.294117647059 |
|  9   |  NON-REL   |  0.555555555556 |  0.294117647059 |
|  10  |  NON-REL   |       0.5       |  0.294117647059 |
|  11  |  NON-REL   |  0.454545454545 |  0.294117647059 |
|  12  |  NON-REL   |  0.416666666667 |  0.294117647059 |
|  13  |  NON-REL   |  0.384615384615 |  0.294117647059 |
|  14  |  NON-REL   |  0.357142857143 |  0.294117647059 |
|  15  |  NON-REL   |  0.333333333333 |  0.294117647059 |
|  16  |  NON-REL   |      0.3125     |  0.294117647059 |
|  17  |    REL     |  0.352941176471 |  0.352941176471 |
|  18  |  NON-REL   |  0.333333333333 |  0.352941176471 |
|  19  |  NON-REL   |  0.315789473684 |  0.352941176471 |
|  20  |  NON-REL   |       0.3       |  0.352941176471 |
|  21  |  NON-REL   |  0.285714285714 |  0.352941176471 |
|  22  |  NON-REL   |  0.272727272727 |  0.352941176471 |
|  23  |  NON-REL   |  0.260869565217 |  0.352941176471 |
|  24  |  NON-REL   |       0.25      |  0.352941176471 |
|  25  |  NON-REL   |       0.24      |  0.352941176471 |
|  26  |  NON-REL   |  0.230769230769 |  0.352941176471 |
|  27  |  NON-REL   |  0.222222222222 |  0.352941176471 |
|  28  |  NON-REL   |  0.214285714286 |  0.352941176471 |
|  29  |  NON-REL   |  0.206896551724 |  0.352941176471 |
