query_26: ncurrency control mechanisms operating systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |    REL     |  0.111111111111 | 0.0333333333333 |
|  10  |    REL     |       0.2       | 0.0666666666667 |
|  11  |  NON-REL   |  0.181818181818 | 0.0666666666667 |
|  12  |  NON-REL   |  0.166666666667 | 0.0666666666667 |
|  13  |  NON-REL   |  0.153846153846 | 0.0666666666667 |
|  14  |  NON-REL   |  0.142857142857 | 0.0666666666667 |
|  15  |  NON-REL   |  0.133333333333 | 0.0666666666667 |
|  16  |  NON-REL   |      0.125      | 0.0666666666667 |
|  17  |  NON-REL   |  0.117647058824 | 0.0666666666667 |
|  18  |  NON-REL   |  0.111111111111 | 0.0666666666667 |
|  19  |  NON-REL   |  0.105263157895 | 0.0666666666667 |
|  20  |  NON-REL   |       0.1       | 0.0666666666667 |
|  21  |  NON-REL   | 0.0952380952381 | 0.0666666666667 |
|  22  |  NON-REL   | 0.0909090909091 | 0.0666666666667 |
|  23  |  NON-REL   | 0.0869565217391 | 0.0666666666667 |
|  24  |  NON-REL   | 0.0833333333333 | 0.0666666666667 |
|  25  |  NON-REL   |       0.08      | 0.0666666666667 |
|  26  |  NON-REL   | 0.0769230769231 | 0.0666666666667 |
|  27  |  NON-REL   | 0.0740740740741 | 0.0666666666667 |
|  28  |  NON-REL   | 0.0714285714286 | 0.0666666666667 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0666666666667 |
|  30  |    REL     |       0.1       |       0.1       |
|  31  |  NON-REL   | 0.0967741935484 |       0.1       |
|  32  |  NON-REL   |     0.09375     |       0.1       |
|  33  |  NON-REL   | 0.0909090909091 |       0.1       |
|  34  |  NON-REL   | 0.0882352941176 |       0.1       |
|  35  |  NON-REL   | 0.0857142857143 |       0.1       |
|  36  |  NON-REL   | 0.0833333333333 |       0.1       |
|  37  |  NON-REL   | 0.0810810810811 |       0.1       |
|  38  |  NON-REL   | 0.0789473684211 |       0.1       |
|  39  |  NON-REL   | 0.0769230769231 |       0.1       |
|  40  |  NON-REL   |      0.075      |       0.1       |
|  41  |    REL     | 0.0975609756098 |  0.133333333333 |
|  42  |  NON-REL   | 0.0952380952381 |  0.133333333333 |
|  43  |  NON-REL   |  0.093023255814 |  0.133333333333 |
|  44  |  NON-REL   | 0.0909090909091 |  0.133333333333 |
|  45  |  NON-REL   | 0.0888888888889 |  0.133333333333 |
|  46  |  NON-REL   | 0.0869565217391 |  0.133333333333 |
|  47  |  NON-REL   | 0.0851063829787 |  0.133333333333 |
|  48  |    REL     |  0.104166666667 |  0.166666666667 |
|  49  |  NON-REL   |  0.102040816327 |  0.166666666667 |
|  50  |  NON-REL   |       0.1       |  0.166666666667 |
|  51  |  NON-REL   | 0.0980392156863 |  0.166666666667 |
|  52  |  NON-REL   | 0.0961538461538 |  0.166666666667 |
|  53  |  NON-REL   | 0.0943396226415 |  0.166666666667 |
|  54  |  NON-REL   | 0.0925925925926 |  0.166666666667 |
|  55  |  NON-REL   | 0.0909090909091 |  0.166666666667 |
|  56  |  NON-REL   | 0.0892857142857 |  0.166666666667 |
|  57  |    REL     |  0.105263157895 |       0.2       |
|  58  |  NON-REL   |  0.103448275862 |       0.2       |
|  59  |  NON-REL   |  0.101694915254 |       0.2       |
|  60  |  NON-REL   |       0.1       |       0.2       |
|  61  |    REL     |  0.114754098361 |  0.233333333333 |
|  62  |  NON-REL   |  0.112903225806 |  0.233333333333 |
|  63  |  NON-REL   |  0.111111111111 |  0.233333333333 |
|  64  |  NON-REL   |     0.109375    |  0.233333333333 |
|  65  |  NON-REL   |  0.107692307692 |  0.233333333333 |
|  66  |  NON-REL   |  0.106060606061 |  0.233333333333 |
|  67  |  NON-REL   |  0.10447761194  |  0.233333333333 |
|  68  |  NON-REL   |  0.102941176471 |  0.233333333333 |
|  69  |  NON-REL   |  0.101449275362 |  0.233333333333 |
|  70  |  NON-REL   |       0.1       |  0.233333333333 |
|  71  |  NON-REL   | 0.0985915492958 |  0.233333333333 |
|  72  |  NON-REL   | 0.0972222222222 |  0.233333333333 |
|  73  |  NON-REL   | 0.0958904109589 |  0.233333333333 |
|  74  |    REL     |  0.108108108108 |  0.266666666667 |
|  75  |  NON-REL   |  0.106666666667 |  0.266666666667 |
|  76  |  NON-REL   |  0.105263157895 |  0.266666666667 |
|  77  |  NON-REL   |  0.103896103896 |  0.266666666667 |
|  78  |  NON-REL   |  0.102564102564 |  0.266666666667 |
|  79  |  NON-REL   |  0.101265822785 |  0.266666666667 |
|  80  |  NON-REL   |       0.1       |  0.266666666667 |
|  81  |    REL     |  0.111111111111 |       0.3       |
|  82  |  NON-REL   |  0.109756097561 |       0.3       |
|  83  |  NON-REL   |  0.10843373494  |       0.3       |
|  84  |  NON-REL   |  0.107142857143 |       0.3       |
|  85  |  NON-REL   |  0.105882352941 |       0.3       |
|  86  |  NON-REL   |  0.104651162791 |       0.3       |
|  87  |  NON-REL   |  0.103448275862 |       0.3       |
|  88  |  NON-REL   |  0.102272727273 |       0.3       |
|  89  |  NON-REL   |  0.101123595506 |       0.3       |
|  90  |    REL     |  0.111111111111 |  0.333333333333 |
|  91  |  NON-REL   |  0.10989010989  |  0.333333333333 |
|  92  |  NON-REL   |  0.108695652174 |  0.333333333333 |
|  93  |  NON-REL   |  0.10752688172  |  0.333333333333 |
|  94  |  NON-REL   |  0.106382978723 |  0.333333333333 |
|  95  |  NON-REL   |  0.105263157895 |  0.333333333333 |
|  96  |  NON-REL   |  0.104166666667 |  0.333333333333 |
|  97  |  NON-REL   |  0.103092783505 |  0.333333333333 |
|  98  |  NON-REL   |  0.102040816327 |  0.333333333333 |
|  99  |  NON-REL   |  0.10101010101  |  0.333333333333 |
| 100  |  NON-REL   |       0.1       |  0.333333333333 |
+------+------------+-----------------+-----------------+
