query_27: mory management aspects operating systems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0344827586207 |
|  3   |    REL     | 0.666666666667 | 0.0689655172414 |
|  4   |  NON-REL   |      0.5       | 0.0689655172414 |
|  5   |    REL     |      0.6       |  0.103448275862 |
|  6   |  NON-REL   |      0.5       |  0.103448275862 |
|  7   |  NON-REL   | 0.428571428571 |  0.103448275862 |
|  8   |  NON-REL   |     0.375      |  0.103448275862 |
|  9   |  NON-REL   | 0.333333333333 |  0.103448275862 |
|  10  |    REL     |      0.4       |  0.137931034483 |
|  11  |  NON-REL   | 0.363636363636 |  0.137931034483 |
|  12  |    REL     | 0.416666666667 |  0.172413793103 |
|  13  |  NON-REL   | 0.384615384615 |  0.172413793103 |
|  14  |    REL     | 0.428571428571 |  0.206896551724 |
|  15  |    REL     | 0.466666666667 |  0.241379310345 |
|  16  |  NON-REL   |     0.4375     |  0.241379310345 |
|  17  |    REL     | 0.470588235294 |  0.275862068966 |
|  18  |  NON-REL   | 0.444444444444 |  0.275862068966 |
|  19  |  NON-REL   | 0.421052631579 |  0.275862068966 |
|  20  |  NON-REL   |      0.4       |  0.275862068966 |
|  21  |  NON-REL   | 0.380952380952 |  0.275862068966 |
|  22  |    REL     | 0.409090909091 |  0.310344827586 |
|  23  |    REL     | 0.434782608696 |  0.344827586207 |
|  24  |  NON-REL   | 0.416666666667 |  0.344827586207 |
|  25  |    REL     |      0.44      |  0.379310344828 |
|  26  |  NON-REL   | 0.423076923077 |  0.379310344828 |
|  27  |    REL     | 0.444444444444 |  0.413793103448 |
|  28  |  NON-REL   | 0.428571428571 |  0.413793103448 |
|  29  |  NON-REL   | 0.413793103448 |  0.413793103448 |
|  30  |  NON-REL   |      0.4       |  0.413793103448 |
|  31  |  NON-REL   | 0.387096774194 |  0.413793103448 |
|  32  |  NON-REL   |     0.375      |  0.413793103448 |
|  33  |  NON-REL   | 0.363636363636 |  0.413793103448 |
|  34  |  NON-REL   | 0.352941176471 |  0.413793103448 |
|  35  |  NON-REL   | 0.342857142857 |  0.413793103448 |
|  36  |  NON-REL   | 0.333333333333 |  0.413793103448 |
|  37  |  NON-REL   | 0.324324324324 |  0.413793103448 |
|  38  |  NON-REL   | 0.315789473684 |  0.413793103448 |
|  39  |    REL     | 0.333333333333 |  0.448275862069 |
|  40  |  NON-REL   |     0.325      |  0.448275862069 |
|  41  |  NON-REL   | 0.317073170732 |  0.448275862069 |
|  42  |  NON-REL   | 0.309523809524 |  0.448275862069 |
|  43  |  NON-REL   | 0.302325581395 |  0.448275862069 |
|  44  |  NON-REL   | 0.295454545455 |  0.448275862069 |
|  45  |  NON-REL   | 0.288888888889 |  0.448275862069 |
|  46  |  NON-REL   | 0.282608695652 |  0.448275862069 |
|  47  |  NON-REL   | 0.276595744681 |  0.448275862069 |
|  48  |    REL     | 0.291666666667 |  0.48275862069  |
|  49  |  NON-REL   | 0.285714285714 |  0.48275862069  |
|  50  |  NON-REL   |      0.28      |  0.48275862069  |
|  51  |  NON-REL   | 0.274509803922 |  0.48275862069  |
|  52  |  NON-REL   | 0.269230769231 |  0.48275862069  |
|  53  |  NON-REL   | 0.264150943396 |  0.48275862069  |
|  54  |  NON-REL   | 0.259259259259 |  0.48275862069  |
|  55  |  NON-REL   | 0.254545454545 |  0.48275862069  |
|  56  |  NON-REL   |      0.25      |  0.48275862069  |
|  57  |  NON-REL   | 0.245614035088 |  0.48275862069  |
|  58  |  NON-REL   | 0.241379310345 |  0.48275862069  |
|  59  |  NON-REL   | 0.237288135593 |  0.48275862069  |
|  60  |  NON-REL   | 0.233333333333 |  0.48275862069  |
|  61  |  NON-REL   | 0.229508196721 |  0.48275862069  |
|  62  |  NON-REL   | 0.225806451613 |  0.48275862069  |
|  63  |  NON-REL   | 0.222222222222 |  0.48275862069  |
|  64  |  NON-REL   |    0.21875     |  0.48275862069  |
|  65  |  NON-REL   | 0.215384615385 |  0.48275862069  |
|  66  |  NON-REL   | 0.212121212121 |  0.48275862069  |
|  67  |  NON-REL   | 0.208955223881 |  0.48275862069  |
|  68  |  NON-REL   | 0.205882352941 |  0.48275862069  |
|  69  |  NON-REL   | 0.202898550725 |  0.48275862069  |
|  70  |  NON-REL   |      0.2       |  0.48275862069  |
|  71  |  NON-REL   | 0.197183098592 |  0.48275862069  |
|  72  |  NON-REL   | 0.194444444444 |  0.48275862069  |
|  73  |  NON-REL   | 0.191780821918 |  0.48275862069  |
|  74  |  NON-REL   | 0.189189189189 |  0.48275862069  |
|  75  |  NON-REL   | 0.186666666667 |  0.48275862069  |
|  76  |  NON-REL   | 0.184210526316 |  0.48275862069  |
|  77  |  NON-REL   | 0.181818181818 |  0.48275862069  |
|  78  |  NON-REL   | 0.179487179487 |  0.48275862069  |
|  79  |  NON-REL   | 0.177215189873 |  0.48275862069  |
|  80  |  NON-REL   |     0.175      |  0.48275862069  |
|  81  |  NON-REL   | 0.172839506173 |  0.48275862069  |
|  82  |    REL     | 0.182926829268 |  0.51724137931  |
|  83  |  NON-REL   | 0.180722891566 |  0.51724137931  |
|  84  |  NON-REL   | 0.178571428571 |  0.51724137931  |
|  85  |  NON-REL   | 0.176470588235 |  0.51724137931  |
|  86  |  NON-REL   | 0.174418604651 |  0.51724137931  |
|  87  |  NON-REL   | 0.172413793103 |  0.51724137931  |
|  88  |  NON-REL   | 0.170454545455 |  0.51724137931  |
|  89  |  NON-REL   | 0.168539325843 |  0.51724137931  |
|  90  |  NON-REL   | 0.166666666667 |  0.51724137931  |
|  91  |  NON-REL   | 0.164835164835 |  0.51724137931  |
|  92  |  NON-REL   | 0.163043478261 |  0.51724137931  |
|  93  |    REL     | 0.172043010753 |  0.551724137931 |
|  94  |  NON-REL   | 0.170212765957 |  0.551724137931 |
|  95  |  NON-REL   | 0.168421052632 |  0.551724137931 |
|  96  |  NON-REL   | 0.166666666667 |  0.551724137931 |
|  97  |  NON-REL   | 0.164948453608 |  0.551724137931 |
|  98  |  NON-REL   | 0.163265306122 |  0.551724137931 |
|  99  |  NON-REL   | 0.161616161616 |  0.551724137931 |
| 100  |  NON-REL   |      0.16      |  0.551724137931 |
+------+------------+----------------+-----------------+
