query_30: ticles text formatting systems including systems examples nroff scribe bravo
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |    REL     |  0.333333333333 |  0.25  |
|  4   |  NON-REL   |       0.25      |  0.25  |
|  5   |  NON-REL   |       0.2       |  0.25  |
|  6   |  NON-REL   |  0.166666666667 |  0.25  |
|  7   |  NON-REL   |  0.142857142857 |  0.25  |
|  8   |  NON-REL   |      0.125      |  0.25  |
|  9   |  NON-REL   |  0.111111111111 |  0.25  |
|  10  |  NON-REL   |       0.1       |  0.25  |
|  11  |  NON-REL   | 0.0909090909091 |  0.25  |
|  12  |  NON-REL   | 0.0833333333333 |  0.25  |
|  13  |  NON-REL   | 0.0769230769231 |  0.25  |
|  14  |  NON-REL   | 0.0714285714286 |  0.25  |
|  15  |  NON-REL   | 0.0666666666667 |  0.25  |
|  16  |  NON-REL   |      0.0625     |  0.25  |
|  17  |  NON-REL   | 0.0588235294118 |  0.25  |
|  18  |  NON-REL   | 0.0555555555556 |  0.25  |
|  19  |  NON-REL   | 0.0526315789474 |  0.25  |
|  20  |  NON-REL   |       0.05      |  0.25  |
|  21  |  NON-REL   |  0.047619047619 |  0.25  |
|  22  |  NON-REL   | 0.0454545454545 |  0.25  |
|  23  |  NON-REL   | 0.0434782608696 |  0.25  |
|  24  |  NON-REL   | 0.0416666666667 |  0.25  |
|  25  |  NON-REL   |       0.04      |  0.25  |
|  26  |  NON-REL   | 0.0384615384615 |  0.25  |
|  27  |  NON-REL   |  0.037037037037 |  0.25  |
|  28  |  NON-REL   | 0.0357142857143 |  0.25  |
|  29  |  NON-REL   | 0.0344827586207 |  0.25  |
|  30  |  NON-REL   | 0.0333333333333 |  0.25  |
|  31  |  NON-REL   | 0.0322580645161 |  0.25  |
|  32  |  NON-REL   |     0.03125     |  0.25  |
|  33  |  NON-REL   |  0.030303030303 |  0.25  |
|  34  |  NON-REL   | 0.0294117647059 |  0.25  |
|  35  |  NON-REL   | 0.0285714285714 |  0.25  |
|  36  |  NON-REL   | 0.0277777777778 |  0.25  |
|  37  |  NON-REL   |  0.027027027027 |  0.25  |
|  38  |  NON-REL   | 0.0263157894737 |  0.25  |
|  39  |  NON-REL   |  0.025641025641 |  0.25  |
|  40  |  NON-REL   |      0.025      |  0.25  |
|  41  |  NON-REL   | 0.0243902439024 |  0.25  |
|  42  |  NON-REL   | 0.0238095238095 |  0.25  |
|  43  |  NON-REL   | 0.0232558139535 |  0.25  |
|  44  |  NON-REL   | 0.0227272727273 |  0.25  |
|  45  |  NON-REL   | 0.0222222222222 |  0.25  |
|  46  |  NON-REL   | 0.0217391304348 |  0.25  |
|  47  |  NON-REL   | 0.0212765957447 |  0.25  |
|  48  |  NON-REL   | 0.0208333333333 |  0.25  |
|  49  |  NON-REL   | 0.0204081632653 |  0.25  |
|  50  |  NON-REL   |       0.02      |  0.25  |
|  51  |  NON-REL   | 0.0196078431373 |  0.25  |
|  52  |  NON-REL   | 0.0192307692308 |  0.25  |
|  53  |  NON-REL   | 0.0188679245283 |  0.25  |
|  54  |  NON-REL   | 0.0185185185185 |  0.25  |
|  55  |  NON-REL   | 0.0181818181818 |  0.25  |
|  56  |  NON-REL   | 0.0178571428571 |  0.25  |
|  57  |  NON-REL   | 0.0175438596491 |  0.25  |
|  58  |  NON-REL   | 0.0172413793103 |  0.25  |
|  59  |  NON-REL   | 0.0169491525424 |  0.25  |
|  60  |  NON-REL   | 0.0166666666667 |  0.25  |
|  61  |  NON-REL   |  0.016393442623 |  0.25  |
|  62  |  NON-REL   | 0.0161290322581 |  0.25  |
|  63  |  NON-REL   |  0.015873015873 |  0.25  |
|  64  |    REL     |     0.03125     |  0.5   |
|  65  |  NON-REL   | 0.0307692307692 |  0.5   |
|  66  |  NON-REL   |  0.030303030303 |  0.5   |
|  67  |  NON-REL   | 0.0298507462687 |  0.5   |
|  68  |  NON-REL   | 0.0294117647059 |  0.5   |
|  69  |  NON-REL   | 0.0289855072464 |  0.5   |
|  70  |  NON-REL   | 0.0285714285714 |  0.5   |
|  71  |  NON-REL   | 0.0281690140845 |  0.5   |
|  72  |  NON-REL   | 0.0277777777778 |  0.5   |
|  73  |  NON-REL   |  0.027397260274 |  0.5   |
|  74  |  NON-REL   |  0.027027027027 |  0.5   |
|  75  |  NON-REL   | 0.0266666666667 |  0.5   |
|  76  |  NON-REL   | 0.0263157894737 |  0.5   |
|  77  |  NON-REL   |  0.025974025974 |  0.5   |
|  78  |  NON-REL   |  0.025641025641 |  0.5   |
|  79  |  NON-REL   | 0.0253164556962 |  0.5   |
|  80  |  NON-REL   |      0.025      |  0.5   |
|  81  |  NON-REL   | 0.0246913580247 |  0.5   |
|  82  |  NON-REL   | 0.0243902439024 |  0.5   |
|  83  |  NON-REL   | 0.0240963855422 |  0.5   |
|  84  |  NON-REL   | 0.0238095238095 |  0.5   |
|  85  |  NON-REL   | 0.0235294117647 |  0.5   |
|  86  |  NON-REL   | 0.0232558139535 |  0.5   |
|  87  |  NON-REL   | 0.0229885057471 |  0.5   |
|  88  |  NON-REL   | 0.0227272727273 |  0.5   |
|  89  |  NON-REL   | 0.0224719101124 |  0.5   |
|  90  |  NON-REL   | 0.0222222222222 |  0.5   |
|  91  |  NON-REL   |  0.021978021978 |  0.5   |
|  92  |  NON-REL   | 0.0217391304348 |  0.5   |
|  93  |  NON-REL   | 0.0215053763441 |  0.5   |
|  94  |  NON-REL   | 0.0212765957447 |  0.5   |
|  95  |  NON-REL   | 0.0210526315789 |  0.5   |
|  96  |  NON-REL   | 0.0208333333333 |  0.5   |
|  97  |  NON-REL   |  0.020618556701 |  0.5   |
|  98  |  NON-REL   | 0.0204081632653 |  0.5   |
|  99  |  NON-REL   |  0.020202020202 |  0.5   |
| 100  |  NON-REL   |       0.02      |  0.5   |
+------+------------+-----------------+--------+
