query_36: st algorithm context-free language recognition parsing
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |    REL     |  0.142857142857 |  0.05  |
|  8   |  NON-REL   |      0.125      |  0.05  |
|  9   |  NON-REL   |  0.111111111111 |  0.05  |
|  10  |  NON-REL   |       0.1       |  0.05  |
|  11  |  NON-REL   | 0.0909090909091 |  0.05  |
|  12  |  NON-REL   | 0.0833333333333 |  0.05  |
|  13  |    REL     |  0.153846153846 |  0.1   |
|  14  |  NON-REL   |  0.142857142857 |  0.1   |
|  15  |  NON-REL   |  0.133333333333 |  0.1   |
|  16  |  NON-REL   |      0.125      |  0.1   |
|  17  |  NON-REL   |  0.117647058824 |  0.1   |
|  18  |  NON-REL   |  0.111111111111 |  0.1   |
|  19  |  NON-REL   |  0.105263157895 |  0.1   |
|  20  |  NON-REL   |       0.1       |  0.1   |
|  21  |  NON-REL   | 0.0952380952381 |  0.1   |
|  22  |  NON-REL   | 0.0909090909091 |  0.1   |
|  23  |  NON-REL   | 0.0869565217391 |  0.1   |
|  24  |  NON-REL   | 0.0833333333333 |  0.1   |
|  25  |  NON-REL   |       0.08      |  0.1   |
|  26  |  NON-REL   | 0.0769230769231 |  0.1   |
|  27  |  NON-REL   | 0.0740740740741 |  0.1   |
|  28  |  NON-REL   | 0.0714285714286 |  0.1   |
|  29  |  NON-REL   | 0.0689655172414 |  0.1   |
|  30  |  NON-REL   | 0.0666666666667 |  0.1   |
|  31  |  NON-REL   | 0.0645161290323 |  0.1   |
|  32  |  NON-REL   |      0.0625     |  0.1   |
|  33  |  NON-REL   | 0.0606060606061 |  0.1   |
|  34  |  NON-REL   | 0.0588235294118 |  0.1   |
|  35  |  NON-REL   | 0.0571428571429 |  0.1   |
|  36  |  NON-REL   | 0.0555555555556 |  0.1   |
|  37  |  NON-REL   | 0.0540540540541 |  0.1   |
|  38  |  NON-REL   | 0.0526315789474 |  0.1   |
|  39  |  NON-REL   | 0.0512820512821 |  0.1   |
|  40  |    REL     |      0.075      |  0.15  |
|  41  |  NON-REL   | 0.0731707317073 |  0.15  |
|  42  |  NON-REL   | 0.0714285714286 |  0.15  |
|  43  |  NON-REL   | 0.0697674418605 |  0.15  |
|  44  |  NON-REL   | 0.0681818181818 |  0.15  |
|  45  |  NON-REL   | 0.0666666666667 |  0.15  |
|  46  |  NON-REL   | 0.0652173913043 |  0.15  |
|  47  |  NON-REL   |  0.063829787234 |  0.15  |
|  48  |  NON-REL   |      0.0625     |  0.15  |
|  49  |  NON-REL   | 0.0612244897959 |  0.15  |
|  50  |  NON-REL   |       0.06      |  0.15  |
|  51  |  NON-REL   | 0.0588235294118 |  0.15  |
|  52  |  NON-REL   | 0.0576923076923 |  0.15  |
|  53  |  NON-REL   | 0.0566037735849 |  0.15  |
|  54  |  NON-REL   | 0.0555555555556 |  0.15  |
|  55  |  NON-REL   | 0.0545454545455 |  0.15  |
|  56  |  NON-REL   | 0.0535714285714 |  0.15  |
|  57  |  NON-REL   | 0.0526315789474 |  0.15  |
|  58  |  NON-REL   |  0.051724137931 |  0.15  |
|  59  |  NON-REL   | 0.0508474576271 |  0.15  |
|  60  |  NON-REL   |       0.05      |  0.15  |
|  61  |  NON-REL   | 0.0491803278689 |  0.15  |
|  62  |  NON-REL   | 0.0483870967742 |  0.15  |
|  63  |  NON-REL   |  0.047619047619 |  0.15  |
|  64  |  NON-REL   |     0.046875    |  0.15  |
|  65  |  NON-REL   | 0.0461538461538 |  0.15  |
|  66  |  NON-REL   | 0.0454545454545 |  0.15  |
|  67  |  NON-REL   |  0.044776119403 |  0.15  |
|  68  |  NON-REL   | 0.0441176470588 |  0.15  |
|  69  |  NON-REL   | 0.0434782608696 |  0.15  |
|  70  |  NON-REL   | 0.0428571428571 |  0.15  |
|  71  |  NON-REL   | 0.0422535211268 |  0.15  |
|  72  |  NON-REL   | 0.0416666666667 |  0.15  |
|  73  |    REL     | 0.0547945205479 |  0.2   |
|  74  |  NON-REL   | 0.0540540540541 |  0.2   |
|  75  |  NON-REL   | 0.0533333333333 |  0.2   |
|  76  |  NON-REL   | 0.0526315789474 |  0.2   |
|  77  |  NON-REL   | 0.0519480519481 |  0.2   |
|  78  |  NON-REL   | 0.0512820512821 |  0.2   |
|  79  |  NON-REL   | 0.0506329113924 |  0.2   |
|  80  |  NON-REL   |       0.05      |  0.2   |
|  81  |  NON-REL   | 0.0493827160494 |  0.2   |
|  82  |  NON-REL   | 0.0487804878049 |  0.2   |
|  83  |  NON-REL   | 0.0481927710843 |  0.2   |
|  84  |  NON-REL   |  0.047619047619 |  0.2   |
|  85  |  NON-REL   | 0.0470588235294 |  0.2   |
|  86  |  NON-REL   |  0.046511627907 |  0.2   |
|  87  |  NON-REL   | 0.0459770114943 |  0.2   |
|  88  |  NON-REL   | 0.0454545454545 |  0.2   |
|  89  |  NON-REL   | 0.0449438202247 |  0.2   |
|  90  |  NON-REL   | 0.0444444444444 |  0.2   |
|  91  |  NON-REL   |  0.043956043956 |  0.2   |
|  92  |  NON-REL   | 0.0434782608696 |  0.2   |
|  93  |  NON-REL   | 0.0430107526882 |  0.2   |
|  94  |  NON-REL   | 0.0425531914894 |  0.2   |
|  95  |  NON-REL   | 0.0421052631579 |  0.2   |
|  96  |    REL     | 0.0520833333333 |  0.25  |
|  97  |  NON-REL   | 0.0515463917526 |  0.25  |
|  98  |  NON-REL   | 0.0510204081633 |  0.25  |
|  99  |  NON-REL   | 0.0505050505051 |  0.25  |
| 100  |  NON-REL   |       0.05      |  0.25  |
+------+------------+-----------------+--------+
