query_39: pe compatibility mean languages allow programmer defined types want restrict extensible languages allow definition abstract data types programmer-supplied definitions operators
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |    REL     |  0.333333333333 |  0.166666666667 |
|  7   |  NON-REL   |  0.285714285714 |  0.166666666667 |
|  8   |  NON-REL   |       0.25      |  0.166666666667 |
|  9   |    REL     |  0.333333333333 |       0.25      |
|  10  |  NON-REL   |       0.3       |       0.25      |
|  11  |  NON-REL   |  0.272727272727 |       0.25      |
|  12  |  NON-REL   |       0.25      |       0.25      |
|  13  |  NON-REL   |  0.230769230769 |       0.25      |
|  14  |    REL     |  0.285714285714 |  0.333333333333 |
|  15  |  NON-REL   |  0.266666666667 |  0.333333333333 |
|  16  |    REL     |      0.3125     |  0.416666666667 |
|  17  |  NON-REL   |  0.294117647059 |  0.416666666667 |
|  18  |  NON-REL   |  0.277777777778 |  0.416666666667 |
|  19  |  NON-REL   |  0.263157894737 |  0.416666666667 |
|  20  |  NON-REL   |       0.25      |  0.416666666667 |
|  21  |  NON-REL   |  0.238095238095 |  0.416666666667 |
|  22  |  NON-REL   |  0.227272727273 |  0.416666666667 |
|  23  |  NON-REL   |  0.217391304348 |  0.416666666667 |
|  24  |    REL     |       0.25      |       0.5       |
|  25  |  NON-REL   |       0.24      |       0.5       |
|  26  |  NON-REL   |  0.230769230769 |       0.5       |
|  27  |  NON-REL   |  0.222222222222 |       0.5       |
|  28  |  NON-REL   |  0.214285714286 |       0.5       |
|  29  |  NON-REL   |  0.206896551724 |       0.5       |
|  30  |  NON-REL   |       0.2       |       0.5       |
|  31  |  NON-REL   |  0.193548387097 |       0.5       |
|  32  |  NON-REL   |      0.1875     |       0.5       |
|  33  |  NON-REL   |  0.181818181818 |       0.5       |
|  34  |  NON-REL   |  0.176470588235 |       0.5       |
|  35  |  NON-REL   |  0.171428571429 |       0.5       |
|  36  |    REL     |  0.194444444444 |  0.583333333333 |
|  37  |  NON-REL   |  0.189189189189 |  0.583333333333 |
|  38  |  NON-REL   |  0.184210526316 |  0.583333333333 |
|  39  |  NON-REL   |  0.179487179487 |  0.583333333333 |
|  40  |  NON-REL   |      0.175      |  0.583333333333 |
|  41  |  NON-REL   |  0.170731707317 |  0.583333333333 |
|  42  |  NON-REL   |  0.166666666667 |  0.583333333333 |
|  43  |  NON-REL   |  0.162790697674 |  0.583333333333 |
|  44  |  NON-REL   |  0.159090909091 |  0.583333333333 |
|  45  |  NON-REL   |  0.155555555556 |  0.583333333333 |
|  46  |  NON-REL   |  0.152173913043 |  0.583333333333 |
|  47  |  NON-REL   |  0.148936170213 |  0.583333333333 |
|  48  |  NON-REL   |  0.145833333333 |  0.583333333333 |
|  49  |  NON-REL   |  0.142857142857 |  0.583333333333 |
|  50  |  NON-REL   |       0.14      |  0.583333333333 |
|  51  |  NON-REL   |  0.137254901961 |  0.583333333333 |
|  52  |  NON-REL   |  0.134615384615 |  0.583333333333 |
|  53  |  NON-REL   |  0.132075471698 |  0.583333333333 |
|  54  |  NON-REL   |  0.12962962963  |  0.583333333333 |
|  55  |  NON-REL   |  0.127272727273 |  0.583333333333 |
|  56  |  NON-REL   |      0.125      |  0.583333333333 |
|  57  |  NON-REL   |  0.122807017544 |  0.583333333333 |
|  58  |  NON-REL   |  0.120689655172 |  0.583333333333 |
|  59  |  NON-REL   |  0.118644067797 |  0.583333333333 |
|  60  |  NON-REL   |  0.116666666667 |  0.583333333333 |
|  61  |  NON-REL   |  0.114754098361 |  0.583333333333 |
|  62  |  NON-REL   |  0.112903225806 |  0.583333333333 |
|  63  |  NON-REL   |  0.111111111111 |  0.583333333333 |
|  64  |  NON-REL   |     0.109375    |  0.583333333333 |
|  65  |  NON-REL   |  0.107692307692 |  0.583333333333 |
|  66  |    REL     |  0.121212121212 |  0.666666666667 |
|  67  |  NON-REL   |  0.119402985075 |  0.666666666667 |
|  68  |  NON-REL   |  0.117647058824 |  0.666666666667 |
|  69  |  NON-REL   |  0.115942028986 |  0.666666666667 |
|  70  |  NON-REL   |  0.114285714286 |  0.666666666667 |
|  71  |  NON-REL   |  0.112676056338 |  0.666666666667 |
|  72  |  NON-REL   |  0.111111111111 |  0.666666666667 |
|  73  |  NON-REL   |  0.109589041096 |  0.666666666667 |
|  74  |  NON-REL   |  0.108108108108 |  0.666666666667 |
|  75  |  NON-REL   |  0.106666666667 |  0.666666666667 |
|  76  |  NON-REL   |  0.105263157895 |  0.666666666667 |
|  77  |  NON-REL   |  0.103896103896 |  0.666666666667 |
|  78  |  NON-REL   |  0.102564102564 |  0.666666666667 |
|  79  |  NON-REL   |  0.101265822785 |  0.666666666667 |
|  80  |  NON-REL   |       0.1       |  0.666666666667 |
|  81  |  NON-REL   | 0.0987654320988 |  0.666666666667 |
|  82  |  NON-REL   | 0.0975609756098 |  0.666666666667 |
|  83  |  NON-REL   | 0.0963855421687 |  0.666666666667 |
|  84  |  NON-REL   | 0.0952380952381 |  0.666666666667 |
|  85  |  NON-REL   | 0.0941176470588 |  0.666666666667 |
|  86  |  NON-REL   |  0.093023255814 |  0.666666666667 |
|  87  |  NON-REL   | 0.0919540229885 |  0.666666666667 |
|  88  |  NON-REL   | 0.0909090909091 |  0.666666666667 |
|  89  |  NON-REL   | 0.0898876404494 |  0.666666666667 |
|  90  |  NON-REL   | 0.0888888888889 |  0.666666666667 |
|  91  |  NON-REL   | 0.0879120879121 |  0.666666666667 |
|  92  |  NON-REL   | 0.0869565217391 |  0.666666666667 |
|  93  |  NON-REL   | 0.0860215053763 |  0.666666666667 |
|  94  |  NON-REL   | 0.0851063829787 |  0.666666666667 |
|  95  |  NON-REL   | 0.0842105263158 |  0.666666666667 |
|  96  |  NON-REL   | 0.0833333333333 |  0.666666666667 |
|  97  |  NON-REL   | 0.0824742268041 |  0.666666666667 |
|  98  |  NON-REL   | 0.0816326530612 |  0.666666666667 |
|  99  |  NON-REL   | 0.0808080808081 |  0.666666666667 |
| 100  |  NON-REL   |       0.08      |  0.666666666667 |
+------+------------+-----------------+-----------------+
