query_4: terested mechanisms communicating disjoint processes possibly exclusively distributed environment descriptions complete mechanisms implementations opposed theoretical work abstract problem remote procedure calls message-passing examples interests
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |  NON-REL   |  0.166666666667 | 0.0833333333333 |
|  7   |  NON-REL   |  0.142857142857 | 0.0833333333333 |
|  8   |    REL     |       0.25      |  0.166666666667 |
|  9   |  NON-REL   |  0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |       0.2       |  0.166666666667 |
|  11  |  NON-REL   |  0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   |  0.166666666667 |  0.166666666667 |
|  13  |  NON-REL   |  0.153846153846 |  0.166666666667 |
|  14  |  NON-REL   |  0.142857142857 |  0.166666666667 |
|  15  |  NON-REL   |  0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.125      |  0.166666666667 |
|  17  |  NON-REL   |  0.117647058824 |  0.166666666667 |
|  18  |  NON-REL   |  0.111111111111 |  0.166666666667 |
|  19  |  NON-REL   |  0.105263157895 |  0.166666666667 |
|  20  |  NON-REL   |       0.1       |  0.166666666667 |
|  21  |  NON-REL   | 0.0952380952381 |  0.166666666667 |
|  22  |  NON-REL   | 0.0909090909091 |  0.166666666667 |
|  23  |    REL     |  0.130434782609 |       0.25      |
|  24  |  NON-REL   |      0.125      |       0.25      |
|  25  |  NON-REL   |       0.12      |       0.25      |
|  26  |  NON-REL   |  0.115384615385 |       0.25      |
|  27  |  NON-REL   |  0.111111111111 |       0.25      |
|  28  |  NON-REL   |  0.107142857143 |       0.25      |
|  29  |  NON-REL   |  0.103448275862 |       0.25      |
|  30  |  NON-REL   |       0.1       |       0.25      |
|  31  |  NON-REL   | 0.0967741935484 |       0.25      |
|  32  |  NON-REL   |     0.09375     |       0.25      |
|  33  |  NON-REL   | 0.0909090909091 |       0.25      |
|  34  |  NON-REL   | 0.0882352941176 |       0.25      |
|  35  |  NON-REL   | 0.0857142857143 |       0.25      |
|  36  |  NON-REL   | 0.0833333333333 |       0.25      |
|  37  |  NON-REL   | 0.0810810810811 |       0.25      |
|  38  |  NON-REL   | 0.0789473684211 |       0.25      |
|  39  |  NON-REL   | 0.0769230769231 |       0.25      |
|  40  |  NON-REL   |      0.075      |       0.25      |
|  41  |  NON-REL   | 0.0731707317073 |       0.25      |
|  42  |  NON-REL   | 0.0714285714286 |       0.25      |
|  43  |  NON-REL   | 0.0697674418605 |       0.25      |
|  44  |  NON-REL   | 0.0681818181818 |       0.25      |
|  45  |  NON-REL   | 0.0666666666667 |       0.25      |
|  46  |  NON-REL   | 0.0652173913043 |       0.25      |
|  47  |  NON-REL   |  0.063829787234 |       0.25      |
|  48  |  NON-REL   |      0.0625     |       0.25      |
|  49  |  NON-REL   | 0.0612244897959 |       0.25      |
|  50  |  NON-REL   |       0.06      |       0.25      |
|  51  |  NON-REL   | 0.0588235294118 |       0.25      |
|  52  |  NON-REL   | 0.0576923076923 |       0.25      |
|  53  |  NON-REL   | 0.0566037735849 |       0.25      |
|  54  |  NON-REL   | 0.0555555555556 |       0.25      |
|  55  |  NON-REL   | 0.0545454545455 |       0.25      |
|  56  |  NON-REL   | 0.0535714285714 |       0.25      |
|  57  |  NON-REL   | 0.0526315789474 |       0.25      |
|  58  |  NON-REL   |  0.051724137931 |       0.25      |
|  59  |  NON-REL   | 0.0508474576271 |       0.25      |
|  60  |  NON-REL   |       0.05      |       0.25      |
|  61  |  NON-REL   | 0.0491803278689 |       0.25      |
|  62  |  NON-REL   | 0.0483870967742 |       0.25      |
|  63  |  NON-REL   |  0.047619047619 |       0.25      |
|  64  |  NON-REL   |     0.046875    |       0.25      |
|  65  |  NON-REL   | 0.0461538461538 |       0.25      |
|  66  |  NON-REL   | 0.0454545454545 |       0.25      |
|  67  |    REL     | 0.0597014925373 |  0.333333333333 |
|  68  |  NON-REL   | 0.0588235294118 |  0.333333333333 |
|  69  |  NON-REL   | 0.0579710144928 |  0.333333333333 |
|  70  |  NON-REL   | 0.0571428571429 |  0.333333333333 |
|  71  |  NON-REL   |  0.056338028169 |  0.333333333333 |
|  72  |  NON-REL   | 0.0555555555556 |  0.333333333333 |
|  73  |  NON-REL   | 0.0547945205479 |  0.333333333333 |
|  74  |  NON-REL   | 0.0540540540541 |  0.333333333333 |
|  75  |  NON-REL   | 0.0533333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.0526315789474 |  0.333333333333 |
|  77  |  NON-REL   | 0.0519480519481 |  0.333333333333 |
|  78  |  NON-REL   | 0.0512820512821 |  0.333333333333 |
|  79  |  NON-REL   | 0.0506329113924 |  0.333333333333 |
|  80  |  NON-REL   |       0.05      |  0.333333333333 |
|  81  |  NON-REL   | 0.0493827160494 |  0.333333333333 |
|  82  |  NON-REL   | 0.0487804878049 |  0.333333333333 |
|  83  |  NON-REL   | 0.0481927710843 |  0.333333333333 |
|  84  |  NON-REL   |  0.047619047619 |  0.333333333333 |
|  85  |  NON-REL   | 0.0470588235294 |  0.333333333333 |
|  86  |  NON-REL   |  0.046511627907 |  0.333333333333 |
|  87  |  NON-REL   | 0.0459770114943 |  0.333333333333 |
|  88  |  NON-REL   | 0.0454545454545 |  0.333333333333 |
|  89  |  NON-REL   | 0.0449438202247 |  0.333333333333 |
|  90  |  NON-REL   | 0.0444444444444 |  0.333333333333 |
|  91  |  NON-REL   |  0.043956043956 |  0.333333333333 |
|  92  |  NON-REL   | 0.0434782608696 |  0.333333333333 |
|  93  |  NON-REL   | 0.0430107526882 |  0.333333333333 |
|  94  |  NON-REL   | 0.0425531914894 |  0.333333333333 |
|  95  |  NON-REL   | 0.0421052631579 |  0.333333333333 |
|  96  |  NON-REL   | 0.0416666666667 |  0.333333333333 |
|  97  |  NON-REL   | 0.0412371134021 |  0.333333333333 |
|  98  |  NON-REL   | 0.0408163265306 |  0.333333333333 |
|  99  |  NON-REL   |  0.040404040404 |  0.333333333333 |
| 100  |  NON-REL   |       0.04      |  0.333333333333 |
+------+------------+-----------------+-----------------+
