query_40: st articles dealing data types languages referenced frequently papers languages e.g catch languages interesting type structures missed
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.1   |
|  2   |  NON-REL   |       0.5       |  0.1   |
|  3   |  NON-REL   |  0.333333333333 |  0.1   |
|  4   |  NON-REL   |       0.25      |  0.1   |
|  5   |  NON-REL   |       0.2       |  0.1   |
|  6   |    REL     |  0.333333333333 |  0.2   |
|  7   |    REL     |  0.428571428571 |  0.3   |
|  8   |  NON-REL   |      0.375      |  0.3   |
|  9   |  NON-REL   |  0.333333333333 |  0.3   |
|  10  |  NON-REL   |       0.3       |  0.3   |
|  11  |  NON-REL   |  0.272727272727 |  0.3   |
|  12  |    REL     |  0.333333333333 |  0.4   |
|  13  |  NON-REL   |  0.307692307692 |  0.4   |
|  14  |  NON-REL   |  0.285714285714 |  0.4   |
|  15  |  NON-REL   |  0.266666666667 |  0.4   |
|  16  |  NON-REL   |       0.25      |  0.4   |
|  17  |  NON-REL   |  0.235294117647 |  0.4   |
|  18  |  NON-REL   |  0.222222222222 |  0.4   |
|  19  |  NON-REL   |  0.210526315789 |  0.4   |
|  20  |  NON-REL   |       0.2       |  0.4   |
|  21  |  NON-REL   |  0.190476190476 |  0.4   |
|  22  |  NON-REL   |  0.181818181818 |  0.4   |
|  23  |  NON-REL   |  0.173913043478 |  0.4   |
|  24  |  NON-REL   |  0.166666666667 |  0.4   |
|  25  |  NON-REL   |       0.16      |  0.4   |
|  26  |  NON-REL   |  0.153846153846 |  0.4   |
|  27  |  NON-REL   |  0.148148148148 |  0.4   |
|  28  |  NON-REL   |  0.142857142857 |  0.4   |
|  29  |  NON-REL   |  0.137931034483 |  0.4   |
|  30  |  NON-REL   |  0.133333333333 |  0.4   |
|  31  |  NON-REL   |  0.129032258065 |  0.4   |
|  32  |  NON-REL   |      0.125      |  0.4   |
|  33  |    REL     |  0.151515151515 |  0.5   |
|  34  |  NON-REL   |  0.147058823529 |  0.5   |
|  35  |  NON-REL   |  0.142857142857 |  0.5   |
|  36  |  NON-REL   |  0.138888888889 |  0.5   |
|  37  |  NON-REL   |  0.135135135135 |  0.5   |
|  38  |  NON-REL   |  0.131578947368 |  0.5   |
|  39  |  NON-REL   |  0.128205128205 |  0.5   |
|  40  |  NON-REL   |      0.125      |  0.5   |
|  41  |    REL     |  0.146341463415 |  0.6   |
|  42  |  NON-REL   |  0.142857142857 |  0.6   |
|  43  |  NON-REL   |  0.139534883721 |  0.6   |
|  44  |  NON-REL   |  0.136363636364 |  0.6   |
|  45  |  NON-REL   |  0.133333333333 |  0.6   |
|  46  |  NON-REL   |  0.130434782609 |  0.6   |
|  47  |  NON-REL   |  0.127659574468 |  0.6   |
|  48  |  NON-REL   |      0.125      |  0.6   |
|  49  |  NON-REL   |  0.122448979592 |  0.6   |
|  50  |  NON-REL   |       0.12      |  0.6   |
|  51  |  NON-REL   |  0.117647058824 |  0.6   |
|  52  |  NON-REL   |  0.115384615385 |  0.6   |
|  53  |  NON-REL   |  0.11320754717  |  0.6   |
|  54  |  NON-REL   |  0.111111111111 |  0.6   |
|  55  |  NON-REL   |  0.109090909091 |  0.6   |
|  56  |  NON-REL   |  0.107142857143 |  0.6   |
|  57  |  NON-REL   |  0.105263157895 |  0.6   |
|  58  |  NON-REL   |  0.103448275862 |  0.6   |
|  59  |  NON-REL   |  0.101694915254 |  0.6   |
|  60  |  NON-REL   |       0.1       |  0.6   |
|  61  |  NON-REL   | 0.0983606557377 |  0.6   |
|  62  |  NON-REL   | 0.0967741935484 |  0.6   |
|  63  |  NON-REL   | 0.0952380952381 |  0.6   |
|  64  |  NON-REL   |     0.09375     |  0.6   |
|  65  |  NON-REL   | 0.0923076923077 |  0.6   |
|  66  |  NON-REL   | 0.0909090909091 |  0.6   |
|  67  |  NON-REL   |  0.089552238806 |  0.6   |
|  68  |  NON-REL   | 0.0882352941176 |  0.6   |
