query_44: xture analysis computer digitized texture analysis texture synthesis perception texture
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |    REL     | 0.0526315789474 | 0.0588235294118 |
|  20  |  NON-REL   |       0.05      | 0.0588235294118 |
|  21  |  NON-REL   |  0.047619047619 | 0.0588235294118 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0588235294118 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0588235294118 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0588235294118 |
|  25  |  NON-REL   |       0.04      | 0.0588235294118 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0588235294118 |
|  27  |  NON-REL   |  0.037037037037 | 0.0588235294118 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0588235294118 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0588235294118 |
|  30  |    REL     | 0.0666666666667 |  0.117647058824 |
|  31  |  NON-REL   | 0.0645161290323 |  0.117647058824 |
|  32  |  NON-REL   |      0.0625     |  0.117647058824 |
|  33  |  NON-REL   | 0.0606060606061 |  0.117647058824 |
|  34  |  NON-REL   | 0.0588235294118 |  0.117647058824 |
|  35  |  NON-REL   | 0.0571428571429 |  0.117647058824 |
|  36  |  NON-REL   | 0.0555555555556 |  0.117647058824 |
|  37  |  NON-REL   | 0.0540540540541 |  0.117647058824 |
|  38  |  NON-REL   | 0.0526315789474 |  0.117647058824 |
|  39  |  NON-REL   | 0.0512820512821 |  0.117647058824 |
|  40  |  NON-REL   |       0.05      |  0.117647058824 |
|  41  |  NON-REL   | 0.0487804878049 |  0.117647058824 |
|  42  |  NON-REL   |  0.047619047619 |  0.117647058824 |
|  43  |  NON-REL   |  0.046511627907 |  0.117647058824 |
|  44  |  NON-REL   | 0.0454545454545 |  0.117647058824 |
|  45  |  NON-REL   | 0.0444444444444 |  0.117647058824 |
|  46  |  NON-REL   | 0.0434782608696 |  0.117647058824 |
|  47  |  NON-REL   | 0.0425531914894 |  0.117647058824 |
|  48  |  NON-REL   | 0.0416666666667 |  0.117647058824 |
|  49  |  NON-REL   | 0.0408163265306 |  0.117647058824 |
|  50  |  NON-REL   |       0.04      |  0.117647058824 |
|  51  |  NON-REL   | 0.0392156862745 |  0.117647058824 |
|  52  |  NON-REL   | 0.0384615384615 |  0.117647058824 |
|  53  |  NON-REL   | 0.0377358490566 |  0.117647058824 |
|  54  |  NON-REL   |  0.037037037037 |  0.117647058824 |
|  55  |  NON-REL   | 0.0363636363636 |  0.117647058824 |
|  56  |  NON-REL   | 0.0357142857143 |  0.117647058824 |
|  57  |  NON-REL   | 0.0350877192982 |  0.117647058824 |
|  58  |  NON-REL   | 0.0344827586207 |  0.117647058824 |
|  59  |  NON-REL   | 0.0338983050847 |  0.117647058824 |
|  60  |  NON-REL   | 0.0333333333333 |  0.117647058824 |
|  61  |    REL     | 0.0491803278689 |  0.176470588235 |
|  62  |  NON-REL   | 0.0483870967742 |  0.176470588235 |
|  63  |  NON-REL   |  0.047619047619 |  0.176470588235 |
|  64  |  NON-REL   |     0.046875    |  0.176470588235 |
|  65  |  NON-REL   | 0.0461538461538 |  0.176470588235 |
|  66  |  NON-REL   | 0.0454545454545 |  0.176470588235 |
|  67  |  NON-REL   |  0.044776119403 |  0.176470588235 |
|  68  |  NON-REL   | 0.0441176470588 |  0.176470588235 |
|  69  |  NON-REL   | 0.0434782608696 |  0.176470588235 |
|  70  |  NON-REL   | 0.0428571428571 |  0.176470588235 |
|  71  |  NON-REL   | 0.0422535211268 |  0.176470588235 |
|  72  |  NON-REL   | 0.0416666666667 |  0.176470588235 |
|  73  |  NON-REL   |  0.041095890411 |  0.176470588235 |
|  74  |  NON-REL   | 0.0405405405405 |  0.176470588235 |
|  75  |  NON-REL   |       0.04      |  0.176470588235 |
|  76  |  NON-REL   | 0.0394736842105 |  0.176470588235 |
|  77  |  NON-REL   |  0.038961038961 |  0.176470588235 |
|  78  |  NON-REL   | 0.0384615384615 |  0.176470588235 |
|  79  |  NON-REL   | 0.0379746835443 |  0.176470588235 |
|  80  |  NON-REL   |      0.0375     |  0.176470588235 |
|  81  |  NON-REL   |  0.037037037037 |  0.176470588235 |
|  82  |  NON-REL   | 0.0365853658537 |  0.176470588235 |
|  83  |  NON-REL   | 0.0361445783133 |  0.176470588235 |
|  84  |  NON-REL   | 0.0357142857143 |  0.176470588235 |
|  85  |  NON-REL   | 0.0352941176471 |  0.176470588235 |
|  86  |  NON-REL   | 0.0348837209302 |  0.176470588235 |
|  87  |  NON-REL   | 0.0344827586207 |  0.176470588235 |
|  88  |  NON-REL   | 0.0340909090909 |  0.176470588235 |
|  89  |  NON-REL   | 0.0337078651685 |  0.176470588235 |
|  90  |  NON-REL   | 0.0333333333333 |  0.176470588235 |
|  91  |  NON-REL   |  0.032967032967 |  0.176470588235 |
|  92  |  NON-REL   | 0.0326086956522 |  0.176470588235 |
|  93  |  NON-REL   | 0.0322580645161 |  0.176470588235 |
|  94  |  NON-REL   |  0.031914893617 |  0.176470588235 |
|  95  |  NON-REL   | 0.0315789473684 |  0.176470588235 |
|  96  |  NON-REL   |     0.03125     |  0.176470588235 |
|  97  |  NON-REL   | 0.0309278350515 |  0.176470588235 |
|  98  |  NON-REL   |  0.030612244898 |  0.176470588235 |
|  99  |  NON-REL   |  0.030303030303 |  0.176470588235 |
| 100  |  NON-REL   |       0.03      |  0.176470588235 |
+------+------------+-----------------+-----------------+
