query_45: erations research models optimize information system performance includes fine tuning decisions secondary index selection reorganization distributed databases
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0384615384615 |
|  3   |  NON-REL   | 0.333333333333 | 0.0384615384615 |
|  4   |    REL     |      0.5       | 0.0769230769231 |
|  5   |  NON-REL   |      0.4       | 0.0769230769231 |
|  6   |  NON-REL   | 0.333333333333 | 0.0769230769231 |
|  7   |  NON-REL   | 0.285714285714 | 0.0769230769231 |
|  8   |  NON-REL   |      0.25      | 0.0769230769231 |
|  9   |  NON-REL   | 0.222222222222 | 0.0769230769231 |
|  10  |  NON-REL   |      0.2       | 0.0769230769231 |
|  11  |    REL     | 0.272727272727 |  0.115384615385 |
|  12  |  NON-REL   |      0.25      |  0.115384615385 |
|  13  |  NON-REL   | 0.230769230769 |  0.115384615385 |
|  14  |  NON-REL   | 0.214285714286 |  0.115384615385 |
|  15  |  NON-REL   |      0.2       |  0.115384615385 |
|  16  |    REL     |      0.25      |  0.153846153846 |
|  17  |  NON-REL   | 0.235294117647 |  0.153846153846 |
|  18  |  NON-REL   | 0.222222222222 |  0.153846153846 |
|  19  |  NON-REL   | 0.210526315789 |  0.153846153846 |
|  20  |  NON-REL   |      0.2       |  0.153846153846 |
|  21  |  NON-REL   | 0.190476190476 |  0.153846153846 |
|  22  |    REL     | 0.227272727273 |  0.192307692308 |
|  23  |  NON-REL   | 0.217391304348 |  0.192307692308 |
|  24  |    REL     |      0.25      |  0.230769230769 |
|  25  |  NON-REL   |      0.24      |  0.230769230769 |
|  26  |    REL     | 0.269230769231 |  0.269230769231 |
|  27  |  NON-REL   | 0.259259259259 |  0.269230769231 |
|  28  |  NON-REL   |      0.25      |  0.269230769231 |
|  29  |  NON-REL   | 0.241379310345 |  0.269230769231 |
|  30  |  NON-REL   | 0.233333333333 |  0.269230769231 |
|  31  |  NON-REL   | 0.225806451613 |  0.269230769231 |
|  32  |  NON-REL   |    0.21875     |  0.269230769231 |
|  33  |  NON-REL   | 0.212121212121 |  0.269230769231 |
|  34  |  NON-REL   | 0.205882352941 |  0.269230769231 |
|  35  |  NON-REL   |      0.2       |  0.269230769231 |
|  36  |  NON-REL   | 0.194444444444 |  0.269230769231 |
|  37  |  NON-REL   | 0.189189189189 |  0.269230769231 |
|  38  |  NON-REL   | 0.184210526316 |  0.269230769231 |
|  39  |  NON-REL   | 0.179487179487 |  0.269230769231 |
|  40  |  NON-REL   |     0.175      |  0.269230769231 |
|  41  |  NON-REL   | 0.170731707317 |  0.269230769231 |
|  42  |  NON-REL   | 0.166666666667 |  0.269230769231 |
|  43  |  NON-REL   | 0.162790697674 |  0.269230769231 |
|  44  |    REL     | 0.181818181818 |  0.307692307692 |
|  45  |  NON-REL   | 0.177777777778 |  0.307692307692 |
|  46  |  NON-REL   | 0.173913043478 |  0.307692307692 |
|  47  |  NON-REL   | 0.170212765957 |  0.307692307692 |
|  48  |  NON-REL   | 0.166666666667 |  0.307692307692 |
|  49  |  NON-REL   | 0.163265306122 |  0.307692307692 |
|  50  |  NON-REL   |      0.16      |  0.307692307692 |
|  51  |  NON-REL   | 0.156862745098 |  0.307692307692 |
|  52  |  NON-REL   | 0.153846153846 |  0.307692307692 |
|  53  |  NON-REL   | 0.150943396226 |  0.307692307692 |
|  54  |  NON-REL   | 0.148148148148 |  0.307692307692 |
|  55  |  NON-REL   | 0.145454545455 |  0.307692307692 |
|  56  |  NON-REL   | 0.142857142857 |  0.307692307692 |
|  57  |  NON-REL   | 0.140350877193 |  0.307692307692 |
|  58  |    REL     | 0.155172413793 |  0.346153846154 |
|  59  |  NON-REL   | 0.152542372881 |  0.346153846154 |
|  60  |  NON-REL   |      0.15      |  0.346153846154 |
|  61  |  NON-REL   | 0.147540983607 |  0.346153846154 |
|  62  |  NON-REL   | 0.145161290323 |  0.346153846154 |
|  63  |    REL     | 0.15873015873  |  0.384615384615 |
|  64  |  NON-REL   |    0.15625     |  0.384615384615 |
|  65  |  NON-REL   | 0.153846153846 |  0.384615384615 |
|  66  |  NON-REL   | 0.151515151515 |  0.384615384615 |
|  67  |  NON-REL   | 0.149253731343 |  0.384615384615 |
|  68  |  NON-REL   | 0.147058823529 |  0.384615384615 |
|  69  |  NON-REL   | 0.144927536232 |  0.384615384615 |
|  70  |  NON-REL   | 0.142857142857 |  0.384615384615 |
|  71  |    REL     | 0.154929577465 |  0.423076923077 |
|  72  |  NON-REL   | 0.152777777778 |  0.423076923077 |
|  73  |  NON-REL   | 0.150684931507 |  0.423076923077 |
|  74  |  NON-REL   | 0.148648648649 |  0.423076923077 |
|  75  |  NON-REL   | 0.146666666667 |  0.423076923077 |
|  76  |  NON-REL   | 0.144736842105 |  0.423076923077 |
|  77  |  NON-REL   | 0.142857142857 |  0.423076923077 |
|  78  |  NON-REL   | 0.141025641026 |  0.423076923077 |
|  79  |  NON-REL   | 0.139240506329 |  0.423076923077 |
|  80  |  NON-REL   |     0.1375     |  0.423076923077 |
|  81  |  NON-REL   | 0.135802469136 |  0.423076923077 |
|  82  |  NON-REL   | 0.134146341463 |  0.423076923077 |
|  83  |  NON-REL   | 0.132530120482 |  0.423076923077 |
|  84  |  NON-REL   | 0.130952380952 |  0.423076923077 |
|  85  |  NON-REL   | 0.129411764706 |  0.423076923077 |
|  86  |  NON-REL   | 0.127906976744 |  0.423076923077 |
|  87  |  NON-REL   | 0.126436781609 |  0.423076923077 |
|  88  |  NON-REL   |     0.125      |  0.423076923077 |
|  89  |  NON-REL   | 0.123595505618 |  0.423076923077 |
|  90  |  NON-REL   | 0.122222222222 |  0.423076923077 |
|  91  |  NON-REL   | 0.120879120879 |  0.423076923077 |
|  92  |  NON-REL   | 0.119565217391 |  0.423076923077 |
|  93  |  NON-REL   | 0.118279569892 |  0.423076923077 |
|  94  |    REL     | 0.127659574468 |  0.461538461538 |
|  95  |  NON-REL   | 0.126315789474 |  0.461538461538 |
|  96  |  NON-REL   |     0.125      |  0.461538461538 |
|  97  |  NON-REL   | 0.123711340206 |  0.461538461538 |
|  98  |  NON-REL   | 0.122448979592 |  0.461538461538 |
|  99  |  NON-REL   | 0.121212121212 |  0.461538461538 |
| 100  |  NON-REL   |      0.12      |  0.461538461538 |
+------+------------+----------------+-----------------+
