query_60: rdware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |    REL     |       0.25      |  0.037037037037 |
|  5   |    REL     |       0.4       | 0.0740740740741 |
|  6   |  NON-REL   |  0.333333333333 | 0.0740740740741 |
|  7   |  NON-REL   |  0.285714285714 | 0.0740740740741 |
|  8   |  NON-REL   |       0.25      | 0.0740740740741 |
|  9   |  NON-REL   |  0.222222222222 | 0.0740740740741 |
|  10  |  NON-REL   |       0.2       | 0.0740740740741 |
|  11  |  NON-REL   |  0.181818181818 | 0.0740740740741 |
|  12  |  NON-REL   |  0.166666666667 | 0.0740740740741 |
|  13  |  NON-REL   |  0.153846153846 | 0.0740740740741 |
|  14  |  NON-REL   |  0.142857142857 | 0.0740740740741 |
|  15  |  NON-REL   |  0.133333333333 | 0.0740740740741 |
|  16  |  NON-REL   |      0.125      | 0.0740740740741 |
|  17  |  NON-REL   |  0.117647058824 | 0.0740740740741 |
|  18  |  NON-REL   |  0.111111111111 | 0.0740740740741 |
|  19  |  NON-REL   |  0.105263157895 | 0.0740740740741 |
|  20  |    REL     |       0.15      |  0.111111111111 |
|  21  |  NON-REL   |  0.142857142857 |  0.111111111111 |
|  22  |  NON-REL   |  0.136363636364 |  0.111111111111 |
|  23  |  NON-REL   |  0.130434782609 |  0.111111111111 |
|  24  |    REL     |  0.166666666667 |  0.148148148148 |
|  25  |  NON-REL   |       0.16      |  0.148148148148 |
|  26  |  NON-REL   |  0.153846153846 |  0.148148148148 |
|  27  |  NON-REL   |  0.148148148148 |  0.148148148148 |
|  28  |  NON-REL   |  0.142857142857 |  0.148148148148 |
|  29  |  NON-REL   |  0.137931034483 |  0.148148148148 |
|  30  |  NON-REL   |  0.133333333333 |  0.148148148148 |
|  31  |  NON-REL   |  0.129032258065 |  0.148148148148 |
|  32  |  NON-REL   |      0.125      |  0.148148148148 |
|  33  |  NON-REL   |  0.121212121212 |  0.148148148148 |
|  34  |    REL     |  0.147058823529 |  0.185185185185 |
|  35  |  NON-REL   |  0.142857142857 |  0.185185185185 |
|  36  |  NON-REL   |  0.138888888889 |  0.185185185185 |
|  37  |  NON-REL   |  0.135135135135 |  0.185185185185 |
|  38  |  NON-REL   |  0.131578947368 |  0.185185185185 |
|  39  |  NON-REL   |  0.128205128205 |  0.185185185185 |
|  40  |  NON-REL   |      0.125      |  0.185185185185 |
|  41  |  NON-REL   |  0.121951219512 |  0.185185185185 |
|  42  |  NON-REL   |  0.119047619048 |  0.185185185185 |
|  43  |  NON-REL   |  0.116279069767 |  0.185185185185 |
|  44  |  NON-REL   |  0.113636363636 |  0.185185185185 |
|  45  |    REL     |  0.133333333333 |  0.222222222222 |
|  46  |  NON-REL   |  0.130434782609 |  0.222222222222 |
|  47  |  NON-REL   |  0.127659574468 |  0.222222222222 |
|  48  |  NON-REL   |      0.125      |  0.222222222222 |
|  49  |  NON-REL   |  0.122448979592 |  0.222222222222 |
|  50  |  NON-REL   |       0.12      |  0.222222222222 |
|  51  |  NON-REL   |  0.117647058824 |  0.222222222222 |
|  52  |  NON-REL   |  0.115384615385 |  0.222222222222 |
|  53  |  NON-REL   |  0.11320754717  |  0.222222222222 |
|  54  |  NON-REL   |  0.111111111111 |  0.222222222222 |
|  55  |    REL     |  0.127272727273 |  0.259259259259 |
|  56  |  NON-REL   |      0.125      |  0.259259259259 |
|  57  |    REL     |  0.140350877193 |  0.296296296296 |
|  58  |  NON-REL   |  0.137931034483 |  0.296296296296 |
|  59  |  NON-REL   |  0.135593220339 |  0.296296296296 |
|  60  |  NON-REL   |  0.133333333333 |  0.296296296296 |
|  61  |  NON-REL   |  0.131147540984 |  0.296296296296 |
|  62  |  NON-REL   |  0.129032258065 |  0.296296296296 |
|  63  |  NON-REL   |  0.126984126984 |  0.296296296296 |
|  64  |  NON-REL   |      0.125      |  0.296296296296 |
|  65  |  NON-REL   |  0.123076923077 |  0.296296296296 |
|  66  |  NON-REL   |  0.121212121212 |  0.296296296296 |
|  67  |  NON-REL   |  0.119402985075 |  0.296296296296 |
|  68  |  NON-REL   |  0.117647058824 |  0.296296296296 |
|  69  |  NON-REL   |  0.115942028986 |  0.296296296296 |
|  70  |  NON-REL   |  0.114285714286 |  0.296296296296 |
|  71  |  NON-REL   |  0.112676056338 |  0.296296296296 |
|  72  |  NON-REL   |  0.111111111111 |  0.296296296296 |
|  73  |  NON-REL   |  0.109589041096 |  0.296296296296 |
|  74  |  NON-REL   |  0.108108108108 |  0.296296296296 |
|  75  |  NON-REL   |  0.106666666667 |  0.296296296296 |
|  76  |  NON-REL   |  0.105263157895 |  0.296296296296 |
|  77  |  NON-REL   |  0.103896103896 |  0.296296296296 |
|  78  |  NON-REL   |  0.102564102564 |  0.296296296296 |
|  79  |  NON-REL   |  0.101265822785 |  0.296296296296 |
|  80  |  NON-REL   |       0.1       |  0.296296296296 |
|  81  |  NON-REL   | 0.0987654320988 |  0.296296296296 |
|  82  |  NON-REL   | 0.0975609756098 |  0.296296296296 |
|  83  |  NON-REL   | 0.0963855421687 |  0.296296296296 |
|  84  |  NON-REL   | 0.0952380952381 |  0.296296296296 |
|  85  |  NON-REL   | 0.0941176470588 |  0.296296296296 |
|  86  |  NON-REL   |  0.093023255814 |  0.296296296296 |
|  87  |  NON-REL   | 0.0919540229885 |  0.296296296296 |
|  88  |  NON-REL   | 0.0909090909091 |  0.296296296296 |
|  89  |  NON-REL   | 0.0898876404494 |  0.296296296296 |
|  90  |  NON-REL   | 0.0888888888889 |  0.296296296296 |
|  91  |  NON-REL   | 0.0879120879121 |  0.296296296296 |
|  92  |  NON-REL   | 0.0869565217391 |  0.296296296296 |
|  93  |  NON-REL   | 0.0860215053763 |  0.296296296296 |
|  94  |  NON-REL   | 0.0851063829787 |  0.296296296296 |
|  95  |  NON-REL   | 0.0842105263158 |  0.296296296296 |
|  96  |  NON-REL   | 0.0833333333333 |  0.296296296296 |
|  97  |  NON-REL   | 0.0824742268041 |  0.296296296296 |
|  98  |  NON-REL   | 0.0816326530612 |  0.296296296296 |
|  99  |  NON-REL   | 0.0808080808081 |  0.296296296296 |
| 100  |  NON-REL   |       0.08      |  0.296296296296 |
+------+------------+-----------------+-----------------+
