query_61: formation retrieval articles gerard salton clustering bibliographic coupling citations co-citations vector space model boolean search methods inverted feedback salton
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |  NON-REL   |      0.0       |       0.0       |
|  3   |  NON-REL   |      0.0       |       0.0       |
|  4   |  NON-REL   |      0.0       |       0.0       |
|  5   |    REL     |      0.2       | 0.0322580645161 |
|  6   |  NON-REL   | 0.166666666667 | 0.0322580645161 |
|  7   |    REL     | 0.285714285714 | 0.0645161290323 |
|  8   |    REL     |     0.375      | 0.0967741935484 |
|  9   |  NON-REL   | 0.333333333333 | 0.0967741935484 |
|  10  |  NON-REL   |      0.3       | 0.0967741935484 |
|  11  |    REL     | 0.363636363636 |  0.129032258065 |
|  12  |  NON-REL   | 0.333333333333 |  0.129032258065 |
|  13  |  NON-REL   | 0.307692307692 |  0.129032258065 |
|  14  |    REL     | 0.357142857143 |  0.161290322581 |
|  15  |  NON-REL   | 0.333333333333 |  0.161290322581 |
|  16  |  NON-REL   |     0.3125     |  0.161290322581 |
|  17  |    REL     | 0.352941176471 |  0.193548387097 |
|  18  |  NON-REL   | 0.333333333333 |  0.193548387097 |
|  19  |    REL     | 0.368421052632 |  0.225806451613 |
|  20  |  NON-REL   |      0.35      |  0.225806451613 |
|  21  |  NON-REL   | 0.333333333333 |  0.225806451613 |
|  22  |  NON-REL   | 0.318181818182 |  0.225806451613 |
|  23  |    REL     | 0.347826086957 |  0.258064516129 |
|  24  |  NON-REL   | 0.333333333333 |  0.258064516129 |
|  25  |    REL     |      0.36      |  0.290322580645 |
|  26  |    REL     | 0.384615384615 |  0.322580645161 |
|  27  |  NON-REL   | 0.37037037037  |  0.322580645161 |
|  28  |  NON-REL   | 0.357142857143 |  0.322580645161 |
|  29  |  NON-REL   | 0.344827586207 |  0.322580645161 |
|  30  |  NON-REL   | 0.333333333333 |  0.322580645161 |
|  31  |  NON-REL   | 0.322580645161 |  0.322580645161 |
|  32  |    REL     |    0.34375     |  0.354838709677 |
|  33  |    REL     | 0.363636363636 |  0.387096774194 |
|  34  |  NON-REL   | 0.352941176471 |  0.387096774194 |
|  35  |    REL     | 0.371428571429 |  0.41935483871  |
|  36  |  NON-REL   | 0.361111111111 |  0.41935483871  |
|  37  |  NON-REL   | 0.351351351351 |  0.41935483871  |
|  38  |  NON-REL   | 0.342105263158 |  0.41935483871  |
|  39  |  NON-REL   | 0.333333333333 |  0.41935483871  |
|  40  |  NON-REL   |     0.325      |  0.41935483871  |
|  41  |    REL     | 0.341463414634 |  0.451612903226 |
|  42  |    REL     | 0.357142857143 |  0.483870967742 |
|  43  |  NON-REL   | 0.348837209302 |  0.483870967742 |
|  44  |  NON-REL   | 0.340909090909 |  0.483870967742 |
|  45  |  NON-REL   | 0.333333333333 |  0.483870967742 |
|  46  |  NON-REL   | 0.326086956522 |  0.483870967742 |
|  47  |  NON-REL   | 0.31914893617  |  0.483870967742 |
|  48  |  NON-REL   |     0.3125     |  0.483870967742 |
|  49  |  NON-REL   | 0.30612244898  |  0.483870967742 |
|  50  |    REL     |      0.32      |  0.516129032258 |
|  51  |  NON-REL   | 0.313725490196 |  0.516129032258 |
|  52  |  NON-REL   | 0.307692307692 |  0.516129032258 |
|  53  |  NON-REL   | 0.301886792453 |  0.516129032258 |
|  54  |  NON-REL   | 0.296296296296 |  0.516129032258 |
|  55  |  NON-REL   | 0.290909090909 |  0.516129032258 |
|  56  |  NON-REL   | 0.285714285714 |  0.516129032258 |
|  57  |  NON-REL   | 0.280701754386 |  0.516129032258 |
|  58  |  NON-REL   | 0.275862068966 |  0.516129032258 |
|  59  |  NON-REL   | 0.271186440678 |  0.516129032258 |
|  60  |  NON-REL   | 0.266666666667 |  0.516129032258 |
|  61  |  NON-REL   | 0.262295081967 |  0.516129032258 |
|  62  |  NON-REL   | 0.258064516129 |  0.516129032258 |
|  63  |    REL     | 0.269841269841 |  0.548387096774 |
|  64  |  NON-REL   |    0.265625    |  0.548387096774 |
|  65  |  NON-REL   | 0.261538461538 |  0.548387096774 |
|  66  |  NON-REL   | 0.257575757576 |  0.548387096774 |
|  67  |  NON-REL   | 0.253731343284 |  0.548387096774 |
|  68  |  NON-REL   |      0.25      |  0.548387096774 |
|  69  |  NON-REL   | 0.246376811594 |  0.548387096774 |
|  70  |  NON-REL   | 0.242857142857 |  0.548387096774 |
|  71  |  NON-REL   | 0.239436619718 |  0.548387096774 |
|  72  |    REL     |      0.25      |  0.58064516129  |
|  73  |  NON-REL   | 0.246575342466 |  0.58064516129  |
|  74  |  NON-REL   | 0.243243243243 |  0.58064516129  |
|  75  |  NON-REL   |      0.24      |  0.58064516129  |
|  76  |  NON-REL   | 0.236842105263 |  0.58064516129  |
|  77  |  NON-REL   | 0.233766233766 |  0.58064516129  |
|  78  |  NON-REL   | 0.230769230769 |  0.58064516129  |
|  79  |    REL     | 0.240506329114 |  0.612903225806 |
|  80  |  NON-REL   |     0.2375     |  0.612903225806 |
|  81  |  NON-REL   | 0.234567901235 |  0.612903225806 |
|  82  |  NON-REL   | 0.231707317073 |  0.612903225806 |
|  83  |  NON-REL   | 0.228915662651 |  0.612903225806 |
|  84  |  NON-REL   | 0.22619047619  |  0.612903225806 |
|  85  |  NON-REL   | 0.223529411765 |  0.612903225806 |
|  86  |  NON-REL   | 0.220930232558 |  0.612903225806 |
|  87  |  NON-REL   | 0.218390804598 |  0.612903225806 |
|  88  |    REL     | 0.227272727273 |  0.645161290323 |
|  89  |  NON-REL   | 0.224719101124 |  0.645161290323 |
|  90  |  NON-REL   | 0.222222222222 |  0.645161290323 |
|  91  |  NON-REL   | 0.21978021978  |  0.645161290323 |
|  92  |  NON-REL   | 0.217391304348 |  0.645161290323 |
|  93  |  NON-REL   | 0.215053763441 |  0.645161290323 |
|  94  |  NON-REL   | 0.212765957447 |  0.645161290323 |
|  95  |  NON-REL   | 0.210526315789 |  0.645161290323 |
|  96  |  NON-REL   | 0.208333333333 |  0.645161290323 |
|  97  |  NON-REL   | 0.20618556701  |  0.645161290323 |
|  98  |  NON-REL   | 0.204081632653 |  0.645161290323 |
|  99  |  NON-REL   | 0.20202020202  |  0.645161290323 |
| 100  |  NON-REL   |      0.2       |  0.645161290323 |
+------+------------+----------------+-----------------+
