query_62: sults relating parallel complexity theory pram uniform circuits
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |  NON-REL   |       0.0       |  0.0   |
|  20  |  NON-REL   |       0.0       |  0.0   |
|  21  |  NON-REL   |       0.0       |  0.0   |
|  22  |  NON-REL   |       0.0       |  0.0   |
|  23  |  NON-REL   |       0.0       |  0.0   |
|  24  |    REL     | 0.0416666666667 | 0.125  |
|  25  |  NON-REL   |       0.04      | 0.125  |
|  26  |  NON-REL   | 0.0384615384615 | 0.125  |
|  27  |  NON-REL   |  0.037037037037 | 0.125  |
|  28  |  NON-REL   | 0.0357142857143 | 0.125  |
|  29  |  NON-REL   | 0.0344827586207 | 0.125  |
|  30  |  NON-REL   | 0.0333333333333 | 0.125  |
|  31  |  NON-REL   | 0.0322580645161 | 0.125  |
|  32  |  NON-REL   |     0.03125     | 0.125  |
|  33  |  NON-REL   |  0.030303030303 | 0.125  |
|  34  |  NON-REL   | 0.0294117647059 | 0.125  |
|  35  |  NON-REL   | 0.0285714285714 | 0.125  |
|  36  |  NON-REL   | 0.0277777777778 | 0.125  |
|  37  |  NON-REL   |  0.027027027027 | 0.125  |
|  38  |  NON-REL   | 0.0263157894737 | 0.125  |
|  39  |  NON-REL   |  0.025641025641 | 0.125  |
|  40  |  NON-REL   |      0.025      | 0.125  |
|  41  |  NON-REL   | 0.0243902439024 | 0.125  |
|  42  |  NON-REL   | 0.0238095238095 | 0.125  |
|  43  |  NON-REL   | 0.0232558139535 | 0.125  |
|  44  |  NON-REL   | 0.0227272727273 | 0.125  |
|  45  |  NON-REL   | 0.0222222222222 | 0.125  |
|  46  |  NON-REL   | 0.0217391304348 | 0.125  |
|  47  |  NON-REL   | 0.0212765957447 | 0.125  |
|  48  |  NON-REL   | 0.0208333333333 | 0.125  |
|  49  |  NON-REL   | 0.0204081632653 | 0.125  |
|  50  |  NON-REL   |       0.02      | 0.125  |
|  51  |  NON-REL   | 0.0196078431373 | 0.125  |
|  52  |  NON-REL   | 0.0192307692308 | 0.125  |
|  53  |  NON-REL   | 0.0188679245283 | 0.125  |
|  54  |  NON-REL   | 0.0185185185185 | 0.125  |
|  55  |  NON-REL   | 0.0181818181818 | 0.125  |
|  56  |  NON-REL   | 0.0178571428571 | 0.125  |
|  57  |  NON-REL   | 0.0175438596491 | 0.125  |
|  58  |  NON-REL   | 0.0172413793103 | 0.125  |
|  59  |  NON-REL   | 0.0169491525424 | 0.125  |
|  60  |  NON-REL   | 0.0166666666667 | 0.125  |
|  61  |  NON-REL   |  0.016393442623 | 0.125  |
|  62  |  NON-REL   | 0.0161290322581 | 0.125  |
|  63  |  NON-REL   |  0.015873015873 | 0.125  |
|  64  |  NON-REL   |     0.015625    | 0.125  |
|  65  |  NON-REL   | 0.0153846153846 | 0.125  |
|  66  |  NON-REL   | 0.0151515151515 | 0.125  |
|  67  |  NON-REL   | 0.0149253731343 | 0.125  |
|  68  |  NON-REL   | 0.0147058823529 | 0.125  |
|  69  |  NON-REL   | 0.0144927536232 | 0.125  |
|  70  |  NON-REL   | 0.0142857142857 | 0.125  |
|  71  |    REL     | 0.0281690140845 |  0.25  |
|  72  |  NON-REL   | 0.0277777777778 |  0.25  |
|  73  |  NON-REL   |  0.027397260274 |  0.25  |
|  74  |  NON-REL   |  0.027027027027 |  0.25  |
|  75  |  NON-REL   | 0.0266666666667 |  0.25  |
|  76  |  NON-REL   | 0.0263157894737 |  0.25  |
|  77  |  NON-REL   |  0.025974025974 |  0.25  |
|  78  |    REL     | 0.0384615384615 | 0.375  |
|  79  |  NON-REL   | 0.0379746835443 | 0.375  |
|  80  |  NON-REL   |      0.0375     | 0.375  |
|  81  |  NON-REL   |  0.037037037037 | 0.375  |
|  82  |  NON-REL   | 0.0365853658537 | 0.375  |
|  83  |  NON-REL   | 0.0361445783133 | 0.375  |
|  84  |  NON-REL   | 0.0357142857143 | 0.375  |
|  85  |  NON-REL   | 0.0352941176471 | 0.375  |
|  86  |  NON-REL   | 0.0348837209302 | 0.375  |
|  87  |  NON-REL   | 0.0344827586207 | 0.375  |
|  88  |  NON-REL   | 0.0340909090909 | 0.375  |
|  89  |  NON-REL   | 0.0337078651685 | 0.375  |
|  90  |  NON-REL   | 0.0333333333333 | 0.375  |
|  91  |  NON-REL   |  0.032967032967 | 0.375  |
|  92  |  NON-REL   | 0.0326086956522 | 0.375  |
|  93  |  NON-REL   | 0.0322580645161 | 0.375  |
|  94  |  NON-REL   |  0.031914893617 | 0.375  |
|  95  |  NON-REL   | 0.0315789473684 | 0.375  |
|  96  |  NON-REL   |     0.03125     | 0.375  |
|  97  |  NON-REL   | 0.0309278350515 | 0.375  |
|  98  |  NON-REL   |  0.030612244898 | 0.375  |
|  99  |  NON-REL   |  0.030303030303 | 0.375  |
| 100  |  NON-REL   |       0.03      | 0.375  |
+------+------------+-----------------+--------+
