query_63: gorithms parallel computation especially comparisons parallel sequential algorithms
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |    REL     |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |  NON-REL   |  0.166666666667 | 0.0833333333333 |
|  7   |  NON-REL   |  0.142857142857 | 0.0833333333333 |
|  8   |  NON-REL   |      0.125      | 0.0833333333333 |
|  9   |    REL     |  0.222222222222 |  0.166666666667 |
|  10  |  NON-REL   |       0.2       |  0.166666666667 |
|  11  |  NON-REL   |  0.181818181818 |  0.166666666667 |
|  12  |  NON-REL   |  0.166666666667 |  0.166666666667 |
|  13  |  NON-REL   |  0.153846153846 |  0.166666666667 |
|  14  |  NON-REL   |  0.142857142857 |  0.166666666667 |
|  15  |  NON-REL   |  0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.125      |  0.166666666667 |
|  17  |  NON-REL   |  0.117647058824 |  0.166666666667 |
|  18  |    REL     |  0.166666666667 |       0.25      |
|  19  |    REL     |  0.210526315789 |  0.333333333333 |
|  20  |  NON-REL   |       0.2       |  0.333333333333 |
|  21  |    REL     |  0.238095238095 |  0.416666666667 |
|  22  |  NON-REL   |  0.227272727273 |  0.416666666667 |
|  23  |  NON-REL   |  0.217391304348 |  0.416666666667 |
|  24  |  NON-REL   |  0.208333333333 |  0.416666666667 |
|  25  |  NON-REL   |       0.2       |  0.416666666667 |
|  26  |  NON-REL   |  0.192307692308 |  0.416666666667 |
|  27  |  NON-REL   |  0.185185185185 |  0.416666666667 |
|  28  |  NON-REL   |  0.178571428571 |  0.416666666667 |
|  29  |  NON-REL   |  0.172413793103 |  0.416666666667 |
|  30  |  NON-REL   |  0.166666666667 |  0.416666666667 |
|  31  |  NON-REL   |  0.161290322581 |  0.416666666667 |
|  32  |  NON-REL   |     0.15625     |  0.416666666667 |
|  33  |  NON-REL   |  0.151515151515 |  0.416666666667 |
|  34  |  NON-REL   |  0.147058823529 |  0.416666666667 |
|  35  |  NON-REL   |  0.142857142857 |  0.416666666667 |
|  36  |  NON-REL   |  0.138888888889 |  0.416666666667 |
|  37  |    REL     |  0.162162162162 |       0.5       |
|  38  |  NON-REL   |  0.157894736842 |       0.5       |
|  39  |  NON-REL   |  0.153846153846 |       0.5       |
|  40  |  NON-REL   |       0.15      |       0.5       |
|  41  |  NON-REL   |  0.146341463415 |       0.5       |
|  42  |  NON-REL   |  0.142857142857 |       0.5       |
|  43  |  NON-REL   |  0.139534883721 |       0.5       |
|  44  |  NON-REL   |  0.136363636364 |       0.5       |
|  45  |  NON-REL   |  0.133333333333 |       0.5       |
|  46  |  NON-REL   |  0.130434782609 |       0.5       |
|  47  |  NON-REL   |  0.127659574468 |       0.5       |
|  48  |  NON-REL   |      0.125      |       0.5       |
|  49  |  NON-REL   |  0.122448979592 |       0.5       |
|  50  |  NON-REL   |       0.12      |       0.5       |
|  51  |  NON-REL   |  0.117647058824 |       0.5       |
|  52  |  NON-REL   |  0.115384615385 |       0.5       |
|  53  |  NON-REL   |  0.11320754717  |       0.5       |
|  54  |  NON-REL   |  0.111111111111 |       0.5       |
|  55  |  NON-REL   |  0.109090909091 |       0.5       |
|  56  |  NON-REL   |  0.107142857143 |       0.5       |
|  57  |  NON-REL   |  0.105263157895 |       0.5       |
|  58  |  NON-REL   |  0.103448275862 |       0.5       |
|  59  |  NON-REL   |  0.101694915254 |       0.5       |
|  60  |  NON-REL   |       0.1       |       0.5       |
|  61  |  NON-REL   | 0.0983606557377 |       0.5       |
|  62  |  NON-REL   | 0.0967741935484 |       0.5       |
|  63  |  NON-REL   | 0.0952380952381 |       0.5       |
|  64  |  NON-REL   |     0.09375     |       0.5       |
|  65  |  NON-REL   | 0.0923076923077 |       0.5       |
|  66  |  NON-REL   | 0.0909090909091 |       0.5       |
|  67  |  NON-REL   |  0.089552238806 |       0.5       |
|  68  |  NON-REL   | 0.0882352941176 |       0.5       |
|  69  |  NON-REL   | 0.0869565217391 |       0.5       |
|  70  |  NON-REL   | 0.0857142857143 |       0.5       |
|  71  |  NON-REL   | 0.0845070422535 |       0.5       |
|  72  |  NON-REL   | 0.0833333333333 |       0.5       |
|  73  |  NON-REL   | 0.0821917808219 |       0.5       |
|  74  |    REL     | 0.0945945945946 |  0.583333333333 |
|  75  |  NON-REL   | 0.0933333333333 |  0.583333333333 |
|  76  |  NON-REL   | 0.0921052631579 |  0.583333333333 |
|  77  |  NON-REL   | 0.0909090909091 |  0.583333333333 |
|  78  |  NON-REL   | 0.0897435897436 |  0.583333333333 |
|  79  |  NON-REL   | 0.0886075949367 |  0.583333333333 |
|  80  |  NON-REL   |      0.0875     |  0.583333333333 |
|  81  |  NON-REL   | 0.0864197530864 |  0.583333333333 |
|  82  |  NON-REL   | 0.0853658536585 |  0.583333333333 |
|  83  |    REL     | 0.0963855421687 |  0.666666666667 |
|  84  |  NON-REL   | 0.0952380952381 |  0.666666666667 |
|  85  |  NON-REL   | 0.0941176470588 |  0.666666666667 |
|  86  |  NON-REL   |  0.093023255814 |  0.666666666667 |
|  87  |  NON-REL   | 0.0919540229885 |  0.666666666667 |
|  88  |  NON-REL   | 0.0909090909091 |  0.666666666667 |
|  89  |  NON-REL   | 0.0898876404494 |  0.666666666667 |
|  90  |    REL     |       0.1       |       0.75      |
|  91  |  NON-REL   | 0.0989010989011 |       0.75      |
|  92  |  NON-REL   | 0.0978260869565 |       0.75      |
|  93  |  NON-REL   | 0.0967741935484 |       0.75      |
|  94  |  NON-REL   | 0.0957446808511 |       0.75      |
|  95  |  NON-REL   | 0.0947368421053 |       0.75      |
|  96  |  NON-REL   |     0.09375     |       0.75      |
|  97  |  NON-REL   | 0.0927835051546 |       0.75      |
|  98  |  NON-REL   | 0.0918367346939 |       0.75      |
|  99  |  NON-REL   | 0.0909090909091 |       0.75      |
| 100  |  NON-REL   |       0.09      |       0.75      |
+------+------------+-----------------+-----------------+
