query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0357142857143 |
|  2   |  NON-REL   |      0.5       | 0.0357142857143 |
|  3   |  NON-REL   | 0.333333333333 | 0.0357142857143 |
|  4   |  NON-REL   |      0.25      | 0.0357142857143 |
|  5   |    REL     |      0.4       | 0.0714285714286 |
|  6   |  NON-REL   | 0.333333333333 | 0.0714285714286 |
|  7   |    REL     | 0.428571428571 |  0.107142857143 |
|  8   |  NON-REL   |     0.375      |  0.107142857143 |
|  9   |    REL     | 0.444444444444 |  0.142857142857 |
|  10  |    REL     |      0.5       |  0.178571428571 |
|  11  |  NON-REL   | 0.454545454545 |  0.178571428571 |
|  12  |  NON-REL   | 0.416666666667 |  0.178571428571 |
|  13  |    REL     | 0.461538461538 |  0.214285714286 |
|  14  |  NON-REL   | 0.428571428571 |  0.214285714286 |
|  15  |  NON-REL   |      0.4       |  0.214285714286 |
|  16  |  NON-REL   |     0.375      |  0.214285714286 |
|  17  |  NON-REL   | 0.352941176471 |  0.214285714286 |
|  18  |  NON-REL   | 0.333333333333 |  0.214285714286 |
|  19  |  NON-REL   | 0.315789473684 |  0.214285714286 |
|  20  |  NON-REL   |      0.3       |  0.214285714286 |
|  21  |    REL     | 0.333333333333 |       0.25      |
|  22  |  NON-REL   | 0.318181818182 |       0.25      |
|  23  |  NON-REL   | 0.304347826087 |       0.25      |
|  24  |  NON-REL   | 0.291666666667 |       0.25      |
|  25  |  NON-REL   |      0.28      |       0.25      |
|  26  |  NON-REL   | 0.269230769231 |       0.25      |
|  27  |  NON-REL   | 0.259259259259 |       0.25      |
|  28  |  NON-REL   |      0.25      |       0.25      |
|  29  |  NON-REL   | 0.241379310345 |       0.25      |
|  30  |  NON-REL   | 0.233333333333 |       0.25      |
|  31  |    REL     | 0.258064516129 |  0.285714285714 |
|  32  |    REL     |    0.28125     |  0.321428571429 |
|  33  |  NON-REL   | 0.272727272727 |  0.321428571429 |
|  34  |  NON-REL   | 0.264705882353 |  0.321428571429 |
|  35  |  NON-REL   | 0.257142857143 |  0.321428571429 |
|  36  |  NON-REL   |      0.25      |  0.321428571429 |
|  37  |  NON-REL   | 0.243243243243 |  0.321428571429 |
|  38  |  NON-REL   | 0.236842105263 |  0.321428571429 |
