query_10: rallel languages languages parallel computation
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |    REL     |       0.5       | 0.0285714285714 |
|  3   |  NON-REL   |  0.333333333333 | 0.0285714285714 |
|  4   |  NON-REL   |       0.25      | 0.0285714285714 |
|  5   |  NON-REL   |       0.2       | 0.0285714285714 |
|  6   |  NON-REL   |  0.166666666667 | 0.0285714285714 |
|  7   |  NON-REL   |  0.142857142857 | 0.0285714285714 |
|  8   |  NON-REL   |      0.125      | 0.0285714285714 |
|  9   |  NON-REL   |  0.111111111111 | 0.0285714285714 |
|  10  |  NON-REL   |       0.1       | 0.0285714285714 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0285714285714 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0285714285714 |
|  13  |    REL     |  0.153846153846 | 0.0571428571429 |
|  14  |    REL     |  0.214285714286 | 0.0857142857143 |
|  15  |  NON-REL   |       0.2       | 0.0857142857143 |
|  16  |  NON-REL   |      0.1875     | 0.0857142857143 |
|  17  |    REL     |  0.235294117647 |  0.114285714286 |
|  18  |    REL     |  0.277777777778 |  0.142857142857 |
|  19  |  NON-REL   |  0.263157894737 |  0.142857142857 |
|  20  |  NON-REL   |       0.25      |  0.142857142857 |
|  21  |  NON-REL   |  0.238095238095 |  0.142857142857 |
|  22  |    REL     |  0.272727272727 |  0.171428571429 |
|  23  |  NON-REL   |  0.260869565217 |  0.171428571429 |
|  24  |  NON-REL   |       0.25      |  0.171428571429 |
|  25  |  NON-REL   |       0.24      |  0.171428571429 |
|  26  |    REL     |  0.269230769231 |       0.2       |
|  27  |    REL     |  0.296296296296 |  0.228571428571 |
|  28  |  NON-REL   |  0.285714285714 |  0.228571428571 |
|  29  |  NON-REL   |  0.275862068966 |  0.228571428571 |
|  30  |  NON-REL   |  0.266666666667 |  0.228571428571 |
|  31  |  NON-REL   |  0.258064516129 |  0.228571428571 |
|  32  |  NON-REL   |       0.25      |  0.228571428571 |
|  33  |  NON-REL   |  0.242424242424 |  0.228571428571 |
|  34  |  NON-REL   |  0.235294117647 |  0.228571428571 |
|  35  |  NON-REL   |  0.228571428571 |  0.228571428571 |
|  36  |  NON-REL   |  0.222222222222 |  0.228571428571 |
|  37  |  NON-REL   |  0.216216216216 |  0.228571428571 |
|  38  |  NON-REL   |  0.210526315789 |  0.228571428571 |
|  39  |  NON-REL   |  0.205128205128 |  0.228571428571 |
|  40  |  NON-REL   |       0.2       |  0.228571428571 |
|  41  |    REL     |  0.219512195122 |  0.257142857143 |
|  42  |  NON-REL   |  0.214285714286 |  0.257142857143 |
|  43  |  NON-REL   |  0.209302325581 |  0.257142857143 |
|  44  |  NON-REL   |  0.204545454545 |  0.257142857143 |
|  45  |  NON-REL   |       0.2       |  0.257142857143 |
|  46  |  NON-REL   |  0.195652173913 |  0.257142857143 |
|  47  |    REL     |  0.212765957447 |  0.285714285714 |
|  48  |  NON-REL   |  0.208333333333 |  0.285714285714 |
|  49  |  NON-REL   |  0.204081632653 |  0.285714285714 |
|  50  |  NON-REL   |       0.2       |  0.285714285714 |
|  51  |  NON-REL   |  0.196078431373 |  0.285714285714 |
|  52  |  NON-REL   |  0.192307692308 |  0.285714285714 |
|  53  |  NON-REL   |  0.188679245283 |  0.285714285714 |
|  54  |  NON-REL   |  0.185185185185 |  0.285714285714 |
|  55  |  NON-REL   |  0.181818181818 |  0.285714285714 |
|  56  |  NON-REL   |  0.178571428571 |  0.285714285714 |
|  57  |  NON-REL   |  0.175438596491 |  0.285714285714 |
|  58  |    REL     |  0.189655172414 |  0.314285714286 |
|  59  |  NON-REL   |  0.186440677966 |  0.314285714286 |
|  60  |    REL     |       0.2       |  0.342857142857 |
|  61  |  NON-REL   |  0.196721311475 |  0.342857142857 |
|  62  |  NON-REL   |  0.193548387097 |  0.342857142857 |
|  63  |  NON-REL   |  0.190476190476 |  0.342857142857 |
|  64  |  NON-REL   |      0.1875     |  0.342857142857 |
|  65  |  NON-REL   |  0.184615384615 |  0.342857142857 |
|  66  |  NON-REL   |  0.181818181818 |  0.342857142857 |
|  67  |  NON-REL   |  0.179104477612 |  0.342857142857 |
|  68  |  NON-REL   |  0.176470588235 |  0.342857142857 |
|  69  |  NON-REL   |  0.173913043478 |  0.342857142857 |
|  70  |  NON-REL   |  0.171428571429 |  0.342857142857 |
|  71  |  NON-REL   |  0.169014084507 |  0.342857142857 |
|  72  |  NON-REL   |  0.166666666667 |  0.342857142857 |
|  73  |  NON-REL   |  0.164383561644 |  0.342857142857 |
|  74  |  NON-REL   |  0.162162162162 |  0.342857142857 |
|  75  |  NON-REL   |       0.16      |  0.342857142857 |
|  76  |  NON-REL   |  0.157894736842 |  0.342857142857 |
|  77  |  NON-REL   |  0.155844155844 |  0.342857142857 |
|  78  |  NON-REL   |  0.153846153846 |  0.342857142857 |
|  79  |  NON-REL   |  0.151898734177 |  0.342857142857 |
|  80  |  NON-REL   |       0.15      |  0.342857142857 |
|  81  |  NON-REL   |  0.148148148148 |  0.342857142857 |
|  82  |    REL     |  0.158536585366 |  0.371428571429 |
|  83  |  NON-REL   |  0.156626506024 |  0.371428571429 |
|  84  |  NON-REL   |  0.154761904762 |  0.371428571429 |
|  85  |  NON-REL   |  0.152941176471 |  0.371428571429 |
|  86  |  NON-REL   |  0.151162790698 |  0.371428571429 |
|  87  |  NON-REL   |  0.149425287356 |  0.371428571429 |
|  88  |  NON-REL   |  0.147727272727 |  0.371428571429 |
|  89  |  NON-REL   |  0.14606741573  |  0.371428571429 |
|  90  |  NON-REL   |  0.144444444444 |  0.371428571429 |
|  91  |    REL     |  0.153846153846 |       0.4       |
|  92  |  NON-REL   |  0.152173913043 |       0.4       |
|  93  |  NON-REL   |  0.150537634409 |       0.4       |
|  94  |    REL     |  0.159574468085 |  0.428571428571 |
|  95  |  NON-REL   |  0.157894736842 |  0.428571428571 |
|  96  |  NON-REL   |     0.15625     |  0.428571428571 |
|  97  |  NON-REL   |  0.154639175258 |  0.428571428571 |
|  98  |  NON-REL   |  0.15306122449  |  0.428571428571 |
|  99  |  NON-REL   |  0.151515151515 |  0.428571428571 |
| 100  |  NON-REL   |       0.15      |  0.428571428571 |
+------+------------+-----------------+-----------------+
