query_13: de optimization space efficiency
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |    REL     |  0.166666666667 | 0.0909090909091 |
|  7   |  NON-REL   |  0.142857142857 | 0.0909090909091 |
|  8   |  NON-REL   |      0.125      | 0.0909090909091 |
|  9   |  NON-REL   |  0.111111111111 | 0.0909090909091 |
|  10  |    REL     |       0.2       |  0.181818181818 |
|  11  |  NON-REL   |  0.181818181818 |  0.181818181818 |
|  12  |  NON-REL   |  0.166666666667 |  0.181818181818 |
|  13  |  NON-REL   |  0.153846153846 |  0.181818181818 |
|  14  |  NON-REL   |  0.142857142857 |  0.181818181818 |
|  15  |  NON-REL   |  0.133333333333 |  0.181818181818 |
|  16  |    REL     |      0.1875     |  0.272727272727 |
|  17  |  NON-REL   |  0.176470588235 |  0.272727272727 |
|  18  |  NON-REL   |  0.166666666667 |  0.272727272727 |
|  19  |  NON-REL   |  0.157894736842 |  0.272727272727 |
|  20  |  NON-REL   |       0.15      |  0.272727272727 |
|  21  |  NON-REL   |  0.142857142857 |  0.272727272727 |
|  22  |  NON-REL   |  0.136363636364 |  0.272727272727 |
|  23  |  NON-REL   |  0.130434782609 |  0.272727272727 |
|  24  |  NON-REL   |      0.125      |  0.272727272727 |
|  25  |  NON-REL   |       0.12      |  0.272727272727 |
|  26  |  NON-REL   |  0.115384615385 |  0.272727272727 |
|  27  |  NON-REL   |  0.111111111111 |  0.272727272727 |
|  28  |  NON-REL   |  0.107142857143 |  0.272727272727 |
|  29  |    REL     |  0.137931034483 |  0.363636363636 |
|  30  |  NON-REL   |  0.133333333333 |  0.363636363636 |
|  31  |  NON-REL   |  0.129032258065 |  0.363636363636 |
|  32  |  NON-REL   |      0.125      |  0.363636363636 |
|  33  |  NON-REL   |  0.121212121212 |  0.363636363636 |
|  34  |  NON-REL   |  0.117647058824 |  0.363636363636 |
|  35  |  NON-REL   |  0.114285714286 |  0.363636363636 |
|  36  |  NON-REL   |  0.111111111111 |  0.363636363636 |
|  37  |  NON-REL   |  0.108108108108 |  0.363636363636 |
|  38  |  NON-REL   |  0.105263157895 |  0.363636363636 |
|  39  |  NON-REL   |  0.102564102564 |  0.363636363636 |
|  40  |  NON-REL   |       0.1       |  0.363636363636 |
|  41  |  NON-REL   | 0.0975609756098 |  0.363636363636 |
|  42  |  NON-REL   | 0.0952380952381 |  0.363636363636 |
|  43  |  NON-REL   |  0.093023255814 |  0.363636363636 |
|  44  |  NON-REL   | 0.0909090909091 |  0.363636363636 |
|  45  |  NON-REL   | 0.0888888888889 |  0.363636363636 |
|  46  |  NON-REL   | 0.0869565217391 |  0.363636363636 |
|  47  |  NON-REL   | 0.0851063829787 |  0.363636363636 |
|  48  |  NON-REL   | 0.0833333333333 |  0.363636363636 |
|  49  |  NON-REL   | 0.0816326530612 |  0.363636363636 |
|  50  |  NON-REL   |       0.08      |  0.363636363636 |
|  51  |  NON-REL   |  0.078431372549 |  0.363636363636 |
|  52  |  NON-REL   | 0.0769230769231 |  0.363636363636 |
|  53  |  NON-REL   | 0.0754716981132 |  0.363636363636 |
|  54  |  NON-REL   | 0.0740740740741 |  0.363636363636 |
|  55  |  NON-REL   | 0.0727272727273 |  0.363636363636 |
|  56  |  NON-REL   | 0.0714285714286 |  0.363636363636 |
|  57  |  NON-REL   | 0.0701754385965 |  0.363636363636 |
|  58  |  NON-REL   | 0.0689655172414 |  0.363636363636 |
|  59  |  NON-REL   | 0.0677966101695 |  0.363636363636 |
|  60  |  NON-REL   | 0.0666666666667 |  0.363636363636 |
|  61  |  NON-REL   | 0.0655737704918 |  0.363636363636 |
|  62  |  NON-REL   | 0.0645161290323 |  0.363636363636 |
|  63  |  NON-REL   | 0.0634920634921 |  0.363636363636 |
|  64  |  NON-REL   |      0.0625     |  0.363636363636 |
|  65  |  NON-REL   | 0.0615384615385 |  0.363636363636 |
|  66  |  NON-REL   | 0.0606060606061 |  0.363636363636 |
|  67  |  NON-REL   | 0.0597014925373 |  0.363636363636 |
|  68  |  NON-REL   | 0.0588235294118 |  0.363636363636 |
|  69  |  NON-REL   | 0.0579710144928 |  0.363636363636 |
|  70  |  NON-REL   | 0.0571428571429 |  0.363636363636 |
|  71  |  NON-REL   |  0.056338028169 |  0.363636363636 |
|  72  |  NON-REL   | 0.0555555555556 |  0.363636363636 |
|  73  |  NON-REL   | 0.0547945205479 |  0.363636363636 |
|  74  |  NON-REL   | 0.0540540540541 |  0.363636363636 |
|  75  |  NON-REL   | 0.0533333333333 |  0.363636363636 |
|  76  |  NON-REL   | 0.0526315789474 |  0.363636363636 |
|  77  |    REL     | 0.0649350649351 |  0.454545454545 |
|  78  |  NON-REL   | 0.0641025641026 |  0.454545454545 |
|  79  |  NON-REL   | 0.0632911392405 |  0.454545454545 |
|  80  |  NON-REL   |      0.0625     |  0.454545454545 |
|  81  |  NON-REL   | 0.0617283950617 |  0.454545454545 |
|  82  |  NON-REL   | 0.0609756097561 |  0.454545454545 |
|  83  |  NON-REL   | 0.0602409638554 |  0.454545454545 |
|  84  |  NON-REL   | 0.0595238095238 |  0.454545454545 |
|  85  |  NON-REL   | 0.0588235294118 |  0.454545454545 |
|  86  |  NON-REL   | 0.0581395348837 |  0.454545454545 |
|  87  |  NON-REL   | 0.0574712643678 |  0.454545454545 |
|  88  |  NON-REL   | 0.0568181818182 |  0.454545454545 |
|  89  |  NON-REL   | 0.0561797752809 |  0.454545454545 |
|  90  |  NON-REL   | 0.0555555555556 |  0.454545454545 |
|  91  |  NON-REL   | 0.0549450549451 |  0.454545454545 |
|  92  |  NON-REL   |  0.054347826087 |  0.454545454545 |
|  93  |  NON-REL   | 0.0537634408602 |  0.454545454545 |
|  94  |  NON-REL   | 0.0531914893617 |  0.454545454545 |
|  95  |  NON-REL   | 0.0526315789474 |  0.454545454545 |
|  96  |  NON-REL   | 0.0520833333333 |  0.454545454545 |
|  97  |  NON-REL   | 0.0515463917526 |  0.454545454545 |
|  98  |  NON-REL   | 0.0510204081633 |  0.454545454545 |
|  99  |  NON-REL   | 0.0505050505051 |  0.454545454545 |
| 100  |  NON-REL   |       0.05      |  0.454545454545 |
+------+------------+-----------------+-----------------+
