query_14: nd discussions optimal implementations sort algorithms database management applications
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0227272727273 |
|  2   |  NON-REL   |      0.5       | 0.0227272727273 |
|  3   |    REL     | 0.666666666667 | 0.0454545454545 |
|  4   |  NON-REL   |      0.5       | 0.0454545454545 |
|  5   |    REL     |      0.6       | 0.0681818181818 |
|  6   |  NON-REL   |      0.5       | 0.0681818181818 |
|  7   |  NON-REL   | 0.428571428571 | 0.0681818181818 |
|  8   |  NON-REL   |     0.375      | 0.0681818181818 |
|  9   |  NON-REL   | 0.333333333333 | 0.0681818181818 |
|  10  |    REL     |      0.4       | 0.0909090909091 |
|  11  |  NON-REL   | 0.363636363636 | 0.0909090909091 |
|  12  |  NON-REL   | 0.333333333333 | 0.0909090909091 |
|  13  |  NON-REL   | 0.307692307692 | 0.0909090909091 |
|  14  |  NON-REL   | 0.285714285714 | 0.0909090909091 |
|  15  |  NON-REL   | 0.266666666667 | 0.0909090909091 |
|  16  |  NON-REL   |      0.25      | 0.0909090909091 |
|  17  |  NON-REL   | 0.235294117647 | 0.0909090909091 |
|  18  |  NON-REL   | 0.222222222222 | 0.0909090909091 |
|  19  |  NON-REL   | 0.210526315789 | 0.0909090909091 |
|  20  |  NON-REL   |      0.2       | 0.0909090909091 |
|  21  |  NON-REL   | 0.190476190476 | 0.0909090909091 |
|  22  |  NON-REL   | 0.181818181818 | 0.0909090909091 |
|  23  |  NON-REL   | 0.173913043478 | 0.0909090909091 |
|  24  |  NON-REL   | 0.166666666667 | 0.0909090909091 |
|  25  |  NON-REL   |      0.16      | 0.0909090909091 |
|  26  |  NON-REL   | 0.153846153846 | 0.0909090909091 |
|  27  |  NON-REL   | 0.148148148148 | 0.0909090909091 |
|  28  |  NON-REL   | 0.142857142857 | 0.0909090909091 |
|  29  |  NON-REL   | 0.137931034483 | 0.0909090909091 |
|  30  |  NON-REL   | 0.133333333333 | 0.0909090909091 |
|  31  |    REL     | 0.161290322581 |  0.113636363636 |
