query_15: nd discussions horizontal microcode optimization special emphasis optimization loops global optimization
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |    REL     |       0.2       |  0.1   |
|  6   |  NON-REL   |  0.166666666667 |  0.1   |
|  7   |  NON-REL   |  0.142857142857 |  0.1   |
|  8   |  NON-REL   |      0.125      |  0.1   |
|  9   |    REL     |  0.222222222222 |  0.2   |
|  10  |  NON-REL   |       0.2       |  0.2   |
|  11  |  NON-REL   |  0.181818181818 |  0.2   |
|  12  |  NON-REL   |  0.166666666667 |  0.2   |
|  13  |  NON-REL   |  0.153846153846 |  0.2   |
|  14  |  NON-REL   |  0.142857142857 |  0.2   |
|  15  |    REL     |       0.2       |  0.3   |
|  16  |  NON-REL   |      0.1875     |  0.3   |
|  17  |  NON-REL   |  0.176470588235 |  0.3   |
|  18  |  NON-REL   |  0.166666666667 |  0.3   |
|  19  |  NON-REL   |  0.157894736842 |  0.3   |
|  20  |  NON-REL   |       0.15      |  0.3   |
|  21  |  NON-REL   |  0.142857142857 |  0.3   |
|  22  |  NON-REL   |  0.136363636364 |  0.3   |
|  23  |    REL     |  0.173913043478 |  0.4   |
|  24  |  NON-REL   |  0.166666666667 |  0.4   |
|  25  |  NON-REL   |       0.16      |  0.4   |
|  26  |  NON-REL   |  0.153846153846 |  0.4   |
|  27  |  NON-REL   |  0.148148148148 |  0.4   |
|  28  |  NON-REL   |  0.142857142857 |  0.4   |
|  29  |  NON-REL   |  0.137931034483 |  0.4   |
|  30  |  NON-REL   |  0.133333333333 |  0.4   |
|  31  |  NON-REL   |  0.129032258065 |  0.4   |
|  32  |  NON-REL   |      0.125      |  0.4   |
|  33  |  NON-REL   |  0.121212121212 |  0.4   |
|  34  |  NON-REL   |  0.117647058824 |  0.4   |
|  35  |  NON-REL   |  0.114285714286 |  0.4   |
|  36  |  NON-REL   |  0.111111111111 |  0.4   |
|  37  |  NON-REL   |  0.108108108108 |  0.4   |
|  38  |  NON-REL   |  0.105263157895 |  0.4   |
|  39  |  NON-REL   |  0.102564102564 |  0.4   |
|  40  |    REL     |      0.125      |  0.5   |
|  41  |  NON-REL   |  0.121951219512 |  0.5   |
|  42  |  NON-REL   |  0.119047619048 |  0.5   |
|  43  |  NON-REL   |  0.116279069767 |  0.5   |
|  44  |  NON-REL   |  0.113636363636 |  0.5   |
|  45  |  NON-REL   |  0.111111111111 |  0.5   |
|  46  |  NON-REL   |  0.108695652174 |  0.5   |
|  47  |  NON-REL   |  0.106382978723 |  0.5   |
|  48  |  NON-REL   |  0.104166666667 |  0.5   |
|  49  |    REL     |  0.122448979592 |  0.6   |
|  50  |  NON-REL   |       0.12      |  0.6   |
|  51  |  NON-REL   |  0.117647058824 |  0.6   |
|  52  |  NON-REL   |  0.115384615385 |  0.6   |
|  53  |  NON-REL   |  0.11320754717  |  0.6   |
|  54  |  NON-REL   |  0.111111111111 |  0.6   |
|  55  |  NON-REL   |  0.109090909091 |  0.6   |
|  56  |  NON-REL   |  0.107142857143 |  0.6   |
|  57  |  NON-REL   |  0.105263157895 |  0.6   |
|  58  |  NON-REL   |  0.103448275862 |  0.6   |
|  59  |  NON-REL   |  0.101694915254 |  0.6   |
|  60  |  NON-REL   |       0.1       |  0.6   |
|  61  |  NON-REL   | 0.0983606557377 |  0.6   |
|  62  |  NON-REL   | 0.0967741935484 |  0.6   |
|  63  |  NON-REL   | 0.0952380952381 |  0.6   |
|  64  |  NON-REL   |     0.09375     |  0.6   |
|  65  |  NON-REL   | 0.0923076923077 |  0.6   |
|  66  |  NON-REL   | 0.0909090909091 |  0.6   |
|  67  |  NON-REL   |  0.089552238806 |  0.6   |
|  68  |  NON-REL   | 0.0882352941176 |  0.6   |
|  69  |  NON-REL   | 0.0869565217391 |  0.6   |
|  70  |  NON-REL   | 0.0857142857143 |  0.6   |
|  71  |  NON-REL   | 0.0845070422535 |  0.6   |
|  72  |  NON-REL   | 0.0833333333333 |  0.6   |
|  73  |  NON-REL   | 0.0821917808219 |  0.6   |
|  74  |  NON-REL   | 0.0810810810811 |  0.6   |
|  75  |  NON-REL   |       0.08      |  0.6   |
|  76  |  NON-REL   | 0.0789473684211 |  0.6   |
|  77  |  NON-REL   | 0.0779220779221 |  0.6   |
|  78  |  NON-REL   | 0.0769230769231 |  0.6   |
|  79  |  NON-REL   | 0.0759493670886 |  0.6   |
|  80  |  NON-REL   |      0.075      |  0.6   |
|  81  |  NON-REL   | 0.0740740740741 |  0.6   |
|  82  |  NON-REL   | 0.0731707317073 |  0.6   |
|  83  |  NON-REL   | 0.0722891566265 |  0.6   |
|  84  |  NON-REL   | 0.0714285714286 |  0.6   |
|  85  |  NON-REL   | 0.0705882352941 |  0.6   |
|  86  |  NON-REL   | 0.0697674418605 |  0.6   |
|  87  |  NON-REL   | 0.0689655172414 |  0.6   |
|  88  |  NON-REL   | 0.0681818181818 |  0.6   |
|  89  |  NON-REL   | 0.0674157303371 |  0.6   |
|  90  |  NON-REL   | 0.0666666666667 |  0.6   |
|  91  |  NON-REL   | 0.0659340659341 |  0.6   |
|  92  |  NON-REL   | 0.0652173913043 |  0.6   |
|  93  |  NON-REL   | 0.0645161290323 |  0.6   |
|  94  |  NON-REL   |  0.063829787234 |  0.6   |
|  95  |  NON-REL   | 0.0631578947368 |  0.6   |
|  96  |  NON-REL   |      0.0625     |  0.6   |
|  97  |  NON-REL   | 0.0618556701031 |  0.6   |
|  98  |  NON-REL   | 0.0612244897959 |  0.6   |
|  99  |  NON-REL   | 0.0606060606061 |  0.6   |
| 100  |  NON-REL   |       0.06      |  0.6   |
+------+------------+-----------------+--------+
