query_17: timization intermediate machine code
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |  NON-REL   |       0.0       |  0.0   |
|  3   |  NON-REL   |       0.0       |  0.0   |
|  4   |  NON-REL   |       0.0       |  0.0   |
|  5   |  NON-REL   |       0.0       |  0.0   |
|  6   |  NON-REL   |       0.0       |  0.0   |
|  7   |  NON-REL   |       0.0       |  0.0   |
|  8   |  NON-REL   |       0.0       |  0.0   |
|  9   |  NON-REL   |       0.0       |  0.0   |
|  10  |  NON-REL   |       0.0       |  0.0   |
|  11  |  NON-REL   |       0.0       |  0.0   |
|  12  |  NON-REL   |       0.0       |  0.0   |
|  13  |  NON-REL   |       0.0       |  0.0   |
|  14  |  NON-REL   |       0.0       |  0.0   |
|  15  |  NON-REL   |       0.0       |  0.0   |
|  16  |  NON-REL   |       0.0       |  0.0   |
|  17  |  NON-REL   |       0.0       |  0.0   |
|  18  |  NON-REL   |       0.0       |  0.0   |
|  19  |    REL     | 0.0526315789474 | 0.0625 |
|  20  |  NON-REL   |       0.05      | 0.0625 |
|  21  |  NON-REL   |  0.047619047619 | 0.0625 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0625 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0625 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0625 |
|  25  |  NON-REL   |       0.04      | 0.0625 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0625 |
|  27  |  NON-REL   |  0.037037037037 | 0.0625 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0625 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0625 |
|  30  |  NON-REL   | 0.0333333333333 | 0.0625 |
|  31  |  NON-REL   | 0.0322580645161 | 0.0625 |
|  32  |    REL     |      0.0625     | 0.125  |
|  33  |  NON-REL   | 0.0606060606061 | 0.125  |
|  34  |    REL     | 0.0882352941176 | 0.1875 |
|  35  |  NON-REL   | 0.0857142857143 | 0.1875 |
|  36  |  NON-REL   | 0.0833333333333 | 0.1875 |
|  37  |  NON-REL   | 0.0810810810811 | 0.1875 |
|  38  |  NON-REL   | 0.0789473684211 | 0.1875 |
|  39  |  NON-REL   | 0.0769230769231 | 0.1875 |
|  40  |  NON-REL   |      0.075      | 0.1875 |
|  41  |  NON-REL   | 0.0731707317073 | 0.1875 |
|  42  |  NON-REL   | 0.0714285714286 | 0.1875 |
|  43  |    REL     |  0.093023255814 |  0.25  |
|  44  |    REL     |  0.113636363636 | 0.3125 |
|  45  |  NON-REL   |  0.111111111111 | 0.3125 |
|  46  |  NON-REL   |  0.108695652174 | 0.3125 |
|  47  |  NON-REL   |  0.106382978723 | 0.3125 |
|  48  |  NON-REL   |  0.104166666667 | 0.3125 |
|  49  |  NON-REL   |  0.102040816327 | 0.3125 |
|  50  |  NON-REL   |       0.1       | 0.3125 |
|  51  |  NON-REL   | 0.0980392156863 | 0.3125 |
|  52  |  NON-REL   | 0.0961538461538 | 0.3125 |
|  53  |  NON-REL   | 0.0943396226415 | 0.3125 |
|  54  |  NON-REL   | 0.0925925925926 | 0.3125 |
|  55  |  NON-REL   | 0.0909090909091 | 0.3125 |
|  56  |  NON-REL   | 0.0892857142857 | 0.3125 |
|  57  |  NON-REL   | 0.0877192982456 | 0.3125 |
|  58  |  NON-REL   | 0.0862068965517 | 0.3125 |
|  59  |  NON-REL   | 0.0847457627119 | 0.3125 |
|  60  |  NON-REL   | 0.0833333333333 | 0.3125 |
|  61  |  NON-REL   | 0.0819672131148 | 0.3125 |
|  62  |  NON-REL   | 0.0806451612903 | 0.3125 |
|  63  |  NON-REL   | 0.0793650793651 | 0.3125 |
|  64  |  NON-REL   |     0.078125    | 0.3125 |
|  65  |  NON-REL   | 0.0769230769231 | 0.3125 |
|  66  |  NON-REL   | 0.0757575757576 | 0.3125 |
|  67  |  NON-REL   | 0.0746268656716 | 0.3125 |
|  68  |  NON-REL   | 0.0735294117647 | 0.3125 |
|  69  |  NON-REL   | 0.0724637681159 | 0.3125 |
|  70  |  NON-REL   | 0.0714285714286 | 0.3125 |
|  71  |  NON-REL   | 0.0704225352113 | 0.3125 |
|  72  |  NON-REL   | 0.0694444444444 | 0.3125 |
|  73  |  NON-REL   | 0.0684931506849 | 0.3125 |
|  74  |  NON-REL   | 0.0675675675676 | 0.3125 |
|  75  |  NON-REL   | 0.0666666666667 | 0.3125 |
|  76  |  NON-REL   | 0.0657894736842 | 0.3125 |
|  77  |  NON-REL   | 0.0649350649351 | 0.3125 |
|  78  |  NON-REL   | 0.0641025641026 | 0.3125 |
|  79  |  NON-REL   | 0.0632911392405 | 0.3125 |
|  80  |  NON-REL   |      0.0625     | 0.3125 |
|  81  |  NON-REL   | 0.0617283950617 | 0.3125 |
|  82  |  NON-REL   | 0.0609756097561 | 0.3125 |
|  83  |  NON-REL   | 0.0602409638554 | 0.3125 |
|  84  |  NON-REL   | 0.0595238095238 | 0.3125 |
|  85  |  NON-REL   | 0.0588235294118 | 0.3125 |
|  86  |  NON-REL   | 0.0581395348837 | 0.3125 |
|  87  |  NON-REL   | 0.0574712643678 | 0.3125 |
|  88  |  NON-REL   | 0.0568181818182 | 0.3125 |
|  89  |  NON-REL   | 0.0561797752809 | 0.3125 |
|  90  |  NON-REL   | 0.0555555555556 | 0.3125 |
|  91  |  NON-REL   | 0.0549450549451 | 0.3125 |
|  92  |  NON-REL   |  0.054347826087 | 0.3125 |
|  93  |  NON-REL   | 0.0537634408602 | 0.3125 |
|  94  |    REL     |  0.063829787234 | 0.375  |
|  95  |  NON-REL   | 0.0631578947368 | 0.375  |
|  96  |  NON-REL   |      0.0625     | 0.375  |
|  97  |  NON-REL   | 0.0618556701031 | 0.375  |
|  98  |  NON-REL   | 0.0612244897959 | 0.375  |
|  99  |  NON-REL   | 0.0606060606061 | 0.375  |
| 100  |  NON-REL   |       0.06      | 0.375  |
+------+------------+-----------------+--------+
