query_18: nguages compilers parallel processors especially highly horizontal microcoded machines code compaction
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |    REL     |  0.142857142857 | 0.0909090909091 |
|  8   |  NON-REL   |      0.125      | 0.0909090909091 |
|  9   |  NON-REL   |  0.111111111111 | 0.0909090909091 |
|  10  |  NON-REL   |       0.1       | 0.0909090909091 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0909090909091 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0909090909091 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0909090909091 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0909090909091 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0909090909091 |
|  16  |  NON-REL   |      0.0625     | 0.0909090909091 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0909090909091 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0909090909091 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0909090909091 |
|  20  |  NON-REL   |       0.05      | 0.0909090909091 |
|  21  |  NON-REL   |  0.047619047619 | 0.0909090909091 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0909090909091 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0909090909091 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0909090909091 |
|  25  |  NON-REL   |       0.04      | 0.0909090909091 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0909090909091 |
|  27  |  NON-REL   |  0.037037037037 | 0.0909090909091 |
|  28  |    REL     | 0.0714285714286 |  0.181818181818 |
|  29  |  NON-REL   | 0.0689655172414 |  0.181818181818 |
|  30  |  NON-REL   | 0.0666666666667 |  0.181818181818 |
|  31  |  NON-REL   | 0.0645161290323 |  0.181818181818 |
|  32  |  NON-REL   |      0.0625     |  0.181818181818 |
|  33  |    REL     | 0.0909090909091 |  0.272727272727 |
|  34  |  NON-REL   | 0.0882352941176 |  0.272727272727 |
|  35  |  NON-REL   | 0.0857142857143 |  0.272727272727 |
|  36  |  NON-REL   | 0.0833333333333 |  0.272727272727 |
|  37  |  NON-REL   | 0.0810810810811 |  0.272727272727 |
|  38  |  NON-REL   | 0.0789473684211 |  0.272727272727 |
|  39  |  NON-REL   | 0.0769230769231 |  0.272727272727 |
|  40  |    REL     |       0.1       |  0.363636363636 |
|  41  |  NON-REL   | 0.0975609756098 |  0.363636363636 |
|  42  |  NON-REL   | 0.0952380952381 |  0.363636363636 |
|  43  |  NON-REL   |  0.093023255814 |  0.363636363636 |
|  44  |  NON-REL   | 0.0909090909091 |  0.363636363636 |
|  45  |  NON-REL   | 0.0888888888889 |  0.363636363636 |
|  46  |  NON-REL   | 0.0869565217391 |  0.363636363636 |
|  47  |  NON-REL   | 0.0851063829787 |  0.363636363636 |
|  48  |  NON-REL   | 0.0833333333333 |  0.363636363636 |
|  49  |  NON-REL   | 0.0816326530612 |  0.363636363636 |
|  50  |  NON-REL   |       0.08      |  0.363636363636 |
|  51  |  NON-REL   |  0.078431372549 |  0.363636363636 |
|  52  |  NON-REL   | 0.0769230769231 |  0.363636363636 |
|  53  |  NON-REL   | 0.0754716981132 |  0.363636363636 |
|  54  |  NON-REL   | 0.0740740740741 |  0.363636363636 |
|  55  |  NON-REL   | 0.0727272727273 |  0.363636363636 |
|  56  |  NON-REL   | 0.0714285714286 |  0.363636363636 |
|  57  |  NON-REL   | 0.0701754385965 |  0.363636363636 |
|  58  |  NON-REL   | 0.0689655172414 |  0.363636363636 |
|  59  |  NON-REL   | 0.0677966101695 |  0.363636363636 |
|  60  |  NON-REL   | 0.0666666666667 |  0.363636363636 |
|  61  |  NON-REL   | 0.0655737704918 |  0.363636363636 |
|  62  |    REL     | 0.0806451612903 |  0.454545454545 |
|  63  |  NON-REL   | 0.0793650793651 |  0.454545454545 |
|  64  |  NON-REL   |     0.078125    |  0.454545454545 |
|  65  |  NON-REL   | 0.0769230769231 |  0.454545454545 |
|  66  |  NON-REL   | 0.0757575757576 |  0.454545454545 |
|  67  |  NON-REL   | 0.0746268656716 |  0.454545454545 |
|  68  |  NON-REL   | 0.0735294117647 |  0.454545454545 |
|  69  |  NON-REL   | 0.0724637681159 |  0.454545454545 |
|  70  |  NON-REL   | 0.0714285714286 |  0.454545454545 |
|  71  |  NON-REL   | 0.0704225352113 |  0.454545454545 |
|  72  |  NON-REL   | 0.0694444444444 |  0.454545454545 |
|  73  |  NON-REL   | 0.0684931506849 |  0.454545454545 |
|  74  |  NON-REL   | 0.0675675675676 |  0.454545454545 |
|  75  |  NON-REL   | 0.0666666666667 |  0.454545454545 |
|  76  |  NON-REL   | 0.0657894736842 |  0.454545454545 |
|  77  |  NON-REL   | 0.0649350649351 |  0.454545454545 |
|  78  |  NON-REL   | 0.0641025641026 |  0.454545454545 |
|  79  |  NON-REL   | 0.0632911392405 |  0.454545454545 |
|  80  |  NON-REL   |      0.0625     |  0.454545454545 |
|  81  |  NON-REL   | 0.0617283950617 |  0.454545454545 |
|  82  |  NON-REL   | 0.0609756097561 |  0.454545454545 |
|  83  |  NON-REL   | 0.0602409638554 |  0.454545454545 |
|  84  |  NON-REL   | 0.0595238095238 |  0.454545454545 |
|  85  |  NON-REL   | 0.0588235294118 |  0.454545454545 |
|  86  |  NON-REL   | 0.0581395348837 |  0.454545454545 |
|  87  |  NON-REL   | 0.0574712643678 |  0.454545454545 |
|  88  |  NON-REL   | 0.0568181818182 |  0.454545454545 |
|  89  |  NON-REL   | 0.0561797752809 |  0.454545454545 |
|  90  |  NON-REL   | 0.0555555555556 |  0.454545454545 |
|  91  |  NON-REL   | 0.0549450549451 |  0.454545454545 |
|  92  |  NON-REL   |  0.054347826087 |  0.454545454545 |
|  93  |  NON-REL   | 0.0537634408602 |  0.454545454545 |
|  94  |  NON-REL   | 0.0531914893617 |  0.454545454545 |
|  95  |  NON-REL   | 0.0526315789474 |  0.454545454545 |
|  96  |  NON-REL   | 0.0520833333333 |  0.454545454545 |
|  97  |  NON-REL   | 0.0515463917526 |  0.454545454545 |
|  98  |  NON-REL   | 0.0510204081633 |  0.454545454545 |
|  99  |  NON-REL   | 0.0505050505051 |  0.454545454545 |
| 100  |  NON-REL   |       0.05      |  0.454545454545 |
+------+------------+-----------------+-----------------+
