query_25: rformance evaluation modelling computer systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |    REL     |  0.166666666667 | 0.0196078431373 |
|  7   |  NON-REL   |  0.142857142857 | 0.0196078431373 |
|  8   |  NON-REL   |      0.125      | 0.0196078431373 |
|  9   |  NON-REL   |  0.111111111111 | 0.0196078431373 |
|  10  |  NON-REL   |       0.1       | 0.0196078431373 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0196078431373 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0196078431373 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0196078431373 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0196078431373 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0196078431373 |
|  16  |    REL     |      0.125      | 0.0392156862745 |
|  17  |  NON-REL   |  0.117647058824 | 0.0392156862745 |
|  18  |  NON-REL   |  0.111111111111 | 0.0392156862745 |
|  19  |  NON-REL   |  0.105263157895 | 0.0392156862745 |
|  20  |  NON-REL   |       0.1       | 0.0392156862745 |
|  21  |  NON-REL   | 0.0952380952381 | 0.0392156862745 |
|  22  |  NON-REL   | 0.0909090909091 | 0.0392156862745 |
|  23  |  NON-REL   | 0.0869565217391 | 0.0392156862745 |
|  24  |  NON-REL   | 0.0833333333333 | 0.0392156862745 |
|  25  |  NON-REL   |       0.08      | 0.0392156862745 |
|  26  |  NON-REL   | 0.0769230769231 | 0.0392156862745 |
|  27  |  NON-REL   | 0.0740740740741 | 0.0392156862745 |
|  28  |  NON-REL   | 0.0714285714286 | 0.0392156862745 |
|  29  |  NON-REL   | 0.0689655172414 | 0.0392156862745 |
|  30  |  NON-REL   | 0.0666666666667 | 0.0392156862745 |
|  31  |  NON-REL   | 0.0645161290323 | 0.0392156862745 |
|  32  |  NON-REL   |      0.0625     | 0.0392156862745 |
|  33  |  NON-REL   | 0.0606060606061 | 0.0392156862745 |
|  34  |  NON-REL   | 0.0588235294118 | 0.0392156862745 |
|  35  |  NON-REL   | 0.0571428571429 | 0.0392156862745 |
|  36  |  NON-REL   | 0.0555555555556 | 0.0392156862745 |
|  37  |  NON-REL   | 0.0540540540541 | 0.0392156862745 |
|  38  |  NON-REL   | 0.0526315789474 | 0.0392156862745 |
|  39  |  NON-REL   | 0.0512820512821 | 0.0392156862745 |
|  40  |  NON-REL   |       0.05      | 0.0392156862745 |
|  41  |  NON-REL   | 0.0487804878049 | 0.0392156862745 |
|  42  |  NON-REL   |  0.047619047619 | 0.0392156862745 |
|  43  |  NON-REL   |  0.046511627907 | 0.0392156862745 |
|  44  |    REL     | 0.0681818181818 | 0.0588235294118 |
|  45  |  NON-REL   | 0.0666666666667 | 0.0588235294118 |
|  46  |  NON-REL   | 0.0652173913043 | 0.0588235294118 |
|  47  |  NON-REL   |  0.063829787234 | 0.0588235294118 |
|  48  |  NON-REL   |      0.0625     | 0.0588235294118 |
|  49  |  NON-REL   | 0.0612244897959 | 0.0588235294118 |
|  50  |  NON-REL   |       0.06      | 0.0588235294118 |
|  51  |  NON-REL   | 0.0588235294118 | 0.0588235294118 |
|  52  |  NON-REL   | 0.0576923076923 | 0.0588235294118 |
|  53  |  NON-REL   | 0.0566037735849 | 0.0588235294118 |
|  54  |  NON-REL   | 0.0555555555556 | 0.0588235294118 |
|  55  |  NON-REL   | 0.0545454545455 | 0.0588235294118 |
|  56  |  NON-REL   | 0.0535714285714 | 0.0588235294118 |
|  57  |  NON-REL   | 0.0526315789474 | 0.0588235294118 |
|  58  |  NON-REL   |  0.051724137931 | 0.0588235294118 |
|  59  |  NON-REL   | 0.0508474576271 | 0.0588235294118 |
|  60  |  NON-REL   |       0.05      | 0.0588235294118 |
|  61  |  NON-REL   | 0.0491803278689 | 0.0588235294118 |
|  62  |  NON-REL   | 0.0483870967742 | 0.0588235294118 |
|  63  |  NON-REL   |  0.047619047619 | 0.0588235294118 |
|  64  |  NON-REL   |     0.046875    | 0.0588235294118 |
|  65  |  NON-REL   | 0.0461538461538 | 0.0588235294118 |
|  66  |  NON-REL   | 0.0454545454545 | 0.0588235294118 |
|  67  |  NON-REL   |  0.044776119403 | 0.0588235294118 |
|  68  |  NON-REL   | 0.0441176470588 | 0.0588235294118 |
|  69  |  NON-REL   | 0.0434782608696 | 0.0588235294118 |
|  70  |  NON-REL   | 0.0428571428571 | 0.0588235294118 |
|  71  |  NON-REL   | 0.0422535211268 | 0.0588235294118 |
|  72  |  NON-REL   | 0.0416666666667 | 0.0588235294118 |
|  73  |  NON-REL   |  0.041095890411 | 0.0588235294118 |
|  74  |    REL     | 0.0540540540541 |  0.078431372549 |
|  75  |  NON-REL   | 0.0533333333333 |  0.078431372549 |
|  76  |  NON-REL   | 0.0526315789474 |  0.078431372549 |
|  77  |  NON-REL   | 0.0519480519481 |  0.078431372549 |
|  78  |  NON-REL   | 0.0512820512821 |  0.078431372549 |
|  79  |  NON-REL   | 0.0506329113924 |  0.078431372549 |
|  80  |  NON-REL   |       0.05      |  0.078431372549 |
|  81  |  NON-REL   | 0.0493827160494 |  0.078431372549 |
|  82  |  NON-REL   | 0.0487804878049 |  0.078431372549 |
|  83  |  NON-REL   | 0.0481927710843 |  0.078431372549 |
|  84  |  NON-REL   |  0.047619047619 |  0.078431372549 |
|  85  |  NON-REL   | 0.0470588235294 |  0.078431372549 |
|  86  |  NON-REL   |  0.046511627907 |  0.078431372549 |
|  87  |  NON-REL   | 0.0459770114943 |  0.078431372549 |
|  88  |  NON-REL   | 0.0454545454545 |  0.078431372549 |
|  89  |  NON-REL   | 0.0449438202247 |  0.078431372549 |
|  90  |  NON-REL   | 0.0444444444444 |  0.078431372549 |
|  91  |  NON-REL   |  0.043956043956 |  0.078431372549 |
|  92  |  NON-REL   | 0.0434782608696 |  0.078431372549 |
|  93  |  NON-REL   | 0.0430107526882 |  0.078431372549 |
|  94  |  NON-REL   | 0.0425531914894 |  0.078431372549 |
|  95  |  NON-REL   | 0.0421052631579 |  0.078431372549 |
|  96  |  NON-REL   | 0.0416666666667 |  0.078431372549 |
|  97  |  NON-REL   | 0.0412371134021 |  0.078431372549 |
|  98  |  NON-REL   | 0.0408163265306 |  0.078431372549 |
|  99  |  NON-REL   |  0.040404040404 |  0.078431372549 |
| 100  |  NON-REL   |       0.04      |  0.078431372549 |
+------+------------+-----------------+-----------------+
