query_26: ncurrency control mechanisms operating systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |    REL     |  0.142857142857 | 0.0333333333333 |
|  8   |  NON-REL   |      0.125      | 0.0333333333333 |
|  9   |  NON-REL   |  0.111111111111 | 0.0333333333333 |
|  10  |  NON-REL   |       0.1       | 0.0333333333333 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0333333333333 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0333333333333 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0333333333333 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0333333333333 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0333333333333 |
|  16  |  NON-REL   |      0.0625     | 0.0333333333333 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0333333333333 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0333333333333 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0333333333333 |
|  20  |  NON-REL   |       0.05      | 0.0333333333333 |
|  21  |  NON-REL   |  0.047619047619 | 0.0333333333333 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0333333333333 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0333333333333 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0333333333333 |
|  25  |  NON-REL   |       0.04      | 0.0333333333333 |
|  26  |    REL     | 0.0769230769231 | 0.0666666666667 |
|  27  |    REL     |  0.111111111111 |       0.1       |
|  28  |  NON-REL   |  0.107142857143 |       0.1       |
|  29  |  NON-REL   |  0.103448275862 |       0.1       |
|  30  |    REL     |  0.133333333333 |  0.133333333333 |
|  31  |  NON-REL   |  0.129032258065 |  0.133333333333 |
|  32  |  NON-REL   |      0.125      |  0.133333333333 |
|  33  |  NON-REL   |  0.121212121212 |  0.133333333333 |
|  34  |  NON-REL   |  0.117647058824 |  0.133333333333 |
|  35  |  NON-REL   |  0.114285714286 |  0.133333333333 |
|  36  |  NON-REL   |  0.111111111111 |  0.133333333333 |
|  37  |  NON-REL   |  0.108108108108 |  0.133333333333 |
|  38  |    REL     |  0.131578947368 |  0.166666666667 |
|  39  |  NON-REL   |  0.128205128205 |  0.166666666667 |
|  40  |  NON-REL   |      0.125      |  0.166666666667 |
|  41  |  NON-REL   |  0.121951219512 |  0.166666666667 |
|  42  |  NON-REL   |  0.119047619048 |  0.166666666667 |
|  43  |  NON-REL   |  0.116279069767 |  0.166666666667 |
|  44  |  NON-REL   |  0.113636363636 |  0.166666666667 |
|  45  |  NON-REL   |  0.111111111111 |  0.166666666667 |
|  46  |  NON-REL   |  0.108695652174 |  0.166666666667 |
|  47  |  NON-REL   |  0.106382978723 |  0.166666666667 |
|  48  |    REL     |      0.125      |       0.2       |
|  49  |  NON-REL   |  0.122448979592 |       0.2       |
|  50  |  NON-REL   |       0.12      |       0.2       |
|  51  |  NON-REL   |  0.117647058824 |       0.2       |
|  52  |    REL     |  0.134615384615 |  0.233333333333 |
|  53  |  NON-REL   |  0.132075471698 |  0.233333333333 |
|  54  |  NON-REL   |  0.12962962963  |  0.233333333333 |
|  55  |  NON-REL   |  0.127272727273 |  0.233333333333 |
|  56  |    REL     |  0.142857142857 |  0.266666666667 |
|  57  |  NON-REL   |  0.140350877193 |  0.266666666667 |
|  58  |  NON-REL   |  0.137931034483 |  0.266666666667 |
|  59  |  NON-REL   |  0.135593220339 |  0.266666666667 |
|  60  |  NON-REL   |  0.133333333333 |  0.266666666667 |
|  61  |    REL     |  0.147540983607 |       0.3       |
|  62  |  NON-REL   |  0.145161290323 |       0.3       |
|  63  |  NON-REL   |  0.142857142857 |       0.3       |
|  64  |  NON-REL   |     0.140625    |       0.3       |
|  65  |  NON-REL   |  0.138461538462 |       0.3       |
|  66  |  NON-REL   |  0.136363636364 |       0.3       |
|  67  |  NON-REL   |  0.134328358209 |       0.3       |
|  68  |  NON-REL   |  0.132352941176 |       0.3       |
|  69  |  NON-REL   |  0.130434782609 |       0.3       |
|  70  |  NON-REL   |  0.128571428571 |       0.3       |
|  71  |  NON-REL   |  0.12676056338  |       0.3       |
|  72  |  NON-REL   |      0.125      |       0.3       |
|  73  |  NON-REL   |  0.123287671233 |       0.3       |
|  74  |  NON-REL   |  0.121621621622 |       0.3       |
|  75  |  NON-REL   |       0.12      |       0.3       |
|  76  |  NON-REL   |  0.118421052632 |       0.3       |
|  77  |  NON-REL   |  0.116883116883 |       0.3       |
|  78  |  NON-REL   |  0.115384615385 |       0.3       |
|  79  |  NON-REL   |  0.113924050633 |       0.3       |
|  80  |  NON-REL   |      0.1125     |       0.3       |
|  81  |  NON-REL   |  0.111111111111 |       0.3       |
|  82  |  NON-REL   |  0.109756097561 |       0.3       |
|  83  |  NON-REL   |  0.10843373494  |       0.3       |
|  84  |  NON-REL   |  0.107142857143 |       0.3       |
|  85  |  NON-REL   |  0.105882352941 |       0.3       |
|  86  |  NON-REL   |  0.104651162791 |       0.3       |
|  87  |  NON-REL   |  0.103448275862 |       0.3       |
|  88  |  NON-REL   |  0.102272727273 |       0.3       |
|  89  |  NON-REL   |  0.101123595506 |       0.3       |
|  90  |  NON-REL   |       0.1       |       0.3       |
|  91  |  NON-REL   | 0.0989010989011 |       0.3       |
|  92  |  NON-REL   | 0.0978260869565 |       0.3       |
|  93  |    REL     |  0.10752688172  |  0.333333333333 |
|  94  |  NON-REL   |  0.106382978723 |  0.333333333333 |
|  95  |  NON-REL   |  0.105263157895 |  0.333333333333 |
|  96  |  NON-REL   |  0.104166666667 |  0.333333333333 |
|  97  |  NON-REL   |  0.103092783505 |  0.333333333333 |
|  98  |  NON-REL   |  0.102040816327 |  0.333333333333 |
|  99  |  NON-REL   |  0.10101010101  |  0.333333333333 |
| 100  |  NON-REL   |       0.1       |  0.333333333333 |
+------+------------+-----------------+-----------------+
