query_27: mory management aspects operating systems
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |  NON-REL   |       0.0       |       0.0       |
|  26  |    REL     | 0.0384615384615 | 0.0344827586207 |
|  27  |  NON-REL   |  0.037037037037 | 0.0344827586207 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0344827586207 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0344827586207 |
|  30  |  NON-REL   | 0.0333333333333 | 0.0344827586207 |
|  31  |  NON-REL   | 0.0322580645161 | 0.0344827586207 |
|  32  |  NON-REL   |     0.03125     | 0.0344827586207 |
|  33  |  NON-REL   |  0.030303030303 | 0.0344827586207 |
|  34  |  NON-REL   | 0.0294117647059 | 0.0344827586207 |
|  35  |  NON-REL   | 0.0285714285714 | 0.0344827586207 |
|  36  |  NON-REL   | 0.0277777777778 | 0.0344827586207 |
|  37  |  NON-REL   |  0.027027027027 | 0.0344827586207 |
|  38  |  NON-REL   | 0.0263157894737 | 0.0344827586207 |
|  39  |  NON-REL   |  0.025641025641 | 0.0344827586207 |
|  40  |  NON-REL   |      0.025      | 0.0344827586207 |
|  41  |  NON-REL   | 0.0243902439024 | 0.0344827586207 |
|  42  |  NON-REL   | 0.0238095238095 | 0.0344827586207 |
|  43  |  NON-REL   | 0.0232558139535 | 0.0344827586207 |
|  44  |  NON-REL   | 0.0227272727273 | 0.0344827586207 |
|  45  |  NON-REL   | 0.0222222222222 | 0.0344827586207 |
|  46  |  NON-REL   | 0.0217391304348 | 0.0344827586207 |
|  47  |  NON-REL   | 0.0212765957447 | 0.0344827586207 |
|  48  |  NON-REL   | 0.0208333333333 | 0.0344827586207 |
|  49  |    REL     | 0.0408163265306 | 0.0689655172414 |
|  50  |  NON-REL   |       0.04      | 0.0689655172414 |
|  51  |  NON-REL   | 0.0392156862745 | 0.0689655172414 |
|  52  |  NON-REL   | 0.0384615384615 | 0.0689655172414 |
|  53  |    REL     | 0.0566037735849 |  0.103448275862 |
|  54  |  NON-REL   | 0.0555555555556 |  0.103448275862 |
|  55  |  NON-REL   | 0.0545454545455 |  0.103448275862 |
|  56  |  NON-REL   | 0.0535714285714 |  0.103448275862 |
|  57  |    REL     | 0.0701754385965 |  0.137931034483 |
|  58  |  NON-REL   | 0.0689655172414 |  0.137931034483 |
|  59  |  NON-REL   | 0.0677966101695 |  0.137931034483 |
|  60  |  NON-REL   | 0.0666666666667 |  0.137931034483 |
|  61  |    REL     | 0.0819672131148 |  0.172413793103 |
|  62  |  NON-REL   | 0.0806451612903 |  0.172413793103 |
|  63  |  NON-REL   | 0.0793650793651 |  0.172413793103 |
|  64  |  NON-REL   |     0.078125    |  0.172413793103 |
|  65  |  NON-REL   | 0.0769230769231 |  0.172413793103 |
|  66  |  NON-REL   | 0.0757575757576 |  0.172413793103 |
|  67  |  NON-REL   | 0.0746268656716 |  0.172413793103 |
|  68  |  NON-REL   | 0.0735294117647 |  0.172413793103 |
|  69  |  NON-REL   | 0.0724637681159 |  0.172413793103 |
|  70  |  NON-REL   | 0.0714285714286 |  0.172413793103 |
|  71  |  NON-REL   | 0.0704225352113 |  0.172413793103 |
|  72  |  NON-REL   | 0.0694444444444 |  0.172413793103 |
|  73  |  NON-REL   | 0.0684931506849 |  0.172413793103 |
|  74  |  NON-REL   | 0.0675675675676 |  0.172413793103 |
|  75  |    REL     |       0.08      |  0.206896551724 |
|  76  |  NON-REL   | 0.0789473684211 |  0.206896551724 |
|  77  |  NON-REL   | 0.0779220779221 |  0.206896551724 |
|  78  |  NON-REL   | 0.0769230769231 |  0.206896551724 |
|  79  |  NON-REL   | 0.0759493670886 |  0.206896551724 |
|  80  |  NON-REL   |      0.075      |  0.206896551724 |
|  81  |  NON-REL   | 0.0740740740741 |  0.206896551724 |
|  82  |  NON-REL   | 0.0731707317073 |  0.206896551724 |
|  83  |  NON-REL   | 0.0722891566265 |  0.206896551724 |
|  84  |  NON-REL   | 0.0714285714286 |  0.206896551724 |
|  85  |  NON-REL   | 0.0705882352941 |  0.206896551724 |
|  86  |  NON-REL   | 0.0697674418605 |  0.206896551724 |
|  87  |  NON-REL   | 0.0689655172414 |  0.206896551724 |
|  88  |  NON-REL   | 0.0681818181818 |  0.206896551724 |
|  89  |    REL     | 0.0786516853933 |  0.241379310345 |
|  90  |  NON-REL   | 0.0777777777778 |  0.241379310345 |
|  91  |  NON-REL   | 0.0769230769231 |  0.241379310345 |
|  92  |  NON-REL   | 0.0760869565217 |  0.241379310345 |
|  93  |  NON-REL   | 0.0752688172043 |  0.241379310345 |
|  94  |  NON-REL   | 0.0744680851064 |  0.241379310345 |
|  95  |  NON-REL   | 0.0736842105263 |  0.241379310345 |
|  96  |  NON-REL   | 0.0729166666667 |  0.241379310345 |
|  97  |  NON-REL   | 0.0721649484536 |  0.241379310345 |
|  98  |  NON-REL   | 0.0714285714286 |  0.241379310345 |
|  99  |  NON-REL   | 0.0707070707071 |  0.241379310345 |
| 100  |  NON-REL   |       0.07      |  0.241379310345 |
+------+------------+-----------------+-----------------+
