query_30: ticles text formatting systems including systems examples nroff scribe bravo
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |  NON-REL   |       0.0       |  0.0   |
|  2   |    REL     |       0.5       |  0.25  |
|  3   |  NON-REL   |  0.333333333333 |  0.25  |
|  4   |  NON-REL   |       0.25      |  0.25  |
|  5   |  NON-REL   |       0.2       |  0.25  |
|  6   |  NON-REL   |  0.166666666667 |  0.25  |
|  7   |  NON-REL   |  0.142857142857 |  0.25  |
|  8   |  NON-REL   |      0.125      |  0.25  |
|  9   |  NON-REL   |  0.111111111111 |  0.25  |
|  10  |    REL     |       0.2       |  0.5   |
|  11  |  NON-REL   |  0.181818181818 |  0.5   |
|  12  |  NON-REL   |  0.166666666667 |  0.5   |
|  13  |  NON-REL   |  0.153846153846 |  0.5   |
|  14  |  NON-REL   |  0.142857142857 |  0.5   |
|  15  |  NON-REL   |  0.133333333333 |  0.5   |
|  16  |  NON-REL   |      0.125      |  0.5   |
|  17  |  NON-REL   |  0.117647058824 |  0.5   |
|  18  |  NON-REL   |  0.111111111111 |  0.5   |
|  19  |  NON-REL   |  0.105263157895 |  0.5   |
|  20  |  NON-REL   |       0.1       |  0.5   |
|  21  |  NON-REL   | 0.0952380952381 |  0.5   |
|  22  |  NON-REL   | 0.0909090909091 |  0.5   |
|  23  |  NON-REL   | 0.0869565217391 |  0.5   |
|  24  |  NON-REL   | 0.0833333333333 |  0.5   |
|  25  |  NON-REL   |       0.08      |  0.5   |
|  26  |  NON-REL   | 0.0769230769231 |  0.5   |
|  27  |  NON-REL   | 0.0740740740741 |  0.5   |
|  28  |  NON-REL   | 0.0714285714286 |  0.5   |
|  29  |  NON-REL   | 0.0689655172414 |  0.5   |
|  30  |  NON-REL   | 0.0666666666667 |  0.5   |
|  31  |  NON-REL   | 0.0645161290323 |  0.5   |
|  32  |  NON-REL   |      0.0625     |  0.5   |
|  33  |  NON-REL   | 0.0606060606061 |  0.5   |
|  34  |  NON-REL   | 0.0588235294118 |  0.5   |
|  35  |  NON-REL   | 0.0571428571429 |  0.5   |
|  36  |  NON-REL   | 0.0555555555556 |  0.5   |
|  37  |  NON-REL   | 0.0540540540541 |  0.5   |
|  38  |  NON-REL   | 0.0526315789474 |  0.5   |
|  39  |  NON-REL   | 0.0512820512821 |  0.5   |
|  40  |  NON-REL   |       0.05      |  0.5   |
|  41  |  NON-REL   | 0.0487804878049 |  0.5   |
|  42  |  NON-REL   |  0.047619047619 |  0.5   |
|  43  |  NON-REL   |  0.046511627907 |  0.5   |
|  44  |  NON-REL   | 0.0454545454545 |  0.5   |
|  45  |  NON-REL   | 0.0444444444444 |  0.5   |
|  46  |  NON-REL   | 0.0434782608696 |  0.5   |
|  47  |  NON-REL   | 0.0425531914894 |  0.5   |
|  48  |  NON-REL   | 0.0416666666667 |  0.5   |
|  49  |  NON-REL   | 0.0408163265306 |  0.5   |
|  50  |  NON-REL   |       0.04      |  0.5   |
|  51  |  NON-REL   | 0.0392156862745 |  0.5   |
|  52  |  NON-REL   | 0.0384615384615 |  0.5   |
|  53  |  NON-REL   | 0.0377358490566 |  0.5   |
|  54  |  NON-REL   |  0.037037037037 |  0.5   |
|  55  |    REL     | 0.0545454545455 |  0.75  |
|  56  |  NON-REL   | 0.0535714285714 |  0.75  |
|  57  |  NON-REL   | 0.0526315789474 |  0.75  |
|  58  |  NON-REL   |  0.051724137931 |  0.75  |
|  59  |  NON-REL   | 0.0508474576271 |  0.75  |
|  60  |  NON-REL   |       0.05      |  0.75  |
|  61  |  NON-REL   | 0.0491803278689 |  0.75  |
|  62  |  NON-REL   | 0.0483870967742 |  0.75  |
|  63  |  NON-REL   |  0.047619047619 |  0.75  |
|  64  |  NON-REL   |     0.046875    |  0.75  |
|  65  |  NON-REL   | 0.0461538461538 |  0.75  |
|  66  |  NON-REL   | 0.0454545454545 |  0.75  |
|  67  |  NON-REL   |  0.044776119403 |  0.75  |
|  68  |  NON-REL   | 0.0441176470588 |  0.75  |
|  69  |  NON-REL   | 0.0434782608696 |  0.75  |
|  70  |  NON-REL   | 0.0428571428571 |  0.75  |
|  71  |  NON-REL   | 0.0422535211268 |  0.75  |
|  72  |  NON-REL   | 0.0416666666667 |  0.75  |
|  73  |  NON-REL   |  0.041095890411 |  0.75  |
|  74  |  NON-REL   | 0.0405405405405 |  0.75  |
|  75  |  NON-REL   |       0.04      |  0.75  |
|  76  |  NON-REL   | 0.0394736842105 |  0.75  |
|  77  |  NON-REL   |  0.038961038961 |  0.75  |
|  78  |  NON-REL   | 0.0384615384615 |  0.75  |
|  79  |  NON-REL   | 0.0379746835443 |  0.75  |
|  80  |  NON-REL   |      0.0375     |  0.75  |
|  81  |  NON-REL   |  0.037037037037 |  0.75  |
|  82  |  NON-REL   | 0.0365853658537 |  0.75  |
|  83  |  NON-REL   | 0.0361445783133 |  0.75  |
|  84  |  NON-REL   | 0.0357142857143 |  0.75  |
|  85  |  NON-REL   | 0.0352941176471 |  0.75  |
|  86  |  NON-REL   | 0.0348837209302 |  0.75  |
|  87  |  NON-REL   | 0.0344827586207 |  0.75  |
|  88  |  NON-REL   | 0.0340909090909 |  0.75  |
|  89  |  NON-REL   | 0.0337078651685 |  0.75  |
|  90  |  NON-REL   | 0.0333333333333 |  0.75  |
|  91  |  NON-REL   |  0.032967032967 |  0.75  |
|  92  |  NON-REL   | 0.0326086956522 |  0.75  |
|  93  |  NON-REL   | 0.0322580645161 |  0.75  |
|  94  |  NON-REL   |  0.031914893617 |  0.75  |
|  95  |  NON-REL   | 0.0315789473684 |  0.75  |
|  96  |  NON-REL   |     0.03125     |  0.75  |
|  97  |  NON-REL   | 0.0309278350515 |  0.75  |
|  98  |  NON-REL   |  0.030612244898 |  0.75  |
|  99  |  NON-REL   |  0.030303030303 |  0.75  |
| 100  |  NON-REL   |       0.03      |  0.75  |
+------+------------+-----------------+--------+
