query_36: st algorithm context-free language recognition parsing
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.05  |
|  2   |  NON-REL   |       0.5       |  0.05  |
|  3   |    REL     |  0.666666666667 |  0.1   |
|  4   |  NON-REL   |       0.5       |  0.1   |
|  5   |  NON-REL   |       0.4       |  0.1   |
|  6   |    REL     |       0.5       |  0.15  |
|  7   |  NON-REL   |  0.428571428571 |  0.15  |
|  8   |  NON-REL   |      0.375      |  0.15  |
|  9   |  NON-REL   |  0.333333333333 |  0.15  |
|  10  |  NON-REL   |       0.3       |  0.15  |
|  11  |  NON-REL   |  0.272727272727 |  0.15  |
|  12  |  NON-REL   |       0.25      |  0.15  |
|  13  |  NON-REL   |  0.230769230769 |  0.15  |
|  14  |  NON-REL   |  0.214285714286 |  0.15  |
|  15  |  NON-REL   |       0.2       |  0.15  |
|  16  |  NON-REL   |      0.1875     |  0.15  |
|  17  |  NON-REL   |  0.176470588235 |  0.15  |
|  18  |    REL     |  0.222222222222 |  0.2   |
|  19  |  NON-REL   |  0.210526315789 |  0.2   |
|  20  |  NON-REL   |       0.2       |  0.2   |
|  21  |  NON-REL   |  0.190476190476 |  0.2   |
|  22  |  NON-REL   |  0.181818181818 |  0.2   |
|  23  |  NON-REL   |  0.173913043478 |  0.2   |
|  24  |    REL     |  0.208333333333 |  0.25  |
|  25  |    REL     |       0.24      |  0.3   |
|  26  |  NON-REL   |  0.230769230769 |  0.3   |
|  27  |  NON-REL   |  0.222222222222 |  0.3   |
|  28  |  NON-REL   |  0.214285714286 |  0.3   |
|  29  |  NON-REL   |  0.206896551724 |  0.3   |
|  30  |  NON-REL   |       0.2       |  0.3   |
|  31  |  NON-REL   |  0.193548387097 |  0.3   |
|  32  |  NON-REL   |      0.1875     |  0.3   |
|  33  |  NON-REL   |  0.181818181818 |  0.3   |
|  34  |  NON-REL   |  0.176470588235 |  0.3   |
|  35  |  NON-REL   |  0.171428571429 |  0.3   |
|  36  |  NON-REL   |  0.166666666667 |  0.3   |
